t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789278127.2452247,0.0,712607,17275,0,346,10596,0,152347,433033,3745231,90724,136,15720832,15790328,16335496,360,92,0,1,2,0,67864614,36204627,37915993,9272244,9921373,34,23,25224990,6199,110522872,136858612,475
1789278127.495666,0.25,712802,17284,0,346,10599,0,152358,433112,3746816,133296,60,15688800,15728616,16335496,360,0,0,0,2,0,67874582,36218278,37929656,9272244,9921373,15,0,25228708,6218,110569680,136858612,475
1789278127.7472878,0.502,713057,17292,0,346,10602,0,152373,433122,3748506,190516,92,15672724,15653604,16335496,360,0,0,1,2,0,67875605,36236342,37947724,9272244,9921373,23,0,25238631,6245,110628312,136858612,475
1789278127.997978,0.753,713323,17301,0,346,10605,0,152380,433140,3751284,208088,92,15678024,15641340,16335496,360,0,0,0,3,0,67876256,36288054,37999455,9272244,9921373,23,0,25247692,6248,110645844,136858644,475
1789278128.2486324,1.003,713567,17307,0,346,10608,0,152387,433182,3753657,220088,92,15622448,15574244,16335496,360,0,0,0,7,0,67876794,36309078,38020481,9272244,9921373,23,0,25262698,6248,110657808,136858644,475
1789278128.4997337,1.255,713823,17310,0,346,10610,0,152391,433214,3755784,230028,92,15602860,15544176,16335496,360,0,0,1,3,0,67877309,36329822,38041224,9272244,9921373,23,0,25268204,6248,110667748,136858644,475
1789278128.7501981,1.505,714078,17314,0,346,10610,0,152393,433254,3757848,241796,92,15586064,15515580,16335496,360,0,0,1,2,0,67879440,36351797,38063206,9272244,9921373,23,0,25270819,6251,110679808,136858644,475
1789278129.0008082,1.756,714327,17316,0,346,10611,0,152398,433295,3759939,252096,92,15571620,15490576,16335496,360,0,0,0,1,0,67879923,36363795,38075204,9272244,9921373,23,0,25274117,6252,110690144,136858644,475
1789278129.251372,2.006,714576,17319,0,346,10611,0,152400,433338,3761813,255248,92,15557764,15473580,16335496,360,0,0,0,5,0,67880373,36377024,38088433,9272244,9921373,23,0,25279639,6253,110693312,136858644,475
1789278129.5156302,2.27,714846,17325,0,346,10614,0,152408,433370,3764022,350156,92,15539508,15359624,16335496,360,0,0,0,2,0,67881108,36396445,38107854,9272244,9921373,23,0,25286618,6275,110788992,136858648,475
1789278129.7668903,2.522,715116,17331,0,346,10614,0,152415,433384,3764927,373636,92,15397088,15193480,16335496,360,0,0,0,3,0,67881585,36435942,38147411,9272244,9921373,23,0,25294215,6323,110814140,136858648,475
1789278130.0212913,2.776,715366,17335,0,346,10615,0,152430,433404,3766475,384996,92,15510408,15295184,16335496,360,0,0,0,2,0,67882200,36449861,38161331,9272244,9921373,23,0,25298385,6332,110824496,136858648,475
1789278130.271781,3.027,715607,17337,0,346,10616,0,152436,433454,3768175,397164,92,15466372,15238804,16335496,360,0,0,0,3,0,67882716,36462024,38173493,9272244,9921373,23,0,25308715,6333,110836840,136858648,475
1789278130.5225596,3.277,715838,17340,0,346,10618,0,152440,433513,3769556,404740,92,15433520,15198368,16335496,360,0,0,1,1,0,67883289,36474438,38185912,9272244,9921373,23,0,25321842,6333,110844436,136858648,475
1789278130.7731435,3.528,716084,17342,0,346,10621,0,152446,433557,3772961,413868,92,15410564,15166148,16335496,360,0,0,0,2,0,67883734,36481051,38192524,9272244,9921373,23,0,25330066,6334,110853724,136858648,475
1789278131.0235968,3.778,716339,17343,0,346,10625,0,152448,433596,3774992,418776,92,15397936,15148268,16335496,360,0,0,0,4,0,67884298,36487263,38198737,9272244,9921373,23,0,25333234,6335,110858628,136858648,475
1789278131.2742183,4.029,716584,17345,0,346,10627,0,152453,433641,3777365,424340,92,15377972,15122992,16335496,360,0,0,0,2,0,67884833,36497542,38209016,9272244,9921373,23,0,25338538,6335,110864168,136858648,475
1789278131.5249991,4.28,716831,17346,0,346,10627,0,152455,433690,3777779,427816,92,15361936,15103520,16335496,360,0,0,0,3,0,67885331,36503461,38214945,9272244,9921373,23,0,25343136,6335,110867460,136858648,475
1789278131.775636,4.53,717076,17346,0,346,10627,0,152461,433737,3781842,427852,92,15357348,15098860,16335496,360,0,0,0,6,0,67885834,36505025,38216508,9272244,9921373,23,0,25344646,6335,110867488,136858648,475
1789278132.0262284,4.781,717303,17347,0,346,10628,0,152463,433808,3785532,436100,92,15327548,15060804,16335496,360,0,0,0,3,0,67886199,36506678,38218162,9272244,9921373,23,0,25347339,6336,110875716,136858648,475
1789278132.2768257,5.032,717513,17347,0,346,10628,0,152476,433870,3787306,436544,92,15213052,14945864,16335496,360,0,0,0,5,0,67886468,36508538,38220022,9272244,9921373,23,0,25348204,6336,110876168,136858648,475
1789278132.5277522,5.283,717743,17350,0,346,10630,0,152478,433926,3788770,444516,236,15340816,15065656,16335496,360,0,0,0,2,0,67886982,36520380,38231864,9272244,9921373,59,0,25350052,6336,110884176,136858804,475
1789278132.7783186,5.533,718013,17350,0,346,10630,0,152481,433950,3789667,445900,236,15330836,15054292,16335496,360,0,0,0,3,0,67887208,36526541,38238025,9272244,9921373,59,0,25352524,6336,110885520,136858804,475
1789278133.0289657,5.784,718267,17353,0,346,10632,0,152484,433993,3790590,449648,236,15312456,15032164,16335496,360,0,0,0,4,0,67887620,36540753,38252237,9272244,9921373,59,0,25356700,6336,110889272,136858804,475
