t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789279519.6478667,0.0,1792259,35518,0,360,24432,0,267853,788112,7786239,101416,0,15708020,15772168,16335496,364,0,0,0,3,0,74788786,79385561,81561566,12286105,12937060,0,0,43509985,10776,316778668,286091664,494
1789279519.8983536,0.25,1792463,35525,0,360,24436,0,267859,788184,7787555,142432,64,15678256,15708984,16335496,364,0,0,1,1,0,74791448,79398576,81574939,12286105,12937060,16,0,43513224,10792,316824004,286091664,494
1789279520.1498086,0.502,1792735,35534,0,360,24440,0,267866,788196,7789288,198640,96,15653392,15625960,16335496,364,0,0,0,4,0,74792186,79427777,81604148,12286105,12937060,24,0,43522936,10822,316881860,286091664,494
1789279520.4004416,0.753,1793001,35545,0,360,24442,0,267871,788211,7791642,218444,96,15670272,15623016,16335496,364,0,0,0,2,0,74793358,79516652,81693023,12286105,12937060,24,0,43528591,10825,316901724,286091696,494
1789279520.6511197,1.003,1793248,35551,0,360,24448,0,267878,788254,7794197,226816,96,15618952,15563384,16335496,364,32,0,0,1,0,74794081,79542218,81718588,12286105,12937060,24,8,43543173,10825,316909992,286091696,494
1789279520.9015944,1.254,1793503,35554,0,360,24449,0,267882,788288,7796013,236628,96,15595564,15530456,16335496,364,0,0,0,2,0,74794659,79561406,81737777,12286105,12937060,24,0,43551598,10825,316919820,286091696,494
1789279521.1521144,1.504,1793751,35558,0,360,24451,0,267890,788328,7798429,243132,96,15517876,15445728,16335496,364,0,0,1,3,0,74795106,79570905,81747276,12286105,12937060,24,0,43555135,10827,316926792,286091696,494
1789279521.4027948,1.755,1793972,35560,0,360,24452,0,267906,788377,7799842,254112,96,15571420,15488260,16335496,364,0,0,0,3,0,74795360,79579117,81755488,12286105,12937060,24,0,43557580,10828,316937580,286091696,494
1789279521.6532977,2.005,1794224,35562,0,360,24453,0,267909,788423,7801886,262584,96,15557876,15465972,16335496,364,0,0,0,3,0,74795739,79586395,81762766,12286105,12937060,24,0,43561654,10829,316946220,286091696,494
1789279521.903781,2.256,1794466,35565,0,360,24454,0,267915,788470,7803635,266028,96,15580524,15485428,16335496,364,0,0,0,2,0,74796405,79596256,81772627,12286105,12937060,24,0,43567308,10831,316949584,286091696,494
1789279522.1584475,2.511,1794742,35571,0,360,24455,0,267921,788484,7804867,360572,96,15583740,15393296,16335496,364,0,0,0,2,0,74796730,79625718,81802129,12286105,12937060,24,0,43571553,10852,317044880,286091700,494
1789279522.4119656,2.764,1795020,35578,0,360,24456,0,267925,788498,7805698,382852,96,15563964,15350908,16335496,364,0,0,1,1,0,74797442,79691224,81867635,12286105,12937060,24,0,43578942,10896,317067788,286091700,494
1789279522.6627476,3.015,1795292,35583,0,360,24459,0,267928,788520,7807363,395492,96,15545904,15320044,16335496,364,0,0,1,1,0,74798443,79738185,81914607,12286105,12937060,24,0,43583688,10909,317080548,286091700,494
1789279522.9133449,3.265,1795531,35586,0,360,24465,0,267932,788574,7808969,407648,96,15516516,15278308,16335496,364,0,0,0,3,0,74798929,79749665,81926088,12286105,12937060,24,0,43593137,10910,317092728,286091700,494
1789279523.1638875,3.516,1795759,35588,0,360,24473,0,267938,788636,7810360,414880,96,15465892,15220664,16335496,364,0,0,0,2,0,74799763,79759520,81935946,12286105,12937060,24,0,43606660,10910,317099952,286091700,494
1789279523.414691,3.767,1796003,35590,0,360,24476,0,267946,788684,7813842,424300,96,15437492,15182500,16335496,364,0,0,0,2,0,74800153,79764952,81941378,12286105,12937060,24,0,43615102,10911,317109632,286091700,494
1789279523.6651473,4.017,1796237,35592,0,360,24478,0,267960,788723,7815177,429036,96,15431948,15172192,16335496,364,0,0,0,2,0,74800445,79769951,81946377,12286105,12937060,24,0,43617292,10912,317114440,286091700,494
1789279523.9157012,4.268,1796490,35593,0,360,24482,0,267964,788764,7816617,432628,96,15419932,15156844,16335496,364,0,0,1,1,0,74800709,79778687,81955113,12286105,12937060,24,0,43621361,10912,317117740,286091700,494
1789279524.1662974,4.518,1796743,35595,0,360,24486,0,267966,788808,7817907,438216,96,15406176,15137220,16335496,364,0,0,0,3,0,74800989,79788921,81965347,12286105,12937060,24,0,43625330,10912,317123348,286091700,494
1789279524.4168956,4.769,1796991,35595,0,360,24488,0,267968,788857,7820159,438280,96,15398724,15129724,16335496,364,0,0,0,5,0,74801360,79789281,81965708,12286105,12937060,24,0,43627309,10912,317123376,286091700,494
1789279524.6675441,5.02,1797219,35596,0,360,24494,0,267971,788924,7821847,446340,96,15382676,15105608,16335496,364,0,0,0,2,0,74801646,79791012,81967443,12286105,12937060,24,0,43631300,10913,317131580,286091700,494
1789279524.9180014,5.27,1797456,35597,0,360,24497,0,267974,788983,7823796,446980,96,15378020,15100320,16335496,364,0,0,0,4,0,74801989,79795153,81971583,12286105,12937060,24,0,43632758,10913,317132068,286091700,494
1789279525.1687515,5.521,1797695,35600,0,360,24498,0,267976,789037,7824637,450968,96,15372408,15090724,16335496,364,0,0,0,3,0,74802332,79811442,81987872,12286105,12937060,24,0,43634906,10913,317136268,286091700,494
1789279525.419351,5.771,1797967,35601,0,360,24498,0,267978,789061,7825258,456268,96,15363216,15076232,16335496,364,0,0,0,2,0,74802489,79821119,81997550,12286105,12937060,24,0,43637152,10913,317141392,286091700,494
1789279525.670181,6.022,1798227,35603,0,360,24500,0,267981,789095,7825970,458092,96,15345984,15057172,16335496,364,0,0,0,5,0,74803803,79832056,82008486,12286105,12937060,24,0,43639520,10913,317143248,286091700,494
1789279525.9212472,6.273,1798423,35625,0,360,24501,0,267997,789147,7826466,461740,96,15275520,14983060,16335496,364,0,0,1,6,0,74869847,79877980,82054475,12286105,12937060,24,0,43642741,10913,317146916,286091856,494
1789279526.1729355,6.525,1798671,35640,0,360,24501,0,268003,789168,7826838,465384,240,15319784,15023932,16335496,364,0,0,0,2,0,74905898,79923013,82099573,12286105,12937060,60,0,43647925,10913,317150564,286091856,494
1789279526.4236753,6.776,1798926,35640,0,360,24502,0,268006,789211,7827708,465744,240,15295352,14998916,16335496,364,0,0,0,4,0,74906064,79925824,82102384,12286105,12937060,60,0,43652348,10913,317150876,286091856,494
