t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789278785.5407062,0.0,1226761,25677,0,360,16921,0,203241,599326,5704817,94536,96,15721504,15784980,16335496,368,56,0,0,2,0,70963744,56685029,58568918,10481287,11131093,24,14,34145090,8363,207712644,208315152,484
1789278785.7912126,0.251,1226966,25687,0,360,16926,0,203245,599406,5706361,137224,64,15733128,15769388,16335496,368,0,0,0,2,0,70965926,56719552,58603444,10481287,11131093,16,0,34148800,8381,207759000,208315152,484
1789278786.0425553,0.502,1227236,25696,0,360,16929,0,203256,599414,5708231,195532,96,15702564,15678688,16335496,368,0,0,0,1,0,70966455,56750398,58634290,10481287,11131093,24,0,34159097,8409,207818896,208315152,484
1789278786.2932746,0.753,1227500,25703,0,360,16931,0,203264,599440,5711132,212200,64,15690316,15649732,16335496,368,0,0,0,4,0,70967395,56776734,58660635,10481287,11131093,16,0,34169703,8412,207835572,208315184,484
1789278786.5438955,1.003,1227746,25709,0,360,16933,0,203268,599481,5713501,227552,96,15635596,15579636,16335496,368,0,0,0,3,0,70968113,56806558,58690459,10481287,11131093,24,0,34185024,8412,207851152,208315184,484
1789278786.794513,1.254,1228001,25712,0,360,16938,0,203273,599518,5716088,234636,96,15624056,15561008,16335496,368,0,0,0,4,0,70968678,56828730,58712635,10481287,11131093,24,0,34188865,8412,207858052,208315184,484
1789278787.0452304,1.505,1228257,25716,0,360,16942,0,203276,599556,5717869,246948,96,15612300,15536476,16335496,368,0,0,0,3,0,70969181,56851552,58735457,10481287,11131093,24,0,34190656,8415,207870808,208315184,484
1789278787.2959747,1.755,1228502,25718,0,360,16943,0,203283,599596,5719908,256048,96,15464140,15379460,16335496,368,0,0,0,4,0,70971613,56859385,58743290,10481287,11131093,24,0,34193901,8416,207879920,208315184,484
1789278787.546696,2.006,1228730,25720,0,360,16944,0,203296,599644,5721461,259292,96,15576244,15488268,16335496,368,0,0,0,4,0,70987211,56868345,58752251,10481287,11131093,24,0,34198440,8417,207882992,208315184,484
1789278787.7989905,2.258,1228983,25722,0,360,16944,0,203302,599684,5723439,260616,96,15573068,15483968,16335496,368,0,0,0,2,0,70988031,56873624,58757529,10481287,11131093,24,0,34203494,8418,207884276,208315188,484
1789278788.049915,2.509,1229258,25731,0,360,16944,0,203311,599692,5724320,372192,96,15590872,15388836,16335496,368,0,0,1,1,0,70988789,56973600,58857505,10481287,11131093,24,0,34209787,8477,207996948,208315188,484
1789278788.3005686,2.76,1229532,25737,0,360,16945,0,203315,599709,5725448,386912,96,15571932,15354912,16335496,368,0,0,0,3,0,70989531,57032361,58916281,10481287,11131093,24,0,34215677,8496,208012212,208315188,484
1789278788.5510578,3.01,1229784,25741,0,360,16948,0,203317,599750,5727509,400004,96,15545440,15315196,16335496,368,0,0,0,5,0,70990701,57051233,58935158,10481287,11131093,24,0,34221832,8497,208025184,208315188,484
1789278788.801751,3.261,1230003,25743,0,360,16954,0,203326,599822,5728799,403756,96,15499384,15265144,16335496,368,0,0,0,4,0,70991056,57057477,58941406,10481287,11131093,24,0,34238081,8497,208029080,208315188,484
1789278789.0522773,3.512,1230253,25746,0,360,16958,0,203333,599858,5732104,417628,96,15451828,15204104,16335496,368,0,0,1,3,0,70991506,57073217,58957146,10481287,11131093,24,0,34247465,8498,208042904,208315188,484
1789278789.3027728,3.762,1230500,25747,0,360,16961,0,203338,599902,5734078,422632,96,15444848,15191812,16335496,368,0,0,0,2,0,70992026,57080885,58964827,10481287,11131093,24,0,34250759,8499,208048288,208315188,484
1789278789.5533848,4.013,1230744,25749,0,360,16968,0,203346,599946,5736178,427256,96,15292552,15034928,16335496,368,0,0,0,3,0,70993284,57085711,58969720,10481287,11131093,24,0,34255720,8499,208052904,208315188,484
1789278789.8043451,4.264,1230974,25751,0,360,16969,0,203358,599990,5737430,431656,96,15415048,15152748,16335496,368,0,0,0,3,0,71031844,57091067,58975077,10481287,11131093,24,0,34257942,8499,208057164,208315188,484
1789278790.0549548,4.514,1231227,25751,0,360,16970,0,203360,600035,5739355,431916,96,15405956,15143624,16335496,368,0,0,0,2,0,71032173,57091853,58975862,10481287,11131093,24,0,34260029,8499,208057224,208315188,484
1789278790.305405,4.765,1231461,25751,0,360,16970,0,203362,600098,5741498,440152,96,15387448,15116872,16335496,368,0,0,0,3,0,71032584,57093756,58977766,10481287,11131093,24,0,34262919,8500,208065428,208315188,484
1789278790.5561025,5.015,1231699,25752,0,360,16971,0,203365,600156,5743515,440532,96,15386900,15115944,16335496,368,0,0,0,4,0,71033028,57098032,58982041,10481287,11131093,24,0,34264218,8500,208065904,208315188,484
1789278790.8066914,5.266,1231945,25755,0,360,16972,0,203368,600205,5744996,449080,248,15385776,15106560,16335496,368,0,0,0,2,0,71033388,57105444,58989519,10481287,11131093,62,0,34266080,8500,208074412,208315352,484
1789278791.0571392,5.516,1232213,25756,0,360,16972,0,203370,600234,5745911,449860,248,15375988,15095724,16335496,368,0,0,0,3,0,71033551,57109347,58993422,10481287,11131093,62,0,34268588,8500,208075256,208315352,484
1789278791.3078105,5.767,1232459,25758,0,360,16973,0,203372,600286,5746974,454196,248,15354852,15070228,16335496,368,0,0,0,3,0,71033907,57126125,59010199,10481287,11131093,62,0,34273356,8500,208079492,208315352,484
1789278791.5582325,6.018,1232732,25760,0,360,16974,0,203376,600308,5747449,459252,248,15324348,15034952,16335496,368,0,0,0,4,0,71034174,57146576,59030651,10481287,11131093,62,0,34281180,8500,208084632,208315352,484
1789278791.8087234,6.268,1232973,25761,0,360,16974,0,203380,600359,5748454,459924,248,15234800,14944208,16335496,368,0,0,0,3,0,71037339,57150729,59034803,10481287,11131093,62,0,34286913,8500,208085280,208315352,484
1789278792.0595117,6.519,1233216,25763,0,360,16976,0,203394,600391,5749237,461720,248,15278452,14986344,16335496,368,0,0,0,2,0,71037480,57160012,59044087,10481287,11131093,62,0,34292454,8500,208087176,208315352,484
1789278792.3099754,6.769,1233461,25764,0,360,16981,0,203399,600442,5750949,469780,248,15251476,14950848,16335496,368,0,0,0,3,0,71037854,57165352,59049427,10481287,11131093,62,0,34298422,8500,208095836,208315352,484
1789278792.5605977,7.02,1233678,25764,0,360,16984,0,203401,600526,5752449,472256,400,15228212,14924840,16335496,368,0,0,0,5,0,71038087,57165488,59049563,10481287,11131093,100,0,34304125,8500,208098060,208315352,484
1789278792.8112621,7.271,1233923,25766,0,360,16989,0,203403,600574,5753181,479288,400,15218816,14908112,16335496,368,0,0,0,2,0,71038432,57174924,59059000,10481287,11131093,100,0,34306426,8500,208105192,208315352,484
1789278793.0617502,7.521,1234180,25767,0,360,16997,0,203406,600610,5755227,481644,400,15213920,14901148,16335496,368,0,0,0,4,0,71038735,57176345,59060422,10481287,11131093,100,0,34308640,8500,208107448,208315352,484
