stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789278646978,1789278647404,426,False,299,57657176,80,17,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789278648638,1789278650625,1987,False,1951,1727553961,23,78,2305,0,0,0,108093996,435774,0,0,0,0,102291043,435774,445662951
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789278648643,1789278650626,1983,False,1951,1770907817,22,78,2305,0,0,0,108093987,435774,0,0,0,0,102286465,435774,447977233
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789278648642,1789278650627,1985,False,1951,1798056836,22,78,2305,0,0,0,108093987,435774,0,0,0,0,102290866,435774,475037795
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789278648642,1789278650635,1993,False,1966,1740203898,23,78,2262,0,0,0,108093993,435774,0,0,0,0,102283952,435774,462979000
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789278650625,1789278652121,1496,False,1486,1526687730,3,50,2262,0,0,0,108093978,435774,0,0,0,0,102297471,435774,317676466
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789278650626,1789278652121,1495,False,1485,1521438005,2,50,2262,0,0,0,108093978,435774,0,0,0,0,102289539,435774,345417722
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789278650635,1789278652132,1497,False,1490,1524136112,3,50,2262,0,0,0,108093978,435774,0,0,0,0,102293278,435774,338971950
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789278650623,1789278652187,1564,False,1548,1586411902,4,50,2262,0,0,0,108093987,435774,0,0,0,0,102296737,435774,429920641
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789278652121,1789278653765,1644,False,1634,1445750714,3,191,2262,0,0,0,108093978,435774,0,0,0,0,102292677,435774,362699683
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789278652185,1789278653771,1586,False,1574,1376929841,6,191,2262,0,0,0,108093969,435774,0,0,0,0,102295370,435774,343230668
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789278652131,1789278653776,1645,False,1637,1443393985,3,191,2262,0,0,0,108093972,435774,0,0,0,0,102294701,435774,368449247
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789278652119,1789278653780,1661,False,1653,1463583390,4,191,2262,0,0,0,108093978,435774,0,0,0,0,102301904,435774,344715831
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789278653780,1789278655303,1523,False,1509,1508477326,8,60,2262,0,0,0,108093960,435774,0,0,0,0,102293635,435774,422147782
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789278653776,1789278655332,1556,False,1547,1523475367,2,60,2262,0,0,0,108093963,435774,0,0,0,0,102297667,435774,454073998
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789278653763,1789278655332,1569,False,1558,1544117636,3,60,2305,0,0,0,108093969,435774,0,0,0,0,102293356,435774,459097661
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789278653770,1789278655334,1564,False,1558,1536573536,2,60,2262,0,0,0,108093969,435774,0,0,0,0,102294126,435774,449535990
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789278655333,1789278656666,1333,False,1324,1383060945,2,41,2262,0,0,0,108091800,435771,0,0,0,0,102296601,435771,324148485
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789278655330,1789278656676,1346,False,1339,1402696786,2,41,2262,0,0,0,108093957,435774,0,0,0,0,102288616,435774,330116344
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789278655302,1789278656676,1374,False,1364,1427730283,4,41,2262,0,0,0,108093960,435774,0,0,0,0,102294485,435774,333569586
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789278655331,1789278656719,1388,False,1378,1442403423,1,41,2262,0,0,0,108093951,435774,0,0,0,0,102293745,435774,363076353
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789278656665,1789278657997,1332,False,1322,1385720582,3,39,2262,0,0,0,108091800,435771,0,0,0,0,102293791,435771,363133781
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789278656675,1789278658035,1360,False,1353,1413063133,1,39,2262,0,0,0,108091791,435771,0,0,0,0,102291161,435771,396135425
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789278656718,1789278658037,1319,False,1306,1355378870,4,39,2262,0,0,0,108091791,435771,0,0,0,0,102291548,435771,349804290
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789278656674,1789278658042,1368,False,1362,1412635638,2,39,2262,0,0,0,108091800,435771,0,0,0,0,102297833,435771,369006268
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789278657996,1789278659344,1348,False,1338,1338050351,3,21,2262,0,0,0,108091791,435771,0,0,0,0,102290714,435771,332235346
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789278658034,1789278659354,1320,False,1312,1305580206,3,21,2262,0,0,0,108091791,435771,0,0,0,0,102292995,435771,331281930
1,save at NativeMethodAccessorImpl.java:0,28,27,0,1789278658041,1789278659375,1334,False,1325,1317587271,2,21,2262,0,0,0,108091791,435771,0,0,0,0,102288161,435771,353430251
1,save at NativeMethodAccessorImpl.java:0,27,26,0,1789278658036,1789278659376,1340,False,1333,1326681617,2,21,2262,0,0,0,108091791,435771,0,0,0,0,102290536,435771,350948926
1,save at NativeMethodAccessorImpl.java:0,29,28,0,1789278659343,1789278660912,1569,False,1554,1479638102,5,19,2305,0,0,0,108091791,435771,0,0,0,0,102295461,435771,384428751
1,save at NativeMethodAccessorImpl.java:0,30,29,0,1789278659353,1789278660988,1635,False,1626,1553647147,2,19,2305,0,0,0,108091791,435771,0,0,0,0,102290993,435771,416263550
1,save at NativeMethodAccessorImpl.java:0,32,31,0,1789278659376,1789278661100,1724,False,1715,1605799305,2,25,2262,0,0,0,108091782,435771,0,0,0,0,102290317,435771,453643883
1,save at NativeMethodAccessorImpl.java:0,31,30,0,1789278659374,1789278661158,1784,False,1772,1674956507,2,25,2262,0,0,0,108091788,435771,0,0,0,0,102291984,435771,511865337
1,save at NativeMethodAccessorImpl.java:0,33,32,0,1789278660910,1789278664497,3587,False,1579,1632947457,7,6,2262,0,0,0,108091782,435771,0,0,0,0,102290236,435771,427773793
1,save at NativeMethodAccessorImpl.java:0,34,33,0,1789278660987,1789278664555,3568,False,1567,1642611675,3,6,2262,0,0,0,108091782,435771,0,0,0,0,102296921,435771,442428743
1,save at NativeMethodAccessorImpl.java:0,35,34,0,1789278661099,1789278664639,3540,False,1521,1592212496,6,12,2305,0,0,0,108091782,435771,0,0,0,0,102294928,435771,431389961
1,save at NativeMethodAccessorImpl.java:0,36,35,0,1789278661157,1789278664818,3661,False,1656,1712831704,3,18,2262,0,0,0,108091782,435771,0,0,0,0,102293736,435771,507792520
1,save at NativeMethodAccessorImpl.java:0,37,36,0,1789278664495,1789278666107,1612,False,1599,1573789319,3,65,2305,0,0,0,108091782,435771,0,0,0,0,102291243,435771,424872438
1,save at NativeMethodAccessorImpl.java:0,38,37,0,1789278664554,1789278666235,1681,False,1672,1564884292,3,65,2262,0,0,0,108091782,435771,0,0,0,0,102289660,435771,406346259
1,save at NativeMethodAccessorImpl.java:0,39,38,0,1789278664636,1789278666308,1672,False,1660,1587550282,4,53,2262,0,0,0,108091782,435771,0,0,0,0,102285890,435771,449090452
1,save at NativeMethodAccessorImpl.java:0,40,39,0,1789278664817,1789278666394,1577,False,1563,1553310220,4,47,2262,0,0,0,108091782,435771,0,0,0,0,102286581,435771,471329476
1,save at NativeMethodAccessorImpl.java:0,41,40,0,1789278666106,1789278667887,1781,False,1771,1688440534,3,64,2262,0,0,0,108091782,435771,0,0,0,0,102292142,435771,548661243
1,save at NativeMethodAccessorImpl.java:0,42,41,0,1789278666234,1789278667967,1733,False,1721,1581232178,4,64,2262,0,0,0,108091782,435771,0,0,0,0,102289095,435771,464791755
1,save at NativeMethodAccessorImpl.java:0,43,42,0,1789278666307,1789278668044,1737,False,1727,1616364303,4,64,2262,0,0,0,108091773,435771,0,0,0,0,102285834,435771,464053500
1,save at NativeMethodAccessorImpl.java:0,44,43,0,1789278666392,1789278668052,1660,False,1651,1568020964,3,64,2262,0,0,0,108091773,435771,0,0,0,0,102296244,435771,450269135
1,save at NativeMethodAccessorImpl.java:0,45,44,0,1789278667886,1789278669503,1617,False,1599,1485912766,8,81,2305,0,0,0,108091773,435771,0,0,0,0,102288728,435771,400246697
1,save at NativeMethodAccessorImpl.java:0,46,45,0,1789278667965,1789278669513,1548,False,1538,1441632648,4,81,2262,0,0,0,108091773,435771,0,0,0,0,102288148,435771,392408665
1,save at NativeMethodAccessorImpl.java:0,47,46,0,1789278668043,1789278669600,1557,False,1545,1442922665,2,88,2262,0,0,0,108091773,435771,0,0,0,0,102294584,435771,444695307
1,save at NativeMethodAccessorImpl.java:0,48,47,0,1789278668051,1789278669621,1570,False,1559,1456064951,5,88,2262,0,0,0,108091773,435771,0,0,0,0,102292493,435771,427954431
1,save at NativeMethodAccessorImpl.java:0,50,49,0,1789278669512,1789278670953,1441,False,1432,1367381106,2,45,2262,0,0,0,108091773,435771,0,0,0,0,102294336,435771,320958232
1,save at NativeMethodAccessorImpl.java:0,49,48,0,1789278669502,1789278671017,1515,False,1503,1416898832,4,45,2262,0,0,0,108091773,435771,0,0,0,0,102300929,435771,337335272
1,save at NativeMethodAccessorImpl.java:0,51,50,0,1789278669598,1789278671075,1477,False,1463,1382116278,6,38,2262,0,0,0,108091773,435771,0,0,0,0,102290921,435771,337166823
1,save at NativeMethodAccessorImpl.java:0,52,51,0,1789278669620,1789278671084,1464,False,1452,1370262692,4,38,2262,0,0,0,108091773,435771,0,0,0,0,102297103,435771,350971975
1,save at NativeMethodAccessorImpl.java:0,53,52,0,1789278670952,1789278672292,1340,False,1331,1348716517,3,33,2262,0,0,0,108091773,435771,0,0,0,0,102289056,435771,372700281
1,save at NativeMethodAccessorImpl.java:0,54,53,0,1789278671016,1789278672337,1321,False,1313,1319167581,3,33,2262,0,0,0,108091764,435771,0,0,0,0,102288286,435771,382256281
1,save at NativeMethodAccessorImpl.java:0,55,54,0,1789278671074,1789278672364,1290,False,1282,1296544898,3,33,2262,0,0,0,108091764,435771,0,0,0,0,102294040,435771,370422258
1,save at NativeMethodAccessorImpl.java:0,56,55,0,1789278671083,1789278672383,1300,False,1295,1306748499,2,33,2262,0,0,0,108091764,435771,0,0,0,0,102290415,435771,343758736
1,save at NativeMethodAccessorImpl.java:0,57,56,0,1789278672291,1789278674003,1712,False,1703,1508740061,3,77,2262,0,0,0,108091764,435771,0,0,0,0,102287147,435771,350897171
1,save at NativeMethodAccessorImpl.java:0,58,57,0,1789278672337,1789278674003,1666,False,1660,1501933205,2,77,2262,0,0,0,108091764,435771,0,0,0,0,102288939,435771,347896742
1,save at NativeMethodAccessorImpl.java:0,59,58,0,1789278672363,1789278674004,1641,False,1631,1488351232,3,77,2262,0,0,0,108091764,435771,0,0,0,0,102288489,435771,353535010
1,save at NativeMethodAccessorImpl.java:0,60,59,0,1789278672382,1789278674004,1622,False,1616,1483816255,1,77,2262,0,0,0,108091755,435771,0,0,0,0,102289378,435771,347996081
1,save at NativeMethodAccessorImpl.java:0,62,61,0,1789278674003,1789278675390,1387,False,1382,1333147971,1,36,2262,0,0,0,108091755,435771,0,0,0,0,102290526,435771,328427115
1,save at NativeMethodAccessorImpl.java:0,61,60,0,1789278674002,1789278675399,1397,False,1390,1354859461,1,36,2305,0,0,0,108091755,435771,0,0,0,0,102292351,435771,336653227
1,save at NativeMethodAccessorImpl.java:0,63,62,0,1789278674004,1789278675425,1421,False,1415,1349847613,0,36,2219,0,0,0,108091755,435771,0,0,0,0,102295571,435771,341341203
1,save at NativeMethodAccessorImpl.java:0,64,63,0,1789278674004,1789278675481,1477,False,1471,1360694095,0,36,2219,0,0,0,108091749,435771,0,0,0,0,102288533,435771,408406154
1,save at NativeMethodAccessorImpl.java:0,68,67,0,1789278675480,1789278676648,1168,False,1158,711517906,3,19,2262,0,0,0,77625240,315210,0,0,0,0,72862836,315210,162303227
1,save at NativeMethodAccessorImpl.java:0,66,65,0,1789278675398,1789278676673,1275,False,1268,1024467367,1,19,2262,0,0,0,108091746,435771,0,0,0,0,102290991,435771,242362201
1,save at NativeMethodAccessorImpl.java:0,65,64,0,1789278675389,1789278676728,1339,False,1332,1048783268,2,19,2262,0,0,0,108091746,435771,0,0,0,0,102292608,435771,280063881
1,save at NativeMethodAccessorImpl.java:0,67,66,0,1789278675423,1789278676853,1430,False,1422,1043590900,3,19,2262,0,0,0,105329112,425604,0,0,0,0,99441621,425604,280615254
1,save at NativeMethodAccessorImpl.java:0,69,68,0,1789278676647,1789278677251,604,False,598,618609648,2,3,2262,0,0,0,77625240,315210,0,0,0,0,72868155,315210,187593714
1,save at NativeMethodAccessorImpl.java:0,70,69,0,1789278676672,1789278677280,608,False,602,627064623,1,3,2262,0,0,0,77625240,315210,0,0,0,0,72863305,315210,187222074
1,save at NativeMethodAccessorImpl.java:0,71,70,0,1789278676727,1789278677352,625,False,619,641242628,1,3,2262,0,0,0,77625240,315210,0,0,0,0,72861365,315210,171156591
1,save at NativeMethodAccessorImpl.java:0,72,71,0,1789278676852,1789278677484,632,False,627,643487682,1,3,2262,0,0,0,77625240,315210,0,0,0,0,72862073,315210,155815287
1,save at NativeMethodAccessorImpl.java:0,73,72,0,1789278677250,1789278678025,775,False,767,600975950,2,10,2262,0,0,0,77625240,315210,0,0,0,0,72861874,315210,181922216
