stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789279399502,1789279399972,470,False,324,71577330,97,21,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789279401213,1789279404000,2787,False,2749,2377238300,25,109,2305,0,0,0,122981706,495879,0,0,0,0,116396311,495879,663138948
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789279401209,1789279404000,2791,False,2750,2374539863,26,109,2305,0,0,0,122981712,495879,0,0,0,0,116394863,495879,637125744
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789279401212,1789279404062,2850,False,2812,2471576618,26,109,2262,0,0,0,122981706,495879,0,0,0,0,116398353,495879,738845544
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789279401213,1789279404075,2862,False,2829,2549628575,25,109,2262,0,0,0,122981706,495879,0,0,0,0,116397644,495879,716005141
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789279404059,1789279405971,1912,False,1898,1807721579,4,81,2262,0,0,0,122981703,495879,0,0,0,0,116392254,495879,478901911
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789279403996,1789279405989,1993,False,1984,1926266958,4,81,2262,0,0,0,122981706,495879,0,0,0,0,116394171,495879,603387204
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789279404074,1789279405990,1916,False,1903,1853522512,7,81,2262,0,0,0,122981697,495879,0,0,0,0,116396214,495879,423091429
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789279403999,1789279406101,2102,False,2093,2021887850,3,81,2262,0,0,0,122981706,495879,0,0,0,0,116398782,495879,558456790
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789279405988,1789279407957,1969,False,1958,2034117201,2,58,2262,0,0,0,122981697,495879,0,0,0,0,116396367,495879,677084654
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789279405990,1789279407975,1985,False,1979,2062454165,2,58,2262,0,0,0,122981697,495879,0,0,0,0,116397284,495879,727027087
