t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789279179.2033627,0.0,1527809,31070,0,360,21131,0,237661,701764,6848055,101384,0,15591568,15652596,16335496,360,0,0,0,4,0,73192100,68851960,70896403,11540134,12190376,0,0,39178852,9684,267205968,250644880,493
1789279179.4539855,0.251,1527993,31077,0,360,21135,0,237676,701841,6849108,144084,60,15706868,15736524,16335496,360,0,0,1,6,0,73243896,68865743,70910187,11540134,12190376,15,0,39180993,9698,267248368,250644880,493
1789279179.7047448,0.501,1528266,31085,0,360,21138,0,237685,701848,6850702,200916,60,15669408,15639936,16335496,360,0,0,0,3,0,73245042,68895189,70939643,11540134,12190376,15,0,39190982,9729,267307832,250644880,493
1789279179.955464,0.752,1528532,31098,0,360,21139,0,237690,701863,6852667,221116,92,15654440,15604772,16335496,360,0,0,1,1,0,73246075,68994155,71038609,11540134,12190376,23,0,39195429,9732,267327652,250644880,493
1789279180.206067,1.003,1528791,31100,0,360,21142,0,237699,701888,6854903,223268,60,15650340,15598816,16335496,360,0,0,0,2,0,73246552,68998888,71043342,11540134,12190376,15,0,39205989,9735,267329712,250644912,493
1789279180.4567437,1.253,1529035,31109,0,360,21146,0,237704,701930,6856230,233300,92,15620744,15558868,16335496,360,0,0,1,1,0,73246927,69022660,71067117,11540134,12190376,23,0,39214124,9735,267340000,250644912,493
1789279180.7075655,1.504,1529295,31112,0,360,21151,0,237708,701961,6857893,240132,92,15604352,15535660,16335496,360,0,0,0,2,0,73247409,69036502,71080960,11540134,12190376,23,0,39220526,9735,267347128,250644912,493
1789279180.9582663,1.755,1529548,31115,0,360,21156,0,237710,701999,6860166,247012,92,15592124,15516320,16335496,360,0,0,0,3,0,73247827,69047137,71091596,11540134,12190376,23,0,39223874,9735,267353668,250644912,493
1789279181.2088413,2.005,1529802,31118,0,360,21162,0,237712,702037,6861538,258092,92,15583768,15496824,16335496,360,0,0,0,2,0,73248170,69059500,71103959,11540134,12190376,23,0,39225986,9738,267364904,250644912,493
1789279181.459345,2.256,1530055,31119,0,360,21163,0,237720,702065,6863035,266696,92,15447816,15352372,16335496,360,0,0,0,3,0,73250371,69067103,71111562,11540134,12190376,23,0,39227757,9739,267373428,250644912,493
1789279181.7100751,2.507,1530280,31121,0,360,21164,0,237732,702117,6864558,267696,92,15563036,15466512,16335496,360,0,0,0,3,0,73250922,69069783,71114242,11540134,12190376,23,0,39231387,9739,267374640,250644912,493
