stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789279187803,1789279188363,560,False,392,74768189,112,25,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789279189850,1789279191993,2143,False,2108,1920603379,23,94,2305,0,0,0,94958073,382752,0,0,0,0,89850470,382752,475083139
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789279189853,1789279192025,2172,False,2136,1886725276,22,94,2262,0,0,0,94958070,382752,0,0,0,0,89849848,382752,495758875
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789279189854,1789279192051,2197,False,2167,1922577716,22,94,2262,0,0,0,94958064,382752,0,0,0,0,89854528,382752,508408058
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789279189854,1789279192227,2373,False,2344,2058312888,22,109,2262,0,0,0,94958064,382752,0,0,0,0,89849369,382752,678662816
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789279191991,1789279193691,1700,False,1689,1702245353,4,67,2262,0,0,0,94958064,382752,0,0,0,0,89847865,382752,554522377
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789279192022,1789279193740,1718,False,1704,1717924697,6,67,2262,0,0,0,94958064,382752,0,0,0,0,89850412,382752,509096157
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789279192225,1789279193824,1599,False,1588,1612263441,4,52,2262,0,0,0,94958058,382752,0,0,0,0,89852154,382752,479592136
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789279192049,1789279193843,1794,False,1783,1801292903,5,67,2262,0,0,0,94958064,382752,0,0,0,0,89848303,382752,612277746
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789279193690,1789279195176,1486,False,1475,1470976322,4,68,2262,0,0,0,94958055,382752,0,0,0,0,89851877,382752,384969788
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789279193739,1789279195195,1456,False,1446,1431139104,4,68,2262,0,0,0,94958055,382752,0,0,0,0,89853325,382752,368513302
