stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789805009806,1789805010268,462,False,368,44115528,59,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789805011651,1789805012848,1197,False,1169,821026033,21,45,2389,0,0,0,75357241,301322,0,0,0,0,70749025,301322,120999602
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789805011651,1789805012868,1217,False,1191,825782884,21,45,2346,0,0,0,75359601,301322,0,0,0,0,70751591,301322,124206674
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789805011651,1789805012915,1264,False,1238,862236022,21,51,2346,0,0,0,75354576,301322,0,0,0,0,70747854,301322,130406656
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789805011649,1789805012923,1274,False,1247,921990695,21,51,2346,0,0,0,75362638,301322,0,0,0,0,70749829,301322,137048752
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789805012846,1789805013479,633,False,623,555358225,4,26,2346,0,0,0,75352211,301322,0,0,0,0,70743449,301322,89918426
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789805012867,1789805013482,615,False,609,547581932,2,26,2346,0,0,0,75350126,301322,0,0,0,0,70744533,301322,86334475
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789805012923,1789805013545,622,False,615,541860099,2,27,2346,0,0,0,75347351,301322,0,0,0,0,70751128,301322,111881044
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789805012914,1789805013554,640,False,634,563514918,2,28,2346,0,0,0,75348741,301322,0,0,0,0,70749827,301322,115599289
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789805013478,1789805014072,594,False,588,510126009,3,30,2346,0,0,0,75347019,301322,0,0,0,0,70747106,301322,84376191
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789805013481,1789805014082,601,False,595,529477194,1,30,2346,0,0,0,75350725,301321,0,0,0,0,70737753,301321,90471511
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789805013545,1789805014104,559,False,550,494439680,3,22,2346,0,0,0,75349040,301320,0,0,0,0,70742736,301320,89185718
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789805013553,1789805014104,551,False,544,483745143,1,22,2346,0,0,0,75346680,301321,0,0,0,0,70742937,301321,84424030
2,save at NativeMethodAccessorImpl.java:0,16,0,0,1789805014102,1789805014159,57,False,50,49270648,3,0,2028,0,0,0,0,2500,0,0,0,0,46131,2500,10404678
2,save at NativeMethodAccessorImpl.java:0,17,1,0,1789805014159,1789805014188,29,False,24,23999826,2,0,2028,0,0,0,0,2500,0,0,0,0,43446,2500,10007082
2,save at NativeMethodAccessorImpl.java:0,18,2,0,1789805014187,1789805014212,25,False,20,20550745,1,0,2028,0,0,0,0,2500,0,0,0,0,43580,2500,8714858
2,save at NativeMethodAccessorImpl.java:0,19,3,0,1789805014212,1789805014237,25,False,21,21229327,1,0,2028,0,0,0,0,2501,0,0,0,0,44083,2501,9317011
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789805014101,1789805014299,198,False,193,164503176,1,13,2346,0,0,0,21529102,86088,0,0,0,0,20245195,86088,41370349
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789805014072,1789805014650,578,False,574,523085817,1,14,2346,0,0,0,75349457,301320,0,0,0,0,70749218,301320,80508746
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789805014081,1789805014654,573,False,568,513289311,2,14,2346,0,0,0,75357551,301315,0,0,0,0,70742084,301315,80068820
3,save at NativeMethodAccessorImpl.java:0,22,2,0,1789805014679,1789805014891,212,False,196,185383520,11,0,6013,17891296,0,0,0,0,5122676,21869,0,0,0,0,0
3,save at NativeMethodAccessorImpl.java:0,21,1,0,1789805014679,1789805014891,212,False,196,136700932,11,0,6013,17891296,0,0,0,0,4656429,19876,0,0,0,0,0
3,save at NativeMethodAccessorImpl.java:0,23,3,0,1789805014680,1789805014898,218,False,205,146358385,11,0,6013,17891296,0,0,0,0,5433746,23190,0,0,0,0,0
3,save at NativeMethodAccessorImpl.java:0,20,0,0,1789805014678,1789805014900,222,False,206,148205673,11,0,6013,17891296,0,0,0,0,5768697,24609,0,0,0,0,0
