t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805017.2657359,0.0,995780,23869,0,172,47,40,20198,197088,10058444,116896,1320,63410088,63793928,64771544,0,0,0,1,1,0,7803090,113979077,114099400,14,14,330,1583732,3171337,0,26144847,29302,84798466,49021429,0
1789805017.5162103,0.25,996020,23886,0,172,47,40,20200,197232,10059096,126524,1320,63393776,63771808,64771544,0,0,0,1,15,0,7803420,114010334,114130663,14,14,330,1583480,3170832,0,26147509,29375,84810758,49021429,0
1789805017.7686028,0.503,996395,23904,0,172,47,40,20201,197237,10059795,135608,1320,63381100,63754252,64771544,0,0,0,1,1,0,7804185,114115209,114235549,14,14,330,1583285,3170442,0,26152543,29411,84821018,49021429,0
1789805018.0190015,0.753,996770,23926,0,172,47,40,20203,197237,10060513,162768,1352,63382716,63741684,64771544,0,0,0,1,1,0,7804974,114280020,114400364,14,14,338,1583680,3171232,0,26156776,29622,84848942,49021429,0
1789805018.2693558,1.004,997135,23949,0,172,47,40,20204,197247,10062772,173500,1352,63383228,63736804,64771544,0,0,0,1,1,0,7806080,114424323,114544862,14,14,338,1583827,3171527,0,26159943,29711,84859414,49021429,0
1789805018.5197568,1.254,997505,23972,0,172,47,40,20205,197253,10064416,179952,1352,63383796,63734132,64771544,0,0,0,1,1,0,7806960,114606080,114726648,14,14,338,1583922,3171718,0,26162006,29717,84865870,49021429,0
1789805018.7701383,1.504,997872,23993,0,172,47,40,20207,197264,10065849,188308,1352,63378716,63724872,64771544,0,0,0,1,5,0,7807709,114765098,114885701,14,14,338,1583900,3171673,0,26167100,29717,84874238,49021429,0
1789805019.020538,1.755,998225,24002,0,172,47,40,20213,197295,10069528,191252,1352,63395592,63740284,64771544,0,0,0,1,1,0,7809197,114785596,114906202,14,14,338,1584357,3172589,0,26183261,29725,84877178,49021461,0
1789805019.2709632,2.005,998584,24015,0,172,47,40,20214,197322,10072115,194720,1352,63375088,63718048,64771544,0,0,0,0,2,0,7809745,114860896,114981503,14,14,338,1583889,3171651,0,26190669,29726,84880638,49021461,0
1789805019.5214126,2.256,998948,24027,0,172,47,40,20216,197344,10075354,197568,1352,63356044,63697584,64771544,0,0,0,1,2,0,7810404,114949419,115070026,14,14,338,1583449,3170770,0,26195339,29726,84883494,49021461,0
1789805019.7718866,2.506,999308,24042,0,172,47,40,20219,197364,10079121,200960,1352,63331124,63670972,64771544,0,0,0,1,1,0,7811085,115034246,115154853,14,14,338,1582869,3169609,0,26202922,29734,84886890,49021461,0
1789805020.0223525,2.757,999658,24052,0,172,47,40,20221,197400,10083467,203768,1352,63323452,63661876,64771544,0,0,0,0,4,0,7811610,115086135,115206742,14,14,338,1582693,3169256,0,26205428,29739,84889686,49021461,0
1789805020.272819,3.007,1000018,24063,0,172,47,40,20221,197427,10087492,206212,1352,63323048,63660256,64771544,0,0,0,1,1,0,7812265,115155335,115275942,14,14,338,1582733,3169337,0,26207142,29742,84892138,49021461,0
1789805020.5233247,3.258,1000364,24074,0,172,47,40,20225,197464,10092364,208428,1352,63335064,63671156,64771544,0,0,0,0,2,0,7812617,115187186,115307794,14,14,338,1583061,3169993,0,26212300,29745,84894422,49021465,0
1789805020.8142505,3.549,1000803,24099,0,172,47,40,20226,197467,10093260,236284,1352,63319376,63641164,64771544,0,0,0,1,1,0,7813790,115433309,115553958,14,14,338,1583027,3169924,0,26215358,29973,84923194,49021465,0
1789805021.066735,3.801,1001179,24118,0,172,47,40,20228,197471,10093887,250436,1352,63305544,63620144,64771544,0,0,0,1,1,0,7814528,115623303,115743961,14,14,338,1582861,3169592,0,26219205,30078,84937434,49021465,0
1789805021.3176937,4.052,1001555,24135,0,172,47,40,20228,197477,10094433,262336,1352,63306776,63615384,64771544,0,0,0,1,1,0,7815583,115793081,115913849,14,14,338,1583041,3169953,0,26223349,30171,84949354,49021465,0
1789805021.5680988,4.302,1001921,24150,0,172,48,40,20230,197494,10096150,268644,1352,63300020,63605376,64771544,0,0,0,0,2,0,7816277,115891160,116011932,14,14,338,1582954,3169778,0,26227447,30183,84955830,49021465,0
1789805021.8185124,4.553,1002280,24164,0,172,48,40,20231,197519,10097934,271636,1352,63298804,63602616,64771544,0,0,0,1,1,0,7816900,115978168,116098940,14,14,338,1582962,3169794,0,26231737,30187,84958862,49021465,0
1789805022.0689313,4.803,1002608,24176,0,172,48,40,20235,197576,10099663,274468,1352,63252804,63555164,64771544,0,0,0,0,4,0,7817455,116021687,116142459,14,14,338,1581848,3167564,0,26252056,30187,84961750,49021465,0
1789805022.3194067,5.054,1002963,24186,0,172,48,40,20237,197609,10101517,277048,1352,63231900,63531676,64771544,0,0,0,0,2,0,7817908,116077926,116198867,14,14,338,1581326,3166519,0,26258746,30187,84964270,49021465,0
