stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789805026119,1789805026588,469,False,373,47758505,60,11,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,1,0,0,1789805027803,1789805027981,178,False,150,82328500,12,15,2114,0,0,0,0,2500,0,0,0,0,46131,2500,27956623
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,2,1,0,1789805027805,1789805027988,183,False,143,80960663,12,15,2114,0,0,0,0,2500,0,0,0,0,43446,2500,27230563
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,4,3,0,1789805027805,1789805027989,184,False,150,81682687,11,15,2114,0,0,0,0,2501,0,0,0,0,44083,2501,28821843
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,3,2,0,1789805027805,1789805027990,185,False,150,66379312,11,15,2114,0,0,0,0,2500,0,0,0,0,43580,2500,28099946
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,5,0,0,1789805027974,1789805029096,1122,False,1083,767129570,27,32,2346,0,0,0,75362638,301322,0,0,0,0,70749829,301322,99860415
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,6,1,0,1789805027982,1789805029108,1126,False,1096,868701276,25,32,2346,0,0,0,75359601,301322,0,0,0,0,70751591,301322,96600651
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,7,2,0,1789805027985,1789805029123,1138,False,1112,819721610,22,32,2346,0,0,0,75357241,301322,0,0,0,0,70749025,301322,102241244
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,8,3,0,1789805027986,1789805029124,1138,False,1113,779029444,20,32,2346,0,0,0,75354576,301322,0,0,0,0,70747854,301322,105193228
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,9,4,0,1789805029094,1789805029718,624,False,617,531268334,2,30,2346,0,0,0,75352211,301322,0,0,0,0,70743449,301322,90866494
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,10,5,0,1789805029108,1789805029723,615,False,610,531834470,2,30,2346,0,0,0,75350126,301322,0,0,0,0,70744533,301322,92629807
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,11,6,0,1789805029123,1789805029754,631,False,621,535968605,2,38,2389,0,0,0,75348741,301322,0,0,0,0,70749827,301322,93676383
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,12,7,0,1789805029123,1789805029785,662,False,655,555988779,2,40,2346,0,0,0,75347351,301322,0,0,0,0,70751128,301322,111652987
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,14,9,0,1789805029722,1789805030326,604,False,598,513871743,1,30,2346,0,0,0,75350725,301321,0,0,0,0,70737753,301321,85699499
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,13,8,0,1789805029717,1789805030329,612,False,607,530432185,2,30,2346,0,0,0,75347019,301322,0,0,0,0,70747106,301322,86733571
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,15,10,0,1789805029753,1789805030334,581,False,575,511182460,2,22,2346,0,0,0,75349040,301320,0,0,0,0,70742736,301320,103134492
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,16,11,0,1789805029784,1789805030377,593,False,587,527856269,2,20,2346,0,0,0,75346680,301321,0,0,0,0,70742937,301321,94004925
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,19,14,0,1789805030333,1789805030508,175,False,167,155670705,5,0,2303,0,0,0,21529102,86088,0,0,0,0,20245195,86088,30010801
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,18,13,0,1789805030329,1789805030865,536,False,532,481540160,2,8,2346,0,0,0,75357551,301315,0,0,0,0,70742084,301315,77994864
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,17,12,0,1789805030325,1789805030866,541,False,536,485788220,2,8,2346,0,0,0,75349457,301320,0,0,0,0,70749218,301320,79204730
5,save at NativeMethodAccessorImpl.java:0,20,0,0,1789805031041,1789805031638,597,False,572,516302945,14,15,6099,92340064,0,0,0,0,59612074,254423,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,23,3,0,1789805031043,1789805031657,614,False,593,511958919,13,15,6056,92340064,0,0,0,0,60460452,258066,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,21,1,0,1789805031043,1789805031662,619,False,600,530972643,14,18,6056,100728672,0,0,0,0,63158815,269573,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,22,2,0,1789805031043,1789805031663,620,False,604,525653385,14,18,6056,100728672,0,0,0,0,62502706,266782,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,27,7,0,1789805031663,1789805031914,251,False,245,242852470,3,2,6056,92340064,0,0,0,0,60051413,256318,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,25,5,0,1789805031657,1789805031924,267,False,259,255752601,5,2,6056,92340064,0,0,0,0,60731228,259204,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,26,6,0,1789805031660,1789805031927,267,False,257,254339660,4,2,6056,92340064,0,0,0,0,60342363,257577,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,24,4,0,1789805031637,1789805031939,302,False,293,282112507,4,10,6056,100728672,0,0,0,0,62879857,268385,3,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,29,9,0,1789805031923,1789805032150,227,False,218,208447694,3,10,6056,92340064,0,0,0,0,60265468,257198,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,30,10,0,1789805031927,1789805032151,224,False,218,210253478,2,7,6056,92340064,0,0,0,0,59793199,255223,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,28,8,0,1789805031914,1789805032151,237,False,233,222944985,2,10,6056,92340064,0,0,0,0,60124913,256571,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,31,11,0,1789805031938,1789805032156,218,False,209,203598647,5,5,6056,92340064,0,0,0,0,61187971,261136,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,35,15,0,1789805032155,1789805032381,226,False,218,209127905,2,9,6056,100728672,0,0,0,0,62386440,266315,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,32,12,0,1789805032149,1789805032382,233,False,227,217715168,3,9,6056,100728672,0,0,0,0,63357154,270440,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,34,14,0,1789805032151,1789805032384,233,False,228,218737929,2,9,6056,100728672,0,0,0,0,62864126,268290,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,33,13,0,1789805032150,1789805032407,257,False,249,239913450,3,9,6056,100728672,0,0,0,0,62992334,268871,0,0,0,0,0
5,save at NativeMethodAccessorImpl.java:0,36,16,0,1789805032380,1789805032471,91,False,86,86274251,3,0,6013,46202800,0,0,0,0,28160992,120212,0,0,0,0,0
