t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805065.9998863,0.0,1057968,25616,0,172,49,40,21354,209672,10870585,116904,1444,63390980,63775372,64771544,0,0,0,1,1,0,7950549,123433846,123556186,14,14,361,1583259,3170389,0,27665508,32332,88616406,49033301,0
1789805066.2503161,0.25,1058208,25634,0,172,49,40,21355,209814,10871217,126736,1444,63401304,63779416,64771544,0,0,0,0,17,0,7952167,123461790,123584174,14,14,361,1583673,3171219,0,27668172,32405,88628694,49033301,0
1789805066.5008554,0.501,1058580,25651,0,172,49,40,21358,209823,10871917,134748,1444,63386476,63760380,64771544,0,0,0,0,2,0,7953304,123558114,123680506,14,14,361,1583408,3170689,0,27673134,32440,88638314,49033301,0
1789805066.7512476,0.751,1058955,25673,0,172,49,40,21360,209823,10872629,162776,1476,63369180,63728380,64771544,0,0,0,0,2,0,7954043,123720560,123842952,14,14,369,1583344,3170559,0,27677341,32649,88666618,49033301,0
1789805067.001594,1.002,1059321,25696,0,172,49,40,21361,209833,10874705,173240,1476,63353544,63707476,64771544,0,0,0,1,1,0,7954789,123856673,123979071,14,14,369,1583085,3170041,0,27680524,32741,88677146,49033301,0
1789805067.2519796,1.252,1059691,25718,0,172,49,40,21363,209840,10876351,179752,1476,63355308,63705992,64771544,0,0,0,1,1,0,7956092,124038498,124160990,14,14,369,1583210,3170291,0,27682572,32747,88683626,49033301,0
1789805067.5023777,1.502,1060058,25740,0,172,49,40,21364,209850,10877589,188140,1476,63342184,63688668,64771544,0,0,0,0,1,0,7956920,124201035,124323527,14,14,369,1582987,3169845,0,27687672,32747,88691982,49033301,0
1789805067.752777,1.753,1060412,25749,0,172,49,40,21369,209879,10881183,191132,1476,63311904,63656844,64771544,0,0,0,1,3,0,7957649,124243390,124365885,14,14,369,1582270,3168409,0,27703727,32755,88694982,49033333,0
1789805068.0032089,2.003,1060769,25762,0,172,49,40,21372,209907,10883799,194600,1476,63288748,63631948,64771544,0,0,0,0,2,0,7958292,124317999,124440494,14,14,369,1581735,3167338,0,27711010,32756,88698434,49033333,0
1789805068.2536364,2.254,1061134,25774,0,172,49,40,21374,209927,10886913,197480,1476,63280660,63622420,64771544,0,0,0,0,4,0,7960554,124403396,124525938,14,14,369,1581569,3167006,0,27715720,32756,88701322,49033333,0
1789805068.5040607,2.504,1061493,25789,0,172,49,40,21377,209948,10890662,200852,1476,63253456,63593512,64771544,0,0,0,1,1,0,7961350,124486230,124608772,14,14,369,1580933,3165731,0,27723547,32763,88704726,49033333,0
1789805068.7545078,2.755,1061843,25799,0,172,49,40,21380,209984,10894577,203728,1476,63245124,63583748,64771544,0,0,0,0,4,0,7961943,124540988,124663533,14,14,369,1580760,3165386,0,27725484,32768,88707626,49033333,0
1789805069.004925,3.005,1062200,25810,0,172,49,40,21381,210014,10898811,206120,1476,63237196,63574616,64771544,0,0,0,1,1,0,7962399,124571338,124693885,14,14,369,1580593,3165050,0,27727240,32771,88709978,49033333,0
1789805069.2553754,3.255,1062542,25821,0,172,49,40,21385,210055,10904641,208500,1476,63246084,63582320,64771544,0,0,0,0,1,0,7963354,124618587,124741137,14,14,369,1580844,3165554,0,27731926,32774,88712354,49033337,0
1789805069.5486445,3.549,1062984,25847,0,172,49,40,21386,210058,10905591,236348,1476,63253836,63575764,64771544,0,0,0,1,1,0,7964552,124863720,124986270,14,14,369,1581395,3166656,0,27735268,33002,88741126,49033337,0
1789805069.8010502,3.801,1063359,25866,0,172,49,40,21388,210062,10906225,250500,1476,63260408,63575156,64771544,0,0,0,1,1,0,7965345,125053609,125176159,14,14,369,1581738,3167344,0,27739106,33107,88755366,49033337,0
1789805070.0513878,4.052,1063735,25882,0,172,49,40,21389,210069,10906745,262256,1476,63266208,63575028,64771544,0,0,0,1,1,0,7966301,125223265,125345817,14,14,369,1582031,3167930,0,27743232,33200,88767286,49033337,0
1789805070.301737,4.302,1064101,25897,0,172,49,40,21390,210085,10909023,268428,1476,63267156,63572812,64771544,0,0,0,0,2,0,7967105,125296612,125419175,14,14,369,1582133,3168135,0,27747203,33212,88773686,49033337,0
1789805070.5521667,4.552,1064460,25911,0,172,49,40,21392,210111,10911251,271600,1476,63246748,63550816,64771544,0,0,0,1,1,0,7967718,125382784,125505347,14,14,369,1581664,3167195,0,27750878,33216,88776722,49033337,0
1789805070.802616,4.803,1064787,25923,0,172,49,40,21395,210166,10913745,274296,1476,63179212,63481952,64771544,0,0,0,1,3,0,7968145,125426492,125549064,14,14,369,1580011,3163885,0,27769851,33216,88779438,49033337,0
1789805071.0530696,5.053,1065139,25934,0,172,49,40,21397,210201,10915840,276992,1476,63157900,63458064,64771544,0,0,0,0,2,0,7968544,125480658,125603229,14,14,369,1579483,3162828,0,27776376,33216,88782114,49033337,0
1789805071.3035457,5.304,1065492,25945,0,172,49,40,21399,210232,10920453,280420,1476,63144832,63441520,64771544,0,0,0,0,5,0,7969405,125538170,125660753,14,14,369,1579156,3162174,0,27782677,33219,88785566,49033337,0
1789805071.554229,5.554,1065848,25955,0,172,49,40,21401,210265,10922289,283332,1476,63138100,63431904,64771544,0,0,0,0,3,0,7969816,125592960,125715542,14,14,369,1578988,3161838,0,27784996,33219,88788454,49033337,0
1789805071.8046613,5.805,1066197,25965,0,172,49,40,21403,210305,10924614,286180,1576,63123012,63413908,64771544,0,0,0,1,1,0,7970171,125638385,125760968,14,14,394,1578612,3161084,0,27789059,33221,88791222,49033337,0
1789805072.055082,6.055,1066558,25976,0,172,49,40,21404,210332,10926442,289884,1576,63117988,63405176,64771544,0,0,0,1,2,0,7970816,125714571,125837154,14,14,394,1578481,3160821,0,27792442,33221,88794966,49033337,0
1789805072.3054972,6.306,1066913,25982,0,172,49,40,21405,210369,10929372,291856,1576,63103740,63388960,64771544,0,0,0,1,1,0,7972037,125744480,125867072,14,14,394,1578131,3160120,0,27796219,33221,88796902,49033337,0
1789805072.5558615,6.556,1067232,25983,0,172,49,40,21408,210441,10939734,292372,1576,63098992,63383720,64771544,0,0,0,0,9,0,7972704,125748661,125871253,14,14,394,1578012,3159883,0,27802214,33223,88797394,49033337,0
1789805072.8063278,6.806,1067553,25986,0,172,49,40,21411,210516,10946511,293020,1576,63089184,63373244,64771544,0,0,0,1,4,0,7973443,125752400,125874992,14,14,394,1577767,3159393,0,27806377,33223,88798046,49033337,0
1789805073.0567822,7.057,1067920,26000,0,172,49,40,21412,210534,10947954,297260,1576,63088848,63368684,64771544,0,0,0,0,2,0,7974268,125860389,125983053,14,14,394,1577759,3159376,0,27808001,33226,88802282,49033337,0
1789805073.3072214,7.307,1068289,26008,0,172,49,40,21413,210555,10949149,299524,1576,63089360,63366920,64771544,0,0,0,0,2,0,7977271,125926626,126049302,14,14,394,1577772,3159401,0,27810255,33226,88804558,49033337,0
1789805073.5576797,7.558,1068644,26015,0,172,49,40,21415,210591,10951704,301380,1576,63077372,63353060,64771544,0,0,0,0,3,0,7977736,125970229,126092908,14,14,394,1577472,3158802,0,27814532,33226,88806402,49033337,0
1789805073.8081543,7.808,1069012,26028,0,172,49,40,21417,210609,10952475,305004,1576,63056360,63328452,64771544,0,0,0,1,1,0,7978451,126069296,126191975,14,14,394,1576948,3157752,0,27820052,33226,88810086,49033337,0
1789805074.0585935,8.059,1069384,26036,0,172,49,40,21418,210627,10953345,307008,1576,63036116,63306168,64771544,0,0,0,0,2,0,7978984,126136640,126259319,14,14,394,1576442,3156740,0,27824863,33226,88812046,49033337,0
1789805074.309008,8.309,1069735,26044,0,172,50,40,21420,210666,10955442,308860,1576,63022112,63290316,64771544,0,0,0,0,2,0,7980016,126178685,126301365,14,14,394,1576093,3156040,0,27831123,33226,88813958,49033337,0
1789805074.5594668,8.56,1070089,26052,0,172,50,40,21422,210702,10957794,310876,1576,62995592,63261188,64771544,0,0,0,0,3,0,7980437,126224024,126346703,14,14,394,1575431,3154714,0,27837012,33226,88816506,49033337,0
1789805074.8099027,8.81,1070419,26056,0,172,50,40,21425,210764,10963586,312300,1580,62957456,63221724,64771544,0,0,0,0,4,0,7980905,126237982,126360661,14,14,395,1574479,3152808,0,27845584,33226,88817922,49033337,0
