stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789805074886,1789805075352,466,False,365,43477373,59,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789805076750,1789805076920,170,False,140,99905219,11,15,2114,0,0,0,0,2500,0,0,0,0,46131,2500,27430094
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789805076752,1789805076923,171,False,146,71490402,11,15,2114,0,0,0,0,2500,0,0,0,0,43446,2500,27628539
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789805076752,1789805076923,171,False,145,79445621,10,15,2114,0,0,0,0,2500,0,0,0,0,43580,2500,29381723
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789805076752,1789805076923,171,False,144,68622366,10,15,2114,0,0,0,0,2501,0,0,0,0,44083,2501,28040310
2,save at NativeMethodAccessorImpl.java:0,6,1,0,1789805076918,1789805078007,1089,False,1070,724374660,14,34,2346,0,0,0,73585155,294060,0,0,0,0,69042675,294060,96519779
2,save at NativeMethodAccessorImpl.java:0,7,2,0,1789805076920,1789805078021,1101,False,1084,836415997,12,34,2346,0,0,0,73586162,294058,0,0,0,0,69040896,294058,96142405
2,save at NativeMethodAccessorImpl.java:0,8,3,0,1789805076922,1789805078065,1143,False,1123,778781618,10,37,2346,0,0,0,73584815,294060,0,0,0,0,69042537,294060,102178198
2,save at NativeMethodAccessorImpl.java:0,5,0,0,1789805076915,1789805078096,1181,False,1159,832808959,15,40,2346,0,0,0,73586780,294060,0,0,0,0,69044679,294060,112176137
2,save at NativeMethodAccessorImpl.java:0,9,4,0,1789805078006,1789805078609,603,False,596,521321902,2,29,2346,0,0,0,73591005,294059,0,0,0,0,69043998,294059,85802296
2,save at NativeMethodAccessorImpl.java:0,10,5,0,1789805078021,1789805078681,660,False,654,574223984,2,32,2346,0,0,0,73589165,294059,0,0,0,0,69038890,294059,91088984
2,save at NativeMethodAccessorImpl.java:0,11,6,0,1789805078060,1789805078685,625,False,615,537981683,3,26,2346,0,0,0,73586835,294055,0,0,0,0,69043986,294055,90081183
2,save at NativeMethodAccessorImpl.java:0,12,7,0,1789805078095,1789805078707,612,False,606,534060495,2,26,2346,0,0,0,73584105,294057,0,0,0,0,69047326,294057,85300006
2,save at NativeMethodAccessorImpl.java:0,13,8,0,1789805078608,1789805079223,615,False,608,526059188,2,30,2346,0,0,0,73585753,294057,0,0,0,0,69044961,294057,83668364
2,save at NativeMethodAccessorImpl.java:0,14,9,0,1789805078680,1789805079253,573,False,568,483802857,2,27,2346,0,0,0,73585830,294055,0,0,0,0,69046215,294055,80561203
2,save at NativeMethodAccessorImpl.java:0,15,10,0,1789805078684,1789805079271,587,False,582,498770434,1,27,2346,0,0,0,73581620,294047,0,0,0,0,69038714,294047,85646993
2,save at NativeMethodAccessorImpl.java:0,16,11,0,1789805078706,1789805079300,594,False,588,507834103,2,27,2346,0,0,0,73576930,294046,0,0,0,0,69036049,294046,83185952
2,save at NativeMethodAccessorImpl.java:0,19,14,0,1789805079270,1789805079461,191,False,186,148076813,2,9,2346,0,0,0,13512492,54027,0,0,0,0,12487913,54027,15825554
2,save at NativeMethodAccessorImpl.java:0,20,15,0,1789805079299,1789805079486,187,False,182,141069764,2,9,2346,0,0,0,13512948,54018,0,0,0,0,12486556,54018,18504125
