t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805082.3887615,0.0,1078658,26211,0,172,50,40,21766,214067,11182981,117056,1324,63613940,63998072,64771544,0,0,0,1,1,0,8006401,126586775,126709939,14,14,331,1588824,3181532,0,28177280,33341,89888126,49241169,0
1789805082.6393418,0.251,1078897,26229,0,172,50,40,21767,214209,11183590,126596,1324,63598512,63976936,64771544,0,0,0,0,17,0,8006673,126614596,126737768,14,14,331,1588601,3181086,0,28179954,33414,89900450,49241169,0
1789805082.8898678,0.501,1079270,26245,0,172,50,40,21769,214218,11184300,135264,1324,63581756,63955356,64771544,0,0,0,0,2,0,8007453,126711438,126834634,14,14,331,1588303,3180490,0,28184940,33450,89910486,49241169,0
1789805083.1403005,0.752,1079645,26268,0,172,50,40,21771,214218,11185009,162836,1356,63574136,63933480,64771544,0,0,0,1,1,0,8008283,126872727,126996007,14,14,339,1588469,3180822,0,28189155,33659,89938350,49241169,0
1789805083.3906446,1.002,1080010,26291,0,172,50,40,21773,214227,11187230,173496,1356,63561268,63915236,64771544,0,0,0,1,1,0,8009050,127015228,127138522,14,14,339,1588282,3180447,0,28192358,33750,89949014,49241169,0
1789805083.6410258,1.252,1080381,26314,0,172,50,40,21774,214233,11188852,179908,1356,63550656,63901420,64771544,0,0,0,1,1,0,8009847,127172180,127295650,14,14,339,1588097,3180077,0,28194374,33756,89955414,49241169,0
1789805083.891407,1.503,1080748,26335,0,172,50,40,21775,214243,11190207,188204,1356,63530484,63877088,64771544,0,0,0,1,1,0,8010703,127333262,127456940,14,14,339,1587697,3179277,0,28199517,33756,89963798,49241169,0
1789805084.141811,1.753,1081101,26344,0,172,50,40,21781,214274,11193913,191264,1356,63534452,63879504,64771544,0,0,0,1,2,0,8011925,127354329,127478028,14,14,339,1587835,3179553,0,28215721,33764,89966770,49241201,0
1789805084.3924668,2.004,1081460,26357,0,172,50,40,21783,214300,11196535,194664,1356,63498696,63842040,64771544,0,0,0,0,2,0,8012892,127430763,127554484,14,14,339,1586985,3177850,0,28222954,33765,89970286,49241201,0
1789805084.6428933,2.254,1081824,26369,0,172,50,40,21786,214322,11199668,197628,1356,63478960,63820816,64771544,0,0,0,0,4,0,8013533,127517098,127640824,14,14,339,1586529,3176938,0,28227679,33765,89973134,49241201,0
1789805084.893562,2.505,1082185,26384,0,172,50,40,21788,214343,11203450,200992,1356,63454004,63794180,64771544,0,0,0,1,1,0,8014198,127604505,127728232,14,14,339,1585948,3175775,0,28235321,33773,89976534,49241201,0
1789805085.1439729,2.755,1082535,26394,0,172,50,40,21791,214381,11207773,203792,1356,63446288,63785052,64771544,0,0,0,0,3,0,8014729,127656692,127780422,14,14,339,1585791,3175460,0,28237779,33778,89979354,49241201,0
1789805085.3944228,3.006,1082894,26405,0,172,50,40,21793,214409,11211954,206296,1356,63449968,63787484,64771544,0,0,0,0,2,0,8015246,127694937,127818669,14,14,339,1585914,3175706,0,28239503,33781,89981810,49241201,0
1789805085.6448443,3.256,1083241,26416,0,172,50,40,21796,214450,11216747,208564,1356,63434404,63770788,64771544,0,0,0,0,3,0,8015712,127738442,127862386,14,14,339,1585554,3174985,0,28243864,33784,89984078,49241205,0
1789805085.93321,3.544,1083675,26441,0,172,50,40,21797,214452,11217676,236396,1356,63428356,63750416,64771544,0,0,0,1,1,0,8017141,127980822,128104804,14,14,339,1585760,3175398,0,28247153,34012,90012850,49241205,0
1789805086.185572,3.797,1084051,26460,0,172,50,40,21799,214456,11218339,250584,1356,63411252,63726188,64771544,0,0,0,1,1,0,8017917,128078204,128202325,14,14,339,1585511,3174900,0,28250996,34117,90027090,49241205,0
1789805086.4361544,4.047,1084426,26476,0,172,50,40,21799,214464,11218849,262308,1356,63392460,63701452,64771544,0,0,0,0,2,0,8019096,128245236,128369368,14,14,339,1585190,3174257,0,28255116,34210,90038918,49241205,0
1789805086.6865382,4.298,1084793,26491,0,172,50,40,21801,214480,11220712,268632,1356,63379652,63685396,64771544,0,0,0,1,1,0,8019860,128319119,128443256,14,14,339,1584952,3173779,0,28259026,34222,90045410,49241205,0
1789805086.9369724,4.548,1085151,26505,0,172,50,40,21803,214505,11222539,271636,1356,63359004,63663236,64771544,0,0,0,0,2,0,8020498,128404027,128528164,14,14,339,1584474,3172823,0,28263193,34226,90048438,49241205,0
1789805087.1874578,4.799,1085479,26517,0,172,50,40,21806,214562,11224683,274224,1356,63289308,63592252,64771544,0,0,0,1,3,0,8020870,128447260,128571399,14,14,339,1582766,3169403,0,28281539,34226,90051014,49241205,0
