t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805338.6152034,0.0,1401223,35087,0,172,58,41,28972,283697,15444969,117244,1396,63458716,63841032,64771544,0,0,0,1,1,0,8785687,170653574,170800022,19,19,349,1584910,3173695,0,36549956,47985,117174874,54544057,0
1789805338.8656213,0.25,1401463,35105,0,172,58,41,28973,283838,15445566,126824,1396,63443720,63820164,64771544,0,0,0,0,17,0,8785846,170681734,170828223,19,19,349,1584696,3173267,0,36552620,48058,117187166,54544057,0
1789805339.1161318,0.501,1401834,35121,0,172,58,41,28975,283848,15446288,135292,1396,63450024,63821856,64771544,0,0,0,1,1,0,8787360,170774256,170920758,19,19,349,1584968,3173813,0,36557610,48094,117197230,54544057,0
1789805339.3665335,0.751,1402209,35144,0,172,58,41,28978,283849,15446979,162872,1428,63421856,63779368,64771544,0,0,0,0,2,0,8788137,170937410,171083921,19,19,357,1584623,3173121,0,36561836,48303,117225094,54544057,0
1789805339.6168594,1.002,1402574,35167,0,172,58,41,28979,283859,15449219,173508,1428,63405380,63757552,64771544,0,0,0,1,1,0,8788919,171079815,171226393,19,19,357,1584345,3172564,0,36565021,48394,117235742,54544057,0
1789805339.8671992,1.252,1402945,35189,0,172,58,41,28979,283864,15450882,179916,1428,63395480,63744448,64771544,0,0,0,1,1,0,8789967,171267624,171414203,19,19,357,1584178,3172229,0,36567059,48400,117242138,54544057,0
1789805340.1174982,1.502,1403312,35211,0,172,58,41,28981,283873,15452167,188228,1428,63382824,63727628,64771544,0,0,0,1,1,0,8790934,171429403,171576054,19,19,357,1583966,3171805,0,36572130,48400,117250490,54544057,0
1789805340.367819,1.753,1403666,35220,0,172,58,41,28986,283903,15455869,191220,1428,63400864,63744208,64771544,0,0,0,0,4,0,8791558,171451145,171597796,19,19,357,1584453,3172780,0,36588161,48408,117253462,54544089,0
1789805340.6181977,2.003,1404024,35233,0,172,58,41,28989,283928,15458547,194668,1428,63377448,63719064,64771544,0,0,0,0,2,0,8792255,171527658,171674309,19,19,357,1583911,3171695,0,36595305,48409,117256910,54544089,0
1789805340.868499,2.253,1404388,35245,0,172,58,41,28991,283949,15461709,197592,1428,63357964,63698112,64771544,0,0,0,1,3,0,8793209,171614128,171760779,19,19,357,1583461,3170795,0,36600143,48409,117259834,54544089,0
1789805341.1188107,2.504,1404749,35259,0,172,58,41,28994,283970,15465492,200980,1428,63341412,63679784,64771544,0,0,0,1,1,0,8793759,171666907,171813576,19,19,357,1583093,3170056,0,36607993,48417,117263222,54544089,0
1789805341.3692183,2.754,1405099,35270,0,172,58,41,28995,284006,15469410,203816,1428,63331988,63668936,64771544,0,0,0,1,3,0,8795192,171721548,171868223,19,19,357,1582893,3169656,0,36610266,48422,117266086,54544089,0
1789805341.6195652,3.004,1405456,35279,0,172,58,41,28997,284039,15474404,205796,1428,63325212,63661176,64771544,0,0,0,0,2,0,8795834,171773729,171920404,19,19,357,1582748,3169367,0,36612064,48424,117268046,54544089,0
1789805341.869924,3.255,1405799,35291,0,172,58,41,29001,284079,15479855,208292,1428,63306764,63641504,64771544,0,0,0,1,1,0,8796380,171832145,171978827,19,19,357,1582318,3168506,0,36617004,48428,117270586,54544089,0
1789805342.2594094,3.644,1406392,35317,0,172,58,41,29002,284083,15480951,236436,1428,63291528,63611792,64771544,0,0,0,1,1,0,8797596,172076749,172223528,19,19,357,1582299,3168468,0,36620452,48656,117299602,54544093,0
1789805342.5118861,3.897,1406767,35336,0,172,58,41,29003,284087,15481581,250580,1428,63277164,63590240,64771544,0,0,0,1,1,0,8798335,172266595,172413384,19,19,357,1582120,3168109,0,36624312,48761,117313818,54544093,0
1789805342.7622144,4.147,1407143,35353,0,172,58,41,29005,284094,15482088,262332,1428,63262580,63569728,64771544,0,0,0,1,1,0,8799290,172435814,172582614,19,19,357,1581904,3167676,0,36628426,48854,117325670,54544093,0
1789805343.0125463,4.397,1407510,35367,0,172,58,41,29006,284109,15483808,268664,1428,63254476,63558396,64771544,0,0,0,1,1,0,8799927,172512180,172658982,19,19,357,1581782,3167432,0,36632373,48866,117332226,54544093,0
1789805343.2629068,4.648,1407868,35381,0,172,58,41,29007,284136,15485701,271712,1428,63234816,63537208,64771544,0,0,0,0,2,0,8800581,172595927,172742741,19,19,357,1581330,3166526,0,36636246,48870,117335226,54544093,0
1789805343.5133495,4.898,1408197,35394,0,172,58,41,29010,284192,15487810,274388,1428,63171756,63472824,64771544,0,0,0,0,4,0,8800945,172640061,172786971,19,19,357,1579789,3163440,0,36654611,48870,117337898,54544093,0
1789805343.7638328,5.149,1408549,35404,0,172,58,41,29012,284226,15489969,277080,1428,63147652,63446040,64771544,0,0,0,0,2,0,8802795,172703132,172850074,19,19,357,1579188,3162237,0,36661563,48870,117340590,54544093,0
1789805344.014299,5.399,1408901,35415,0,172,58,41,29015,284259,15494349,280536,1428,63122036,63416944,64771544,0,0,0,0,6,0,8803817,172760298,172907538,19,19,357,1578548,3160957,0,36667794,48873,117344046,54544093,0
1789805344.264749,5.65,1409257,35425,0,172,58,41,29015,284292,15495834,283360,1428,63115480,63407520,64771544,0,0,0,1,1,0,8804401,172814063,172961303,19,19,357,1578385,3160629,0,36670150,48873,117346910,54544093,0
1789805344.5152047,5.9,1409608,35435,0,172,58,41,29016,284330,15497674,286196,1528,63101328,63390532,64771544,0,0,0,1,1,0,8804809,172861292,173008532,19,19,382,1578031,3159922,0,36674538,48875,117349714,54544093,0
1789805344.7656448,6.15,1409949,35451,0,172,58,41,29019,284370,15499698,290308,2044,63080144,63364704,64771544,0,0,0,1,1,0,8805132,172914897,173062155,19,19,511,1577503,3158863,0,36681862,48911,117354718,54544093,0
1789805345.0160773,6.401,1410284,35470,0,172,58,41,29023,284413,15502558,296720,2964,63047472,63324644,64771544,0,0,0,1,4,0,8805534,172969097,173116389,19,19,741,1576687,3157230,0,36690243,48946,117362650,54544093,0
1789805345.2667336,6.652,1410581,35488,0,172,58,41,29028,284493,15509770,303100,2964,63029400,63299312,64771544,0,0,0,1,5,0,8806170,173013574,173160868,19,19,741,1576236,3156326,0,36698470,48982,117368902,54544093,0
1789805345.5171602,6.902,1410891,35499,0,172,58,41,29034,284565,15516008,306788,2964,63026836,63292584,64771544,0,0,0,0,5,0,8806627,173032873,173180227,19,19,741,1576172,3156198,0,36705657,49010,117372998,54544097,0
1789805345.7676146,7.152,1411254,35514,0,172,58,41,29036,284585,15517853,311124,4628,63028276,63289552,64771544,0,0,0,1,1,0,8807280,173132215,173279580,19,19,1157,1576208,3156270,0,36708188,49021,117377478,54544097,0
1789805346.0180478,7.403,1411627,35522,0,172,58,41,29038,284604,15518938,313660,4628,63038504,63297228,64771544,0,0,0,0,11,0,8807815,173208333,173355698,19,19,1157,1576463,3156781,0,36710434,49021,117380006,54544097,0
1789805346.2685204,7.653,1411982,35530,0,172,58,41,29041,284637,15521554,315516,4628,63026668,63283520,64771544,0,0,0,0,3,0,8808315,173252661,173400026,19,19,1157,1576168,3156190,0,36716391,49021,117381862,54544097,0
1789805346.5190525,7.904,1412347,35543,0,172,58,41,29042,284659,15522376,319140,4628,63004444,63257700,64771544,0,0,0,0,2,0,8808900,173339086,173486459,19,19,1157,1575613,3155079,0,36722180,49021,117385546,54544097,0
1789805346.7697713,8.155,1412720,35550,0,172,58,41,29042,284678,15523218,321144,4628,62983928,63235140,64771544,0,0,0,0,2,0,8809406,173408034,173555407,19,19,1157,1575101,3154053,0,36727021,49021,117387506,54544097,0
1789805347.0203865,8.405,1413071,35559,0,172,58,41,29045,284715,15524966,322996,4628,62958468,63207828,64771544,0,0,0,0,2,0,8809767,173449594,173596967,19,19,1157,1574465,3152780,0,36733365,49021,117389410,54544097,0
1789805347.2708385,8.656,1413425,35567,0,172,58,41,29048,284749,15526959,324972,4628,62952792,63199152,64771544,0,0,0,1,2,0,8810213,173494235,173641615,19,19,1157,1574321,3152491,0,36739364,49021,117392278,54544097,0
