stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789805347598,1789805348073,475,False,370,44667093,61,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789805349454,1789805349639,185,False,161,101088903,13,15,2071,0,0,0,0,2501,0,0,0,0,44083,2501,28769169
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789805349454,1789805349640,186,False,153,74933060,14,15,2114,0,0,0,0,2500,0,0,0,0,43580,2500,28453273
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789805349452,1789805349644,192,False,158,85355762,14,15,2114,0,0,0,0,2500,0,0,0,0,46131,2500,28611733
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789805349454,1789805349645,191,False,158,75515066,14,15,2114,0,0,0,0,2500,0,0,0,0,43446,2500,29043480
2,save at NativeMethodAccessorImpl.java:0,7,2,0,1789805349642,1789805350895,1253,False,1229,929693439,20,30,2346,0,0,0,111454496,448614,0,0,0,0,105307884,448614,129756938
2,save at NativeMethodAccessorImpl.java:0,8,3,0,1789805349643,1789805350908,1265,False,1243,977410381,18,30,2346,0,0,0,111454456,448614,0,0,0,0,105303552,448614,128193731
2,save at NativeMethodAccessorImpl.java:0,5,0,0,1789805349634,1789805350921,1287,False,1256,923047258,23,30,2346,0,0,0,111454728,448614,0,0,0,0,105306802,448614,128367871
2,save at NativeMethodAccessorImpl.java:0,6,1,0,1789805349640,1789805350950,1310,False,1287,931120261,17,34,2346,0,0,0,111454592,448614,0,0,0,0,105303364,448614,150376151
2,save at NativeMethodAccessorImpl.java:0,9,4,0,1789805350895,1789805351653,758,False,752,695900839,2,19,2346,0,0,0,111454408,448614,0,0,0,0,105308737,448614,119329212
2,save at NativeMethodAccessorImpl.java:0,10,5,0,1789805350908,1789805351662,754,False,749,697008830,2,19,2346,0,0,0,111455320,448614,0,0,0,0,105308762,448614,120344714
2,save at NativeMethodAccessorImpl.java:0,11,6,0,1789805350920,1789805351690,770,False,761,701015856,1,22,2389,0,0,0,111457240,448614,0,0,0,0,105305136,448614,126725173
2,save at NativeMethodAccessorImpl.java:0,12,7,0,1789805350949,1789805351720,771,False,762,709726128,3,21,2346,0,0,0,111455236,448612,0,0,0,0,105302257,448612,132148378
2,save at NativeMethodAccessorImpl.java:0,13,8,0,1789805351652,1789805352393,741,False,736,681021060,2,22,2346,0,0,0,111451656,448608,0,0,0,0,105302750,448608,116913423
2,save at NativeMethodAccessorImpl.java:0,14,9,0,1789805351661,1789805352405,744,False,740,683523268,1,22,2346,0,0,0,111451604,448608,0,0,0,0,105305030,448608,118223169
2,save at NativeMethodAccessorImpl.java:0,15,10,0,1789805351689,1789805352460,771,False,763,705297100,3,26,2346,0,0,0,111451576,448608,0,0,0,0,105303884,448608,129272734
