t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805389.5924249,0.0,1464767,36654,0,172,58,41,30871,297956,16222867,117360,1088,63624412,64006660,64771544,0,0,0,1,1,0,8936432,177439514,177591793,19,19,272,1589053,3181991,0,38365702,50165,126011154,56618669,0
1789805389.843214,0.251,1465006,36672,0,172,58,41,30873,298099,16223477,127228,1088,63610952,63987320,64771544,0,0,0,1,16,0,8936995,177535530,177687812,19,19,272,1588884,3181653,0,38368367,50238,126023478,56618669,0
1789805390.0944226,0.502,1465380,36689,0,172,58,41,30875,298105,16224203,136072,1088,63607452,63978892,64771544,0,0,0,1,1,0,8938270,177633678,177785994,19,19,272,1588919,3181724,0,38373377,50274,126033702,56618669,0
1789805390.3448007,0.752,1465756,36711,0,172,58,41,30877,298105,16224930,162944,1496,63587136,63944892,64771544,0,0,0,1,1,0,8939165,177796355,177948717,19,19,374,1588754,3181393,0,38377607,50484,126061502,56618669,0
1789805390.5951312,1.003,1466121,36735,0,172,58,41,30879,298117,16227177,173648,1496,63569708,63922068,64771544,0,0,0,1,1,0,8940060,177939261,178091645,19,19,374,1588454,3180792,0,38380790,50574,126072098,56618669,0
1789805390.8455036,1.253,1466491,36757,0,172,58,41,30879,298123,16228767,180140,1496,63558392,63907508,64771544,0,0,0,0,2,0,8941066,178121193,178273596,19,19,374,1588252,3180388,0,38382835,50580,126078562,56618669,0
1789805391.0957937,1.503,1466857,36778,0,172,58,41,30881,298135,16230229,188504,1496,63535984,63880920,64771544,0,0,0,1,1,0,8942152,178280557,178432977,19,19,374,1587797,3179477,0,38387960,50580,126086930,56618669,0
1789805391.3461187,1.754,1467210,36787,0,172,58,41,30886,298165,16233817,191428,1496,63557380,63900800,64771544,0,0,0,1,1,0,8943187,178300160,178452580,19,19,374,1588369,3180622,0,38404338,50588,126089862,56618701,0
1789805391.5965633,2.004,1467568,36800,0,172,58,41,30889,298192,16236432,194768,1496,63533296,63875048,64771544,0,0,0,1,1,0,8943770,178373845,178526269,19,19,374,1587809,3179502,0,38411562,50589,126093310,56618701,0
1789805391.8470025,2.255,1467932,36812,0,172,58,41,30891,298214,16239573,197708,1496,63513080,63853376,64771544,0,0,0,0,4,0,8944391,178446540,178598980,19,19,374,1587341,3178564,0,38416360,50589,126096150,56618701,0
1789805392.0974407,2.505,1468292,36827,0,172,58,41,30894,298234,16243408,201088,1496,63495352,63833908,64771544,0,0,0,1,1,0,8945166,178533358,178685798,19,19,374,1586942,3177765,0,38423952,50597,126099562,56618701,0
1789805392.3478374,2.755,1468641,36837,0,172,58,41,30896,298271,16247616,203944,1496,63489488,63826608,64771544,0,0,0,0,2,0,8945699,178584750,178737190,19,19,374,1586832,3177544,0,38426200,50602,126102378,56618701,0
1789805392.5983427,3.006,1469001,36848,0,172,58,41,30897,298299,16251690,206400,1496,63482296,63818192,64771544,0,0,0,0,2,0,8946841,178654337,178806783,19,19,374,1586683,3177245,0,38428003,50605,126104834,56618701,0
1789805392.848765,3.256,1469347,36859,0,172,58,41,30900,298335,16257069,208668,1496,63463164,63797920,64771544,0,0,0,0,2,0,8947285,178697931,178850380,19,19,374,1586234,3176346,0,38433455,50608,126107106,56618705,0
1789805393.139274,3.547,1469784,36884,0,172,58,41,30902,298337,16257983,236524,1496,63446636,63767088,64771544,0,0,0,1,1,0,8948495,178943084,179095533,19,19,374,1586178,3176235,0,38436552,50836,126135878,56618705,0
1789805393.3917167,3.799,1470160,36903,0,172,58,41,30904,298341,16258658,250676,1496,63438296,63751560,64771544,0,0,0,1,1,0,8948962,179047691,179200155,19,19,374,1586149,3176177,0,38440404,50941,126150118,56618705,0
