t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805700.328993,0.0,1848670,46143,0,172,66,42,42298,388491,20876719,117216,1464,63670960,64053560,64771544,0,0,0,1,1,0,9767698,218377951,218561961,25,25,366,1590216,3184321,0,48406229,63200,179091758,68448117,0
1789805700.5794253,0.25,1848911,46160,0,172,66,42,42299,388632,20877337,126848,1464,63657760,64034600,64771544,0,0,0,0,17,0,9767916,218405919,218589957,25,25,366,1590049,3183986,0,48408893,63273,179104046,68448117,0
1789805700.8299603,0.501,1849282,46177,0,172,66,42,42301,388641,20878048,135676,1464,63644104,64016020,64771544,0,0,0,1,1,0,9768716,218499999,218684081,25,25,366,1589831,3183549,0,48413917,63309,179114306,68448117,0
1789805701.0803735,0.751,1849658,46200,0,172,66,42,42302,388642,20878754,163092,1496,63618484,63976288,64771544,0,0,0,0,2,0,9769583,218664291,218848392,25,25,374,1589544,3182974,0,48418101,63518,179141978,68448117,0
1789805701.3307388,1.002,1850023,46223,0,172,66,42,42303,388650,20880980,173644,1496,63603532,63955972,64771544,0,0,0,1,1,0,9770332,218805889,218989994,25,25,374,1589304,3182495,0,48421314,63610,179152626,68448117,0
1789805701.5812185,1.252,1850393,46245,0,172,66,42,42305,388655,20882630,180068,1496,63602364,63951596,64771544,0,0,0,1,1,0,9771390,218989375,219173501,25,25,374,1589355,3182597,0,48423349,63616,179159046,68448117,0
1789805701.831665,1.503,1850757,46269,0,172,66,42,42306,388665,20884045,188256,2288,63582708,63927568,64771544,0,0,0,1,1,0,9772145,219135963,219320104,25,25,572,1588974,3181833,0,48429069,63630,179168150,68448117,0
1789805702.0821025,1.753,1851111,46278,0,172,66,42,42311,388695,20887783,191452,2288,63582080,63925348,64771544,0,0,0,1,3,0,9773415,219162913,219347054,25,25,572,1588998,3181882,0,48445184,63638,179171146,68448149,0
1789805702.332551,2.004,1851468,46291,0,172,66,42,42312,388724,20890406,195172,2416,63557692,63899132,64771544,0,0,0,0,2,0,9773994,219237352,219421500,25,25,604,1588434,3180753,0,48452449,63639,179174598,68448149,0
1789805702.582973,2.254,1851833,46303,0,172,66,42,42315,388744,20893633,198048,2416,63537552,63877548,64771544,0,0,0,0,4,0,9774660,219323583,219507743,25,25,604,1587968,3179819,0,48457389,63639,179177498,68448149,0
1789805702.8334262,2.504,1852193,46318,0,172,66,42,42317,388765,20897388,201488,2416,63509532,63847784,64771544,0,0,0,0,2,0,9775340,219409074,219593240,25,25,604,1587312,3178505,0,48465203,63647,179180910,68448149,0
1789805703.083857,2.755,1852546,46329,0,172,66,42,42319,388797,20900905,204356,2416,63500364,63837160,64771544,0,0,0,0,2,0,9775876,219466018,219650190,25,25,604,1587119,3178120,0,48467469,63652,179183782,68448149,0
1789805703.3343098,3.005,1852903,46339,0,172,66,42,42322,388827,20905610,206632,2416,63495004,63830664,64771544,0,0,0,1,1,0,9776332,219496004,219680175,25,25,604,1587014,3177909,0,48469211,63654,179186054,68448149,0
1789805703.584747,3.256,1853244,46351,0,172,66,42,42327,388867,20911293,209068,2416,63530716,63865172,64771544,0,0,0,0,1,0,9776836,219545455,219729637,25,25,604,1587935,3179754,0,48474050,63658,179188510,68448153,0
1789805703.8744984,3.546,1853682,46376,0,172,66,42,42328,388868,20912216,236944,2416,63509732,63829860,64771544,0,0,0,1,1,0,9778052,219788704,219972901,25,25,604,1587769,3179421,0,48477402,63886,179217282,68448153,0
1789805704.127088,3.798,1854057,46395,0,172,66,42,42329,388873,20912863,251088,2416,63493128,63806072,64771544,0,0,0,1,1,0,9778869,219977911,220162127,25,25,604,1587534,3178950,0,48481247,63991,179231510,68448153,0
1789805704.3774626,4.048,1854432,46412,0,172,66,42,42331,388879,20913400,262844,2416,63476572,63783588,64771544,0,0,0,1,1,0,9779826,220147592,220331807,25,25,604,1587269,3178419,0,48485366,64084,179243362,68448153,0
1789805704.627866,4.299,1854799,46426,0,172,66,42,42333,388895,20914931,269188,2416,63452628,63756416,64771544,0,0,0,0,2,0,9780360,220221052,220405284,25,25,604,1586752,3177384,0,48489542,64096,179249926,68448153,0
1789805704.8782198,4.549,1855160,46440,0,172,66,42,42334,388919,20916471,272228,2416,63436540,63738788,64771544,0,0,0,1,1,0,9781008,220309918,220494174,25,25,604,1586388,3176656,0,48493135,64100,179252914,68448153,0
1789805705.1286216,4.8,1855484,46452,0,172,66,42,42336,388979,20918151,274896,2416,63370864,63671268,64771544,0,0,0,0,4,0,9781628,220350797,220535053,25,25,604,1584770,3173415,0,48511767,64100,179255582,68448153,0
1789805705.3790216,5.05,1855837,46463,0,172,66,42,42338,389013,20920066,277572,2416,63355404,63653076,64771544,0,0,0,0,2,0,9782062,220406576,220590832,25,25,604,1584384,3172642,0,48518486,64100,179258274,68448153,0
1789805705.629475,5.3,1856191,46473,0,172,66,42,42340,389046,20923884,280972,2416,63332308,63626556,64771544,0,0,0,0,5,0,9782612,220464301,220648565,25,25,604,1583807,3171487,0,48524530,64103,179261658,68448153,0
1789805705.8799133,5.551,1856537,46485,0,172,66,42,42342,389087,20925170,283788,2416,63320632,63612044,64771544,0,0,0,0,3,0,9782925,220499623,220683923,25,25,604,1583516,3170904,0,48527709,64119,179264974,68448153,0
1789805706.1303444,5.801,1856873,46500,0,172,66,42,42345,389128,20927699,289176,3432,63307884,63593392,64771544,0,0,0,1,1,0,9783337,220535862,220720192,25,25,858,1583198,3170267,0,48536418,64161,179270306,68448153,0
1789805706.38077,6.052,1857233,46512,0,172,66,42,42347,389153,20929656,292816,4932,63295412,63577192,64771544,0,0,0,0,3,0,9784218,220606292,220790630,25,25,1233,1582886,3169643,0,48540554,64161,179273954,68448153,0
1789805706.6312184,6.302,1857582,46519,0,172,66,42,42348,389196,20930619,295292,4932,63274828,63554160,64771544,0,0,0,0,2,0,9784458,220635191,220819533,25,25,1233,1582372,3168614,0,48545753,64161,179276562,68448153,0
1789805706.881684,6.553,1857907,46521,0,172,66,42,42351,389264,20939447,296104,4932,63268108,63546612,64771544,0,0,0,0,2,0,9785176,220638137,220822479,25,25,1233,1582205,3168278,0,48549945,64163,179277242,68448153,0
1789805707.1321404,6.803,1858248,46523,0,172,66,42,42354,389317,20944739,296712,4932,63258508,63536396,64771544,0,0,0,0,2,0,9786472,220648744,220833086,25,25,1233,1581965,3167798,0,48553004,64163,179277862,68448153,0
1789805707.38261,7.054,1858599,46534,0,172,66,42,42356,389352,20948357,299728,4932,63249032,63523932,64771544,0,0,0,0,2,0,9787032,220706060,220890402,25,25,1233,1581728,3167325,0,48554848,64166,179280866,68448153,0
1789805707.633066,7.304,1858972,46544,0,172,66,42,42357,389368,20949457,302956,4932,63242572,63514256,64771544,0,0,0,1,1,0,9787748,220799544,220983886,25,25,1233,1581567,3167002,0,48556544,64166,179284106,68448153,0
1789805707.8835037,7.555,1859342,46552,0,172,66,42,42358,389390,20951256,304764,4932,63240124,63510012,64771544,0,0,0,0,5,0,9788257,220864415,221048773,25,25,1233,1581506,3166879,0,48558332,64166,179285902,68448153,0
1789805708.1339345,7.805,1859693,46563,0,172,66,42,42359,389426,20952737,308040,4932,63226680,63493280,64771544,0,0,0,1,2,0,9788760,220923599,221107963,25,25,1233,1581170,3166207,0,48561031,64166,179289186,68448153,0
1789805708.3843484,8.055,1860066,46574,0,172,66,42,42360,389442,20953653,310640,4932,63227132,63491140,64771544,0,0,0,0,3,0,9789406,221015577,221199941,25,25,1233,1581182,3166230,0,48562463,64166,179291910,68448153,0
1789805708.6347282,8.306,1860418,46580,0,172,66,42,42361,389482,20955676,312360,4932,63219964,63482228,64771544,0,0,0,0,2,0,9789994,221035965,221220336,25,25,1233,1581003,3165872,0,48564622,64166,179293506,68448153,0
1789805708.8851502,8.556,1860781,46589,0,172,66,42,42363,389508,20957651,314288,4932,63214460,63473912,64771544,0,0,0,0,6,0,9790544,221099869,221284240,25,25,1233,1580865,3165596,0,48566225,64166,179296478,68448153,0
1789805709.1355715,8.807,1861109,46594,0,172,66,42,42365,389570,20963606,315732,4932,63220780,63478752,64771544,0,0,0,0,3,0,9791117,221116166,221300537,25,25,1233,1581023,3165912,0,48568355,64166,179297918,68448153,0
1789805709.3860176,9.057,1861402,46599,0,172,66,42,42368,389669,20967709,317400,5088,63196100,63452412,64771544,0,0,0,1,3,0,9791391,221120115,221304495,25,25,1272,1580407,3164679,0,48575685,64166,179299362,68448153,0
1789805709.6364803,9.307,1861765,46610,0,172,66,42,42369,389693,20968602,320604,5088,63184516,63437604,64771544,0,0,0,0,2,0,9791965,221200028,221384415,25,25,1272,1580118,3164100,0,48577869,64166,179302514,68448153,0
1789805709.8869302,9.558,1862112,46616,0,172,66,42,42370,389740,20971598,321972,5096,63168900,63420620,64771544,0,0,0,0,6,0,9792310,221220260,221404647,25,25,1274,1579728,3163319,0,48581637,64166,179303918,68448153,0
1789805710.1373944,9.808,1862457,46619,0,172,66,42,42374,389785,20983708,323136,5096,63162744,63413332,64771544,0,0,0,1,1,0,9792972,221237768,221422155,25,25,1274,1579574,3163011,0,48584916,64166,179305038,68448153,0
1789805710.387857,10.059,1862818,46624,0,172,66,42,42376,389817,20986563,324536,5096,63157384,63406532,64771544,0,0,0,0,3,0,9793385,221270626,221455013,25,25,1274,1579441,3162743,0,48586539,64166,179306454,68448153,0
