stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789805709250,1789805709694,444,False,349,40446345,61,0,2233,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789805711233,1789805711533,300,False,276,196231316,13,17,2162,0,0,0,0,2500,0,0,0,0,530655,40000,29481027
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789805711232,1789805711534,302,False,277,195929621,13,17,2119,0,0,0,0,2500,0,0,0,0,547462,40000,26837065
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789805711233,1789805711534,301,False,276,198426730,13,17,2162,0,0,0,0,2500,0,0,0,0,532717,40000,24507434
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789805711233,1789805711535,302,False,277,182036607,13,17,2119,0,0,0,0,2501,0,0,0,0,533622,40016,30109192
2,save at NativeMethodAccessorImpl.java:0,7,2,0,1789805711533,1789805712852,1319,False,1302,1013093278,11,37,2298,0,0,0,111393472,448614,0,0,0,0,109659012,448614,132382071
2,save at NativeMethodAccessorImpl.java:0,6,1,0,1789805711532,1789805712899,1367,False,1350,1037691000,13,37,2298,0,0,0,111393520,448614,0,0,0,0,109655318,448614,136934310
2,save at NativeMethodAccessorImpl.java:0,8,3,0,1789805711534,1789805712907,1373,False,1359,1179013197,11,37,2298,0,0,0,111393452,448614,0,0,0,0,109663449,448614,130978488
2,save at NativeMethodAccessorImpl.java:0,5,0,0,1789805711528,1789805712919,1391,False,1371,1058584144,13,37,2298,0,0,0,111393588,448614,0,0,0,0,109663849,448614,133258181
2,save at NativeMethodAccessorImpl.java:0,11,6,0,1789805712906,1789805713777,871,False,863,770858917,2,27,2298,0,0,0,111393296,448614,0,0,0,0,109660145,448614,124740931
2,save at NativeMethodAccessorImpl.java:0,12,7,0,1789805712918,1789805713785,867,False,862,772353777,1,27,2298,0,0,0,111392294,448612,0,0,0,0,109657017,448612,127469401
2,save at NativeMethodAccessorImpl.java:0,10,5,0,1789805712898,1789805713788,890,False,885,810055851,1,27,2298,0,0,0,111393368,448614,0,0,0,0,109661015,448614,130199604
2,save at NativeMethodAccessorImpl.java:0,9,4,0,1789805712851,1789805713796,945,False,939,865767749,3,27,2298,0,0,0,111393428,448614,0,0,0,0,109661922,448614,141627448
2,save at NativeMethodAccessorImpl.java:0,14,9,0,1789805713784,1789805714642,858,False,852,778082262,1,25,2298,0,0,0,111390478,448608,0,0,0,0,109658957,448608,125977615
2,save at NativeMethodAccessorImpl.java:0,15,10,0,1789805713787,1789805714653,866,False,861,780318433,1,25,2298,0,0,0,111390464,448608,0,0,0,0,109665254,448608,128367596
2,save at NativeMethodAccessorImpl.java:0,13,8,0,1789805713776,1789805714659,883,False,878,797891766,2,25,2298,0,0,0,111390504,448608,0,0,0,0,109660503,448608,127549990
2,save at NativeMethodAccessorImpl.java:0,16,11,0,1789805713795,1789805714668,873,False,869,797481470,1,25,2298,0,0,0,111390448,448608,0,0,0,0,109657780,448608,126301914
2,save at NativeMethodAccessorImpl.java:0,17,12,0,1789805714641,1789805715490,849,False,842,787334389,2,20,2298,0,0,0,111390430,448608,0,0,0,0,109665710,448608,123755909
