t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805676.4424791,0.0,1819307,45297,0,172,65,42,41349,381594,20491816,117364,1420,63683828,64065924,64771544,0,0,0,1,1,0,9691562,214854094,215033652,23,23,355,1590528,3184946,0,47534808,62127,174678122,66382681,0
1789805676.6928935,0.25,1819548,45315,0,172,65,42,41350,381735,20492419,126984,1460,63673432,64050008,64771544,0,0,0,0,17,0,9691719,214882117,215061729,23,23,365,1590439,3184767,0,47537472,62200,174690410,66382681,0
1789805676.9434278,0.501,1819919,45332,0,172,65,42,41352,381743,20493124,135160,1460,63657812,64029980,64771544,0,0,0,1,1,0,9692913,214977670,215157304,23,23,365,1590159,3184207,0,47542411,62235,174700030,66382681,0
1789805677.1938117,0.751,1820294,45354,0,172,65,42,41354,381744,20493855,163004,1492,63628500,63986136,64771544,0,0,0,1,1,0,9693770,215139174,215318910,23,23,373,1589790,3183468,0,47546616,62443,174728330,66382681,0
1789805677.4441552,1.002,1820659,45378,0,172,65,42,41356,381754,20496113,173640,1492,63623828,63976132,64771544,0,0,0,1,2,0,9694542,215281663,215461430,23,23,373,1589807,3183501,0,47549809,62537,174738946,66382681,0
1789805677.694558,1.252,1821029,45400,0,172,65,42,41356,381760,20497766,180020,1492,63612452,63961572,64771544,0,0,0,0,2,0,9695622,215466801,215646599,23,23,373,1589602,3183092,0,47551845,62543,174745346,66382681,0
1789805677.944944,1.502,1821396,45421,0,172,65,42,41357,381771,20499072,188392,1492,63590028,63934944,64771544,0,0,0,1,1,0,9696457,215631661,215811510,23,23,373,1589147,3182181,0,47556948,62543,174753714,66382681,0
1789805678.1953578,1.753,1821750,45430,0,172,65,42,41362,381803,20502720,191164,1492,63590412,63933968,64771544,0,0,0,1,3,0,9696864,215652961,215832819,23,23,373,1589191,3182268,0,47572939,62551,174756682,66382713,0
1789805678.4457638,2.003,1822108,45443,0,172,65,42,41364,381829,20504765,194808,1492,63565428,63907160,64771544,0,0,0,1,1,0,9697563,215729758,215909634,23,23,373,1588613,3181110,0,47579963,62552,174760134,66382713,0
1789805678.696087,2.254,1822473,45455,0,172,65,42,41366,381849,20507910,197640,1492,63546760,63887020,64771544,0,0,0,1,1,0,9698437,215815694,215995596,23,23,373,1588184,3180251,0,47584687,62552,174762998,66382713,0
1789805678.9464376,2.504,1822832,45470,0,172,65,42,41369,381874,20511808,200972,1492,63517652,63856440,64771544,0,0,0,0,4,0,9699099,215897585,216077487,23,23,373,1587494,3178869,0,47592538,62559,174766370,66382713,0
1789805679.1968226,2.754,1823184,45481,0,172,65,42,41370,381907,20515551,204020,1492,63516116,63853184,64771544,0,0,0,0,2,0,9699692,215956206,216136115,23,23,373,1587498,3178878,0,47595213,62564,174769334,66382713,0
1789805679.4471698,3.005,1823541,45491,0,172,65,42,41372,381938,20519958,206140,1492,63508884,63844892,64771544,0,0,0,0,2,0,9700562,216014162,216194081,23,23,373,1587344,3178570,0,47596897,62566,174771490,66382713,0
1789805679.6975534,3.255,1823883,45503,0,172,65,42,41375,381977,20525243,208752,1492,63543264,63877964,64771544,0,0,0,0,1,0,9701184,216064159,216244081,23,23,373,1588235,3180354,0,47601645,62570,174774062,66382717,0
1789805679.9896517,3.547,1824324,45528,0,172,65,42,41376,381979,20526204,236464,1492,63527128,63847568,64771544,0,0,0,1,1,0,9702364,216309555,216489497,23,23,373,1588188,3180260,0,47604989,62798,174802834,66382717,0
1789805680.2421818,3.8,1824700,45547,0,172,65,42,41377,381984,20526880,250760,1492,63518624,63831832,64771544,0,0,0,1,1,0,9703162,216499197,216679152,23,23,373,1588156,3180196,0,47608833,62903,174817062,66382717,0
1789805680.4926968,4.05,1825075,45564,0,172,65,42,41378,381991,20527392,262516,1492,63503504,63810788,64771544,0,0,0,1,1,0,9704054,216669747,216849716,23,23,373,1587927,3179737,0,47612953,62996,174829002,66382717,0
1789805680.7430189,4.301,1825442,45579,0,172,65,42,41380,382007,20529572,268852,1492,63487844,63791896,64771544,0,0,0,0,3,0,9705294,216742813,216922787,23,23,373,1587617,3179116,0,47616602,63008,174835478,66382717,0
