t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805228.3519042,0.0,1264143,31593,0,172,54,41,25324,252148,13701580,116996,1672,63524644,63908764,64771544,0,0,0,1,1,0,8483018,154624811,154757804,17,18,418,1586592,3177063,0,33130664,42711,101373346,50350161,0
1789805228.6023393,0.25,1264387,31611,0,172,54,41,25326,252286,13702172,126716,1680,63511180,63889316,64771544,0,0,0,0,17,0,8483172,154653417,154786533,17,18,420,1586412,3176703,0,33133322,42784,101385498,50350161,0
1789805228.8528934,0.501,1264755,31627,0,172,54,41,25329,252301,13702875,133556,1680,63496424,63870560,64771544,0,0,0,1,2,0,8483780,154741853,154875031,17,18,420,1586144,3176166,0,33138205,42816,101394078,50350161,0
1789805229.1033368,0.751,1265130,31650,0,172,54,41,25330,252301,13703584,162596,1712,63474460,63833644,64771544,0,0,0,0,2,0,8484460,154897232,155030413,17,18,428,1585969,3175815,0,33142426,43020,101423330,50350161,0
1789805229.3536952,1.002,1265495,31673,0,172,54,41,25333,252310,13705791,173168,1712,63467932,63821760,64771544,0,0,0,1,2,0,8485210,155039266,155172474,17,18,428,1585939,3175757,0,33145614,43120,101433918,50350161,0
1789805229.6040666,1.252,1265864,31695,0,172,54,41,25334,252317,13707433,179656,1712,63457172,63807772,64771544,0,0,0,1,1,0,8486347,155217376,155350596,17,18,428,1585751,3175380,0,33147704,43126,101440446,50350161,0
1789805229.8544245,1.503,1266231,31717,0,172,54,41,25335,252327,13708702,188144,1712,63436276,63782636,64771544,0,0,0,1,1,0,8487207,155386845,155520073,17,18,428,1585335,3174547,0,33152838,43126,101448894,50350161,0
1789805230.1047604,1.753,1266586,31726,0,172,54,41,25340,252357,13712341,191112,1712,63477200,63822080,64771544,0,0,0,1,3,0,8488819,155408070,155541299,17,18,428,1586394,3176667,0,33168114,43134,101451858,50350193,0
1789805230.3551762,2.003,1266942,31739,0,172,54,41,25342,252387,13714978,194404,1712,63472724,63815960,64771544,0,0,0,1,1,0,8489361,155481269,155614498,17,18,428,1586323,3176526,0,33176034,43135,101455134,50350193,0
1789805230.6055362,2.254,1267307,31751,0,172,54,41,25344,252409,13718172,197372,1712,63472884,63814636,64771544,0,0,0,1,1,0,8490018,155566438,155699677,17,18,428,1586364,3176608,0,33180962,43135,101458102,50350193,0
1789805230.8558812,2.504,1267667,31765,0,172,54,41,25347,252432,13722089,200608,1712,63447016,63787128,64771544,0,0,0,1,2,0,8490568,155608543,155741784,17,18,428,1585760,3175397,0,33188760,43143,101461454,50350193,0
1789805231.1062791,2.754,1268019,31777,0,172,54,41,25349,252466,13725479,203780,1712,63435604,63774128,64771544,0,0,0,0,3,0,8490948,155641953,155775196,17,18,428,1585514,3174906,0,33192034,43148,101464522,50350193,0
1789805231.356658,3.005,1268374,31785,0,172,54,41,25351,252500,13730350,205716,1712,63429532,63767088,64771544,0,0,0,1,1,0,8491450,155668255,155801498,17,18,428,1585387,3174651,0,33193920,43150,101466474,50350193,0
1789805231.6070743,3.255,1268716,31798,0,172,54,41,25354,252540,13734995,208256,1712,63414740,63751044,64771544,0,0,0,1,1,0,8491987,155720825,155854067,17,18,428,1585049,3173974,0,33198327,43154,101469106,50350193,0
1789805232.0069358,3.655,1269328,31824,0,172,54,41,25356,252542,13736001,236264,1712,63396408,63718280,64771544,0,0,0,1,1,0,8493245,155973603,156106882,17,18,428,1584951,3173779,0,33201743,43382,101498070,50350197,0
1789805232.2593899,3.907,1269703,31843,0,172,54,41,25357,252547,13736643,250556,1712,63382272,63696920,64771544,0,0,0,1,1,0,8494083,156162113,156295449,17,18,428,1584779,3173433,0,33205591,43487,101512294,50350197,0
1789805232.5097597,4.158,1270078,31860,0,172,54,41,25358,252554,13737156,262296,1712,63367156,63675876,64771544,0,0,0,1,1,0,8495986,156330449,156463800,17,18,428,1584550,3172974,0,33209718,43580,101524138,50350197,0
1789805232.7600985,4.408,1270445,31874,0,172,55,41,25360,252571,13738760,268612,1712,63353528,63659016,64771544,0,0,0,0,2,0,8496605,156406275,156539628,17,18,428,1584290,3172454,0,33213568,43592,101530638,50350197,0
1789805233.0104885,4.659,1270803,31888,0,172,55,41,25361,252597,13740339,271580,1712,63340916,63644916,64771544,0,0,0,0,2,0,8497209,156486996,156620349,17,18,428,1584012,3171898,0,33217072,43596,101533610,50350197,0
