t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805033.6388626,0.0,1016975,24437,0,172,48,40,20577,201040,10318886,117028,1380,63423656,63807776,64771544,0,0,0,1,1,0,7857082,117157046,117278216,14,14,345,1584071,3172015,0,26645588,30311,86072458,49024833,0
1789805033.8896773,0.251,1017212,24454,0,172,48,40,20578,201185,10319523,126796,1380,63408932,63786956,64771544,0,0,0,1,1,0,7857276,117184462,117305648,14,14,345,1583863,3171599,0,26648266,30384,86084826,49024833,0
1789805034.1401706,0.501,1017587,24471,0,172,48,40,20580,201190,10320244,136052,1380,63406148,63778868,64771544,0,0,0,1,1,0,7857713,117241116,117362342,14,14,345,1583926,3171725,0,26653275,30421,86095442,49024833,0
1789805034.3905919,0.752,1017962,24494,0,172,48,40,20581,201190,10320945,162904,1412,63379388,63738464,64771544,0,0,0,1,1,0,7858478,117407596,117528828,14,14,353,1583599,3171070,0,26657477,30630,86122810,49024833,0
1789805034.6409385,1.002,1018327,24517,0,172,48,40,20583,201199,10323158,173452,1412,63365372,63719156,64771544,0,0,0,0,2,0,7859296,117551095,117672380,14,14,353,1583381,3170633,0,26660635,30721,86133374,49024833,0
1789805034.8913224,1.252,1018698,24539,0,172,48,40,20584,201207,10324782,179876,1412,63353712,63704288,64771544,0,0,0,1,1,0,7860281,117735879,117857164,14,14,353,1583170,3170211,0,26662712,30727,86139782,49024833,0
1789805035.1416883,1.503,1019065,24561,0,172,48,40,20585,201215,10326121,188132,1412,63342288,63688732,64771544,0,0,0,1,1,0,7861365,117897015,118018318,14,14,353,1582988,3169846,0,26667781,30727,86148150,49024833,0
1789805035.392068,1.753,1019418,24570,0,172,48,40,20592,201247,10329749,191176,1412,63321936,63666824,64771544,0,0,0,1,3,0,7861741,117917503,118038805,14,14,353,1582520,3168909,0,26683982,30735,86151114,49024865,0
1789805035.6425016,2.004,1019775,24583,0,172,48,40,20594,201274,10332359,194400,1412,63295480,63638756,64771544,0,0,0,0,2,0,7862297,117991461,118112770,14,14,353,1581898,3167665,0,26691450,30736,86154614,49024865,0
1789805035.8928213,2.254,1020139,24595,0,172,48,40,20595,201297,10335536,197516,1412,63275736,63617452,64771544,0,0,0,0,2,0,7862922,118078210,118199518,14,14,353,1581444,3166756,0,26696263,30736,86157458,49024865,0
