t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789804799.552365,0.0,719163,16220,0,172,41,39,13973,140530,6662001,117016,1436,63700468,64083180,64771544,0,0,0,1,1,0,7249444,77859941,77961746,12,12,359,1590951,3185793,0,19174803,18179,47779162,42850021,0
1789804799.8027802,0.25,719404,16238,0,172,41,39,13974,140669,6662590,126364,1436,63683476,64060336,64771544,0,0,0,1,16,0,7249592,77888137,77989984,12,12,359,1590682,3185254,0,19177467,18252,47791450,42850021,0
1789804800.0533168,0.501,719775,16255,0,172,41,39,13976,140678,6663304,134780,1436,63675436,64047564,64771544,0,0,0,1,1,0,7250164,77982593,78084552,12,12,359,1590599,3185088,0,19182442,18287,47801070,42850021,0
1789804800.3037071,0.751,720150,16277,0,172,41,39,13978,140679,6664037,162468,1468,63645884,64003784,64771544,0,0,0,1,1,0,7250847,78143195,78245169,12,12,367,1590217,3184322,0,19186647,18495,47829378,42850021,0
1789804800.5540407,1.002,720515,16300,0,172,41,39,13979,140689,6666209,173132,1468,63629620,63982168,64771544,0,0,0,0,4,0,7251651,78281857,78384169,12,12,367,1589944,3183777,0,19189855,18587,47840022,42850021,0
1789804800.8043818,1.252,720885,16323,0,172,41,39,13980,140694,6667815,179580,1468,63618572,63967860,64771544,0,0,0,1,1,0,7252678,78466543,78568854,12,12,367,1589750,3183388,0,19191893,18593,47846458,42850021,0
1789804801.0546837,1.502,721252,16344,0,172,41,39,13981,140704,6669109,188052,1468,63611616,63956656,64771544,0,0,0,1,5,0,7253543,78627628,78729954,12,12,367,1589682,3183252,0,19196983,18593,47854822,42850021,0
1789804801.3050094,1.753,721604,16354,0,172,41,39,13986,140738,6672651,190800,1436,63607008,63950644,64771544,0,32,0,1,3,0,7254227,78656340,78758667,12,12,359,1589602,3183092,8,19213148,18601,47857802,42850053,0
1789804801.5554168,2.003,721962,16366,0,172,41,39,13988,140764,6675250,194452,1436,63581320,63923128,64771544,0,32,0,0,2,0,7255145,78738762,78841118,12,12,359,1589007,3181899,8,19220469,18602,47861318,42850053,0
1789804801.805762,2.253,722327,16378,0,172,41,39,13990,140784,6678378,197284,1436,63562928,63903320,64771544,0,32,0,1,3,0,7255821,78825022,78927377,12,12,359,1588583,3181050,8,19225367,18602,47864126,42850053,0
1789804802.056083,2.504,722686,16393,0,172,41,39,13995,140806,6682177,200464,1436,63539088,63877876,64771544,0,32,0,1,1,0,7256506,78879945,78982301,12,12,359,1588028,3179939,8,19233146,18609,47867534,42850053,0
1789804802.3064635,2.754,723038,16404,0,172,41,39,13996,140842,6686225,203680,1468,63535448,63872628,64771544,0,0,0,0,5,0,7256991,78913795,79016151,12,12,367,1587977,3179837,0,19235591,18614,47870390,42850053,0
1789804802.5568082,3.004,723396,16414,0,172,41,39,13998,140872,6690753,205964,1468,63527916,63863960,64771544,0,0,0,1,1,0,7257740,78975748,79078110,12,12,367,1587817,3179518,0,19237371,18617,47872734,42850053,0
1789804802.8072171,3.255,723738,16426,0,172,41,39,14003,140913,6695972,208412,1468,63508684,63843496,64771544,0,0,0,0,1,0,7258138,79004735,79107239,12,12,367,1587368,3178618,0,19241913,18620,47875118,42850057,0
1789804803.1004398,3.548,724181,16451,0,172,41,39,14004,140915,6696865,236260,1468,63491756,63812272,64771544,0,0,0,1,1,0,7259443,79249454,79352075,12,12,367,1587302,3178486,0,19245258,18848,47903890,42850057,0
1789804803.3528912,3.801,724556,16470,0,172,41,39,14005,140919,6697501,250396,1468,63478168,63791504,64771544,0,0,0,1,1,0,7260292,79439312,79541945,12,12,367,1587143,3178166,0,19249108,18953,47918106,42850057,0
