t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789804959.9988894,0.0,922386,22045,0,172,46,40,18679,182516,9217529,117500,1600,63657128,64039188,64771544,0,536,0,1,1,0,7658314,104425353,104542976,13,13,400,1589858,3183603,134,24239560,26272,78890086,47335253,0
1789804960.250209,0.251,922626,22063,0,172,46,40,18680,182659,9218182,126760,1448,63648352,64024800,64771544,0,0,0,0,17,0,7659478,104444110,104561748,13,13,362,1589803,3183493,0,24242230,26345,78902558,47335253,0
1789804960.500933,0.502,922999,22080,0,172,46,40,18682,182666,9218875,135340,1448,63632868,64004364,64771544,0,0,0,0,2,0,7661075,104542725,104660389,13,13,362,1589540,3182966,0,24247244,26382,78912838,47335253,0
1789804960.751343,0.752,923374,22102,0,172,46,40,18684,182666,9219577,162900,1480,63612612,63970120,64771544,0,0,0,1,1,0,7661855,104708059,104825723,13,13,370,1589383,3182653,0,24251466,26592,78940570,47335253,0
1789804961.001679,1.003,923739,22126,0,172,46,40,18685,182675,9221824,173480,1480,63597364,63949552,64771544,0,0,0,1,1,0,7662668,104852417,104970135,13,13,370,1589135,3182157,0,24254626,26681,78951042,47335253,0
1789804961.252005,1.253,924110,22148,0,172,46,40,18686,182682,9223514,179888,1480,63586992,63935972,64771544,0,0,0,0,2,0,7663611,105037742,105155476,13,13,370,1588957,3181799,0,24256651,26687,78957478,47335253,0
1789804961.502347,1.503,924476,22169,0,172,46,40,18688,182691,9224949,188128,1480,63573264,63918112,64771544,0,0,0,1,2,0,7664387,105198633,105316372,13,13,370,1588717,3181319,0,24261779,26687,78965802,47335253,0
1789804961.7527006,1.754,924830,22179,0,172,46,40,18693,182722,9228458,191192,1512,63566536,63909820,64771544,0,0,0,1,3,0,7664825,105223937,105341675,13,13,378,1588588,3181061,0,24277888,26695,78968750,47335285,0
1789804962.0033638,2.004,925189,22191,0,172,46,40,18695,182748,9230558,194592,1512,63544924,63886520,64771544,0,0,0,0,4,0,7665285,105298003,105415741,13,13,378,1588091,3180065,0,24285274,26696,78972250,47335285,0
1789804962.2540216,2.255,925553,22203,0,172,46,40,18696,182771,9233828,197488,1480,63523552,63863700,64771544,0,0,0,1,3,0,7666002,105384423,105502181,13,13,370,1587573,3179029,0,24289994,26696,78975094,47335285,0
1789804962.5047371,2.506,925914,22218,0,172,46,40,18699,182793,9237657,200860,1480,63495464,63833912,64771544,0,0,0,0,2,0,7666526,105471138,105588896,13,13,370,1586935,3177750,0,24297715,26704,78978470,47335285,0
1789804962.755148,2.756,926265,22228,0,172,46,40,18701,182828,9241989,203760,1480,63486516,63823504,64771544,0,0,0,0,3,0,7666986,105525951,105643713,13,13,370,1586748,3177375,0,24299958,26709,78981318,47335285,0
1789804963.0057945,3.007,926625,22239,0,172,46,40,18703,182856,9246355,206188,1480,63477476,63813248,64771544,0,0,0,0,2,0,7667523,105593579,105711340,13,13,370,1586552,3176984,0,24301781,26712,78983746,47335285,0
1789804963.2562127,3.257,926970,22250,0,172,46,40,18706,182894,9251773,208488,1480,63515436,63850052,64771544,0,0,0,0,2,0,7668322,105616615,105734507,13,13,370,1587529,3178940,0,24306634,26715,78986042,47335289,0
1789804963.5463216,3.547,927407,22276,0,172,46,40,18707,182896,9252688,236336,1480,63499232,63819556,64771544,0,0,0,1,1,0,7669544,105862327,105980220,13,13,370,1587481,3178844,0,24309700,26943,79014814,47335289,0
1789804963.7986135,3.8,927783,22294,0,172,46,40,18709,182901,9253315,250488,1480,63484636,63797780,64771544,0,0,0,1,1,0,7670361,106052811,106170704,13,13,370,1587296,3178473,0,24313531,27048,79029054,47335289,0
1789804964.0489225,4.05,928158,22311,0,172,46,40,18710,182906,9253834,262324,1480,63469284,63776460,64771544,0,0,0,1,1,0,7671297,106222992,106340885,13,13,370,1587062,3178004,0,24317690,27141,79040994,47335289,0
1789804964.2992358,4.3,928524,22326,0,172,46,40,18711,182922,9255635,268632,1480,63471904,63775828,64771544,0,0,0,0,2,0,7671980,106292097,106409996,13,13,370,1587208,3178298,0,24321527,27153,79047450,47335289,0
1789804964.5496392,4.551,928884,22340,0,172,46,40,18713,182948,9257372,271624,1480,63456288,63758704,64771544,0,0,0,1,1,0,7672531,106380139,106498045,13,13,370,1586856,3177593,0,24325232,27157,79050482,47335289,0
