t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805261.7357173,0.0,1306987,32799,0,172,55,41,26130,260485,14285175,117256,1268,63686784,64070672,64771544,0,16,0,1,1,0,8588161,160668022,160803923,18,18,317,1590641,3185171,4,34270280,44790,103919486,50614881,0
1789805261.9861164,0.25,1307226,32816,0,172,56,41,26131,260627,14285782,126648,1268,63670084,64048496,64771544,0,0,0,0,17,0,8588529,160696029,160831947,18,18,317,1590380,3184650,0,34272944,44863,103931778,50614881,0
1789805262.2366529,0.501,1307599,32833,0,172,56,41,26134,260634,14286519,135384,1268,63658712,64032076,64771544,0,0,0,1,1,0,8589746,160793692,160929621,18,18,317,1590222,3184333,0,34277949,44899,103942034,50614881,0
1789805262.4870362,0.751,1307974,32856,0,172,56,41,26135,260634,14287221,162844,1300,63636584,63995792,64771544,0,0,0,0,2,0,8590556,160957724,161093653,18,18,325,1590024,3183935,0,34282166,45108,103969706,50614881,0
1789805262.7374,1.002,1308339,32879,0,172,56,41,26137,260644,14289433,173492,1300,63622904,63976760,64771544,0,0,0,1,1,0,8591426,161100352,161236283,18,18,325,1589816,3183519,0,34285342,45200,103980354,50614881,0
1789805262.9877756,1.252,1308709,32901,0,172,56,41,26138,260652,14291082,179876,1300,63612036,63962704,64771544,0,0,0,1,1,0,8592432,161284480,161420420,18,18,325,1589614,3183115,0,34287361,45206,103986750,50614881,0
1789805263.238152,1.502,1309076,32923,0,172,56,41,26139,260663,14292392,188200,1300,63600104,63946596,64771544,0,0,0,1,1,0,8593641,161446633,161582589,18,18,325,1589430,3182747,0,34292452,45206,103995098,50614881,0
1789805263.488554,1.753,1309430,32932,0,172,56,41,26144,260693,14296041,191208,1300,63618348,63963352,64771544,0,0,0,1,3,0,8594017,161467923,161603880,18,18,325,1589923,3183734,0,34308492,45214,103998062,50614913,0
1789805263.738928,2.003,1309788,32945,0,172,56,41,26147,260720,14298097,194644,1300,63592480,63935768,64771544,0,0,0,0,2,0,8594798,161548524,161684485,18,18,325,1589320,3182526,0,34316196,45215,104001514,50614913,0
1789805263.9892766,2.254,1310152,32957,0,172,56,41,26149,260742,14301284,197544,1300,63572884,63914712,64771544,0,0,0,0,4,0,8595557,161633725,161769687,18,18,325,1588867,3181620,0,34321125,45215,104004414,50614913,0
1789805264.239602,2.504,1310512,32971,0,172,56,41,26152,260762,14305109,200932,1300,63552316,63892432,64771544,0,0,0,1,1,0,8596186,161684764,161820748,18,18,325,1588396,3180677,0,34328930,45223,104007818,50614913,0
1789805264.4899821,2.754,1310863,32982,0,172,56,41,26154,260798,14309011,203772,1300,63545632,63884316,64771544,0,0,0,0,4,0,8596694,161740073,161876057,18,18,325,1588265,3180414,0,34331565,45228,104010698,50614913,0
1789805264.7403378,3.005,1311219,32991,0,172,56,41,26156,260828,14314013,205768,1300,63537820,63875508,64771544,0,0,0,1,1,0,8597377,161791720,161927705,18,18,325,1588095,3180074,0,34333227,45230,104012642,50614913,0
1789805264.9906766,3.255,1311562,33003,0,172,56,41,26160,260871,14319528,208264,1300,63522232,63858672,64771544,0,0,0,1,2,0,8597838,161841842,161977827,18,18,325,1587737,3179357,0,34337853,45234,104015170,50614913,0
1789805265.382107,3.646,1312159,33029,0,172,56,41,26161,260874,14320671,236484,1300,63503524,63825460,64771544,0,0,0,1,1,0,8598885,162071382,162207379,18,18,325,1587632,3179147,0,34341323,45462,104044210,50614917,0
1789805265.6345446,3.899,1312535,33048,0,172,56,41,26163,260879,14321294,250568,1300,63486764,63801572,64771544,0,0,0,1,1,0,8599677,162261498,162397494,18,18,325,1587392,3178665,0,34345165,45567,104058450,50614917,0
1789805265.8848777,4.149,1312910,33065,0,172,56,41,26163,260886,14321805,262316,1300,63469716,63778600,64771544,0,0,0,1,1,0,8600625,162432207,162568204,18,18,325,1587114,3178109,0,34349271,45660,104070370,50614917,0
1789805266.1352053,4.399,1313277,33080,0,172,56,41,26165,260901,14323658,268712,1300,63447296,63752924,64771544,0,0,0,0,2,0,8601634,162502903,162638914,18,18,325,1586636,3177151,0,34353121,45672,104076846,50614917,0
1789805266.3856227,4.65,1313635,33093,0,172,56,41,26167,260928,14325569,271676,1300,63431056,63735156,64771544,0,0,0,1,1,0,8602300,162584708,162720732,18,18,325,1586268,3176416,0,34357248,45676,104079830,50614917,0
1789805266.6360967,4.9,1313963,33105,0,172,56,41,26172,260984,14327686,274232,1300,63367328,63670156,64771544,0,0,0,1,3,0,8602707,162627030,162763054,18,18,325,1584709,3173294,0,34376263,45676,104082422,50614917,0
1789805266.8865955,5.151,1314314,33115,0,172,56,41,26174,261020,14329890,276856,1300,63336556,63636872,64771544,0,0,0,1,1,0,8603312,162678283,162814312,18,18,325,1583945,3171763,0,34382956,45676,104085122,50614917,0
1789805267.1370645,5.401,1314672,33127,0,172,56,41,26175,261049,14334268,280268,1300,63313072,63610000,64771544,0,0,0,0,8,0,8604181,162741198,162877231,18,18,325,1583359,3170589,0,34389241,45679,104088582,50614917,0
1789805267.3875377,5.652,1315024,33137,0,172,56,41,26177,261085,14335943,283300,1300,63307164,63601040,64771544,0,0,0,1,1,0,8604615,162790095,162926130,18,18,325,1583211,3170294,0,34391237,45679,104091442,50614917,0
1789805267.6379728,5.902,1315373,33145,0,172,56,41,26179,261126,14337966,285680,1400,63296204,63587672,64771544,0,0,0,0,2,0,8605018,162831493,162967528,18,18,350,1582938,3169746,0,34395054,45681,104093818,50614917,0
1789805267.8884013,6.153,1315733,33157,0,172,56,41,26180,261152,14340077,289372,1400,63285052,63572836,64771544,0,0,0,0,3,0,8606450,162908876,163044918,18,18,350,1582659,3169188,0,34398572,45681,104097442,50614917,0
