stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789805581810,1789805582278,468,False,371,44630628,60,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789805583750,1789805583921,171,False,145,72194263,12,15,2114,0,0,0,0,2500,0,0,0,0,46131,2500,26320955
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789805583751,1789805583922,171,False,144,70423123,12,15,2114,0,0,0,0,2500,0,0,0,0,43446,2500,25778673
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789805583751,1789805583923,172,False,140,79417467,12,15,2114,0,0,0,0,2500,0,0,0,0,43580,2500,24683378
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789805583751,1789805583924,173,False,145,98672928,12,15,2114,0,0,0,0,2501,0,0,0,0,44083,2501,25858363
2,save at NativeMethodAccessorImpl.java:0,6,1,0,1789805583919,1789805585119,1200,False,1182,870510850,13,30,2346,0,0,0,103634285,417185,0,0,0,0,97928684,417185,122422382
2,save at NativeMethodAccessorImpl.java:0,5,0,0,1789805583915,1789805585132,1217,False,1196,919067730,15,30,2346,0,0,0,103636625,417187,0,0,0,0,97927808,417187,118303849
2,save at NativeMethodAccessorImpl.java:0,8,3,0,1789805583922,1789805585145,1223,False,1209,882626168,11,30,2346,0,0,0,103634240,417185,0,0,0,0,97927230,417185,127741085
2,save at NativeMethodAccessorImpl.java:0,7,2,0,1789805583920,1789805585146,1226,False,1209,873608230,12,30,2346,0,0,0,103634250,417185,0,0,0,0,97935570,417185,130227422
2,save at NativeMethodAccessorImpl.java:0,10,5,0,1789805585131,1789805585857,726,False,719,659637454,1,12,2346,0,0,0,103634195,417185,0,0,0,0,97929776,417185,113873848
2,save at NativeMethodAccessorImpl.java:0,9,4,0,1789805585119,1789805585860,741,False,735,665799422,3,12,2346,0,0,0,103634225,417185,0,0,0,0,97929602,417185,113999089
2,save at NativeMethodAccessorImpl.java:0,12,7,0,1789805585145,1789805585868,723,False,717,641612631,2,12,2346,0,0,0,103634170,417185,0,0,0,0,97933068,417185,115541952
2,save at NativeMethodAccessorImpl.java:0,11,6,0,1789805585145,1789805585893,748,False,741,671282907,2,14,2389,0,0,0,103634190,417185,0,0,0,0,97930381,417185,118300340
2,save at NativeMethodAccessorImpl.java:0,13,8,0,1789805585856,1789805586544,688,False,682,631748118,2,21,2346,0,0,0,103634165,417185,0,0,0,0,97929424,417185,123705871
2,save at NativeMethodAccessorImpl.java:0,15,10,0,1789805585867,1789805586583,716,False,711,640574163,1,21,2346,0,0,0,103634150,417185,0,0,0,0,97931077,417185,113752278
2,save at NativeMethodAccessorImpl.java:0,16,11,0,1789805585893,1789805586588,695,False,691,627202466,2,19,2346,0,0,0,103634140,417185,0,0,0,0,97931867,417185,110850294
2,save at NativeMethodAccessorImpl.java:0,14,9,0,1789805585859,1789805586589,730,False,725,642684094,1,21,2346,0,0,0,103634165,417185,0,0,0,0,97928316,417185,112508141
2,save at NativeMethodAccessorImpl.java:0,17,12,0,1789805586543,1789805587225,682,False,676,627004690,2,21,2346,0,0,0,103634130,417185,0,0,0,0,97932595,417185,107357036
2,save at NativeMethodAccessorImpl.java:0,18,13,0,1789805586582,1789805587288,706,False,702,634404156,1,21,2346,0,0,0,103634115,417185,0,0,0,0,97934555,417185,114522142
2,save at NativeMethodAccessorImpl.java:0,19,14,0,1789805586588,1789805587298,710,False,707,616437239,1,21,2346,0,0,0,103634090,417185,0,0,0,0,97927890,417185,110141249
2,save at NativeMethodAccessorImpl.java:0,20,15,0,1789805586588,1789805587301,713,False,710,620464945,1,21,2346,0,0,0,103634085,417185,0,0,0,0,97929559,417185,110865675
2,save at NativeMethodAccessorImpl.java:0,21,16,0,1789805587225,1789805587915,690,False,684,623198241,2,26,2346,0,0,0,103634065,417185,0,0,0,0,97927019,417185,108330723
2,save at NativeMethodAccessorImpl.java:0,23,18,0,1789805587298,1789805588003,705,False,701,628984212,1,26,2346,0,0,0,103634040,417185,0,0,0,0,97934396,417185,110738105
2,save at NativeMethodAccessorImpl.java:0,24,19,0,1789805587301,1789805588016,715,False,712,630731616,1,26,2346,0,0,0,103634040,417185,0,0,0,0,97937645,417185,112345621
2,save at NativeMethodAccessorImpl.java:0,22,17,0,1789805587288,1789805588029,741,False,735,667334233,2,26,2346,0,0,0,103634065,417185,0,0,0,0,97929969,417185,114018789
2,save at NativeMethodAccessorImpl.java:0,25,20,0,1789805587915,1789805588607,692,False,687,617871521,1,15,2346,0,0,0,103634025,417185,0,0,0,0,97934588,417185,122525966
2,save at NativeMethodAccessorImpl.java:0,26,21,0,1789805588002,1789805588674,672,False,667,617358107,1,15,2346,0,0,0,103634015,417185,0,0,0,0,97931537,417185,109104229
2,save at NativeMethodAccessorImpl.java:0,27,22,0,1789805588016,1789805588693,677,False,673,624081044,1,15,2346,0,0,0,103634010,417185,0,0,0,0,97929318,417185,111322956
2,save at NativeMethodAccessorImpl.java:0,28,23,0,1789805588028,1789805588713,685,False,680,622448999,1,15,2346,0,0,0,103633990,417185,0,0,0,0,97925375,417185,111665484
2,save at NativeMethodAccessorImpl.java:0,29,24,0,1789805588606,1789805589299,693,False,688,636790610,1,18,2346,0,0,0,103633985,417185,0,0,0,0,97928327,417185,107472932
2,save at NativeMethodAccessorImpl.java:0,30,25,0,1789805588673,1789805589362,689,False,684,638249151,1,18,2346,0,0,0,103633965,417185,0,0,0,0,97931418,417185,112203305
2,save at NativeMethodAccessorImpl.java:0,31,26,0,1789805588693,1789805589382,689,False,685,642510014,2,18,2346,0,0,0,103633960,417185,0,0,0,0,97926108,417185,110737050
2,save at NativeMethodAccessorImpl.java:0,32,27,0,1789805588712,1789805589406,694,False,689,640113406,1,18,2346,0,0,0,103633940,417185,0,0,0,0,97935723,417185,111504524
2,save at NativeMethodAccessorImpl.java:0,33,28,0,1789805589299,1789805589958,659,False,655,615963667,1,8,2346,0,0,0,103633940,417185,0,0,0,0,97927243,417185,105078615
