t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805466.1149504,0.0,1559152,38984,0,172,60,41,33690,320415,17358908,117168,1460,63611180,63990096,64771544,0,0,0,1,1,0,9141139,187483270,187644092,20,20,365,1588630,3181145,0,40699483,53407,139320618,58750193,0
1789805466.365396,0.25,1559393,39001,0,172,60,41,33692,320555,17359516,126864,1460,63600420,63976600,64771544,0,0,0,0,17,0,9141866,187511449,187672318,20,20,365,1588603,3181091,0,40702146,53480,139332902,58750193,0
1789805466.6159196,0.501,1559764,39018,0,172,60,41,33693,320566,17360216,134828,1460,63584612,63956476,64771544,0,0,0,1,1,0,9142462,187604939,187765887,20,20,365,1588316,3180517,0,40707106,53515,139342526,58750193,0
1789805466.8663423,0.751,1560139,39041,0,172,60,41,33695,320567,17360920,162884,1492,63555188,63912436,64771544,0,0,0,1,1,0,9143245,187765514,187926506,20,20,373,1587947,3179777,0,40711289,53722,139370806,58750193,0
1789805467.116728,1.002,1560504,39064,0,172,60,41,33696,320577,17363102,173372,1492,63542088,63894048,64771544,0,0,0,1,1,0,9144078,187906198,188067221,20,20,373,1587752,3179386,0,40714507,53817,139381422,58750193,0
1789805467.3671703,1.252,1560875,39086,0,172,60,41,33698,320583,17364787,179884,1492,63538968,63887676,64771544,0,0,0,1,1,0,9145150,188088200,188249233,20,20,373,1587755,3179393,0,40716567,53823,139387806,58750193,0
1789805467.6176364,1.503,1561242,39108,0,172,60,41,33699,320594,17366094,188272,1492,63523652,63868156,64771544,0,0,0,0,1,0,9146067,188250590,188411627,20,20,373,1587478,3178837,0,40721668,53823,139396194,58750193,0
1789805467.8680851,1.753,1561597,39117,0,172,60,41,33704,320622,17369725,191212,1492,63516132,63859164,64771544,0,0,0,1,3,0,9146808,188311834,188472871,20,20,373,1587328,3178537,0,40737419,53831,139399138,58750225,0
1789805468.1185467,2.004,1561954,39130,0,172,60,41,33708,320649,17372318,194540,1492,63498864,63840232,64771544,0,0,0,0,2,0,9147610,188361381,188522447,20,20,373,1586937,3177755,0,40744721,53832,139402462,58750225,0
1789805468.3689754,2.254,1562319,39141,0,172,60,41,33709,320670,17375419,197484,1492,63478632,63818520,64771544,0,0,0,0,2,0,9149016,188432458,188593531,20,20,373,1586469,3176818,0,40749616,53832,139405426,58750225,0
1789805468.619421,2.504,1562679,39156,0,172,60,41,33713,320692,17379191,200744,1492,63450696,63788948,64771544,0,0,0,0,2,0,9150010,188515787,188676896,20,20,373,1585813,3175503,0,40757446,53840,139408810,58750225,0
1789805468.8698418,2.755,1563032,39168,0,172,60,41,33714,320726,17382789,203760,1492,63441264,63778008,64771544,0,0,0,0,3,0,9150533,188576827,188737941,20,20,373,1585615,3175107,0,40759365,53845,139411830,58750225,0
1789805469.1202948,3.005,1563387,39177,0,172,60,41,33716,320759,17387527,205984,1492,63447084,63782720,64771544,0,0,0,1,2,0,9151086,188605610,188766751,20,20,373,1585788,3175453,0,40761173,53847,139413926,58750225,0
1789805469.370741,3.256,1563728,39189,0,172,60,41,33719,320802,17393180,208516,1492,63429304,63763676,64771544,0,0,0,1,1,0,9151610,188654917,188816176,20,20,373,1585375,3174627,0,40765851,53851,139416470,58750225,0
1789805469.7639112,3.649,1564330,39215,0,172,60,41,33720,320804,17394137,236480,1492,63411124,63731136,64771544,0,0,0,1,1,0,9152490,188856798,189018125,20,20,373,1585280,3174437,0,40769192,54079,139445338,58750229,0
1789805470.0163956,3.901,1564706,39233,0,172,60,41,33722,320808,17394801,250652,1492,63396756,63709584,64771544,0,0,0,1,1,0,9153466,189046167,189207511,20,20,373,1585101,3174078,0,40773054,54184,139459578,58750229,0
1789805470.2669783,4.152,1565081,39250,0,172,60,41,33723,320815,17395353,262376,1492,63390812,63697712,64771544,0,0,0,1,1,0,9155719,189136146,189297523,20,20,373,1585100,3174077,0,40777184,54277,139471418,58750229,0
1789805470.5173833,4.402,1565448,39265,0,172,60,41,33725,320831,17397298,268748,1492,63380244,63683872,64771544,0,0,0,0,3,0,9156320,189211291,189372681,20,20,373,1584918,3173712,0,40780583,54289,139477974,58750229,0
1789805470.7677865,4.653,1565807,39279,0,172,60,41,33726,320856,17399382,271760,1492,63374356,63676468,64771544,0,0,0,0,4,0,9156902,189297225,189458614,20,20,373,1584809,3173494,0,40784511,54293,139480966,58750229,0
1789805471.0182407,4.903,1566136,39291,0,172,60,41,33730,320912,17401460,274576,1492,63329572,63630200,64771544,0,0,0,1,3,0,9157452,189342177,189503571,20,20,373,1583724,3171320,0,40802564,54293,139483778,58750229,0
1789805471.2687054,5.154,1566490,39301,0,172,60,41,33731,320944,17403617,277128,1492,63317960,63616000,64771544,0,0,0,0,2,0,9157814,189388360,189549754,20,20,373,1583434,3170740,0,40809860,54293,139486334,58750229,0
1789805471.5191505,5.404,1566843,39312,0,172,60,41,33734,320976,17408580,280532,1492,63303932,63598568,64771544,0,0,0,0,5,0,9158387,189446043,189607436,20,20,373,1583084,3170038,0,40815888,54296,139489754,58750229,0
1789805471.7696161,5.655,1567196,39323,0,172,60,41,33735,321011,17410297,283404,1492,63288404,63580148,64771544,0,0,0,0,3,0,9158773,189496752,189658145,20,20,373,1582696,3169262,0,40819058,54296,139492638,58750229,0
1789805472.0200622,5.905,1567545,39332,0,172,60,41,33737,321051,17412890,286176,1592,63268784,63557792,64771544,0,0,0,1,1,0,9159161,189540629,189702022,20,20,398,1582206,3168281,0,40823261,54298,139495302,58750229,0
1789805472.2705235,6.156,1567904,39344,0,172,60,41,33738,321078,17415641,289356,1592,63265604,63551440,64771544,0,0,0,1,2,0,9160298,189613726,189775209,20,20,398,1582127,3168122,0,40826782,54298,139498466,58750229,0
1789805472.5211647,6.406,1568255,39350,0,172,60,41,33740,321119,17417990,291488,1592,63245480,63529144,64771544,0,0,0,0,2,0,9160871,189645387,189806870,20,20,398,1581624,3167116,0,40832249,54298,139500778,58750229,0
1789805472.771652,6.657,1568575,39351,0,172,60,41,33746,321190,17432810,292308,1592,63240520,63523328,64771544,0,0,0,0,2,0,9161734,189649543,189811026,20,20,398,1581501,3166869,0,40834473,54300,139501410,58750229,0
1789805473.0221004,6.907,1568907,39353,0,172,60,41,33749,321250,17440116,292920,1592,63219128,63501324,64771544,0,0,0,0,3,0,9162351,189658760,189820244,20,20,398,1580967,3165799,0,40839021,54300,139502022,58750229,0
1789805473.2725554,7.158,1569250,39364,0,172,60,41,33751,321294,17445558,295652,1592,63215020,63494576,64771544,0,0,0,1,1,0,9163077,189703531,189865014,20,20,398,1580864,3165594,0,40841841,54303,139504758,58750229,0
1789805473.5228755,7.408,1569623,39375,0,172,60,41,33752,321309,17446649,299008,1592,63209120,63485276,64771544,0,0,0,0,2,0,9163717,189808110,189969593,20,20,398,1580717,3165299,0,40843425,54303,139508174,58750229,0
1789805473.7732096,7.658,1569993,39382,0,172,60,41,33754,321330,17448117,300936,1592,63192680,63466904,64771544,0,0,0,0,3,0,9164158,189873406,190034896,20,20,398,1580306,3164477,0,40847759,54303,139510038,58750229,0
1789805474.023624,7.909,1570343,39393,0,172,60,41,33756,321367,17449713,304044,1592,63168804,63439892,64771544,0,0,0,0,2,0,9164536,189926688,190088178,20,20,398,1579710,3163284,0,40853816,54303,139513146,58750229,0
1789805474.2739666,8.159,1570718,39404,0,172,60,41,33757,321378,17450327,306868,1592,63159168,63427420,64771544,0,0,0,0,2,0,9166454,190034596,190196205,20,20,398,1579470,3162802,0,40858879,54303,139516050,58750229,0
1789805474.5243225,8.409,1571068,39410,0,172,60,41,33759,321420,17452236,308476,1592,63141772,63408420,64771544,0,0,0,0,2,0,9166761,190066370,190227984,20,20,398,1579036,3161932,0,40864254,54303,139517594,58750229,0
1789805474.7746463,8.66,1571436,39419,0,172,60,41,33760,321441,17453158,310508,1592,63119284,63383736,64771544,0,0,0,0,2,0,9167256,190139700,190301314,20,20,398,1578474,3160808,0,40870134,54303,139519862,58750229,0
1789805475.0249548,8.91,1571766,39424,0,172,60,41,33764,321500,17458379,312008,1592,63089404,63352024,64771544,0,0,0,0,5,0,9167747,190158085,190319699,20,20,398,1577728,3159315,0,40877749,54303,139521630,58750229,0
1789805475.2753067,9.16,1572066,39428,0,172,60,41,33769,321592,17461695,313204,1748,63054468,63315916,64771544,0,0,0,0,4,0,9168052,190161418,190323046,20,20,437,1576856,3157568,0,40892087,54304,139522634,58750229,0
1789805475.5257583,9.411,1572415,39442,0,172,60,41,33771,321627,17462926,317044,1748,63037472,63294760,64771544,0,0,0,1,2,0,9168390,190220539,190382195,20,20,437,1576432,3156719,0,40900176,54328,139526942,58750229,0
1789805475.7762115,9.661,1572743,39463,0,172,60,41,33779,321669,17467209,322988,3148,63094920,63344676,64771544,0,0,0,0,3,0,9168925,190273945,190435663,20,20,787,1577866,3159590,0,40915665,54372,139534570,58750229,0
1789805476.0266135,9.912,1573046,39480,0,172,61,41,33785,321740,17482076,329100,3148,63055668,63298936,64771544,0,0,0,1,2,0,9169684,190306932,190468796,20,20,787,1576886,3157628,0,40926496,54409,139540830,58750229,0
1789805476.277039,10.162,1573387,39497,0,172,61,42,33790,321777,17486145,333748,3148,63040288,63278408,64771544,0,0,0,0,2,0,9170175,190352772,190514639,20,20,787,1576502,3156859,0,40938354,54437,139546050,58750233,0
1789805476.5275025,10.413,1573747,39503,0,172,61,42,33793,321807,17488662,336156,4624,63022060,63257668,64771544,0,0,0,0,2,0,9170686,190390241,190552115,20,20,1156,1576047,3155948,0,40944200,54446,139548342,58750233,0
1789805476.777976,10.663,1574082,39512,0,172,61,42,33794,321860,17493357,338620,4636,63015620,63248772,64771544,0,0,0,0,2,0,9171125,190423780,190585655,20,20,1159,1575886,3155626,0,40946011,54447,139550790,58750233,0
1789805477.028476,10.914,1574398,39513,0,172,61,42,33798,321936,17502558,339340,4692,63010188,63242584,64771544,0,0,0,1,4,0,9171705,190428601,190590476,20,20,1173,1575751,3155355,0,40948166,54447,139551506,58750297,0
1789805477.279151,11.164,1574670,39514,0,172,61,42,33802,322060,17510615,339916,4704,63001656,63233512,64771544,0,0,0,0,7,0,9172223,190429432,190591306,20,20,1176,1575538,3154928,0,40954302,54447,139552114,58750297,0
1789805477.529876,11.415,1574959,39523,0,172,61,42,33812,322151,17518807,422092,4852,62917176,63066692,64771544,0,0,0,0,6,0,9173012,190440553,190602427,20,20,1213,1573429,3150705,0,40978343,54447,139634310,58750297,0
1789805477.7803626,11.665,1575163,39523,0,172,61,42,33825,322331,17527454,441436,24788,62808048,62937628,64771544,0,0,0,0,6,0,9173994,190440586,190602465,20,20,6197,1570683,3145207,0,41011307,54447,139634358,58750297,0
1789805478.030835,11.916,1575424,39532,0,172,61,42,33839,322447,17535901,702484,137304,62712272,62579816,64771544,0,0,0,1,4,0,9174686,190454578,190616497,20,20,34326,1568277,3140389,0,41040980,54447,139783258,58750297,0
1789805478.281329,12.166,1575703,39539,0,172,61,42,33855,322545,17541813,937576,278144,62684036,62315188,64771544,0,0,0,0,5,0,9175047,190468051,190629970,20,20,69639,1567550,3138933,0,41055098,54447,139877142,58750297,0
1789805478.532045,12.417,1575978,39543,0,172,61,42,33887,322633,17546473,1145324,404948,62412092,61833552,64771544,0,0,0,0,11,0,9175706,190475879,190637799,20,20,101237,1560703,3125223,0,41061767,54447,139958086,58750297,0
1789805478.7825458,12.668,1576208,39551,0,172,61,42,33903,322777,17553362,1331832,448540,62378972,61613592,64771544,0,0,0,2,5,0,9176117,190485588,190647509,20,20,112135,1559868,3123551,0,41077362,54447,140102186,58750297,0
1789805479.0330248,12.918,1576464,39557,0,172,61,42,33918,322901,17558501,1573132,589972,62354496,61345980,64771544,0,0,0,0,5,0,9176415,190493999,190655924,20,20,147493,1559211,3122235,0,41104118,54447,140200870,58750297,0
1789805479.2835085,13.169,1576753,39569,0,172,61,42,33927,322993,17562085,1878152,732408,62394568,61079668,64771544,0,0,0,0,5,0,9176915,190522226,190684154,20,20,183203,1560178,3124171,0,41105152,54447,140362726,58750297,0
1789805479.534001,13.419,1577019,39575,0,172,61,42,33958,323093,17566298,2042956,817012,62096960,60615368,64771544,0,0,0,0,6,0,9177220,190529967,190691896,20,20,204253,1552701,3109200,0,41112550,54447,140443654,58750297,0
1789805479.784719,13.67,1577310,39584,0,172,61,42,33975,323173,17572526,2342920,955464,62129128,60345980,64771544,0,0,0,0,5,0,9177635,190546525,190708453,20,20,238866,1553465,3110728,0,41135536,54447,140605510,58750297,0
1789805480.035209,13.92,1577593,39594,0,172,61,42,33990,323267,17577605,2639552,1090068,62125920,60044116,64771544,0,0,0,0,5,0,9178144,190567260,190729193,20,20,272517,1553334,3110466,0,41148722,54447,140767366,58750297,0
1789805480.2856917,14.171,1577857,39599,0,172,61,42,34025,323363,17581365,2831452,1201092,61882808,59607704,64771544,0,0,0,0,7,0,9178800,190574163,190736097,20,20,300273,1547230,3098244,0,41156872,54447,140848294,58750297,0
1789805480.536161,14.421,1578134,39609,0,172,61,42,34044,323459,17587675,3123044,1332440,61913296,59344900,64771544,0,0,0,1,5,0,9179262,190594613,190756547,20,20,333110,1547949,3099683,0,41176990,54447,141009158,58750297,0
1789805480.7866397,14.672,1578414,39614,0,172,61,42,34056,323560,17591492,3356292,1483164,61933636,59130080,64771544,0,0,0,1,5,0,9179540,190605355,190767291,20,20,370791,1548408,3100602,0,41191064,54447,141091262,58750297,0
1789805481.0371208,14.922,1578699,39625,0,172,61,42,34090,323631,17595982,3629536,1599204,61648504,58569552,64771544,0,0,0,0,6,0,9180094,190628422,190790359,20,20,399801,1541237,3086243,0,41198065,54447,141248842,58750297,0
1789805481.2876403,15.173,1578987,39631,0,172,61,42,34102,323722,17600556,3842380,1726332,61743212,58450020,64771544,0,0,0,0,7,0,9180431,190643551,190805488,20,20,431583,1543565,3090904,0,41213169,54447,141334302,58750297,0
