t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805179.741576,0.0,1202290,29771,0,172,53,40,24140,239581,12884911,117024,1448,63316096,63700500,64771544,0,0,0,1,1,0,8330035,145228522,145358490,17,17,362,1581393,3166652,0,31433182,39517,97538102,50062997,0
1789805179.9922748,0.251,1202532,29789,0,172,53,40,24141,239722,12885505,126728,1448,63299236,63677824,64771544,0,0,0,0,17,0,8330245,145256415,145386394,17,17,362,1581123,3166113,0,31435843,39590,97550258,50062997,0
1789805180.242849,0.501,1202902,29806,0,172,53,40,24143,239732,12886244,133956,1448,63346932,63721120,64771544,0,0,0,1,1,0,8331383,145351901,145481917,17,17,362,1582424,3168717,0,31440766,39624,97559382,50062997,0
1789805180.4933136,0.752,1203277,29828,0,172,53,40,24144,239733,12886969,162568,1480,63319664,63679164,64771544,0,0,0,1,1,0,8332139,145510818,145640843,17,17,370,1582110,3168088,0,31444995,39830,97588146,50062997,0
1789805180.7436612,1.002,1203642,29852,0,172,53,40,24146,239742,12889143,173392,1480,63303052,63657072,64771544,0,0,0,0,2,0,8332886,145650801,145780833,17,17,370,1581832,3167532,0,31448217,39926,97598918,50062997,0
1789805180.9940517,1.252,1204013,29874,0,172,53,40,24146,239748,12890849,179776,1480,63293160,63643996,64771544,0,0,0,1,1,0,8333857,145834477,145964509,17,17,370,1581665,3167197,0,31450247,39932,97605334,50062997,0
1789805181.2444613,1.503,1204380,29895,0,172,53,40,24148,239759,12892161,188164,1480,63298572,63645204,64771544,0,0,0,0,1,0,8334994,145996392,146126428,17,17,370,1581904,3167677,0,31455342,39932,97613690,50062997,0
1789805181.4949276,1.753,1204735,29904,0,172,53,40,24154,239791,12895781,191100,1480,63258124,63603260,64771544,0,32,0,1,3,0,8335323,146018227,146148263,17,17,370,1580932,3165730,8,31471225,39940,97616658,50063029,0
1789805181.7456274,2.004,1205091,29917,0,172,53,40,24157,239819,12898386,194580,1480,63236008,63579396,64771544,0,32,0,1,1,0,8336154,146095535,146225571,17,17,370,1580424,3164712,8,31478657,39941,97620126,50063029,0
1789805181.996073,2.254,1205457,29929,0,172,53,40,24159,239840,12901532,197476,1480,63217232,63559172,64771544,0,32,0,0,4,0,8336781,146183226,146313262,17,17,370,1579991,3163846,8,31483437,39941,97623026,50063029,0
1789805182.2467926,2.505,1205816,29944,0,172,53,40,24162,239862,12905270,200868,1480,63212400,63552640,64771544,0,32,0,0,2,0,8338207,146267065,146397115,17,17,370,1579913,3163689,8,31491274,39949,97626442,50063029,0
1789805182.4972317,2.756,1206167,29955,0,172,53,40,24164,239897,12909167,203792,1480,63202712,63541488,64771544,0,32,0,0,2,0,8338720,146323581,146453631,17,17,370,1579708,3163278,8,31493255,39954,97629334,50063029,0
1789805182.747661,3.006,1206527,29966,0,172,53,40,24166,239924,12913650,206068,1480,63196312,63533956,64771544,0,32,0,1,1,0,8339365,146389917,146519973,17,17,370,1579576,3163015,8,31494926,39957,97631690,50063029,0
1789805182.9980998,3.257,1206872,29977,0,172,53,40,24170,239961,12918881,208508,1480,63183064,63519476,64771544,0,32,0,0,1,0,8339827,146438029,146568085,17,17,370,1579276,3162414,8,31499698,39960,97634058,50063033,0
1789805183.2948108,3.553,1207320,30002,0,172,53,40,24171,239964,12919815,236356,1480,63193536,63515656,64771544,0,32,0,1,1,0,8341142,146681991,146812296,17,17,370,1579894,3163652,8,31503033,40188,97662830,50063033,0
1789805183.5474665,3.806,1207696,30021,0,172,53,40,24172,239969,12920466,250504,1480,63198768,63513704,64771544,0,32,0,1,1,0,8342054,146871445,147001759,17,17,370,1580204,3164273,8,31506883,40293,97677038,50063033,0
1789805183.797907,4.056,1208071,30038,0,172,53,40,24173,239976,12920976,262196,1480,63203076,63512128,64771544,0,32,0,1,1,0,8343058,147040835,147171150,17,17,370,1580459,3164782,8,31510993,40386,97688882,50063033,0
1789805184.0482292,4.307,1208437,30053,0,172,53,40,24175,239991,12922510,268616,1480,63197992,63503760,64771544,0,0,0,1,1,0,8343771,147116941,147247255,17,17,370,1580414,3164692,0,31514810,40398,97695414,50063033,0
1789805184.2986345,4.557,1208796,30067,0,172,53,40,24176,240016,12923887,271632,1480,63188240,63492476,64771544,0,0,0,1,1,0,8344437,147202216,147332538,17,17,370,1580209,3164281,0,31518836,40402,97698450,50063033,0
1789805184.5490587,4.807,1209128,30079,0,172,53,40,24179,240069,12925380,274468,1480,63119328,63422164,64771544,0,0,0,1,3,0,8344796,147249505,147379826,17,17,370,1578523,3160907,0,31537657,40402,97701310,50063033,0
1789805184.7995431,5.058,1209482,30090,0,172,53,40,24181,240102,12926906,276984,1480,63094088,63394404,64771544,0,0,0,0,2,0,8345238,147304961,147435282,17,17,370,1577895,3159648,0,31544514,40402,97703882,50063033,0
1789805185.0499988,5.308,1209834,30101,0,172,53,40,24183,240136,12930021,280556,1480,63093552,63390244,64771544,0,0,0,0,3,0,8345603,147337029,147467351,17,17,370,1577881,3159621,0,31550624,40405,97707374,50063033,0
1789805185.3004744,5.559,1210191,30111,0,172,53,40,24185,240167,12931167,283400,1480,63083704,63377576,64771544,0,0,0,0,2,0,8345994,147393129,147523459,17,17,370,1577635,3159128,0,31553371,40406,97710398,50063033,0
1789805185.550906,5.809,1210543,30121,0,172,53,40,24186,240203,12932731,286416,1580,63072056,63362924,64771544,0,0,0,1,1,0,8346356,147445398,147575728,17,17,395,1577345,3158546,0,31557000,40407,97713234,50063033,0
1789805185.8013651,6.06,1210900,30133,0,172,53,40,24187,240234,12934208,290108,1580,63060460,63347616,64771544,0,0,0,0,3,0,8346841,147519022,147649358,17,17,395,1577045,3157946,0,31560536,40407,97716926,50063033,0
1789805186.0518126,6.31,1211248,30139,0,172,53,40,24189,240277,12937162,292440,1580,63058096,63342504,64771544,0,0,0,0,2,0,8347177,147541888,147672224,17,17,395,1576996,3157848,0,31565292,40424,97719570,50063033,0
1789805186.302266,6.561,1211549,30150,0,172,53,40,24195,240355,12946108,296248,4344,63061664,63341444,64771544,0,0,0,0,2,0,8348469,147550334,147680713,17,17,1086,1577085,3158027,0,31574447,40489,97724126,50063033,0
1789805186.5527089,6.811,1211883,30153,0,172,53,40,24198,240415,12951786,297076,4344,63063108,63342052,64771544,0,0,0,1,3,0,8348932,147562959,147693338,17,17,1086,1577121,3158099,0,31576287,40489,97724986,50063033,0
1789805186.803143,7.062,1212256,30168,0,172,53,40,24199,240427,12952748,301328,4344,63058672,63333352,64771544,0,0,0,0,2,0,8349775,147696999,147827386,17,17,1086,1577010,3157877,0,31577583,40489,97729186,50063033,0
1789805187.0534964,7.312,1212627,30175,0,172,53,40,24200,240447,12953859,303280,4344,63049392,63322112,64771544,0,0,0,0,2,0,8350236,147759843,147890237,17,17,1086,1576779,3157413,0,31580795,40489,97731118,50063033,0
1789805187.3038635,7.562,1212979,30184,0,172,53,40,24202,240483,12956327,305736,4344,63040524,63310796,64771544,0,0,0,1,2,0,8351203,147809795,147940188,17,17,1086,1576557,3156970,0,31586875,40489,97733590,50063033,0
1789805187.5542862,7.813,1213349,30197,0,172,53,40,24203,240499,12956917,309268,4344,63016828,63283568,64771544,0,0,0,0,2,0,8351830,147915455,148045848,17,17,1086,1575966,3155785,0,31592647,40489,97737106,50063033,0
1789805187.8046613,8.063,1213711,30203,0,172,53,40,24204,240530,12958485,310760,4344,62994284,63259524,64771544,0,0,0,0,9,0,8352162,147955747,148086147,17,17,1086,1575403,3154659,0,31598209,40489,97738606,50063033,0
1789805188.0551496,8.314,1214068,30211,0,172,53,40,24206,240562,12959847,312764,4344,62965468,63228688,64771544,0,0,0,0,4,0,8352522,148007312,148137712,17,17,1086,1574684,3153218,0,31605513,40489,97740610,50063033,0
1789805188.3056045,8.564,1214413,30220,0,172,53,41,24208,240605,12963444,314828,4344,62955568,63215988,64771544,0,0,0,1,1,0,8353085,148047334,148177754,17,17,1086,1574437,3152723,0,31611233,40489,97743426,50063033,0
1789805188.5560415,8.814,1214742,30225,0,172,53,41,24211,240666,12968007,316652,4500,62911760,63170316,64771544,0,0,0,0,6,0,8354275,148056274,148186694,17,17,1125,1573343,3150533,0,31621273,40489,97745090,50063033,0
1789805188.806592,9.065,1215065,30232,0,172,53,41,24213,240732,12970283,318272,4500,62874324,63131256,64771544,0,0,0,0,2,0,8354453,148067127,148197553,17,17,1125,1572408,3148662,0,31631248,40489,97746722,50063033,0
1789805189.0572605,9.316,1215423,30242,0,172,53,41,24216,240761,12972872,320944,4508,62849640,63103944,64771544,0,0,0,0,3,0,8354826,148108141,148238588,17,17,1127,1571792,3147428,0,31640608,40489,97749422,50063033,0
1789805189.307716,9.566,1215761,30245,0,172,53,41,24221,240813,12976816,322304,4508,62956268,63209188,64771544,0,0,0,0,2,0,8355103,148123203,148253656,17,17,1127,1574454,3152758,0,31650763,40489,97750734,50063033,0
1789805189.558152,9.817,1216127,30252,0,172,53,41,24222,240838,12979852,324000,4508,62930520,63181720,64771544,0,0,0,0,3,0,8355498,148170904,148301465,17,17,1127,1573811,3151471,0,31656790,40489,97752430,50063033,0
1789805189.8086207,10.067,1216490,30258,0,172,53,41,24224,240866,12983692,326072,4508,62909140,63158280,64771544,0,0,0,0,2,0,8355916,148217649,148348216,17,17,1127,1573278,3150402,0,31663317,40489,97754506,50063033,0
1789805190.0590677,10.317,1216802,30266,0,172,53,41,24228,240940,12993254,328224,4580,62904280,63151280,64771544,0,0,0,0,5,0,8356583,148231164,148361733,17,17,1145,1573156,3150159,0,31667547,40490,97756702,50063093,0
1789805190.309573,10.568,1217060,30269,0,172,53,41,24232,241072,13006407,329576,4596,62896716,63142328,64771544,0,0,0,0,11,0,8357335,148234908,148365476,17,17,1149,1572967,3149781,0,31671077,40490,97757966,50063093,0
1789805190.5602453,10.819,1217264,30272,0,172,53,41,24247,241245,13019405,330868,4840,62779416,63023360,64771544,0,0,0,0,9,0,8360209,148236567,148367136,17,17,1210,1570035,3143909,0,31700020,40490,97758990,50063093,0
1789805190.8107285,11.069,1217568,30278,0,172,53,41,24252,241328,13025899,352392,4840,62761708,62984148,64771544,0,0,0,0,10,0,8360628,148246215,148376784,17,17,1210,1569593,3143024,0,31708892,40492,97780514,50063093,0
1789805191.0613842,11.32,1217750,30285,0,172,53,41,24268,241524,13035526,510552,67100,62613924,62677956,64771544,0,0,0,0,12,0,8361352,148251360,148381947,17,17,16775,1565899,3135627,0,31757431,40493,97876814,50063093,0
