t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789806971.1991806,0.0,3434069,84579,0,172,94,47,82450,750295,40299725,117404,1332,63891612,64275828,64771544,0,0,0,1,1,0,14557014,401386882,401669124,49,49,333,1595765,3195431,0,88433013,119212,356680498,93148945,0
1789806971.4496229,0.25,3434310,84596,0,172,94,47,82451,750435,40300312,127052,1332,63876248,64254300,64771544,0,0,0,0,17,0,14557272,401415002,401697277,49,49,333,1595535,3194971,0,88435675,119285,356692786,93148945,0
1789806971.700154,0.501,3434681,84613,0,172,94,47,82453,750444,40301021,135288,1332,63859832,64233428,64771544,0,0,0,1,1,0,14557926,401509429,401791767,49,49,333,1595236,3194374,0,88440645,119321,356702606,93148945,0
1789806971.9505682,0.751,3435056,84636,0,172,94,47,82454,750444,40301717,162964,1364,63830916,64190192,64771544,0,0,0,1,1,0,14558747,401672011,401954349,49,49,341,1594872,3193644,0,88444838,119528,356730714,93148945,0
1789806972.200907,1.002,3435420,84659,0,172,94,47,82456,750456,40303996,173148,1364,63816824,64171068,64771544,0,0,0,0,3,0,14559611,401806287,402088647,49,49,341,1594646,3193191,0,88447960,119621,356741082,93148945,0
1789806972.4512894,1.252,3435790,84680,0,172,94,47,82457,750463,40305777,179440,1364,63803768,64154872,64771544,0,0,0,1,1,0,14560738,401985869,402268240,49,49,341,1594398,3192695,0,88449992,119627,356747494,93148945,0
1789806972.7016048,1.502,3436156,84702,0,172,94,47,82459,750474,40307003,187696,1364,63780968,64127948,64771544,0,0,0,1,2,0,14561842,402149226,402431597,49,49,341,1593932,3191762,0,88455057,119627,356755754,93148945,0
1789806972.951933,1.753,3436514,84711,0,172,94,47,82464,750502,40310694,191552,1364,63778120,64122964,64771544,0,0,0,0,3,0,14562835,402175507,402457878,49,49,341,1593914,3191726,0,88469083,119635,356758958,93148977,0
1789806973.2023828,2.003,3436864,84726,0,172,94,47,82467,750534,40313392,195800,1364,63754596,64097100,64771544,0,0,0,1,1,0,14563294,402240256,402522633,49,49,341,1593385,3190667,0,88478354,119655,356763578,93148977,0
1789806973.4528062,2.254,3437206,84752,0,172,94,47,82471,750560,40317342,202552,2896,63715308,64053616,64771544,0,0,0,0,3,0,14563816,402321222,402603605,49,49,724,1592499,3188893,0,88488111,119702,356772106,93148977,0
1789806973.7032232,2.504,3437541,84783,0,172,94,47,82475,750589,40321727,211660,2896,63670384,64003892,64771544,0,0,0,2,2,0,14564434,402436663,402719181,49,49,724,1591508,3186907,0,88499418,119750,356781754,93148977,0
1789806973.9536593,2.754,3437867,84806,0,172,94,47,82480,750634,40326092,218004,2896,63651144,63981284,64771544,0,0,0,0,4,0,14564949,402503450,402786076,49,49,724,1591112,3186114,0,88508113,119785,356788882,93148981,0
1789806974.2040913,3.005,3438216,84816,0,172,94,47,82483,750671,40330960,220956,4436,63642792,63971364,64771544,0,0,0,1,1,0,14566273,402547792,402830425,49,49,1109,1590943,3185777,0,88510733,119796,356791298,93148981,0
1789806974.454547,3.255,3438559,84828,0,172,94,47,82487,750711,40336433,223484,4436,63628380,63955688,64771544,0,0,0,1,2,0,14566893,402598723,402881372,49,49,1109,1590614,3185117,0,88515522,119800,356793826,93148981,0
1789806974.845239,3.646,3439155,84855,0,172,94,47,82488,750714,40337511,251632,4436,63632240,63945084,64771544,0,0,0,1,1,0,14567957,402853690,403136531,49,49,1109,1591072,3186034,0,88518979,120028,356822886,93148985,0
1789806975.0991485,3.9,3439532,84873,0,172,94,47,82490,750719,40338344,266068,4436,63635632,63941152,64771544,0,0,0,0,2,0,14568780,403044767,403327630,49,49,1109,1591339,3186569,0,88522890,120135,356837386,93148985,0
1789806975.412936,4.214,3440003,84894,0,172,94,47,82492,750728,40338862,280000,4436,63627164,63921532,64771544,0,0,0,1,1,0,14569894,403254430,403537346,49,49,1109,1591199,3186289,0,88528030,120230,356851470,93148985,0
1789806975.6633608,4.464,3440368,84908,0,172,94,47,82493,750747,40341316,284132,4436,63608664,63899096,64771544,0,0,0,1,1,0,14570622,403305250,403588212,49,49,1109,1590737,3185364,0,88531898,120235,356855826,93148985,0
1789806975.913757,4.715,3440718,84921,0,172,94,47,82494,750781,40343769,286976,4436,63591432,63878628,64771544,0,0,0,1,2,0,14571152,403371222,403654184,49,49,1109,1590307,3184503,0,88536552,120238,356858914,93148985,0
1789806976.1641812,4.965,3441035,84932,0,172,94,47,82498,750848,40345581,289860,4436,63541320,63825624,64771544,0,0,0,0,5,0,14571596,403405643,403688605,49,49,1109,1589056,3181998,0,88557103,120238,356861482,93148985,0
1789806976.4146357,5.215,3441396,84943,0,172,94,47,82500,750872,40347876,292676,4436,63516336,63797840,64771544,0,0,0,1,1,0,14572166,403473889,403756862,49,49,1109,1588432,3180749,0,88562689,120238,356864430,93148985,0
1789806976.6650846,5.466,3441740,84954,0,172,94,47,82503,750912,40353892,295988,4436,63499860,63778008,64771544,0,0,0,1,4,0,14572831,403524178,403807156,49,49,1109,1588021,3179925,0,88567186,120241,356867570,93148985,0
1789806976.9155247,5.716,3442098,84962,0,172,94,47,82505,750943,40355077,298340,4436,63492608,63768404,64771544,0,0,0,0,2,0,14573247,403573158,403856136,49,49,1109,1587840,3179563,0,88569197,120241,356869918,93148985,0
1789806977.165889,5.967,3442448,84974,0,172,94,47,82506,750980,40357582,301484,4536,63474324,63747068,64771544,0,0,0,0,1,0,14573935,403629425,403912410,49,49,1134,1587384,3178649,0,88573239,120242,356872962,93148985,0
