t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789806992.1460626,0.0,3459847,85247,0,172,94,47,83165,756535,40638436,117276,1424,63142616,63524800,64771544,0,0,0,1,1,0,14613543,404596830,404880223,49,49,362,1577022,3157900,0,89074880,120322,359863210,93157605,0
1789806992.396497,0.25,3460087,85265,0,172,94,47,83166,756675,40639039,127184,1448,63134724,63510796,64771544,0,0,0,1,16,0,14613974,404624725,404908170,49,49,362,1576981,3157819,0,89077542,120395,359875502,93157605,0
1789806992.6470118,0.501,3460459,85281,0,172,94,47,83168,756684,40639740,135352,1448,63118372,63489888,64771544,0,0,0,1,1,0,14614619,404728913,405012474,49,49,362,1576687,3157229,0,89082520,120431,359885314,93157605,0
1789806992.8974159,0.751,3460834,85304,0,172,94,47,83170,756685,40640461,163372,1480,63092232,63449436,64771544,0,0,0,1,1,0,14615371,404892495,405176057,49,49,370,1576392,3156638,0,89086712,120639,359913426,93157605,0
1789806993.1477506,1.002,3461199,85327,0,172,94,47,83172,756693,40642687,173996,1480,63094028,63445884,64771544,0,0,0,1,1,0,14615966,404980735,405264330,49,49,370,1576570,3156995,0,89089932,120731,359924070,93157605,0
1789806993.3981225,1.252,3461570,85350,0,172,94,47,83173,756699,40644379,180500,1480,63124336,63472732,64771544,0,0,0,1,1,0,14616947,405166102,405449702,49,49,370,1577413,3158683,0,89091937,120737,359930502,93157605,0
1789806993.6485057,1.502,3461936,85371,0,172,94,47,83175,756709,40645728,188796,1480,63118984,63463220,64771544,0,0,0,1,1,0,14617898,405327573,405611172,49,49,370,1577383,3158623,0,89097086,120737,359938886,93157605,0
1789806993.8988962,1.753,3462290,85380,0,172,94,47,83180,756741,40649426,191860,1512,63114892,63457572,64771544,0,0,0,1,3,0,14618370,405353285,405636885,49,49,378,1577320,3158497,0,89113183,120745,359941826,93157637,0
1789806994.1493611,2.003,3462648,85393,0,172,94,47,83181,756767,40652061,195280,1512,63109368,63450344,64771544,0,0,0,0,2,0,14619388,405428451,405712059,49,49,378,1577225,3158306,0,89120681,120746,359945362,93157637,0
1789806994.39979,2.254,3463013,85405,0,172,94,47,83184,756787,40654731,198220,1512,63090424,63429932,64771544,0,0,0,0,3,0,14620056,405517212,405800819,49,49,378,1576768,3157392,0,89125721,120746,359948206,93157637,0
1789806994.650454,2.504,3463374,85420,0,172,94,47,83187,756806,40657609,201608,1512,63063592,63401404,64771544,0,0,0,0,3,0,14620746,405603464,405887071,49,49,378,1576161,3156176,0,89133523,120754,359951582,93157637,0
1789806994.9010956,2.755,3463722,85431,0,172,94,47,83189,756844,40662512,204456,1512,63051988,63388276,64771544,0,0,0,1,3,0,14621260,405654588,405938195,49,49,378,1575909,3155672,0,89137016,120759,359954726,93157637,0
1789806995.1517413,3.006,3464080,85442,0,172,94,47,83191,756871,40667536,206828,1480,63065492,63400536,64771544,0,0,0,1,1,0,14621913,405720000,406003614,49,49,370,1576277,3156409,0,89138890,120762,359957150,93157637,0
1789806995.4021704,3.256,3464423,85453,0,172,94,47,83195,756912,40673294,209156,1480,63114680,63448556,64771544,0,0,0,0,1,0,14622412,405765745,406049365,49,49,370,1577534,3158926,0,89143433,120765,359959466,93157641,0
1789806995.693206,3.547,3464862,85478,0,172,94,47,83197,756914,40674250,237012,1480,63095396,63414968,64771544,0,0,0,1,1,0,14623534,406009027,406292794,49,49,370,1577410,3158677,0,89146770,120993,359988238,93157641,0
1789806995.9456909,3.8,3465238,85497,0,172,94,47,83198,756918,40674875,251160,1480,63077684,63390072,64771544,0,0,0,1,1,0,14624372,406199138,406482905,49,49,370,1577147,3158151,0,89150635,121098,360002458,93157641,0
1789806996.19602,4.05,3465613,85514,0,172,94,47,83199,756925,40675438,262912,1480,63066084,63372540,64771544,0,0,0,1,1,0,14625307,406368319,406652106,49,49,370,1577006,3157868,0,89154751,121191,360014326,93157641,0
1789806996.4465353,4.3,3465980,85529,0,172,94,47,83200,756942,40677584,269308,1480,63064392,63367564,64771544,0,0,0,0,3,0,14625905,406442315,406726107,49,49,370,1577045,3157947,0,89158896,121203,360020882,93157641,0
1789806996.6969414,4.551,3466340,85543,0,172,94,47,83202,756967,40679843,272272,1480,63049784,63351464,64771544,0,0,0,1,1,0,14626531,406535273,406819071,49,49,370,1576718,3157292,0,89162649,121207,360023874,93157641,0
1789806996.947399,4.801,3466667,85555,0,172,94,47,83207,757023,40682002,274960,1480,63001512,63301412,64771544,0,0,0,0,4,0,14626860,406576814,406860612,49,49,370,1575535,3154922,0,89181578,121207,360026538,93157641,0
1789806997.1978767,5.052,3467019,85565,0,172,94,47,83209,757058,40684167,277656,1480,62985552,63282708,64771544,0,0,0,0,2,0,14627438,406631055,406914860,49,49,370,1575136,3154124,0,89188126,121207,360029234,93157641,0
1789806997.4483547,5.302,3467371,85576,0,172,94,47,83211,757091,40689682,281084,1480,62970196,63263924,64771544,0,0,0,0,5,0,14628017,406688923,406972731,49,49,370,1574753,3153356,0,89194256,121210,360032662,93157641,0
1789806997.6987998,5.553,3467721,85586,0,172,94,47,83213,757129,40691300,283956,1480,62962800,63253640,64771544,0,0,0,0,2,0,14628391,406736217,407020026,49,49,370,1574568,3152987,0,89196319,121210,360035546,93157641,0
1789806997.9492226,5.803,3468073,85596,0,172,94,47,83215,757165,40693604,286636,1484,62948204,63236396,64771544,0,0,0,1,1,0,14628782,406783285,407067093,49,49,371,1574204,3152257,0,89200202,121212,360038254,93157641,0
1789806998.1996405,6.054,3468424,85607,0,172,94,47,83216,757200,40695325,290256,1484,62943436,63227996,64771544,0,0,0,1,1,0,14629316,406843261,407127070,49,49,371,1574085,3152019,0,89203841,121212,360041834,93157641,0
1789806998.4500487,6.304,3468784,85613,0,172,94,47,83218,757232,40697614,292276,1484,62931392,63213912,64771544,0,0,0,1,1,0,14630915,406879622,407163430,49,49,371,1573784,3151417,0,89206522,121212,360043998,93157641,0
1789806998.700397,6.554,3469109,85614,0,172,94,47,83221,757303,40706487,293036,1580,62923664,63205456,64771544,0,0,0,0,4,0,14631575,406884411,407168220,49,49,395,1573591,3151030,0,89208883,121214,360044514,93157641,0
