t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789807041.014545,0.0,3521115,86846,0,172,95,47,84887,769846,41398776,121520,1336,63144952,63525044,64771544,0,0,0,2,1,0,14750854,411721834,412010674,50,50,334,1577144,3158145,0,90669644,122587,367468350,95410613,0
1789807041.264961,0.25,3521336,86871,0,172,95,47,84890,769993,41400247,142684,2568,63173344,63541228,64771544,0,0,0,1,2,0,14752987,411786513,412077527,50,50,642,1578170,3160199,0,90675682,122789,367494166,95410613,0
1789807041.5153735,0.501,3521686,86893,0,172,95,47,84893,770020,41401120,153856,2704,63164608,63526404,64771544,0,0,0,2,1,0,14754961,411834546,412126701,50,50,676,1578104,3160067,0,90680966,122856,367506594,95410989,0
1789807041.7657816,0.751,3522036,86920,0,172,95,47,84898,770037,41402037,193112,2748,63141940,63484072,64771544,0,0,0,0,3,0,14755303,411937478,412229634,50,50,687,1578029,3159916,0,90686137,123091,367537382,95419157,0
1789807042.0161612,1.002,3522359,86962,0,172,95,47,84905,770062,41410953,205348,4128,63131828,63465760,64771544,0,0,0,1,2,0,14756004,412016494,412308818,50,50,1032,1577981,3159821,0,90694085,123215,367553894,95419261,0
1789807042.2665799,1.252,3522708,86994,0,172,95,47,84907,770078,41413251,216768,6068,63141640,63470396,64771544,0,0,0,1,2,0,14757028,412144457,412436798,50,50,1517,1578355,3160570,0,90700210,123229,367561178,95419261,0
1789807042.5169816,1.502,3523050,87016,0,172,95,47,84911,770110,41414487,225172,6076,63037572,63362124,64771544,0,0,0,0,2,0,14757716,412237365,412529707,50,50,1519,1575862,3155578,0,90731717,123229,367569566,95419261,0
1789807042.7673693,1.753,3523380,87025,0,172,95,47,84919,770162,41418009,228112,6076,62929656,63252724,64771544,0,0,0,1,4,0,14758051,412268494,412560836,50,50,1519,1573205,3150258,0,90760714,123237,367572510,95419293,0
1789807043.0180302,2.003,3523711,87038,0,172,95,47,84922,770214,41420576,231432,6076,62897788,63219180,64771544,0,0,0,0,3,0,14758671,412315950,412608291,50,50,1519,1572452,3148749,0,90770062,123238,367575914,95419293,0
1789807043.268523,2.254,3524067,87051,0,172,95,47,84925,770241,41424243,248208,6212,62893220,63205256,64771544,0,0,0,1,3,0,14759684,412383343,412675695,50,50,1553,1572571,3148988,0,90775451,123245,367578970,95434973,0
1789807043.519181,2.505,3524428,87065,0,172,95,47,84928,770264,41428039,251596,6212,62875964,63186304,64771544,0,0,0,1,1,0,14760346,412469567,412761925,50,50,1553,1572183,3148210,0,90783310,123251,367582374,95434973,0
1789807043.769645,2.755,3524779,87076,0,172,95,47,84930,770302,41432081,254424,6212,62865412,63174344,64771544,0,0,0,0,2,0,14760819,412524494,412816852,50,50,1553,1571955,3147753,0,90785639,123256,367585226,95434973,0
