t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789807089.8265853,0.0,3582173,88372,0,172,96,47,86654,783323,42169085,145696,1448,63416904,63784380,64771544,0,0,0,1,1,0,14894793,418064360,418361249,50,50,362,1584207,3172288,0,92368673,124883,375077062,97398705,0
1789807090.0772135,0.251,3582412,88390,0,172,96,47,86656,783465,42169725,155400,1464,63422984,63784736,64771544,0,0,0,0,17,0,14895340,418091533,418388446,50,50,366,1584520,3172914,0,92371336,124956,375089354,97398705,0
1789807090.32904,0.502,3582787,88407,0,172,96,47,86659,783472,42170422,163348,1464,63407024,63764276,64771544,0,0,0,1,1,0,14896022,418192794,418489723,50,50,366,1584234,3172341,0,92376289,124991,375098842,97398705,0
1789807090.5794733,0.753,3583162,88429,0,172,96,47,86660,783473,42171137,191484,1496,63377892,63720676,64771544,0,0,0,1,1,0,14896800,418354598,418651533,50,50,374,1583867,3171608,0,92380498,125200,375127146,97398705,0
1789807090.8298645,1.003,3583527,88453,0,172,96,47,86662,783482,42173343,202112,1496,63364684,63702124,64771544,0,0,0,0,4,0,14897586,418495914,418792878,50,50,374,1583671,3171215,0,92383710,125292,375137786,97398705,0
1789807091.080302,1.254,3583898,88475,0,172,96,47,86664,783488,42175033,208556,1496,63354332,63688544,64771544,0,0,0,1,1,0,14898435,418680794,418977808,50,50,374,1583493,3170859,0,92385755,125298,375144214,97398705,0
1789807091.330619,1.504,3584265,88496,0,172,96,47,86666,783496,42176391,216852,1496,63344236,63674288,64771544,0,0,0,1,5,0,14899310,418842836,419139870,50,50,374,1583345,3170562,0,92390848,125298,375152586,97398705,0
1789807091.580973,1.754,3584618,88506,0,172,96,47,86672,783528,42180082,219872,1496,63342928,63671464,64771544,0,0,0,1,3,0,14900426,418863406,419160465,50,50,374,1583350,3170572,0,92406966,125306,375155546,97398737,0
1789807091.8316529,2.005,3584976,88518,0,172,96,47,86674,783554,42182587,223296,1496,63318416,63645244,64771544,0,0,0,0,2,0,14900974,418938600,419235666,50,50,374,1582781,3169433,0,92414576,125307,375159086,97398737,0
1789807092.0820856,2.256,3585340,88531,0,172,96,47,86676,783575,42185133,226276,1496,63297912,63623236,64771544,0,0,0,0,4,0,14901634,419025947,419323012,50,50,374,1582307,3168483,0,92419382,125307,375161938,97398737,0
1789807092.332512,2.506,3585700,88545,0,172,96,47,86679,783596,42188976,229632,1496,63272476,63596088,64771544,0,0,0,0,2,0,14902292,419110405,419407475,50,50,374,1581715,3167297,0,92427005,125315,375165314,97398737,0
1789807092.5829008,2.756,3586051,88556,0,172,96,47,86680,783632,42193336,232488,1496,63263152,63585328,64771544,0,0,0,0,3,0,14902818,419165331,419462419,50,50,374,1581518,3166902,0,92429182,125320,375168162,97398737,0
1789807092.8332508,3.007,3586410,88567,0,172,96,47,86681,783659,42197620,234912,1496,63255468,63576432,64771544,0,0,0,1,1,0,14903432,419232779,419529868,50,50,374,1581356,3166579,0,92431054,125323,375170586,97398737,0
1789807093.0836706,3.257,3586755,88578,0,172,96,47,86685,783696,42202816,237212,1496,63288504,63608260,64771544,0,0,0,0,1,0,14904070,419257609,419554837,50,50,374,1582211,3168291,0,92435679,125326,375173030,97398741,0
1789807093.376919,3.55,3587197,88603,0,172,96,47,86686,783699,42203800,265060,1496,63285568,63591036,64771544,0,0,0,1,1,0,14905348,419503126,419800369,50,50,374,1582494,3168858,0,92439012,125554,375201802,97398741,0
1789807093.6294386,3.803,3587573,88622,0,172,96,47,86688,783703,42204435,279200,1496,63270080,63566140,64771544,0,0,0,1,1,0,14906153,419693163,419990414,50,50,374,1582231,3168332,0,92442869,125659,375216018,97398741,0
1789807093.879793,4.053,3587948,88639,0,172,96,47,86689,783710,42204983,290956,1496,63259700,63543896,64771544,0,0,0,1,1,0,14907050,419863734,420160985,50,50,374,1581972,3167813,0,92446992,125752,375227874,97398741,0
1789807094.1302953,4.304,3588314,88653,0,172,96,47,86691,783726,42207008,297328,1496,63269244,63546880,64771544,0,0,0,1,1,0,14907788,419936971,420234225,50,50,374,1582210,3168290,0,92450901,125764,375234410,97398741,0
1789807094.3807063,4.554,3588673,88667,0,172,96,47,86693,783751,42209296,300320,1496,63254900,63529520,64771544,0,0,0,0,2,0,14908366,420022199,420319453,50,50,374,1581852,3167573,0,92454712,125768,375237422,97398741,0
1789807094.6312118,4.805,3589000,88680,0,172,96,47,86697,783808,42211735,303120,1496,63189208,63461104,64771544,0,0,0,0,4,0,14908709,420065458,420362716,50,50,374,1580212,3164289,0,92474432,125768,375240206,97398741,0
1789807094.8817723,5.055,3589354,88690,0,172,96,47,86699,783840,42214182,305708,1496,63164292,63433512,64771544,0,0,0,1,1,0,14909147,420120761,420418019,50,50,374,1579590,3163043,0,92481229,125768,375242798,97398741,0
1789807095.132261,5.306,3589704,88701,0,172,96,47,86701,783876,42220500,309160,1496,63150652,63416464,64771544,0,0,0,0,5,0,14909685,420150411,420447677,50,50,374,1579250,3162362,0,92487322,125771,375246254,97398741,0
1789807095.3827417,5.556,3590053,88711,0,172,96,47,86703,783915,42222396,312004,1496,63135312,63398216,64771544,0,0,0,1,1,0,14910397,420182458,420479729,50,50,374,1578867,3161595,0,92490482,125771,375249134,97398741,0
1789807095.6332178,5.807,3590405,88721,0,172,96,47,86706,783951,42224692,314892,1596,63121448,63381516,64771544,0,0,0,0,2,0,14910777,420229382,420526652,50,50,399,1578521,3160902,0,92494474,125773,375251894,97398741,0
1789807095.8838599,6.057,3590763,88733,0,172,96,47,86708,783979,42226667,318400,1596,63108116,63364620,64771544,0,0,0,1,4,0,14911088,420266971,420564241,50,50,399,1578188,3160235,0,92498231,125773,375255614,97398741,0
1789807096.1345246,6.308,3591114,88738,0,172,96,47,86710,784021,42229506,320568,1596,63102352,63356668,64771544,0,0,0,1,1,0,14911474,420294342,420591612,50,50,399,1578044,3159947,0,92501536,125773,375257554,97398741,0
1789807096.3849378,6.558,3591425,88739,0,172,96,47,86713,784103,42238129,321084,1596,63089152,63342948,64771544,0,0,0,0,6,0,14912162,420298273,420595543,50,50,399,1577715,3159287,0,92507619,125775,375258070,97398741,0
1789807096.6354148,6.809,3591750,88742,0,172,96,47,86716,784171,42244722,321844,1596,63073400,63326480,64771544,0,0,0,1,2,0,14912706,420308535,420605806,50,50,399,1577321,3158500,0,92510807,125777,375258830,97398741,0
1789807096.8857644,7.059,3592120,88757,0,172,96,47,86717,784186,42246118,326084,1596,63066900,63315792,64771544,0,0,0,1,1,0,14913439,420427751,420725022,50,50,399,1577159,3158175,0,92512434,125778,375263070,97398741,0
1789807097.1360965,7.31,3592491,88764,0,172,96,47,86719,784204,42247281,328268,1596,63073116,63319776,64771544,0,0,0,0,3,0,14913932,420496956,420794226,50,50,399,1577314,3158486,0,92514710,125778,375265254,97398741,0
1789807097.3864694,7.56,3592846,88773,0,172,96,47,86721,784239,42249619,330388,1596,63050632,63295168,64771544,0,0,0,0,4,0,14914338,420545926,420843200,50,50,399,1576753,3157362,0,92521400,125778,375267462,97398741,0
1789807097.6371038,7.811,3593214,88786,0,172,96,47,86722,784257,42250204,334092,1596,63020544,63261412,64771544,0,0,0,0,2,0,14914939,420645385,420942659,50,50,399,1576002,3155858,0,92527800,125778,375271082,97398741,0
1789807097.8876212,8.061,3593579,88792,0,172,96,47,86723,784285,42251191,335720,1596,62993792,63232984,64771544,0,0,0,0,3,0,14915283,420688759,420986032,50,50,399,1575334,3154521,0,92533430,125778,375272722,97398741,0
1789807098.1382515,8.312,3593935,88801,0,172,96,47,86725,784319,42253277,337688,1596,62983912,63221160,64771544,0,0,0,0,3,0,14915585,420722712,421020011,50,50,399,1575088,3154027,0,92540429,125778,375274714,97398741,0
1789807098.3888826,8.562,3594283,88809,0,172,96,47,86728,784360,42256280,339608,1596,62971460,63206200,64771544,0,0,0,0,3,0,14916040,420763179,421060479,50,50,399,1574686,3153222,0,92546270,125778,375277242,97398741,0
1789807098.639527,8.813,3594610,88814,0,172,96,47,86731,784425,42260866,341556,1752,62924776,63157560,64771544,0,0,0,0,3,0,14916446,420781168,421078470,50,50,438,1573611,3151071,0,92556314,125779,375278934,97398741,0
1789807098.8899894,9.063,3594920,88821,0,172,96,47,86733,784505,42263349,343144,1752,62874932,63106120,64771544,0,0,0,1,1,0,14916666,420789294,421086596,50,50,438,1572367,3148579,0,92570588,125779,375280522,97398741,0
1789807099.1404762,9.314,3595280,88830,0,172,96,47,86736,784532,42265683,345876,1752,62852080,63080572,64771544,0,0,0,0,3,0,14917562,420832603,421129905,50,50,438,1571797,3147437,0,92580124,125779,375283250,97398741,0
1789807099.3909333,9.564,3595617,88835,0,172,96,47,86741,784585,42269558,347260,1760,62934268,63161360,64771544,0,0,0,0,2,0,14918102,420847020,421144326,50,50,440,1573848,3151545,0,92589520,125779,375284642,97398741,0
1789807099.641633,9.815,3595982,88841,0,172,96,47,86743,784610,42273835,348876,1760,62914112,63139580,64771544,0,0,0,0,2,0,14918500,420880434,421177755,50,50,440,1573345,3150538,0,92595663,125779,375286358,97398741,0
1789807099.8923295,10.066,3596346,88847,0,172,96,47,86745,784638,42276992,350736,1760,62889876,63113484,64771544,0,0,0,0,3,0,14918919,420921256,421218577,50,50,440,1572740,3149326,0,92602120,125779,375288114,97398741,0
1789807100.1430237,10.316,3596686,88855,0,172,96,47,86747,784687,42281284,353172,1768,62891584,63112772,64771544,0,0,0,1,4,0,14919475,420942340,421239666,50,50,442,1572783,3149411,0,92605013,125780,375290546,97398741,0
1789807100.3935091,10.567,3596996,88857,0,172,96,47,86749,784771,42287535,354172,1824,62885544,63105692,64771544,0,0,0,0,2,0,14919997,420946069,421243395,50,50,456,1572632,3149109,0,92608048,125780,375291534,97398805,0
1789807100.6440012,10.817,3597264,88859,0,172,96,47,86754,784896,42297070,354920,1840,62854108,63073472,64771544,0,0,0,1,5,0,14920455,420947580,421244906,50,50,460,1571843,3147530,0,92615926,125780,375292362,97398805,0
1789807100.894758,11.068,3597544,88866,0,172,96,47,86765,784997,42306949,414688,1840,62745328,62904700,64771544,0,0,0,0,8,0,14921006,420955138,421252464,50,50,460,1569132,3142100,0,92643192,125780,375352002,97398805,0
1789807101.1454742,11.319,3597759,88869,0,172,96,47,86776,785166,42315073,538760,67112,62611604,62646940,64771544,0,0,0,0,6,0,14922111,420958307,421255654,50,50,16778,1565793,3135416,0,92669190,125780,375410786,97398805,0
1789807101.3959446,11.569,3598027,88876,0,172,96,47,86793,785270,42324690,792328,190408,62520304,62300324,64771544,0,0,0,1,4,0,14922686,420967960,421265323,50,50,47602,1563471,3130765,0,92704031,125780,375541738,97398805,0
1789807101.6466,11.82,3598296,88885,0,172,96,47,86805,785377,42331309,1097656,332104,62468676,61941836,64771544,0,0,0,0,5,0,14923156,420983113,421280480,50,50,83026,1562144,3128109,0,92718553,125780,375704706,97398805,0
1789807101.8970842,12.07,3598524,88888,0,172,96,47,86839,785510,42339903,1223104,398572,62177400,61524184,64771544,0,0,0,0,6,0,14923705,420985612,421283005,50,50,99643,1554849,3113499,0,92730688,125780,375763506,97398805,0
1789807102.1475809,12.321,3598776,88902,0,172,96,47,86863,785621,42348114,1537844,537076,62178540,61208372,64771544,0,0,0,0,6,0,14924442,421001164,421298567,50,50,134269,1554832,3113467,0,92763683,125797,375940818,97398805,0
