t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805908.9808226,0.0,2113627,50859,0,172,70,43,48256,445673,23396457,117000,1632,63712820,64096416,64771544,0,0,0,1,1,0,11562353,243184318,243377737,27,27,408,1591268,3186426,0,54666463,69511,201284798,74170121,0
1789805909.2312112,0.25,2113866,50877,0,172,70,43,48257,445814,23397086,126980,1440,63701644,64079328,64771544,0,0,0,0,17,0,11563720,243212229,243405695,27,27,360,1591166,3186224,0,54669127,69584,201297094,74170121,0
1789805909.4817443,0.501,2114238,50894,0,172,70,43,48259,445823,23397819,135640,1440,63685840,64058844,64771544,0,0,0,1,1,0,11564276,243309333,243502838,27,27,360,1590889,3185668,0,54674115,69620,201307042,74170121,0
1789805909.7321303,0.751,2114613,50917,0,172,70,43,48260,445824,23398536,163216,1472,63655368,64013996,64771544,0,0,0,0,2,0,11565004,243472030,243665543,27,27,368,1590487,3184863,0,54678304,69828,201335030,74170121,0
1789805909.9824824,1.002,2114979,50940,0,172,70,43,48262,445832,23400670,173568,1472,63640876,63994284,64771544,0,0,0,1,1,0,11565961,243613195,243806798,27,27,368,1590256,3184400,0,54681493,69920,201345622,74170121,0
1789805910.2328176,1.252,2115349,50962,0,172,70,43,48262,445839,23402360,179804,1472,63636568,63986856,64771544,0,0,0,1,1,0,11566956,243797041,243990649,27,27,368,1590226,3184340,0,54683535,69926,201352022,74170121,0
1789805910.483138,1.502,2115716,50983,0,172,70,43,48264,445849,23403641,188204,1472,63614104,63960192,64771544,0,0,0,1,1,0,11567805,243959289,244152897,27,27,368,1589770,3183427,0,54688655,69926,201360410,74170121,0
1789805910.7334754,1.753,2116070,50992,0,172,70,43,48269,445882,23407383,191576,1472,63615876,63960276,64771544,0,0,0,1,3,0,11568152,243980662,244174276,27,27,368,1589856,3183600,0,54704695,69934,201363398,74170153,0
1789805910.9838889,2.003,2116427,51005,0,172,70,43,48271,445910,23409432,195000,1472,63589312,63931996,64771544,0,0,0,1,1,0,11569499,244055559,244249181,27,27,368,1589236,3182358,0,54712126,69935,201366846,74170153,0
1789805911.2342024,2.253,2116792,51017,0,172,70,43,48272,445933,23411909,197904,1472,63575164,63916392,64771544,0,0,0,1,3,0,11570173,244142679,244336307,27,27,368,1588919,3181724,0,54716982,69935,201369722,74170153,0
1789805911.48452,2.504,2117152,51032,0,172,70,43,48275,445955,23415220,201216,1472,63545684,63885260,64771544,0,0,0,1,1,0,11570602,244185692,244379337,27,27,368,1588224,3180333,0,54724779,69943,201373102,74170153,0
1789805911.7349079,2.754,2117502,51043,0,172,70,43,48277,445991,23418645,204160,1472,63537132,63875216,64771544,0,0,0,0,3,0,11571129,244241515,244435167,27,27,368,1588048,3179980,0,54727047,69948,201376022,74170153,0
1789805911.9852185,3.004,2117858,51052,0,172,70,43,48279,446022,23423770,206160,1472,63531468,63868564,64771544,0,0,0,1,1,0,11572497,244296333,244489996,27,27,368,1587931,3179746,0,54728733,69950,201377986,74170153,0
1789805912.2355525,3.255,2118199,51064,0,172,70,43,48283,446063,23429122,208648,1472,63523856,63859668,64771544,0,0,0,0,2,0,11572991,244346041,244539731,27,27,368,1587773,3179429,0,54733494,69954,201380554,74170153,0
1789805912.627298,3.646,2118798,51090,0,172,70,43,48284,446067,23430175,236800,1472,63507056,63828420,64771544,0,0,0,1,1,0,11574228,244602083,244795832,27,27,368,1587715,3179312,0,54736924,70182,201409542,74170157,0
1789805912.8800879,3.899,2119174,51109,0,172,70,43,48285,446071,23430816,250936,1472,63492472,63806680,64771544,0,0,0,1,1,0,11574858,244754559,244948337,27,27,368,1587529,3178941,0,54740797,70287,201423758,74170157,0
1789805913.1304247,4.15,2119549,51126,0,172,70,43,48286,446077,23431332,262708,1472,63475844,63784124,64771544,0,0,0,1,1,0,11576042,244924033,245117902,27,27,368,1587262,3178406,0,54744926,70380,201435622,74170157,0
1789805913.380757,4.4,2119915,51140,0,172,70,43,48287,446094,23433064,269088,1472,63465776,63770764,64771544,0,0,0,0,3,0,11577042,244996807,245190677,27,27,368,1587093,3178067,0,54748937,70392,201442178,74170157,0
1789805913.6311545,4.65,2120273,51154,0,172,70,43,48288,446120,23434938,272120,1472,63450152,63753628,64771544,0,0,0,0,2,0,11577628,245081800,245275670,27,27,368,1586741,3177362,0,54752688,70396,201445206,74170157,0
1789805913.8815863,4.901,2120601,51167,0,172,70,43,48292,446176,23436918,274936,1472,63379308,63681140,64771544,0,0,0,0,4,0,11577971,245125948,245319834,27,27,368,1585002,3173880,0,54771025,70396,201448098,74170157,0
1789805914.1320412,5.151,2120955,51177,0,172,70,43,48294,446208,23439203,277504,1472,63349840,63649112,64771544,0,0,0,0,2,0,11578461,245187040,245380937,27,27,368,1584266,3172407,0,54778764,70396,201450618,74170157,0
1789805914.3825042,5.402,2121304,51188,0,172,70,43,48297,446244,23444991,280928,1472,63333664,63629444,64771544,0,0,0,0,5,0,11579036,245240315,245434222,27,27,368,1583863,3171598,0,54784646,70399,201454014,74170157,0
1789805914.6329653,5.652,2121658,51198,0,172,70,43,48298,446278,23446731,283724,1472,63324644,63617628,64771544,0,0,0,1,1,0,11579450,245291466,245485409,27,27,368,1583638,3171148,0,54786973,70399,201456878,74170157,0
1789805914.88342,5.903,2122007,51208,0,172,70,43,48300,446318,23449390,286588,1572,63312780,63602892,64771544,0,0,0,1,1,0,11579850,245335519,245529462,27,27,393,1583341,3170554,0,54790425,70401,201459574,74170157,0
1789805915.1338356,6.153,2122368,51220,0,172,70,43,48301,446344,23451271,289960,1572,63301840,63588564,64771544,0,0,0,0,3,0,11581946,245391300,245585243,27,27,393,1583068,3170008,0,54793701,70401,201462966,74170157,0
1789805915.3842082,6.403,2122719,51225,0,172,70,43,48302,446385,23453175,291952,1572,63291228,63575964,64771544,0,0,0,0,2,0,11582226,245420353,245614296,27,27,393,1582803,3169477,0,54797882,70401,201465130,74170157,0
1789805915.6345825,6.654,2123044,51227,0,172,70,43,48305,446456,23460068,292660,1572,63278892,63562940,64771544,0,0,0,0,6,0,11582858,245422840,245616784,27,27,393,1582495,3168860,0,54802644,70403,201465646,74170157,0
1789805915.8850286,6.904,2123374,51229,0,172,70,43,48306,446522,23465551,293352,1572,63273456,63556816,64771544,0,0,0,1,4,0,11583346,245432282,245626225,27,27,393,1582360,3168589,0,54803975,70404,201466354,74170157,0
1789805916.1357248,7.155,2123744,51244,0,172,70,43,48307,446538,23467070,297572,1572,63271892,63551044,64771544,0,0,0,0,2,0,11584219,245555438,245749381,27,27,393,1582321,3168511,0,54805142,70406,201470590,74170157,0
1789805916.38615,7.405,2124115,51252,0,172,70,43,48309,446558,23468336,299836,1572,63258968,63535820,64771544,0,0,0,0,2,0,11584653,245624000,245817943,27,27,393,1581998,3167865,0,54808299,70406,201472822,74170157,0
1789805916.636571,7.656,2124468,51260,0,172,70,43,48310,446595,23471118,301924,1572,63237864,63512636,64771544,0,0,0,0,4,0,11585052,245669211,245863155,27,27,393,1581471,3166810,0,54813698,70406,201474910,74170157,0
1789805916.8869846,7.906,2124835,51273,0,172,70,43,48312,446613,23471745,305516,1572,63214316,63485480,64771544,0,0,0,0,2,0,11585651,245767473,245961417,27,27,393,1580883,3165632,0,54819600,70406,201478518,74170157,0
1789805917.1373692,8.157,2125203,51280,0,172,71,43,48314,446636,23472752,307304,1572,63199272,63468636,64771544,0,0,0,0,5,0,11586388,245792769,245986725,27,27,393,1580508,3164880,0,54824512,70406,201480298,74170157,0
1789805917.387753,8.407,2125554,51288,0,172,71,43,48316,446673,23474596,309296,1572,63169640,63437024,64771544,0,0,0,0,2,0,11586679,245837834,246031790,27,27,393,1579768,3163399,0,54831834,70406,201482290,74170157,0
1789805917.6381795,8.657,2125899,51296,0,172,71,43,48318,446717,23478543,311184,1572,63146252,63411168,64771544,0,0,0,0,3,0,11587002,245856929,246050884,27,27,393,1579184,3162230,0,54837800,70406,201484786,74170157,0
1789805917.8886318,8.908,2126224,51302,0,172,71,43,48322,446781,23483284,313184,1728,63101960,63364860,64771544,0,0,0,0,3,0,11587391,245868238,246062193,27,27,432,1578079,3160016,0,54848516,70406,201486614,74170157,0
1789805918.1390944,9.158,2126542,51308,0,172,71,43,48326,446851,23486661,314772,1728,63060988,63322312,64771544,0,0,0,1,1,0,11587998,245876593,246070552,27,27,432,1577056,3157968,0,54861143,70406,201488206,74170157,0
1789805918.38958,9.409,2126902,51318,0,172,71,43,48328,446880,23488902,317508,1728,63027196,63285816,64771544,0,0,0,0,3,0,11588331,245917653,246111614,27,27,432,1576212,3156279,0,54870260,70406,201490938,74170157,0
1789805918.6400445,9.659,2127238,51322,0,172,71,43,48331,446936,23493306,318908,1736,63126904,63384072,64771544,0,0,0,0,4,0,11589768,245931870,246125830,27,27,434,1578701,3161263,0,54879796,70406,201492330,74170157,0
1789805918.8905265,9.91,2127603,51329,0,172,71,43,48335,446961,23496719,320624,1736,63100904,63356352,64771544,0,0,0,0,2,0,11590172,245980002,246173962,27,27,434,1578052,3159963,0,54885876,70406,201494046,74170157,0
1789805919.140976,10.16,2127965,51335,0,172,71,43,48336,446991,23500600,322448,1736,63084000,63337624,64771544,0,0,0,0,4,0,11590633,246019295,246213256,27,27,434,1577630,3159118,0,54892528,70406,201495870,74170157,0
1789805919.3915339,10.411,2128298,51343,0,172,71,43,48338,447043,23506106,324900,1744,63076316,63327496,64771544,0,0,0,0,5,0,11591150,246052290,246246251,27,27,436,1577438,3158734,0,54894921,70407,201498422,74170157,0
1789805919.6420016,10.661,2128605,51345,0,172,71,43,48341,447131,23513451,325880,1804,63062424,63312612,64771544,0,0,0,0,6,0,11591651,246057699,246251659,27,27,451,1577092,3158040,0,54899123,70408,201499294,74170221,0
1789805919.8925142,10.912,2128848,51346,0,172,71,43,48352,447274,23523403,327664,3412,62986088,63234252,64771544,0,0,0,0,14,0,11592165,246058205,246252166,27,27,853,1575184,3154220,0,54922487,70408,201499434,74170221,0
1789805920.143105,11.162,2129077,51352,0,172,71,43,48360,447430,23531997,346936,2064,62939824,63168656,64771544,0,0,0,0,3,0,11596409,246065475,246259444,27,27,516,1574029,3151907,0,54937471,70408,201520050,74170221,0
1789805920.3936236,11.413,2129314,51356,0,172,71,43,48366,447580,23538543,366856,2064,62907108,63115988,64771544,0,0,0,0,8,0,11597233,246069349,246263338,27,27,516,1573212,3150271,0,54947721,70408,201539970,74170221,0
1789805920.6441376,11.663,2129548,51363,0,172,71,43,48383,447720,23552130,584508,104956,62847420,62838052,64771544,0,0,0,0,6,0,11598092,246075865,246269899,27,27,26239,1571707,3147258,0,54965307,70408,201654786,74170221,0
1789805920.8948655,11.914,2129797,51372,0,172,71,43,48395,447848,23564381,841488,227464,62823784,62555816,64771544,0,0,0,0,5,0,11598723,246087582,246281622,27,27,56866,1571066,3145974,0,54975605,70408,201788738,74170221,0
1789805921.1453674,12.165,2130035,51378,0,172,71,43,48428,447970,23574895,999996,304932,62509804,62082680,64771544,0,0,0,0,12,0,11599933,246093317,246287375,27,27,76233,1563202,3130227,0,55005120,70408,201870270,74170221,0
1789805921.3960433,12.415,2130252,51385,0,172,71,43,48448,448123,23583467,1239748,423304,62472628,61803820,64771544,0,0,0,1,8,0,11600499,246101646,246295713,27,27,105826,1562238,3128296,0,55035169,70408,201991730,74170221,0
1789805921.6467152,12.666,2130486,51391,0,172,71,43,48478,448252,23591333,1460232,541548,62257384,61366456,64771544,0,0,0,1,6,0,11601091,246108255,246302350,27,27,135387,1556833,3117473,0,55043242,70408,202094906,74170221,0
1789805921.8972018,12.916,2130755,51398,0,172,71,43,48499,448356,23604445,1693368,639788,62238392,61113236,64771544,0,0,0,0,5,0,11601705,246121302,246315402,27,27,159947,1556341,3116487,0,55069996,70408,202228838,74170221,0
1789805922.1476781,13.167,2131034,51406,0,172,71,43,48511,448453,23608592,1973804,786300,62240596,60833016,64771544,0,0,0,0,5,0,11602284,246136610,246330720,27,27,196575,1556337,3116479,0,55071784,70408,202362790,74170221,0
1789805922.3981278,13.417,2131278,51415,0,172,71,43,48540,448567,23618567,2135940,867128,62092528,60521272,64771544,0,0,0,0,11,0,11603069,246146152,246340283,27,27,216782,1552609,3109015,0,55089358,70408,202444330,74170221,0
1789805922.648634,13.668,2131505,51428,0,172,71,43,48560,448703,23628560,2305892,954776,62170496,60428456,64771544,0,0,0,1,3,0,11604116,246158680,246352845,27,27,238694,1554526,3112854,0,55101372,70408,202526202,74170221,0
1789805922.8991425,13.918,2131791,51432,0,172,71,43,48571,448800,23639847,2359208,985488,62110176,60314072,64771544,0,0,0,0,9,0,11604763,246162421,246356587,27,27,246372,1553003,3109803,0,55104833,70408,202548898,74170221,0
1789805923.149653,14.169,2131973,51432,0,172,71,43,48577,449011,23648152,2359324,985584,62108324,60312096,64771544,0,0,0,0,11,0,11605864,246162550,246356715,27,27,246396,1552957,3109711,0,55105560,70408,202548918,74170221,0
1789805923.4003391,14.42,2132153,51432,0,172,71,43,48586,449217,23658964,2359612,985872,62173004,60376484,64771544,0,0,0,0,8,0,11607310,246162550,246356715,27,27,246468,1554571,3112944,0,55108010,70408,202548918,74170221,0
1789805923.6508055,14.67,2132324,51432,0,172,71,43,48594,449436,23667202,2359996,986256,62164140,60367236,64771544,0,0,0,0,7,0,11609310,246162550,246356715,27,27,246564,1554350,3112501,0,55110596,70408,202548918,74170221,0
1789805923.9012861,14.92,2132526,51432,0,172,71,43,48602,449622,23675284,2360380,986640,62261752,60464472,64771544,0,0,0,0,8,0,11610296,246162550,246356715,27,27,246660,1556787,3117380,0,55111785,70408,202548918,74170221,0
1789805924.1519883,15.171,2132768,51432,0,172,71,43,48610,449772,23682018,2360764,987024,62292356,60494700,64771544,0,0,0,0,6,0,11610917,246162550,246356715,27,27,246756,1557551,3118910,0,55114075,70408,202548918,74170221,0
1789805924.4024677,15.422,2133099,51441,0,172,71,43,48616,449823,23687743,2009864,387388,62293736,60849024,64771544,0,0,0,0,3,0,11611325,246169741,246364051,27,27,96847,1557638,3119085,0,55116582,70409,202549054,74436705,0
1789805924.6529145,15.672,2133483,51441,0,172,71,43,48621,449834,23688456,1377476,3576,62298972,61496396,64771544,0,0,0,0,1,0,11613832,246169741,246364051,27,27,894,1558011,3119832,0,55117504,70409,202549054,74436705,0
