stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789805917921,1789805918388,467,False,366,44764782,65,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789805919741,1789805919912,171,False,142,74782701,13,15,2114,0,0,0,0,2500,0,0,0,0,43446,2500,25138358
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789805919741,1789805919913,172,False,141,105286937,13,15,2114,0,0,0,0,2501,0,0,0,0,44083,2501,23957898
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789805919741,1789805919915,174,False,146,76453662,13,15,2114,0,0,0,0,2500,0,0,0,0,43580,2500,26161337
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789805919740,1789805919916,176,False,142,72549969,13,15,2114,0,0,0,0,2500,0,0,0,0,46131,2500,25428379
2,save at NativeMethodAccessorImpl.java:0,6,1,0,1789805919912,1789805920974,1062,False,1040,785702287,17,38,2346,0,0,0,73585155,294060,0,0,0,0,69042675,294060,91362786
2,save at NativeMethodAccessorImpl.java:0,7,2,0,1789805919914,1789805920975,1061,False,1040,690067814,16,38,2346,0,0,0,73586162,294058,0,0,0,0,69040896,294058,93737015
2,save at NativeMethodAccessorImpl.java:0,8,3,0,1789805919915,1789805920977,1062,False,1043,732253270,16,38,2346,0,0,0,73584815,294060,0,0,0,0,69042537,294060,98255367
2,save at NativeMethodAccessorImpl.java:0,5,0,0,1789805919909,1789805920985,1076,False,1055,720724699,15,38,2346,0,0,0,73586780,294060,0,0,0,0,69044679,294060,93549264
2,save at NativeMethodAccessorImpl.java:0,10,5,0,1789805920974,1789805921614,640,False,632,555176445,3,27,2346,0,0,0,73589165,294059,0,0,0,0,69038890,294059,90776007
2,save at NativeMethodAccessorImpl.java:0,12,7,0,1789805920984,1789805921615,631,False,626,549594322,1,27,2346,0,0,0,73584105,294057,0,0,0,0,69047326,294057,92214829
2,save at NativeMethodAccessorImpl.java:0,11,6,0,1789805920977,1789805921626,649,False,645,565272086,2,27,2346,0,0,0,73586835,294055,0,0,0,0,69043986,294055,88498271
2,save at NativeMethodAccessorImpl.java:0,9,4,0,1789805920973,1789805921627,654,False,647,564295824,3,27,2346,0,0,0,73591005,294059,0,0,0,0,69043998,294059,89752195
2,save at NativeMethodAccessorImpl.java:0,14,9,0,1789805921614,1789805922176,562,False,556,493625180,1,21,2346,0,0,0,73585830,294055,0,0,0,0,69046215,294055,79712227
2,save at NativeMethodAccessorImpl.java:0,15,10,0,1789805921625,1789805922213,588,False,581,509940399,2,21,2346,0,0,0,73581620,294047,0,0,0,0,69038714,294047,85112990
2,save at NativeMethodAccessorImpl.java:0,13,8,0,1789805921613,1789805922213,600,False,594,527715188,3,21,2346,0,0,0,73585753,294057,0,0,0,0,69044961,294057,87281566
