t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805925.457439,0.0,2134729,51457,0,172,71,43,48635,449844,23690110,117268,1200,63483988,63867488,64771544,0,0,0,1,1,0,11615101,246199933,246394270,27,27,300,1585583,3175043,0,55123369,70520,202556518,74441573,0
1789805925.7078507,0.25,2134970,51475,0,172,71,43,48637,449984,23690714,126940,1200,63467536,63845328,64771544,0,0,0,0,17,0,11615341,246228088,246422468,27,27,300,1585328,3174532,0,55126035,70593,202568842,74441573,0
1789805925.9584079,0.501,2135341,51492,0,172,71,43,48639,449992,23691434,135568,1200,63453008,63826140,64771544,0,0,0,1,1,0,11616118,246320684,246515066,27,27,300,1585081,3174039,0,55131033,70629,202578946,74441573,0
1789805926.208802,0.751,2135716,51514,0,172,71,43,48640,449992,23692176,163184,1232,63426132,63784868,64771544,0,0,0,1,1,0,11617032,246504260,246698737,27,27,308,1584770,3173415,0,55135282,70840,202606998,74441573,0
1789805926.459151,1.002,2136081,51538,0,172,71,43,48641,450003,23694357,173796,1232,63413144,63766500,64771544,0,0,0,1,1,0,11617803,246643777,246838257,27,27,308,1584580,3173035,0,55138439,70929,202617438,74441573,0
1789805926.7095835,1.252,2136451,51560,0,172,71,43,48642,450009,23695952,180168,1232,63402996,63753168,64771544,0,0,0,1,1,0,11618799,246828043,247022540,27,27,308,1584406,3172687,0,55140467,70935,202623830,74441573,0
1789805926.9599483,1.503,2136817,51581,0,172,71,43,48643,450018,23697319,188588,1232,63382376,63728336,64771544,0,0,0,1,1,0,11619674,246987408,247181913,27,27,308,1583997,3171867,0,55145607,70935,202632278,74441573,0
1789805927.2103329,1.753,2137170,51590,0,172,71,43,48648,450051,23701326,191616,1232,63394052,63738504,64771544,0,0,0,1,2,0,11620430,247007025,247201530,27,27,308,1584326,3172526,0,55162095,70943,202635178,74441605,0
1789805927.460767,2.003,2137528,51603,0,172,71,43,48650,450077,23703945,195012,1232,63368664,63711424,64771544,0,0,0,0,2,0,11621038,247080841,247275346,27,27,308,1583734,3171341,0,55169802,70944,202638674,74441605,0
1789805927.711202,2.254,2137893,51615,0,172,71,43,48652,450097,23706567,197952,1232,63348496,63689788,64771544,0,0,0,1,1,0,11621713,247169251,247363761,27,27,308,1583267,3170406,0,55174544,70944,202641522,74441605,0
1789805927.9616299,2.504,2138253,51630,0,172,71,43,48654,450117,23709772,201348,1232,63322176,63661736,64771544,0,0,0,1,1,0,11622382,247253330,247447847,27,27,308,1582653,3169177,0,55182331,70951,202644902,74441605,0
1789805928.2120624,2.755,2138603,51641,0,172,71,43,48656,450153,23713968,204184,1232,63315780,63653920,64771544,0,0,0,0,3,0,11623004,247289031,247483547,27,27,308,1582529,3168928,0,55184796,70956,202647750,74441605,0
1789805928.4624987,3.005,2138962,51651,0,172,71,43,48659,450179,23718065,206580,1232,63309448,63646412,64771544,0,0,0,1,1,0,11623697,247355163,247549680,27,27,308,1582401,3168671,0,55186433,70959,202650142,74441605,0
1789805928.7128587,3.255,2139307,51663,0,172,71,43,48661,450220,23723034,208912,1232,63357660,63693440,64771544,0,0,0,0,1,0,11624108,247381209,247575873,27,27,308,1583634,3171140,0,55191067,70962,202652478,74441609,0
1789805929.0039465,3.547,2139746,51688,0,172,71,43,48662,450222,23723965,236640,1232,63362024,63683556,64771544,0,0,0,1,1,0,11625183,247625715,247820474,27,27,308,1584098,3172070,0,55194401,71190,202681250,74441609,0
1789805929.2563994,3.799,2140122,51707,0,172,71,43,48663,450227,23724608,250920,1232,63349848,63664140,64771544,0,0,0,0,2,0,11625981,247815987,248010754,27,27,308,1583975,3171824,0,55198259,71295,202695470,74441609,0
1789805929.50685,4.049,2140496,51723,0,172,71,43,48665,450234,23725398,262740,1804,63333752,63642044,64771544,0,0,0,1,1,0,11626803,247980899,248175666,27,27,451,1583723,3171319,0,55202451,71389,202707450,74441609,0
1789805929.7573028,4.3,2140863,51738,0,172,71,43,48666,450252,23727213,269076,1932,63319688,63624724,64771544,0,0,0,1,1,0,11627339,248073827,248268677,27,27,483,1583453,3170779,0,55206326,71401,202713954,74441609,0
1789805930.0076935,4.55,2141221,51752,0,172,71,43,48668,450277,23729229,272092,1932,63301808,63605320,64771544,0,0,0,1,1,0,11628517,248157454,248352304,27,27,483,1583045,3169961,0,55210488,71405,202716974,74441609,0
1789805930.2581336,4.801,2141549,51764,0,172,71,43,48671,450334,23731322,274720,1932,63240028,63541980,64771544,0,0,0,1,3,0,11628936,248200802,248395654,27,27,483,1581529,3166926,0,55228928,71405,202719682,74441609,0
1789805930.5086086,5.051,2141902,51774,0,172,71,43,48672,450370,23733529,277476,1932,63217728,63516920,64771544,0,0,0,0,2,0,11629391,248255293,248450155,27,27,483,1580973,3165811,0,55236061,71405,202722382,74441609,0
1789805930.7590604,5.302,2142254,51785,0,172,71,43,48675,450405,23738536,280892,1932,63201900,63497588,64771544,0,0,0,1,4,0,11629935,248288436,248483305,27,27,483,1580578,3165020,0,55242170,71408,202725826,74441609,0
1789805931.0095358,5.552,2142605,51795,0,172,71,43,48676,450442,23739975,283792,1932,63201820,63494616,64771544,0,0,0,0,2,0,11630340,248332188,248527056,27,27,483,1580576,3165016,0,55244563,71408,202728674,74441609,0
1789805931.259978,5.803,2142959,51805,0,172,71,43,48678,450478,23741824,286612,2032,63190696,63480712,64771544,0,0,0,1,1,0,11631563,248381383,248576255,27,27,508,1580298,3164460,0,55248406,71410,202731398,74441609,0
1789805931.5104318,6.053,2143315,51817,0,172,71,43,48679,450508,23743615,290260,2032,63176184,63462560,64771544,0,0,0,0,3,0,11632033,248449105,248643991,27,27,508,1579936,3163735,0,55252037,71410,202735042,74441609,0
1789805931.7608747,6.303,2143669,51822,0,172,71,43,48681,450547,23745467,292176,2032,63161396,63445820,64771544,0,0,0,0,2,0,11632382,248479525,248674411,27,27,508,1579566,3162995,0,55256958,71410,202737138,74441609,0
1789805932.0113308,6.554,2143994,51824,0,172,71,43,48683,450620,23752483,292872,2032,63146720,63430448,64771544,0,0,0,0,5,0,11632923,248484284,248679170,27,27,508,1579200,3162262,0,55260840,71412,202737654,74441609,0
1789805932.2617779,6.804,2144322,51826,0,172,71,43,48685,450685,23757516,293520,2032,63146564,63429632,64771544,0,0,0,0,5,0,11633374,248493345,248688231,27,27,508,1579196,3162254,0,55263019,71413,202738362,74441609,0
1789805932.5122213,7.055,2144692,51841,0,172,71,43,48685,450700,23759003,297816,2032,63140820,63419672,64771544,0,0,0,1,1,0,11634130,248613055,248807947,27,27,508,1579053,3161967,0,55264638,71415,202742598,74441609,0
1789805932.762654,7.305,2145063,51848,0,172,71,43,48687,450718,23760257,300048,2032,63132992,63409592,64771544,0,0,0,0,2,0,11634640,248683428,248878331,27,27,508,1578857,3161575,0,55266872,71415,202744830,74441609,0
1789805933.0130749,7.556,2145419,51857,0,172,71,43,48689,450752,23762745,302116,2032,63110604,63385192,64771544,0,0,0,0,4,0,11635074,248730721,248925630,27,27,508,1578298,3160456,0,55272737,71415,202746898,74441609,0
1789805933.2635243,7.806,2145786,51869,0,172,71,43,48690,450772,23763331,305708,2032,63089604,63360468,64771544,0,0,0,1,1,0,11635724,248827253,249022167,27,27,508,1577774,3159407,0,55279140,71415,202750506,74441609,0
1789805933.5139394,8.057,2146155,51876,0,172,71,43,48691,450796,23764344,307408,2032,63072176,63341352,64771544,0,0,0,0,5,0,11636091,248881487,249076406,27,27,508,1577339,3158535,0,55284057,71415,202752306,74441609,0
1789805933.7643943,8.307,2146509,51885,0,172,71,43,48693,450831,23766089,309496,2032,63050000,63317076,64771544,0,0,0,0,2,0,11636432,248927941,249122860,27,27,508,1576786,3157427,0,55290788,71415,202754286,74441609,0
1789805934.014823,8.557,2146856,51893,0,172,71,43,48695,450872,23769197,311396,2032,63025036,63289620,64771544,0,0,0,0,3,0,11636873,248970314,249165233,27,27,508,1576162,3156179,0,55296690,71415,202756778,74441609,0
1789805934.265259,8.808,2147184,51898,0,172,71,43,48698,450935,23774030,313056,2036,62987124,63250056,64771544,0,0,0,1,2,0,11637304,248982448,249177399,27,27,509,1575216,3154284,0,55306550,71416,202758434,74441609,0
1789805934.5157123,9.058,2147502,51904,0,172,71,43,48701,451007,23776380,314824,2188,62932804,63193944,64771544,0,0,0,1,1,0,11637479,248992232,249187183,27,27,547,1573860,3151568,0,55320961,71416,202760066,74441609,0
1789805934.7661698,9.309,2147863,51914,0,172,71,43,48704,451033,23778822,317648,2188,62897868,63156668,64771544,0,0,0,0,2,0,11637810,249030275,249225237,27,27,547,1572988,3149822,0,55330147,71416,202762874,74441609,0
1789805935.0166295,9.559,2148201,51919,0,172,71,43,48708,451088,23782314,319048,2196,62998028,63254940,64771544,0,0,0,0,2,0,11638372,249044467,249239432,27,27,549,1575488,3154829,0,55339608,71416,202764286,74441609,0
1789805935.2670653,9.81,2148565,51925,0,172,71,43,48710,451114,23786233,320652,2196,62982304,63237636,64771544,0,0,0,0,2,0,11638854,249091008,249285974,27,27,549,1575096,3154043,0,55345536,71416,202766002,74441609,0
1789805935.5175076,10.06,2148928,51932,0,172,71,43,48712,451142,23789123,322856,2196,62957720,63210836,64771544,0,0,0,0,2,0,11639319,249135223,249330188,27,27,549,1574482,3152814,0,55352127,71416,202768078,74441609,0
1789805935.7678707,10.31,2149243,51939,0,172,71,43,48714,451217,23795163,324976,2216,62949580,63200620,64771544,0,0,0,0,7,0,11639755,249147987,249342952,27,27,554,1574279,3152407,0,55356115,71417,202770238,74441609,0
1789805936.0185578,10.561,2149488,51943,0,172,71,43,48720,451358,23808789,326372,2292,62925896,63175484,64771544,0,0,0,0,9,0,11640495,249152041,249347007,27,27,573,1573688,3151223,0,55363083,71417,202771538,74441673,0
1789805936.2692192,10.812,2149712,51945,0,172,71,43,48734,451511,23823984,327700,2532,62819884,63067800,64771544,0,0,0,0,10,0,11644034,249153578,249348544,27,27,633,1571039,3145920,0,55386371,71417,202772602,74441673,0
1789805936.5198364,11.062,2150000,51952,0,172,71,43,48739,451609,23830309,348084,2532,62802272,63029788,64771544,0,0,0,0,11,0,11644414,249161304,249356270,27,27,633,1570599,3145039,0,55392834,71417,202792986,74441673,0
1789805936.7703314,11.313,2150185,51957,0,172,71,43,48752,451803,23840243,487396,55960,62672608,62760776,64771544,0,0,0,0,11,0,11645381,249165389,249360374,27,27,13990,1567360,3138554,0,55424680,71417,202879126,74441673,0
1789805937.020843,11.563,2150332,51961,0,172,71,43,48779,452023,23845192,686244,154096,62332968,62221064,64771544,0,0,0,0,10,0,11645939,249169824,249364810,27,27,38524,1558842,3121496,0,55519986,71417,202979562,74441673,0
1789805937.271533,11.814,2150538,51967,0,172,71,43,48812,452175,23851612,895228,273020,62110772,61788444,64771544,0,0,0,0,9,0,11646590,249177477,249372479,27,27,68255,1553269,3110336,0,55540691,71417,203070458,74441673,0
1789805937.5220172,12.065,2150694,51974,0,172,71,43,48832,452394,23859419,1071412,343064,62111864,61612364,64771544,0,0,0,0,10,0,11648631,249183232,249378262,27,27,85766,1553263,3110325,0,55565693,71417,203175790,74441673,0
1789805937.7727118,12.315,2150923,51985,0,172,71,43,48848,452538,23866259,1357048,475696,62155648,61368712,64771544,0,0,0,0,6,0,11649056,249199653,249394684,27,27,118924,1554320,3112441,0,55579361,71417,203328766,74441673,0
1789805938.0234427,12.566,2151169,51992,0,172,71,43,48876,452657,23877402,1544436,567508,61944528,60969080,64771544,0,0,0,0,5,0,11650298,249207849,249402922,27,28,141877,1549022,3101831,0,55587646,71417,203424446,74441673,0
1789805938.2741559,12.817,2151456,52004,0,172,71,43,48891,452745,23883182,1818336,705572,61960612,60709504,64771544,0,0,0,4,3,0,11650837,249235706,249430803,27,28,176393,1549379,3102547,0,55596808,71417,203560234,74441673,0
1789805938.5246606,13.067,2151702,52012,0,172,71,43,48919,452859,23889525,2028356,816716,61799016,60335928,64771544,0,0,0,0,8,0,11651420,249244356,249439479,27,28,204179,1545296,3094371,0,55602292,71417,203659518,74441673,0
1789805938.7751408,13.318,2151902,52023,0,172,71,43,48939,453027,23900514,2198728,896888,61954984,60320580,64771544,0,0,0,1,8,0,11652346,249253913,249449066,27,28,224222,1549165,3102118,0,55616132,71417,203749366,74441673,0
1789805939.02564,13.568,2152149,52035,0,172,71,43,48957,453149,23909245,2358912,985832,62099496,60303748,64771544,0,0,0,0,4,0,11653069,249266992,249462152,27,28,246458,1552744,3109286,0,55619344,71417,203820558,74441673,0
1789805939.2761247,13.819,2152433,52035,0,172,71,43,48966,453251,23924095,2359684,985996,62054064,60257280,64771544,0,0,0,0,7,0,11654070,249267351,249462511,27,28,246499,1551604,3107001,0,55622078,71417,203821122,74441673,0
1789805939.5267894,14.069,2152658,52036,0,172,71,43,48972,453415,23931567,2359708,985996,62048756,60251936,64771544,0,0,0,0,5,0,11654503,249267584,249462744,27,28,246499,1551471,3106736,0,55625055,71417,203821146,74441673,0
1789805939.7774422,14.32,2152919,52036,0,172,71,43,48975,453553,23935790,2359728,985996,62042424,60245584,64771544,0,0,0,0,12,0,11655232,249267782,249462942,27,28,246499,1551313,3106419,0,55626493,71417,203821166,74441673,0
1789805940.0281343,14.571,2153179,52036,0,172,71,43,48982,453685,23938068,2359728,985996,61964208,60167368,64771544,0,0,0,0,6,0,11655397,249267782,249462942,27,28,246499,1549360,3102509,0,55643464,71417,203821166,74441673,0
1789805940.2786515,14.821,2153438,52036,0,172,71,43,48988,453817,23942034,2359824,986092,61966816,60169868,64771544,0,0,0,0,13,0,11656614,249267782,249462942,27,28,246523,1549426,3102640,0,55643519,71417,203821166,74441673,0
1789805940.5293477,15.072,2153700,52036,0,172,71,43,48994,453948,23945576,2359932,986148,61966680,60169628,64771544,0,0,0,0,3,0,11656838,249267971,249463131,27,28,246537,1549422,3102633,0,55644000,71417,203821234,74441673,0
