t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789806122.0601609,0.0,2384742,58544,0,172,76,44,53395,501229,27047577,117332,1316,63601100,63984704,64771544,0,0,0,1,1,0,12233913,283070072,283275985,34,34,329,1588509,3180903,0,61766494,82692,217819226,74761321,0
1789806122.3105912,0.25,2384984,58561,0,172,76,44,53397,501368,27048203,127104,1316,63583656,63961644,64771544,0,0,0,0,17,0,12235429,283104815,283310887,34,34,329,1588235,3180353,0,61769158,82765,217831510,74761321,0
1789806122.5611193,0.501,2385354,58578,0,172,76,44,53398,501378,27048902,135188,1316,63569928,63943568,64771544,0,0,0,1,1,0,12236999,283196427,283402514,34,34,329,1588000,3179884,0,61774118,82800,217841142,74761321,0
1789806122.811533,0.751,2385729,58601,0,172,76,44,53400,501379,27049613,163004,1348,63543860,63902980,64771544,0,0,0,1,1,0,12237739,283357177,283563263,34,34,337,1587712,3179307,0,61778324,83008,217869442,74761321,0
1789806123.0618832,1.002,2386094,58624,0,172,76,44,53402,501389,27051782,173824,1348,63528980,63882692,64771544,0,0,0,0,4,0,12238576,283500737,283706904,34,34,337,1587476,3178833,0,61781551,83101,217880086,74761321,0
1789806123.3122993,1.252,2386465,58646,0,172,76,44,53403,501395,27053435,180140,1348,63518472,63868984,64771544,0,0,0,1,1,0,12239355,283685604,283891807,34,34,337,1587293,3178468,0,61783588,83107,217886518,74761321,0
1789806123.5627265,1.503,2386832,58668,0,172,76,44,53404,501405,27054757,188432,1348,63501620,63847976,64771544,0,0,0,1,5,0,12240108,283848438,284054655,34,34,337,1586976,3177833,0,61788673,83107,217894886,74761321,0
1789806123.8133063,1.753,2387185,58677,0,172,76,44,53409,501438,27058342,191472,1348,63497520,63842332,64771544,0,0,0,0,4,0,12240406,283869140,284075359,34,34,337,1586913,3177706,0,61804791,83115,217897842,74761353,0
1789806124.0637372,2.004,2387544,58690,0,172,76,44,53412,501464,27060979,194876,1348,63477924,63821044,64771544,0,0,0,0,2,0,12241016,283946634,284152869,34,34,337,1586466,3176811,0,61811917,83116,217901382,74761353,0
1789806124.3141508,2.254,2387908,58702,0,172,76,44,53413,501486,27063558,197832,1348,63458176,63799812,64771544,0,0,0,0,4,0,12241666,284033678,284239920,34,34,337,1586010,3175898,0,61816807,83116,217904234,74761353,0
1789806124.5645785,2.504,2388269,58717,0,172,76,44,53416,501507,27067360,201208,1348,63435368,63775268,64771544,0,0,0,0,2,0,12242348,284119077,284325319,34,34,337,1585484,3174844,0,61824431,83124,217907610,74761353,0
1789806124.815001,2.755,2388619,58727,0,172,76,44,53418,501543,27071561,204192,1348,63426960,63765360,64771544,0,0,0,0,3,0,12242858,284172657,284378918,34,34,337,1585311,3174499,0,61826266,83129,217910458,74761353,0
