t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789805941.3539255,0.0,2154966,52052,0,172,72,43,49015,453962,23947681,117320,1316,63673268,64056992,64771544,0,0,0,1,1,0,11662603,249296895,249492122,27,28,329,1590309,3184507,0,55650274,71530,203828630,74445793,0
1789805941.6043723,0.25,2155208,52070,0,172,72,43,49016,454101,23948285,126960,1316,63656748,64034580,64771544,0,0,0,0,17,0,11662850,249325149,249520393,27,28,329,1590049,3183987,0,55652936,71603,203840910,74445793,0
1789805941.8549154,0.501,2155578,52087,0,172,72,43,49018,454111,23948987,135076,1316,63643036,64016196,64771544,0,0,0,2,1,0,11663536,249417464,249612732,27,28,329,1589824,3183535,0,55657886,71637,203850482,74445793,0
1789805942.1053443,0.751,2155953,52109,0,172,72,43,49020,454112,23949740,163196,1348,63625072,63983852,64771544,0,0,0,1,1,0,11664396,249581508,249777017,27,28,337,1589734,3183356,0,55662136,71848,203878862,74445793,0
1789805942.3556843,1.002,2156318,52133,0,172,72,43,49021,454122,23951976,173872,1348,63608956,63962416,64771544,0,0,0,1,1,0,11665232,249723267,249918782,27,28,337,1589465,3182816,0,55665346,71939,203889538,74445793,0
1789805942.6060233,1.252,2156688,52155,0,172,72,43,49022,454127,23953607,180272,1348,63597848,63948100,64771544,0,0,0,1,1,0,11666297,249907661,250103190,27,28,337,1589267,3182421,0,55667361,71945,203895930,74445793,0
1789805942.8563397,1.502,2157055,52176,0,172,72,43,49023,454136,23954911,188564,1348,63577120,63923216,64771544,0,0,0,1,1,0,11667121,250069924,250265485,27,28,337,1588854,3181593,0,55672466,71945,203904294,74445793,0
1789805943.1066594,1.753,2157407,52185,0,172,72,43,49029,454170,23958525,191588,1348,63563520,63908040,64771544,0,0,0,0,4,0,11667601,250090181,250285742,27,28,337,1588554,3180992,0,55688573,71953,203907250,74445825,0
1789805943.3570712,2.003,2157762,52198,0,172,72,43,49032,454200,23961078,194768,1348,63539228,63882156,64771544,0,0,0,1,1,0,11668892,250149848,250345417,27,28,337,1587987,3179857,0,55695309,71954,203910418,74445825,0
1789805943.6074944,2.254,2158127,52209,0,172,72,43,49034,454222,23964212,197688,1348,63518224,63859688,64771544,0,0,0,1,1,0,11669542,250231195,250426764,27,28,337,1587499,3178880,0,55700058,71954,203913366,74445825,0
1789805943.857894,2.504,2158486,52223,0,172,72,43,49038,454243,23968218,200980,1348,63491256,63831044,64771544,0,0,0,1,4,0,11670290,250308181,250503751,27,28,337,1586868,3177616,0,55708051,71962,203916642,74445825,0
1789805944.1083305,2.754,2158839,52235,0,172,72,43,49040,454276,23971447,203948,1348,63486996,63825324,64771544,0,0,0,1,2,0,11672374,250360680,250556262,27,28,337,1586798,3177476,0,55710544,71968,203919706,74445825,0
1789805944.3589752,3.005,2159192,52243,0,172,72,43,49041,454314,23976710,205744,1348,63484132,63821556,64771544,0,0,0,0,2,0,11672857,250385338,250580920,27,28,337,1586749,3177378,0,55712381,71970,203921478,74445825,0
1789805944.60944,3.256,2159535,52255,0,172,72,43,49045,454355,23981990,208316,1348,63471008,63807128,64771544,0,0,0,0,2,0,11673334,250423958,250619695,27,28,337,1586454,3176787,0,55717436,71974,203924010,74445825,0
1789805945.0025601,3.649,2160130,52283,0,172,72,43,49047,454361,23983741,236772,1348,63480072,63801592,64771544,0,0,0,1,1,0,11674190,250630310,250826209,27,28,337,1587045,3177970,0,55721192,72202,203953362,74445829,0
1789805945.2549658,3.901,2160505,52302,0,172,72,43,49049,454365,23984383,250920,1348,63486392,63800732,64771544,0,0,0,0,2,0,11676573,250820699,251016611,27,28,337,1587382,3178645,0,55725057,72307,203967582,74445829,0
1789805945.5060256,4.152,2160882,52319,0,172,72,43,49050,454372,23984976,262760,1348,63481920,63790288,64771544,0,0,0,1,1,0,11677443,250991221,251187134,27,28,337,1587419,3178720,0,55729231,72400,203979522,74445829,0
1789805945.7564516,4.403,2161249,52333,0,172,72,43,49052,454388,23986495,269068,1348,63464176,63769296,64771544,0,0,0,0,3,0,11678006,251064390,251260306,27,28,337,1587057,3177995,0,55733272,72412,203985998,74445829,0
1789805946.0068576,4.653,2161610,52347,0,172,72,43,49054,454413,23988119,272056,1348,63446468,63750084,64771544,0,0,0,0,2,0,11678658,251153577,251349512,27,28,337,1586653,3177185,0,55737221,72416,203989026,74445829,0
1789805946.2573206,4.903,2161929,52360,0,172,72,43,49058,454477,23989923,274584,1348,63382492,63684772,64771544,0,0,0,1,3,0,11679245,251188521,251384488,27,28,337,1585085,3174047,0,55756100,72416,203991798,74445829,0
1789805946.5077853,5.154,2162283,52370,0,172,72,43,49060,454511,23991868,277420,1348,63357728,63657164,64771544,0,0,0,1,1,0,11679715,251243763,251439730,27,28,337,1584467,3172809,0,55762806,72416,203994394,74445829,0
1789805946.7582572,5.404,2162634,52381,0,172,72,43,49063,454546,23996689,280424,1348,63338200,63634620,64771544,0,0,0,0,6,0,11680300,251265156,251461127,27,28,337,1583980,3171833,0,55768713,72419,203997746,74445829,0
1789805947.0089216,5.655,2162988,52390,0,172,72,43,49064,454583,23998134,283580,1348,63326252,63619512,64771544,0,0,0,0,2,0,11680701,251313674,251509677,27,28,337,1583681,3171235,0,55771698,72419,204000566,74445829,0
1789805947.2594035,5.905,2163333,52399,0,172,72,43,49066,454627,24000485,285720,1448,63320408,63611532,64771544,0,0,0,0,2,0,11681146,251349436,251545440,27,28,362,1583535,3170943,0,55774735,72421,204002566,74445829,0
1789805947.5100114,6.156,2163692,52409,0,172,72,43,49068,454656,24002667,289164,1448,63309684,63597400,64771544,0,0,0,1,1,0,11681728,251414950,251610954,27,28,362,1583268,3170407,0,55777956,72421,204006010,74445829,0
1789805947.7604818,6.407,2164046,52417,0,172,72,43,49069,454694,24003594,291960,1448,63295276,63580152,64771544,0,0,0,0,3,0,11682967,251436776,251632780,27,28,362,1582908,3169687,0,55782440,72421,204008910,74445829,0
1789805948.010932,6.657,2164371,52419,0,172,72,43,49072,454764,24012237,292440,1448,63287980,63572364,64771544,0,0,0,0,4,0,11683752,251440281,251636289,27,28,362,1582726,3169322,0,55786732,72421,204009306,74445829,0
1789805948.2614048,6.907,2164696,52421,0,172,72,43,49075,454830,24016480,293360,1448,63288808,63572272,64771544,0,0,0,0,2,0,11684460,251450056,251646064,27,28,362,1582747,3169364,0,55789813,72423,204010210,74445829,0
1789805948.511889,7.158,2165046,52432,0,172,72,43,49076,454867,24019918,296304,1448,63282136,63562728,64771544,0,0,0,1,1,0,11685017,251504929,251700937,27,28,362,1582580,3169030,0,55791233,72426,204013158,74445829,0
1789805948.7623477,7.408,2165419,52443,0,172,72,43,49077,454882,24020895,299608,1448,63275884,63553176,64771544,0,0,0,0,2,0,11685656,251605268,251801275,27,28,362,1582424,3168717,0,55792855,72426,204016442,74445829,0
