stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789805950431,1789805950878,447,False,349,42425217,61,0,2233,0,0,0,0,0,0,0,0,0,0,0,0
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,2,1,0,1789805952087,1789805952280,193,False,172,102781012,12,26,2071,0,0,0,0,2500,0,0,0,0,43446,2500,33344871
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,3,2,0,1789805952087,1789805952281,194,False,172,75766995,12,26,2071,0,0,0,0,2500,0,0,0,0,43580,2500,32196911
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,1,0,0,1789805952085,1789805952283,198,False,171,82311662,12,26,2114,0,0,0,0,2500,0,0,0,0,46131,2500,34743781
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,4,3,0,1789805952087,1789805952283,196,False,171,76884398,12,26,2114,0,0,0,0,2501,0,0,0,0,44083,2501,37690604
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,6,1,0,1789805952280,1789805953313,1033,False,1013,708538788,15,28,2346,0,0,0,73585155,294060,0,0,0,0,69042675,294060,91422582
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,8,3,0,1789805952283,1789805953326,1043,False,1027,697265335,12,28,2346,0,0,0,73584815,294060,0,0,0,0,69042537,294060,110269471
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,5,0,0,1789805952277,1789805953332,1055,False,1033,739694502,16,28,2346,0,0,0,73586780,294060,0,0,0,0,69044679,294060,96967277
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,7,2,0,1789805952281,1789805953332,1051,False,1033,768476982,11,28,2346,0,0,0,73586162,294058,0,0,0,0,69040896,294058,94235152
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,9,4,0,1789805953312,1789805953930,618,False,610,542409529,3,23,2346,0,0,0,73591005,294059,0,0,0,0,69043998,294059,84750131
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,12,7,0,1789805953331,1789805953965,634,False,628,542739649,2,27,2346,0,0,0,73584105,294057,0,0,0,0,69047326,294057,91366675
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,10,5,0,1789805953325,1789805953966,641,False,634,565368505,3,27,2346,0,0,0,73589165,294059,0,0,0,0,69038890,294059,100618977
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,11,6,0,1789805953330,1789805953979,649,False,643,567262259,2,27,2346,0,0,0,73586835,294055,0,0,0,0,69043986,294055,103936848
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,13,8,0,1789805953929,1789805954534,605,False,597,512493236,2,24,2346,0,0,0,73585753,294057,0,0,0,0,69044961,294057,95590728
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,15,10,0,1789805953965,1789805954543,578,False,573,498144212,2,20,2346,0,0,0,73581620,294047,0,0,0,0,69038714,294047,100157267
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,14,9,0,1789805953964,1789805954550,586,False,580,499036580,2,20,2346,0,0,0,73585830,294055,0,0,0,0,69046215,294055,87871091
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,16,11,0,1789805953978,1789805954577,599,False,592,517539842,2,27,2346,0,0,0,73576930,294046,0,0,0,0,69036049,294046,101706840
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,19,14,0,1789805954549,1789805954725,176,False,172,136092035,1,7,2346,0,0,0,13512492,54027,0,0,0,0,12487913,54027,14922491
