t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789806304.461265,0.0,2612860,64419,0,172,80,44,59130,552190,30019705,117352,1320,63204688,63587496,64771544,0,0,0,1,1,0,12758027,312409074,312622148,38,38,330,1578587,3161033,0,67777540,91776,241826194,74806309,0
1789806304.711671,0.25,2613101,64437,0,172,80,44,59131,552329,30020304,126972,1332,63189192,63566024,64771544,0,0,0,0,17,0,12758242,312437160,312650279,38,38,333,1578357,3160573,0,67780205,91849,241838478,74806309,0
1789806304.962221,0.501,2613472,64454,0,172,80,44,59134,552340,30021018,135224,1332,63174060,63546424,64771544,0,0,0,1,1,0,12758962,312529652,312742823,38,38,333,1578091,3160040,0,67785186,91884,241848106,74806309,0
1789806305.2126105,0.751,2613847,64476,0,172,80,44,59135,552340,30021729,163164,1364,63154892,63512744,64771544,0,0,0,1,1,0,12759705,312691251,312904432,38,38,341,1577974,3159807,0,67789369,92090,241876358,74806309,0
1789806305.462961,1.002,2614212,64500,0,172,80,44,59137,552349,30024011,173824,1364,63144024,63496480,64771544,0,0,0,1,2,0,12760422,312834147,313047437,38,38,341,1577838,3159534,0,67792590,92185,241887022,74806309,0
1789806305.7133398,1.252,2614582,64522,0,172,80,44,59138,552354,30025693,180228,1364,63134360,63483628,64771544,0,0,0,1,1,0,12761276,313015955,313229271,38,38,341,1577676,3159210,0,67794643,92191,241893422,74806309,0
1789806305.963654,1.502,2614949,64543,0,172,80,44,59139,552364,30026980,188580,1364,63117808,63462876,64771544,0,0,0,0,2,0,12762059,313178271,313391620,38,38,341,1577368,3158593,0,67799728,92191,241901778,74806309,0
1789806306.214004,1.753,2615303,64552,0,172,80,44,59144,552394,30030663,191568,1364,63115652,63459188,64771544,0,0,0,1,3,0,12762862,313216638,313430001,38,38,341,1577352,3158561,0,67815708,92199,241904758,74806341,0
1789806306.464419,2.003,2615659,64565,0,172,80,44,59147,552422,30033275,195040,1364,63088660,63430456,64771544,0,0,0,0,2,0,12763447,313290317,313503689,38,38,341,1576722,3157299,0,67823181,92200,241908226,74806341,0
1789806306.7147322,2.253,2616024,64577,0,172,80,44,59149,552442,30036378,197920,1364,63068876,63409236,64771544,0,0,0,0,4,0,12764087,313376015,313589387,38,38,341,1576264,3156382,0,67827982,92200,241911106,74806341,0
1789806306.9650598,2.504,2616383,64592,0,172,80,44,59152,552464,30040084,201248,1364,63042684,63381364,64771544,0,0,0,1,1,0,12764869,313458717,313672095,38,38,341,1575652,3155157,0,67835816,92207,241914482,74806341,0
