t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789806710.6786096,0.0,3114100,76338,0,172,89,46,74034,671688,36210361,117808,1436,62994652,63375796,64771544,0,0,0,1,1,0,13830949,366570158,366816915,48,48,359,1573316,3150479,0,80678877,108462,312455598,82444941,0
1789806710.9290318,0.25,3114329,76359,0,172,89,46,74038,671834,36211652,129864,2928,62970276,63343740,64771544,0,0,0,2,1,0,13833152,366590445,366839760,48,48,732,1572752,3149350,0,80684576,108589,312473094,82444941,0
1789806711.1797063,0.501,3114679,76391,0,172,89,46,74042,671846,36212882,146492,2928,62984144,63348596,64771544,0,0,0,2,1,0,13834501,366728251,366977579,48,48,732,1573515,3150878,0,80693308,108666,312491378,82444941,0
1789806711.4301064,0.751,3115029,76427,0,172,89,46,74044,671857,36214137,176076,2960,62944028,63293484,64771544,0,0,0,0,5,0,13835209,366882010,367131342,48,48,740,1572888,3149622,0,80700801,108898,312520938,82444941,0
1789806711.6804903,1.002,3115381,76455,0,172,89,46,74048,671870,36217148,188340,4316,62927848,63271100,64771544,0,4,0,0,2,0,13835670,366933726,367183388,48,48,1079,1572639,3149123,1,80708809,109004,312533606,82444945,0
1789806711.9308891,1.252,3115751,76477,0,172,89,46,74049,671876,36218744,194792,4316,62918232,63258248,64771544,0,4,0,1,1,0,13836766,367115378,367365039,48,48,1079,1572480,3148805,1,80710813,109010,312540078,82444945,0
1789806712.181244,1.503,3116117,76498,0,172,89,46,74051,671887,36220260,203324,4316,62947736,63283280,64771544,0,0,0,1,1,0,13837704,367272131,367521804,48,48,1079,1573328,3150503,0,80716000,109010,312548478,82444945,0
1789806712.4315975,1.753,3116470,76507,0,172,89,46,74055,671919,36223824,206212,4316,62945980,63280064,64771544,0,0,0,0,2,0,13838581,367320072,367569751,48,48,1079,1573320,3150488,0,80732361,109018,312551390,82444977,0
1789806712.682032,2.003,3116828,76520,0,172,89,46,74057,671945,36226297,209672,4316,62920772,63253128,64771544,0,0,0,1,1,0,13839207,367394531,367644283,48,48,1079,1572734,3149314,0,80739424,109019,312554822,82444977,0
1789806712.9324782,2.254,3117191,76532,0,172,89,46,74059,671969,36229508,212544,4316,62902228,63233156,64771544,0,0,0,1,1,0,13839846,367479239,367728990,48,48,1079,1572307,3148459,0,80744106,109019,312557694,82444977,0
1789806713.1829088,2.504,3117553,76547,0,172,89,46,74061,671989,36233389,216004,4316,62923560,63252740,64771544,0,0,0,0,2,0,13840678,367568823,367818589,48,48,1079,1572883,3149612,0,80751785,109027,312561182,82444977,0
1789806713.433365,2.755,3117903,76557,0,172,89,46,74063,672025,36237768,218720,4316,62914440,63242292,64771544,0,0,0,1,1,0,13841182,367620973,367870739,48,48,1079,1572689,3149223,0,80754825,109032,312563886,82444977,0
1789806713.683799,3.005,3118262,76568,0,172,89,46,74065,672054,36241954,221144,4316,62908136,63234760,64771544,0,0,0,0,2,0,13841755,367688736,367938503,48,48,1079,1572562,3148969,0,80756550,109035,312566350,82444977,0
1789806713.9342227,3.256,3118607,76578,0,172,89,46,74069,672093,36247169,223372,4316,62941536,63267008,64771544,0,0,0,0,1,0,13842182,367728256,367978028,48,48,1079,1573424,3150696,0,80761252,109038,312568538,82444981,0
1789806714.2262442,3.548,3119048,76603,0,172,89,46,74071,672096,36248124,251216,4316,62966648,63277816,64771544,0,0,0,1,1,0,13843517,367970625,368220584,48,48,1079,1574408,3152667,0,80764585,109266,312597290,82444981,0
1789806714.5385926,3.86,3119516,76627,0,172,89,46,74072,672101,36248948,270468,4316,62947372,63248796,64771544,0,0,0,1,1,0,13844861,368216483,368466452,48,48,1079,1574171,3152190,0,80769045,109446,312616614,82444981,0
1789806714.7904274,4.112,3119891,76642,0,172,89,46,74075,672109,36249445,279584,4316,62936008,63228820,64771544,0,0,0,1,1,0,13845845,368367986,368617955,48,48,1079,1573901,3151650,0,80773619,109468,312625882,82444981,0
1789806715.040775,4.362,3120257,76656,0,172,89,46,74076,672128,36251198,283840,4316,62947292,63235644,64771544,0,0,0,1,1,0,13846422,368419477,368669449,48,48,1079,1574182,3152214,0,80777547,109473,312630246,82444981,0
1789806715.2911475,4.613,3120613,76669,0,172,89,46,74078,672157,36252835,286908,4316,62938236,63223520,64771544,0,0,0,1,2,0,13847083,368494727,368744699,48,48,1079,1573957,3151762,0,80781663,109476,312633334,82444981,0
1789806715.5415068,4.863,3120931,76681,0,172,89,46,74081,672224,36253974,289448,4316,62882724,63165468,64771544,0,0,0,0,2,0,13847334,368529624,368779595,48,48,1079,1572570,3148986,0,80801859,109476,312635866,82444981,0
1789806715.791854,5.113,3121292,76692,0,172,89,46,74082,672250,36255620,292260,4316,62861036,63140976,64771544,0,0,0,1,1,0,13847808,368598261,368848232,48,48,1079,1572029,3147902,0,80807722,109476,312638834,82444981,0
