t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789806331.5383894,0.0,2647150,65096,0,172,80,44,60111,559415,30409546,117252,1316,63608472,63991304,64771544,0,0,0,1,1,0,12834095,315769451,315983246,38,38,329,1588660,3181205,0,68746276,92785,246235126,74812421,0
1789806331.7888005,0.25,2647388,65113,0,172,80,44,60112,559557,30410139,126968,1316,63592424,63969064,64771544,0,0,0,0,18,0,12834402,315796959,316010826,38,38,329,1588414,3180713,0,68748943,92858,246247450,74812421,0
1789806332.0393572,0.501,2647761,65130,0,172,80,44,60114,559565,30410857,135968,1316,63577280,63949076,64771544,0,0,0,1,1,0,12835215,315895356,316109320,38,38,329,1588157,3180198,0,68753959,92894,246257682,74812421,0
1789806332.2897458,0.751,2648136,65153,0,172,80,44,60115,559566,30411588,163216,1348,63582068,63939688,64771544,0,0,0,0,2,0,12836047,316061647,316275619,38,38,337,1588631,3181146,0,68758177,93103,246285362,74812421,0
1789806332.5400925,1.002,2648502,65176,0,172,80,44,60117,559575,30413808,173780,1348,63565296,63917568,64771544,0,0,0,1,1,0,12836779,316204182,316418165,38,38,337,1588343,3180570,0,68761351,93194,246296026,74812421,0
1789806332.79049,1.252,2648872,65198,0,172,80,44,60118,559581,30415493,180220,1348,63555180,63904264,64771544,0,0,0,0,2,0,12837312,316296609,316510686,38,38,337,1588172,3180228,0,68763379,93200,246302450,74812421,0
1789806333.0408802,1.502,2649238,65219,0,172,80,44,60120,559592,30416835,188488,1348,63556152,63901052,64771544,0,0,0,1,5,0,12838168,316457756,316671833,38,38,337,1588301,3180486,0,68768478,93200,246310794,74812421,0
1789806333.2912133,1.753,2649592,65228,0,172,80,44,60126,559622,30420576,191616,1380,63603020,63946316,64771544,0,0,0,1,3,0,12838679,316487331,316701441,38,38,345,1589511,3182909,0,68784523,93208,246313730,74812453,0
1789806333.5416381,2.003,2649950,65241,0,172,80,44,60129,559648,30423193,195060,1380,63573580,63915152,64771544,0,0,0,0,2,0,12839418,316563323,316777455,38,38,345,1588819,3181524,0,68792050,93209,246317174,74812453,0
1789806333.7920458,2.254,2650314,65253,0,172,80,44,60130,559669,30426450,197944,1380,63552380,63892508,64771544,0,0,0,1,3,0,12840091,316649767,316863906,38,38,345,1588326,3180536,0,68796863,93209,246320078,74812453,0
1789806334.0424697,2.504,2650675,65268,0,172,80,44,60134,559691,30430260,201352,1380,63527104,63865540,64771544,0,0,0,1,1,0,12841120,316733819,316947965,38,38,345,1587737,3179357,0,68804658,93217,246323506,74812453,0
1789806334.2928815,2.754,2651025,65279,0,172,80,44,60136,559728,30434299,204216,1348,63522920,63859904,64771544,0,0,0,0,7,0,12841645,316790553,317004703,38,38,337,1587669,3179221,0,68807347,93222,246326362,74812453,0
1789806334.5433142,3.005,2651383,65289,0,172,80,44,60138,559757,30438876,206576,1348,63519360,63855168,64771544,0,0,0,1,1,0,12842192,316824167,317038329,38,38,337,1587610,3179101,0,68809199,93225,246328754,74812453,0
1789806334.7936425,3.255,2651726,65300,0,172,80,44,60141,559796,30444480,208940,1348,63554952,63889584,64771544,0,4,0,0,2,0,12842642,316870117,317084281,38,38,337,1588528,3180940,1,68814084,93228,246331086,74812457,0
1789806335.088024,3.55,2652171,65326,0,172,80,44,60143,559799,30445417,236788,1348,63537820,63858144,64771544,0,4,0,1,1,0,12843769,317118643,317332821,38,38,337,1588457,3180798,1,68817434,93456,246359858,74812457,0
