t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789806170.7070117,0.0,2446363,60314,0,172,77,44,54622,514112,27924953,117612,1440,63641624,64025268,64771544,0,0,0,1,1,0,12390671,292517074,292726058,36,36,360,1589520,3182926,0,63494047,85718,221634158,74774113,0
1789806170.957447,0.25,2446604,60332,0,172,77,44,54623,514252,27925567,126956,1440,63625980,64003944,64771544,0,0,0,1,16,0,12390904,292545206,292754236,36,36,360,1589287,3182461,0,63496722,85791,221646518,74774113,0
1789806171.2079635,0.501,2446975,60349,0,172,77,44,54626,514263,27926305,135168,1440,63629184,64002700,64771544,0,0,0,1,1,0,12391459,292637476,292846607,36,36,360,1589478,3182844,0,63501676,85827,221656266,74774113,0
1789806171.4583747,0.751,2447350,60371,0,172,77,44,54626,514263,27927001,163160,1472,63600024,63958964,64771544,0,0,0,0,2,0,12392213,292800463,293009595,36,36,368,1589114,3182114,0,63505896,86036,221684386,74774113,0
1789806171.70871,1.002,2447715,60395,0,172,77,44,54628,514272,27929229,173572,1472,63584064,63937736,64771544,0,0,0,1,1,0,12393038,292943538,293152681,36,36,368,1588847,3181580,0,63509118,86126,221695094,74774113,0
1789806171.959054,1.252,2448086,60417,0,172,77,44,54629,514279,27930888,179840,1472,63573244,63923780,64771544,0,0,0,1,1,0,12394033,293128202,293337345,36,36,368,1588656,3181196,0,63511176,86132,221701546,74774113,0
1789806172.2093892,1.502,2448452,60438,0,172,77,44,54631,514289,27932317,188568,1472,63554568,63900756,64771544,0,0,0,1,5,0,12395202,293290603,293499750,36,36,368,1588298,3180480,0,63516244,86132,221709866,74774113,0
1789806172.4597275,1.753,2448805,60448,0,172,77,44,54637,514321,27935889,191632,1472,63565052,63909732,64771544,0,0,0,1,2,0,12396197,293311075,293520222,36,36,368,1588597,3181079,0,63532486,86140,221712830,74774145,0
1789806172.7101092,2.003,2449163,60460,0,172,77,44,54640,514347,27938467,195028,1472,63539924,63882896,64771544,0,0,0,1,1,0,12396786,293384848,293594001,36,36,368,1588013,3179909,0,63539931,86141,221716326,74774145,0
1789806172.960456,2.253,2449526,60472,0,172,77,44,54642,514368,27941640,197968,1472,63520828,63862332,64771544,0,0,0,1,3,0,12397425,293469913,293679066,36,36,368,1587573,3179027,0,63544614,86141,221719178,74774145,0
1789806173.210782,2.504,2449888,60487,0,172,77,44,54646,514388,27945617,201356,1472,63496628,63836372,64771544,0,0,0,0,3,0,12397894,293521354,293730508,36,36,368,1587012,3177905,0,63552176,86150,221722546,74774145,0
1789806173.4611568,2.754,2450236,60497,0,172,77,44,54648,514427,27950000,204196,1472,63485000,63823316,64771544,0,0,0,0,2,0,12398385,293572801,293781958,36,36,368,1586758,3177396,0,63555479,86155,221725394,74774145,0
