t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789806089.7720902,0.0,2344073,57366,0,172,75,44,52597,492441,26483697,117468,1296,63697752,64081460,64771544,0,32,0,1,1,0,12124894,276978879,277182828,33,34,324,1590919,3185728,8,60661132,80671,215275562,74752485,0
1789806090.0232089,0.251,2344314,57384,0,172,75,44,52598,492581,26484309,126720,1296,63685212,64063236,64771544,0,32,0,1,16,0,12125098,277007017,277210974,33,34,324,1590762,3185415,8,60663795,80744,215287854,74752485,0
1789806090.2737422,0.502,2344686,57401,0,172,75,44,52600,492590,26485035,135388,1320,63674308,64047672,64771544,0,0,0,1,1,0,12125708,277104837,277308814,33,34,330,1590606,3185102,0,60668772,80779,215297474,74752485,0
1789806090.5241103,0.752,2345061,57423,0,172,75,44,52601,492590,26485764,163224,1352,63664820,64023676,64771544,0,0,0,0,2,0,12126479,277266955,277470931,33,34,338,1590732,3185353,0,60672977,80988,215325778,74752485,0
1789806090.774469,1.002,2345426,57447,0,172,75,44,52603,492600,26488020,173892,1352,63649368,64002880,64771544,0,0,0,1,1,0,12127209,277409000,277613075,33,34,338,1590479,3184848,0,60676204,81080,215336434,74752485,0
1789806091.024801,1.253,2345796,57469,0,172,75,44,52604,492606,26489717,180300,1352,63638516,63988824,64771544,0,0,0,1,1,0,12128043,277590910,277795034,33,34,338,1590289,3184466,0,60678219,81086,215342846,74752485,0
1789806091.2751012,1.503,2346163,57490,0,172,75,44,52605,492615,26491000,188612,1352,63622812,63968960,64771544,0,0,0,1,1,0,12128793,277753398,277957555,33,34,338,1590000,3183889,0,60683331,81086,215351190,74752485,0
1789806091.5254724,1.753,2346517,57500,0,172,75,44,52610,492646,26494773,191604,1352,63588764,63933432,64771544,0,0,0,0,4,0,12129099,277774319,277978483,33,34,338,1589187,3182261,0,60699471,81094,215354150,74752517,0
1789806091.776103,2.004,2346874,57512,0,172,75,44,52612,492674,26497371,195072,1352,63563176,63906116,64771544,0,0,0,0,4,0,12130035,277849333,278053505,33,34,338,1588592,3181068,0,60706662,81095,215357598,74752517,0
1789806092.0265527,2.254,2347239,57524,0,172,75,44,52614,492695,26500519,197972,1352,63542516,63884004,64771544,0,0,0,1,3,0,12131316,277934873,278139052,33,34,338,1588112,3180108,0,60711427,81095,215360522,74752517,0
1789806092.277181,2.505,2347599,57539,0,172,75,44,52617,492717,26504335,201400,1352,63518588,63858260,64771544,0,0,0,0,2,0,12131997,278021288,278225594,33,34,338,1587560,3179002,0,60719179,81102,215363946,74752517,0
1789806092.5276208,2.756,2347950,57549,0,172,75,44,52619,492752,26508442,204248,1352,63509120,63847360,64771544,0,0,0,0,3,0,12132496,278075228,278279534,33,34,338,1587360,3178601,0,60721459,81107,215366794,74752517,0
1789806092.77805,3.006,2348309,57560,0,172,75,44,52621,492782,26512515,206640,1352,63503236,63840304,64771544,0,0,0,1,1,0,12133143,278140523,278344829,33,34,338,1587242,3178365,0,60723177,81110,215369206,74752517,0
1789806093.0285046,3.256,2348653,57571,0,172,75,44,52624,492822,26517086,208972,1352,63546548,63882432,64771544,0,0,0,0,1,0,12133638,278165073,278369532,33,34,338,1588353,3180590,0,60727342,81113,215371518,74752521,0
1789806093.3214116,3.549,2349096,57597,0,172,75,44,52625,492824,26518017,236828,1352,63529340,63850920,64771544,0,0,0,1,1,0,12135064,278409684,278614144,33,34,338,1588280,3180444,0,60730677,81341,215400290,74752521,0
1789806093.574031,3.802,2349471,57615,0,172,75,44,52626,492829,26518689,250968,1352,63512136,63826532,64771544,0,0,0,1,1,0,12135874,278599417,278803877,33,34,338,1588030,3179943,0,60734539,81446,215414506,74752521,0
1789806093.8243725,4.052,2349846,57632,0,172,75,44,52628,492835,26519209,262724,1352,63495568,63804036,64771544,0,0,0,0,2,0,12137800,278768896,278973381,33,34,338,1587765,3179412,0,60738675,81539,215426354,74752521,0
1789806094.074731,4.303,2350214,57647,0,172,75,44,52630,492851,26521191,269096,1352,63474736,63779928,64771544,0,0,0,0,2,0,12138728,278869013,279073530,33,34,338,1587326,3178534,0,60742641,81551,215432914,74752521,0
1789806094.3251219,4.553,2350573,57661,0,172,75,44,52631,492876,26523309,272104,1352,63464028,63767712,64771544,0,0,0,1,1,0,12139312,278956294,279160847,33,34,338,1587097,3178074,0,60746538,81555,215435914,74752521,0
1789806094.5755978,4.804,2350899,57673,0,172,75,44,52635,492931,26525437,274888,1352,63393296,63695368,64771544,0,0,0,0,4,0,12139656,278998373,279202926,33,34,338,1585359,3174594,0,60765794,81555,215438694,74752521,0
1789806094.8262708,5.054,2351251,57683,0,172,75,44,52637,492967,26527625,277472,1352,63369216,63668636,64771544,0,0,0,0,2,0,12141327,279051371,279255924,33,34,338,1584757,3173390,0,60772514,81555,215441286,74752521,0
1789806095.0767264,5.305,2351601,57695,0,172,75,44,52640,493000,26532985,280956,1352,63345836,63641452,64771544,0,0,0,1,2,0,12142170,279106760,279311317,33,34,338,1584174,3172221,0,60778499,81558,215445070,74752521,0
1789806095.3271732,5.555,2351953,57706,0,172,75,44,52642,493037,26534717,283864,1352,63343112,63635832,64771544,0,0,0,0,2,0,12142738,279157062,279361627,33,34,338,1584106,3172085,0,60780644,81558,215447970,74752521,0
1789806095.5776412,5.806,2352303,57715,0,172,75,44,52644,493076,26537488,286668,1452,63331296,63621220,64771544,0,0,0,0,2,0,12143113,279203195,279407761,33,34,363,1583811,3171495,0,60784193,81560,215450818,74752521,0
1789806095.8280866,6.056,2352661,57727,0,172,75,44,52645,493106,26539408,290536,1452,63321068,63607100,64771544,0,0,0,0,3,0,12143565,279273879,279478452,33,34,363,1583556,3170983,0,60787576,81560,215454554,74752521,0
1789806096.0787609,6.307,2353012,57732,0,172,75,44,52647,493148,26543226,292344,1452,63312584,63596792,64771544,0,0,0,0,3,0,12143965,279298860,279503433,33,34,363,1583344,3170559,0,60792067,81560,215456374,74752521,0
1789806096.3292265,6.557,2353324,57733,0,172,75,44,52650,493229,26551248,292844,1452,63302288,63586008,64771544,0,0,0,0,5,0,12144537,279302608,279507187,33,34,363,1583087,3170045,0,60797706,81562,215456866,74752521,0
1789806096.579655,6.808,2353649,57736,0,172,75,44,52652,493295,26557562,293712,1452,63297732,63580652,64771544,0,0,0,1,2,0,12145045,279312869,279517448,33,34,363,1582973,3169817,0,60799464,81564,215457718,74752521,0
1789806096.8300016,7.058,2354021,57751,0,172,75,44,52653,493308,26558766,298024,1452,63294136,63572708,64771544,0,0,0,1,1,0,12145849,279444102,279648681,33,34,363,1582883,3169637,0,60800593,81565,215462082,74752521,0
