t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789806203.1752713,0.0,2488084,61498,0,172,77,44,55413,522154,28475337,117240,1440,63715824,64100144,64771544,0,0,0,1,1,0,12484960,298668832,298879168,36,37,360,1591380,3186651,0,64588297,87735,224176230,74781165,0
1789806203.425675,0.25,2488325,61516,0,172,77,44,55414,522294,28475938,127156,1440,63699804,64077800,64771544,0,0,0,0,17,0,12485142,298697066,298907417,36,37,360,1591138,3186166,0,64590960,87808,224188522,74781165,0
1789806203.6761818,0.501,2488695,61533,0,172,77,44,55415,522303,28476644,135212,1440,63685176,64058784,64771544,0,0,0,1,1,0,12486010,298792583,299002951,36,37,360,1590892,3185675,0,64595942,87844,224198466,74781165,0
1789806203.9265742,0.751,2489071,61555,0,172,77,44,55418,522304,28477339,163024,1472,63660176,64019340,64771544,0,0,0,1,1,0,12486764,298954640,299165008,36,37,368,1590618,3185126,0,64600130,88050,224226426,74781165,0
1789806204.1769059,1.002,2489435,61579,0,172,77,44,55420,522313,28479560,173812,1472,63652296,64006080,64771544,0,0,0,1,2,0,12487614,299102487,299312919,36,37,368,1590556,3185002,0,64603329,88144,224237070,74781165,0
1789806204.4272287,1.252,2489806,61601,0,172,77,44,55421,522319,28481230,180216,1472,63641420,63992020,64771544,0,0,0,1,1,0,12488592,299286092,299496523,36,37,368,1590364,3184617,0,64605347,88150,224243470,74781165,0
1789806204.677533,1.502,2490173,61622,0,172,77,44,55422,522329,28482516,188568,1472,63621520,63967916,64771544,0,0,0,1,1,0,12489446,299448064,299658496,36,37,368,1589972,3183832,0,64610462,88150,224251826,74781165,0
1789806204.9278429,1.753,2490527,61632,0,172,77,44,55425,522361,28486198,191580,1472,63579284,63924112,64771544,0,0,0,1,3,0,12490455,299469778,299680231,36,37,368,1588957,3181800,0,64626610,88158,224254830,74781197,0
1789806205.1782348,2.003,2490884,61645,0,172,77,44,55427,522386,28488284,195012,1472,63557816,63900940,64771544,0,0,0,0,2,0,12491165,299545964,299756417,36,37,368,1588464,3180812,0,64633815,88159,224258274,74781197,0
1789806205.4285655,2.253,2491249,61656,0,172,77,44,55429,522407,28491469,197832,1472,63544076,63885808,64771544,0,0,0,0,2,0,12491780,299631961,299842414,36,37,368,1588155,3180194,0,64638434,88159,224261134,74781197,0
1789806205.6788793,2.504,2491609,61671,0,172,77,44,55433,522430,28495287,201272,1472,63516528,63856484,64771544,0,0,0,0,2,0,12492427,299715624,299926084,36,37,368,1587512,3178906,0,64646275,88167,224264530,74781197,0
1789806205.9292624,2.754,2491960,61682,0,172,77,44,55435,522464,28499058,204200,1472,63509392,63847880,64771544,0,0,0,0,2,0,12492945,299773120,299983580,36,37,368,1587371,3178623,0,64648668,88172,224267458,74781197,0
1789806206.1795676,3.004,2492318,61692,0,172,77,44,55437,522492,28503505,206476,1472,63501856,63839212,64771544,0,0,0,0,2,0,12494136,299846137,300056683,36,37,368,1587211,3178303,0,64650424,88175,224269802,74781197,0
1789806206.429898,3.255,2492660,61704,0,172,77,44,55441,522535,28508855,208928,1476,63513800,63849936,64771544,0,0,0,0,1,0,12494610,299894286,300104842,36,37,369,1587539,3178961,0,64655211,88178,224272190,74781201,0
1789806206.7231789,3.548,2493103,61729,0,172,77,44,55442,522537,28509795,236784,1472,63495048,63816880,64771544,0,0,0,1,1,0,12495709,300138158,300348807,36,37,368,1587428,3178738,0,64658548,88406,224300962,74781201,0
