t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789806252.511825,0.0,2549284,63035,0,172,78,44,57237,536220,29224367,117356,1440,63500868,63883488,64771544,0,0,0,1,1,0,12626030,305678335,305890243,37,38,360,1585975,3175828,0,66144563,89754,233001686,74792653,0
1789806252.7622206,0.25,2549526,63053,0,172,78,44,57238,536360,29224953,127036,1440,63503792,63880464,64771544,0,0,0,0,17,0,12626495,305706620,305918575,37,38,360,1586209,3176297,0,66147227,89827,233013966,74792653,0
1789806253.01278,0.501,2549896,63069,0,172,78,44,57240,536372,29225649,134792,1440,63503464,63875972,64771544,0,0,0,1,1,0,12627249,305798249,306010251,37,38,360,1586305,3176488,0,66152170,89861,233023218,74792653,0
1789806253.263202,0.751,2550271,63092,0,172,78,44,57242,536373,29226371,163024,1472,63490220,63848012,64771544,0,0,0,1,1,0,12627815,305902233,306114254,37,38,368,1586341,3176562,0,66156392,90067,233051726,74792653,0
1789806253.5135498,1.002,2550636,63115,0,172,78,44,57244,536383,29228576,173644,1472,63477980,63830392,64771544,0,0,0,1,1,0,12628658,306044758,306256883,37,38,368,1586170,3176219,0,66159612,90163,233062498,74792653,0
1789806253.763889,1.252,2551007,63137,0,172,78,44,57245,536389,29230288,179892,1472,63467544,63816840,64771544,0,0,0,1,1,0,12629598,306227576,306439741,37,38,368,1585987,3175853,0,66161628,90169,233068898,74792653,0
1789806254.0141985,1.502,2551374,63159,0,172,78,44,57246,536399,29231593,188280,1472,63444952,63790048,64771544,0,0,0,0,1,0,12630543,306390101,306602273,37,38,368,1585528,3174934,0,66166756,90169,233077270,74792653,0
1789806254.2645361,1.753,2551729,63168,0,172,78,44,57251,536430,29235353,191316,1440,63460112,63803664,64771544,0,0,0,1,3,0,12631332,306435190,306647371,37,38,360,1585945,3175769,0,66182676,90177,233080238,74792685,0
1789806254.5149806,2.003,2552085,63181,0,172,78,44,57253,536458,29237997,194968,1440,63435328,63777052,64771544,0,0,0,1,1,0,12631902,306509627,306721808,37,38,360,1585372,3174621,0,66190273,90178,233083710,74792685,0
1789806254.7654378,2.254,2552450,63193,0,172,78,44,57254,536480,29241070,197800,1440,63414116,63754424,64771544,0,0,0,1,3,0,12632552,306597114,306809295,37,38,360,1584878,3173632,0,66195020,90178,233086606,74792685,0
1789806255.0158865,2.504,2552809,63207,0,172,78,44,57257,536504,29245018,201156,1440,63386716,63725328,64771544,0,0,0,1,1,0,12633003,306643436,306855622,37,38,360,1584236,3172347,0,66202912,90186,233089982,74792685,0
1789806255.2663374,2.755,2553159,63218,0,172,78,44,57259,536542,29248869,204156,1472,63385796,63722904,64771544,0,0,0,1,3,0,12634030,306698146,306910332,37,38,368,1584251,3172376,0,66206062,90191,233092902,74792685,0
1789806255.5167542,3.005,2553515,63228,0,172,78,44,57261,536575,29253768,206276,1472,63378552,63714612,64771544,0,0,0,1,2,0,12634691,306753150,306965336,37,38,368,1584096,3172066,0,66207744,90193,233094986,74792685,0
1789806255.7672129,3.255,2553857,63239,0,172,78,44,57265,536613,29259040,208632,1472,63430308,63765204,64771544,0,0,0,0,2,0,12635212,306802740,307014927,37,38,368,1585417,3174711,0,66212313,90197,233097474,74792685,0
1789806256.1636665,3.652,2554463,63266,0,172,78,44,57266,536615,29260099,236784,1472,63420748,63741172,64771544,0,0,0,1,1,0,12636317,307038276,307250476,37,38,368,1585540,3174957,0,66215709,90425,233126422,74792689,0
1789806256.4160264,3.904,2554838,63285,0,172,78,44,57268,536620,29260712,250932,1472,63406912,63720152,64771544,0,0,0,1,1,0,12637115,307228771,307440970,37,38,368,1585374,3174624,0,66219570,90530,233140642,74792689,0
1789806256.6663597,4.155,2555213,63301,0,172,78,44,57270,536627,29261222,262680,1472,63391796,63699108,64771544,0,0,0,1,1,0,12638016,307396983,307609182,37,38,368,1585145,3174165,0,66223689,90623,233152490,74792689,0
1789806256.916703,4.405,2555579,63316,0,172,79,44,57272,536645,29263083,268812,1472,63374836,63679000,64771544,0,0,0,1,1,0,12638585,307467891,307680091,37,38,368,1584800,3173475,0,66227227,90635,233158842,74792689,0
1789806257.167114,4.655,2555938,63330,0,172,79,44,57273,536670,29265352,272028,1472,63365816,63668344,64771544,0,0,0,0,2,0,12639206,307555181,307767384,37,38,368,1584615,3173106,0,66231021,90639,233162014,74792689,0
1789806257.4175582,4.906,2556265,63342,0,172,79,44,57278,536724,29267830,274752,1472,63294272,63595268,64771544,0,0,0,1,3,0,12639517,307581752,307793955,37,38,368,1582857,3169585,0,66249601,90639,233164734,74792689,0
1789806257.6680253,5.156,2556618,63352,0,172,79,44,57280,536759,29270197,277396,1472,63270540,63568848,64771544,0,0,0,0,3,0,12640006,307637328,307849531,37,38,368,1582265,3168399,0,66257079,90639,233167418,74792689,0
1789806257.9184902,5.407,2556968,63363,0,172,79,44,57284,536795,29276717,280824,1472,63250188,63545016,64771544,0,0,0,1,3,0,12640651,307689564,307901768,37,38,368,1581757,3167382,0,66263072,90642,233170810,74792689,0
1789806258.1689217,5.657,2557320,63373,0,172,79,44,57287,536831,29278734,283684,1472,63248524,63540556,64771544,0,0,0,0,2,0,12642295,307743435,307955642,37,38,368,1581715,3167299,0,66265040,90642,233173666,74792689,0
1789806258.4193652,5.908,2557667,63382,0,172,79,44,57290,536871,29282296,286184,1572,63234860,63524356,64771544,0,0,0,0,2,0,12642739,307784123,307996331,37,38,393,1581374,3166616,0,66268449,90644,233176066,74792689,0
1789806258.6697826,6.158,2558034,63394,0,172,79,44,57291,536892,29284131,289636,1572,63220620,63506680,64771544,0,0,0,1,2,0,12643434,307875246,308087453,37,38,393,1581019,3165904,0,66271716,90644,233179522,74792689,0
1789806258.9202144,6.408,2558392,63400,0,172,79,44,57293,536926,29285522,291936,1572,63210044,63493792,64771544,0,0,0,0,2,0,12643770,307913048,308125256,37,38,393,1580755,3165375,0,66274311,90644,233181862,74792689,0
1789806259.1706378,6.659,2558716,63402,0,172,79,44,57296,536993,29295011,292612,1572,63215320,63498396,64771544,0,0,0,0,3,0,12644396,307915012,308127219,37,38,393,1580887,3165639,0,66276599,90646,233182494,74792689,0
1789806259.421084,6.909,2559040,63404,0,172,79,44,57299,537063,29301283,293224,1572,63208620,63491064,64771544,0,0,0,0,3,0,12644822,307923107,308135314,37,38,393,1580719,3165304,0,66278808,90646,233183106,74792689,0
1789806259.6715539,7.16,2559391,63416,0,172,79,44,57300,537099,29304679,296792,1572,63203312,63482288,64771544,0,0,0,0,2,0,12645328,307986472,308198680,37,38,393,1580587,3165039,0,66280157,90649,233186674,74792689,0
1789806259.921988,7.41,2559762,63426,0,172,79,44,57301,537118,29305823,299664,1572,63196620,63472724,64771544,0,0,0,0,2,0,12645914,308070525,308282732,37,38,393,1580420,3164704,0,66281948,90649,233189546,74792689,0
1789806260.1723397,7.661,2560123,63433,0,172,79,44,57302,537147,29307931,301304,1572,63183696,63458040,64771544,0,0,0,0,5,0,12646734,308107648,308319906,37,38,393,1580097,3164058,0,66286502,90649,233191186,74792689,0
1789806260.4227638,7.911,2560480,63445,0,172,79,44,57304,537176,29309113,304860,1572,63164160,63434944,64771544,0,0,0,1,1,0,12647175,308177545,308389804,37,38,393,1579609,3163081,0,66292106,90649,233194758,74792689,0
1789806260.6731632,8.161,2560852,63455,0,172,79,44,57306,537194,29309997,307280,1572,63145044,63413420,64771544,0,0,0,0,2,0,12647749,308260676,308472935,37,38,393,1579132,3162126,0,66297060,90649,233197178,74792689,0
1789806260.9235704,8.412,2561199,63462,0,172,79,44,57307,537237,29311648,308960,1572,63122900,63389584,64771544,0,0,0,0,2,0,12647998,308296031,308508289,37,38,393,1578579,3161019,0,66302846,90649,233198850,74792689,0
1789806261.173979,8.662,2561559,63470,0,172,79,44,57309,537266,29313812,310616,1572,63103104,63367688,64771544,0,0,0,0,5,0,12648549,308350689,308562951,37,38,393,1578085,3160029,0,66308539,90649,233201278,74792689,0
1789806261.4247088,8.913,2561891,63475,0,172,79,44,57313,537324,29319663,312352,1572,63071552,63334368,64771544,0,0,0,0,5,0,12649005,308367875,308580137,37,38,393,1577298,3158452,0,66317061,90649,233202718,74792689,0
1789806261.675402,9.164,2562201,63481,0,172,79,44,57317,537404,29323108,314164,1728,63007684,63268708,64771544,0,0,0,0,3,0,12649217,308375837,308588109,37,38,432,1575703,3155260,0,66330793,90649,233204378,74792689,0
1789806261.925892,9.414,2562570,63491,0,172,79,44,57320,537422,29324389,317132,1728,62974716,63232736,64771544,0,0,0,0,2,0,12650090,308460206,308672488,37,38,432,1574880,3153612,0,66340241,90649,233207382,74792689,0
1789806262.176423,9.665,2562916,63497,0,172,79,44,57324,537465,29327978,318480,1736,62996900,63253588,64771544,0,0,0,0,6,0,12650456,308480347,308692629,37,38,434,1575434,3154721,0,66347159,90649,233208722,74792689,0
1789806262.4270701,9.915,2563254,63500,0,172,79,44,57327,537519,29339616,319572,1736,62972148,63227748,64771544,0,0,0,1,1,0,12651068,308493865,308706147,37,38,434,1574817,3153484,0,66355303,90649,233209782,74792689,0
1789806262.6775324,10.166,2563615,63505,0,172,79,44,57329,537550,29342949,320960,1736,62948104,63202296,64771544,0,0,0,0,2,0,12651421,308529492,308741774,37,38,434,1574216,3152281,0,66361579,90649,233211242,74792689,0
1789806262.9279623,10.416,2563975,63512,0,172,79,44,57330,537581,29345929,323124,1736,62934924,63186952,64771544,0,0,0,0,2,0,12651874,308573843,308786130,37,38,434,1573887,3151622,0,66365290,90649,233213330,74792689,0
1789806263.1784365,10.667,2564295,63519,0,172,79,44,57332,537652,29349552,325204,1748,62938880,63188828,64771544,0,0,0,0,6,0,12652573,308595271,308807558,37,38,437,1573986,3151820,0,66368497,90650,233215394,74792689,0
1789806263.4290226,10.917,2564599,63521,0,172,79,44,57334,537743,29356858,325884,1800,62924292,63173560,64771544,0,0,0,0,6,0,12653063,308599291,308811579,37,38,450,1573622,3151091,0,66371285,90650,233216078,74792749,0
1789806263.6795025,11.168,2564812,63521,0,172,79,44,57343,537918,29367378,326040,1812,62849232,63098032,64771544,0,0,0,0,15,0,12655010,308599472,308811761,38,38,453,1571747,3147337,0,66389707,90650,233216182,74792749,0
1789806263.9300988,11.418,2564971,63527,0,172,79,44,57355,538137,29379220,409884,3988,62722044,62887000,64771544,0,0,0,0,7,0,12657090,308603672,308815965,38,38,997,1568572,3140979,0,66419011,90650,233297850,74792749,0
1789806264.1808143,11.669,2565190,63530,0,172,79,44,57367,538304,29384874,410668,3988,62617868,62782024,64771544,0,0,0,0,8,0,12660717,308606057,308818351,38,38,997,1565971,3135770,0,66456099,90650,233298634,74792749,0
1789806264.43154,11.92,2565420,63535,0,172,79,44,57387,538448,29389630,567112,79868,62306404,62314016,64771544,0,0,0,0,6,0,12661042,308611933,308824230,38,38,19967,1558163,3120135,0,66530365,90650,233379562,74792749,0
1789806264.6822512,12.17,2565699,63542,0,172,79,44,57403,538548,29396818,810320,206860,62228972,61991448,64771544,0,0,0,0,14,0,12661430,308625187,308837509,38,38,51715,1556211,3116228,0,66554429,90650,233495670,74792749,0
1789806264.9329202,12.421,2565985,63547,0,172,79,44,57412,538649,29399541,1073344,343292,62223512,61721604,64771544,0,0,0,0,5,0,12661711,308636172,308848493,38,38,85823,1556041,3115887,0,66556137,90650,233622346,74792749,0
1789806265.1836433,12.672,2566256,63550,0,172,79,44,57444,538741,29403196,1239832,422932,61916696,61247000,64771544,0,0,0,0,5,0,12662254,308639880,308852203,38,38,105733,1548349,3100485,0,66566292,90650,233709366,74792749,0
1789806265.434108,12.922,2566521,63556,0,172,79,44,57465,538850,29410557,1522452,548912,61895116,60941420,64771544,0,0,0,0,5,0,12662684,308649367,308861701,38,38,137228,1547773,3099330,0,66595340,90650,233865130,74792749,0
1789806265.6845987,13.173,2566816,63560,0,172,79,44,57475,538941,29413610,1792720,697464,61932780,60706848,64771544,0,0,0,1,5,0,12662997,308658265,308870671,38,38,174366,1548662,3101111,0,66598057,90650,233987346,74792749,0
1789806265.935322,13.423,2567076,63563,0,172,79,44,57509,539043,29418454,1994956,804652,61642792,60212968,64771544,0,0,0,0,7,0,12664574,308663273,308875679,38,38,201163,1541386,3086542,0,66607309,90650,234082898,74792749,0
1789806266.185818,13.674,2567350,63567,0,172,79,44,57526,539148,29423041,2269320,931968,61697204,59991728,64771544,0,0,0,0,2,0,12664885,308670050,308882456,38,38,232992,1542693,3089159,0,66625153,90650,234229306,74792749,0
1789806266.4364216,13.925,2567642,63571,0,172,79,44,57538,539242,29426408,2560932,1080112,61741508,59742544,64771544,0,0,0,1,5,0,12665179,308678586,308890992,38,38,270028,1543770,3091315,0,66632505,90650,234372270,74792749,0
1789806266.6869009,14.175,2567915,63573,0,172,79,44,57575,539331,29432037,2768812,1199808,61581228,59372140,64771544,0,0,0,0,5,0,12665652,308682299,308894704,38,38,299952,1539704,3083173,0,66660118,90650,234461598,74792749,0
1789806266.9376295,14.426,2568200,63577,0,172,79,44,57597,539420,29439424,3028184,1306100,61556124,59086984,64771544,0,0,0,0,5,0,12666056,308691053,308903459,38,38,326626,1539071,3081906,0,66685522,90650,234613714,74792749,0
1789806267.1883626,14.677,2568490,63581,0,172,79,44,57607,539516,29441585,3341216,1457456,61678400,58893340,64771544,0,0,0,0,5,0,12666358,308700693,308913099,38,38,364465,1542060,3087891,0,66685566,90650,234775570,74792749,0
1789806267.4390535,14.927,2568770,63583,0,172,79,44,57639,539606,29446894,3561276,1597724,61547900,58541200,64771544,0,0,0,0,5,0,12666686,308704201,308916606,38,38,399431,1538744,3081250,0,66710976,90650,234856274,74792749,0
1789806267.6898336,15.178,2569049,63586,0,172,79,44,57666,539698,29453749,3799084,1692580,61443304,58197680,64771544,0,0,0,0,5,0,12667098,308709453,308921859,38,38,423347,1536116,3075988,0,66736289,90650,234998094,74792749,0
1789806267.940563,15.429,2569347,63590,0,172,79,44,57677,539787,29455951,4113064,1845280,61559612,57997340,64771544,0,0,0,0,6,0,12667384,308718373,308930780,38,38,461320,1538953,3081669,0,66736331,90650,235159950,74792749,0
1789806268.191024,15.679,2569613,63592,0,172,79,44,57704,539888,29460679,4335840,1987028,61514508,57727648,64771544,0,0,0,0,5,0,12667648,308721358,308933766,38,38,496757,1537792,3079344,0,66759704,90650,235240878,74792749,0
1789806268.4415085,15.93,2569881,63598,0,172,79,44,57732,539987,29467851,4585760,2075408,61429192,57390876,64771544,0,0,0,0,5,0,12668137,308731814,308944222,38,38,518852,1535614,3074982,0,66785525,90650,235402734,74793297,0
1789806268.6919847,16.18,2570179,63603,0,172,79,44,57743,540072,29470224,4894816,2226080,61538528,57188804,64771544,0,0,0,0,5,0,12668479,308745863,308958270,38,38,556520,1538274,3080310,0,66785909,90650,235561806,74793297,0
1789806268.9424706,16.431,2570461,63606,0,172,79,44,57765,540165,29475412,5137556,2384396,61447576,56853032,64771544,0,0,0,0,6,0,12668779,308751183,308963591,38,38,596099,1535951,3075657,0,66809864,90650,235645518,74793297,0
1789806269.1932032,16.681,2570718,63614,0,172,79,44,57796,540267,29480916,5357960,2449836,61495172,56679100,64771544,0,0,0,0,5,0,12669264,308766165,308978573,38,38,612459,1537132,3078023,0,66815424,90650,235801134,74793297,0
