stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789806440716,1789806441184,468,False,373,47565785,60,11,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,3,2,0,1789806442408,1789806442594,186,False,156,70548142,13,14,2114,0,0,0,0,2500,0,0,0,0,43580,2500,24429874
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,2,1,0,1789806442408,1789806442594,186,False,157,101359511,13,14,2114,0,0,0,0,2500,0,0,0,0,43446,2500,24070802
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,4,3,0,1789806442408,1789806442599,191,False,156,87603122,13,14,2114,0,0,0,0,2501,0,0,0,0,44083,2501,26480472
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,1,0,0,1789806442406,1789806442599,193,False,157,73419827,13,14,2114,0,0,0,0,2500,0,0,0,0,46131,2500,25143311
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,8,3,0,1789806442598,1789806443793,1195,False,1179,867341362,7,34,2389,0,0,0,103634240,417185,0,0,0,0,97927230,417185,122645712
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,6,1,0,1789806442593,1789806443798,1205,False,1189,880109169,13,34,2346,0,0,0,103634285,417185,0,0,0,0,97928684,417185,120334520
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,7,2,0,1789806442596,1789806443810,1214,False,1201,932578882,10,34,2346,0,0,0,103634250,417185,0,0,0,0,97935570,417185,124337582
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,5,0,0,1789806442590,1789806443822,1232,False,1212,883568182,14,36,2346,0,0,0,103636625,417187,0,0,0,0,97927808,417187,131073300
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,9,4,0,1789806443791,1789806444516,725,False,718,655576511,3,19,2346,0,0,0,103634225,417185,0,0,0,0,97929602,417185,112309572
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,10,5,0,1789806443798,1789806444522,724,False,719,651148074,1,19,2346,0,0,0,103634195,417185,0,0,0,0,97929776,417185,113132390
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,12,7,0,1789806443822,1789806444537,715,False,709,649281156,2,17,2346,0,0,0,103634170,417185,0,0,0,0,97933068,417185,114201068
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,11,6,0,1789806443810,1789806444551,741,False,734,665788507,2,22,2346,0,0,0,103634190,417185,0,0,0,0,97930381,417185,119937690
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,13,8,0,1789806444515,1789806445201,686,False,680,631990071,1,21,2346,0,0,0,103634165,417185,0,0,0,0,97929424,417185,109695831
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,15,10,0,1789806444536,1789806445225,689,False,684,627432138,2,21,2346,0,0,0,103634150,417185,0,0,0,0,97931077,417185,111629092
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,14,9,0,1789806444521,1789806445237,716,False,712,649305796,1,21,2346,0,0,0,103634165,417185,0,0,0,0,97928316,417185,114039080
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,16,11,0,1789806444550,1789806445268,718,False,711,650665863,3,18,2346,0,0,0,103634140,417185,0,0,0,0,97931867,417185,114871675
