t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789284245.6888287,0.0,1783429,41146,0,180,60,42,55127,509759,13790799,115552,1296,63882696,64264380,64771556,0,0,0,1,1,0,16964028,136838520,139026536,197286,198164,324,0,41050253,19472,142530352,255613801,0
1789284245.9394557,0.251,1783668,41164,0,180,60,42,55128,509903,13791398,125188,1296,63869508,64245280,64771556,0,0,0,1,16,0,16964210,136866188,139054211,197286,198164,324,0,41052920,19545,142542688,255613801,0
1789284246.1899726,0.501,1784041,41181,0,180,60,42,55129,509910,13792137,134364,1336,63852036,64222536,64771556,0,0,0,1,1,0,16965122,136965865,139153895,197286,198164,334,0,41057976,19582,142553332,255613801,0
1789284246.440389,0.752,1784416,41203,0,180,60,42,55130,509911,13792836,161592,1368,63827108,64183568,64771556,0,0,0,1,1,0,16966005,137131524,139319561,197286,198164,342,0,41062189,19793,142580952,255613801,0
1789284246.6907833,1.002,1784782,41226,0,180,60,42,55132,509921,13795119,172032,1368,63810796,64162008,64771556,0,0,0,1,1,0,16966896,137273718,139461757,197286,198164,342,0,41065347,19881,142591268,255613801,0
1789284246.941141,1.252,1785152,41248,0,180,60,42,55133,509926,13796783,178408,1368,63799136,64147164,64771556,0,0,0,1,1,0,16967988,137457863,139645911,197286,198164,342,0,41067352,19887,142597656,255613801,0
1789284247.1914475,1.503,1785519,41270,0,180,60,42,55134,509936,13798197,186696,1368,63776444,64120316,64771556,0,0,0,1,1,0,16969350,137618226,139806278,197286,198164,342,0,41072477,19887,142606032,255613801,0
1789284247.4417634,1.753,1785873,41279,0,180,60,42,55138,509966,13801924,189756,1368,63762660,64104996,64771556,0,0,0,0,3,0,16970213,137648240,139836297,197286,198164,342,0,41088572,19895,142608988,255613833,0
1789284247.692179,2.003,1786231,41292,0,180,60,42,55140,509992,13804558,193156,1368,63737292,64077924,64771556,0,0,0,0,2,0,16971014,137724015,139912084,197286,198164,342,0,41095874,19896,142612508,255613833,0
1789284247.9426157,2.254,1786595,41304,0,180,60,42,55142,510013,13807698,196120,1368,63717212,64056352,64771556,0,0,0,1,3,0,16971699,137809677,139997746,197286,198164,342,0,41100628,19896,142615352,255613833,0
1789284248.193018,2.504,1786956,41318,0,180,60,42,55145,510034,13811547,199512,1368,63689692,64027092,64771556,0,0,0,1,1,0,16972564,137861660,140049742,197286,198164,342,0,41108228,19904,142618760,255613833,0
