t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789284441.81615,0.0,2023476,49458,0,180,63,43,62828,566604,16134622,116084,1272,63768592,64149604,64771556,0,132,0,1,1,0,17394200,161519452,163753438,197289,198168,318,33,45587728,25001,184333464,284435241,0
1789284442.0665889,0.25,2023718,49476,0,180,63,43,62830,566743,16135248,125152,1336,63769636,64145032,64771556,0,0,0,0,17,0,17394735,161547671,163781692,197289,198168,334,0,45590392,25074,184345744,284435241,0
1789284442.317108,0.501,2024087,49493,0,180,63,43,62833,566755,16135944,133512,1336,63755280,64126116,64771556,0,0,0,1,1,0,17395652,161636257,163870319,197289,198168,334,0,45595396,25110,184355484,284435241,0
1789284442.5675144,0.751,2024463,49515,0,180,63,43,62834,566755,16136647,161356,1368,63727536,64083856,64771556,0,0,0,1,1,0,17396496,161798216,164032300,197289,198168,342,0,45599617,25319,184383668,284435241,0
1789284442.8178496,1.002,2024828,49539,0,180,63,43,62835,566765,16138828,172036,1368,63712556,64063528,64771556,0,0,0,1,1,0,17397403,161940072,164174180,197289,198168,342,0,45602825,25410,184394332,284435241,0
1789284443.068177,1.252,2025198,49561,0,180,63,43,62837,566771,16140487,178452,1368,63700948,64048720,64771556,0,0,0,1,1,0,17398109,162044883,164279034,197289,198168,342,0,45604851,25416,184400744,284435241,0
1789284443.3184779,1.502,2025565,49582,0,180,63,43,62838,566782,16141807,186744,1368,63680452,64024060,64771556,0,0,0,1,1,0,17398787,162208300,164442486,197289,198168,342,0,45609927,25416,184409112,284435241,0
1789284443.5688136,1.753,2025918,49592,0,180,63,43,62843,566814,16145530,189808,1368,63688132,64030224,64771556,0,0,0,1,3,0,17399348,162229121,164463312,197289,198168,342,0,45626143,25424,184412108,284435273,0
1789284443.819228,2.003,2026277,49604,0,180,63,43,62845,566840,16148032,193204,1368,63659392,63999776,64771556,0,0,0,1,1,0,17399924,162305571,164539773,197289,198168,342,0,45633418,25425,184415616,284435273,0
1789284444.069655,2.254,2026640,49617,0,180,63,43,62847,566864,16151297,196168,1368,63640116,63979012,64771556,0,0,0,1,2,0,17400565,162389819,164624021,197289,198168,342,0,45638109,25425,184418488,284435273,0
1789284444.3200662,2.504,2027002,49631,0,180,63,43,62850,566884,16155154,199596,1368,63613956,63951140,64771556,0,0,0,1,1,0,17401145,162441293,164675502,197289,198168,342,0,45645834,25433,184421952,284435273,0
1789284444.5704896,2.754,2027352,49642,0,180,63,43,62852,566920,16159425,202440,1368,63601040,63936824,64771556,0,0,0,0,2,0,17401715,162493522,164727732,197289,198168,342,0,45648070,25438,184424736,284435273,0
1789284444.820912,3.005,2027712,49653,0,180,63,43,62854,566948,16163600,204932,1368,63593408,63927928,64771556,0,0,0,0,4,0,17402397,162562613,164796822,197289,198168,342,0,45649816,25441,184427228,284435273,0
1789284445.0713573,3.255,2028057,49663,0,180,63,43,62858,566989,16169095,207104,1368,63576064,63909480,64771556,0,0,0,0,2,0,17403055,162593601,164827986,197289,198168,342,0,45654381,25444,184429404,284435277,0
1789284445.361704,3.546,2028495,49688,0,180,63,43,62859,566991,16170013,234832,1368,63555476,63874660,64771556,0,0,0,1,1,0,17404255,162837243,165071651,197289,198168,342,0,45657597,25672,184458176,284435277,0
1789284445.6141045,3.798,2028871,49707,0,180,63,43,62861,566995,16170640,249008,1368,63538692,63850684,64771556,0,0,0,1,1,0,17405023,163027546,165261979,197289,198168,342,0,45661572,25780,184472284,284435277,0
1789284445.8644156,4.048,2029246,49724,0,180,63,43,62862,567001,16171163,260900,1368,63522204,63828188,64771556,0,0,0,1,1,0,17405903,163199059,165433492,197289,198168,342,0,45665716,25874,184484280,284435277,0
1789284446.114756,4.299,2029614,49739,0,180,63,43,62864,567016,16172923,267304,1368,63503644,63806340,64771556,0,0,0,1,1,0,17407061,163276970,165511409,197289,198168,342,0,45669514,25886,184490860,284435277,0
1789284446.3651855,4.549,2029973,49753,0,180,63,43,62865,567040,16174696,270292,1368,63488768,63789972,64771556,0,0,0,0,3,0,17407837,163363663,165598126,197289,198168,342,0,45673554,25890,184493860,284435277,0
1789284446.61571,4.8,2030300,49765,0,180,63,43,62869,567097,16176349,273108,1368,63418496,63718296,64771556,0,0,0,0,4,0,17408164,163406186,165640649,197289,198168,342,0,45692153,25890,184496668,284435277,0
1789284446.866168,5.05,2030653,49775,0,180,63,43,62871,567130,16178204,275668,1368,63395500,63693252,64771556,0,0,0,0,2,0,17408573,163461524,165695988,197289,198168,342,0,45698942,25890,184499264,284435277,0
1789284447.1166432,5.3,2031004,49787,0,180,63,43,62873,567163,16182261,279152,1368,63375584,63669732,64771556,0,0,0,0,4,0,17409191,163518224,165752734,197289,198168,342,0,45704815,25893,184502720,284435277,0
1789284447.3670871,5.551,2031361,49797,0,180,63,43,62875,567195,16183617,282036,1368,63372928,63664192,64771556,0,0,0,1,1,0,17409548,163561875,165796445,197289,198168,342,0,45707025,25894,184505680,284435277,0
1789284447.6175408,5.801,2031712,49807,0,180,63,43,62877,567230,16185464,285032,1468,63364684,63652980,64771556,0,0,0,1,1,0,17409957,163610997,165845568,197289,198168,367,0,45710897,25895,184508500,284435277,0
1789284447.8679776,6.052,2032070,49819,0,180,63,43,62878,567259,16187258,288744,1468,63352016,63636596,64771556,0,0,0,0,3,0,17410455,163680973,165915543,197289,198168,367,0,45714500,25895,184512212,284435277,0
1789284448.118409,6.302,2032420,49823,0,180,63,43,62879,567303,16190168,290540,1468,63339596,63622356,64771556,0,0,0,0,2,0,17410981,163704734,165939305,197289,198168,367,0,45718518,25895,184514008,284435277,0
1789284448.3688648,6.553,2032745,49825,0,180,63,43,62882,567373,16196474,291032,1468,63323460,63605720,64771556,0,0,0,0,3,0,17411467,163709976,165944547,197289,198168,367,0,45723360,25897,184514544,284435277,0
1789284448.6193428,6.803,2033079,49828,0,180,63,43,62884,567433,16201829,291844,1468,63317392,63598848,64771556,0,0,0,0,5,0,17411900,163721693,165956263,197289,198168,367,0,45726146,25897,184515312,284435277,0
1789284448.8698504,7.054,2033451,49842,0,180,63,43,62885,567446,16202920,296104,1468,63312956,63590148,64771556,0,0,0,1,1,0,17412681,163852619,166087190,197289,198168,367,0,45727424,25897,184519584,284435277,0
1789284449.1202588,7.304,2033823,49849,0,180,63,43,62887,567468,16204099,298064,1468,63302908,63578140,64771556,0,0,0,1,2,0,17413250,163916408,166150979,197289,198168,367,0,45729791,25897,184521536,284435277,0
1789284449.3706813,7.555,2034163,49866,0,180,63,43,62890,567506,16207331,301788,3024,63278052,63549376,64771556,0,0,0,2,2,0,17413609,163961759,166196382,197289,198168,756,0,45738393,25949,184526796,284435277,0
1789284449.6211042,7.805,2034507,49893,0,180,63,43,62892,567532,16208499,310324,3024,63235328,63496684,64771556,0,0,0,1,2,0,17414158,164063636,166298396,197289,198168,756,0,45748853,25975,184536044,284435277,0
1789284449.871632,8.055,2034846,49914,0,180,63,43,62895,567572,16210326,317148,3024,63205292,63459548,64771556,0,0,0,0,4,0,17414551,164148431,166383278,197289,198168,756,0,45757203,26010,184543164,284435277,0
1789284450.1222885,8.306,2035182,49931,0,180,63,43,62902,567613,16212748,322188,3996,63194988,63443284,64771556,0,0,0,0,3,0,17415045,164188882,166423740,197289,198168,999,0,45769730,26047,184548532,284435281,0
1789284450.3727295,8.557,2035532,49938,0,180,63,43,62905,567652,16215782,324056,3996,63175568,63421088,64771556,0,0,0,0,4,0,17415715,164227321,166462179,197289,198168,999,0,45774790,26047,184551016,284435281,0
1789284450.6231437,8.807,2035860,49943,0,180,63,43,62909,567714,16220958,325492,4000,63133064,63377144,64771556,0,0,0,0,5,0,17416125,164240420,166475279,197289,198168,1000,0,45784466,26047,184552588,284435281,0
1789284450.8736215,9.057,2036188,49950,0,180,63,43,62912,567776,16223343,327436,4152,63105460,63347628,64771556,0,0,0,0,2,0,17416287,164248544,166483407,197289,198168,1038,0,45796273,26047,184554240,284435281,0
1789284451.1240838,9.308,2036548,49960,0,180,63,43,62915,567803,16225195,330312,4152,63079424,63318772,64771556,0,0,0,0,2,0,17418633,164298873,166533737,197289,198168,1038,0,45805454,26047,184557120,284435281,0
1789284451.3745441,9.558,2036913,49965,0,180,64,43,62919,567828,16227734,331828,4160,63204404,63442168,64771556,0,0,0,1,2,0,17419061,164327993,166562857,197289,198168,1040,0,45811707,26047,184558628,284435281,0
1789284451.6249623,9.809,2037282,49973,0,180,64,43,62920,567849,16228758,333816,4160,63183552,63419340,64771556,0,0,0,0,3,0,17420463,164395745,166630641,197289,198168,1040,0,45817419,26047,184560632,284435281,0
1789284451.8754098,10.059,2037641,49982,0,180,64,43,62923,567878,16231076,336848,4160,63157640,63390388,64771556,0,0,0,0,3,0,17420942,164450448,166685356,197289,198168,1040,0,45823909,26048,184563648,284435281,0
1789284452.1259012,10.31,2037965,49987,0,180,64,43,62926,567945,16236511,338012,4164,63146104,63377648,64771556,0,0,0,0,4,0,17421485,164465600,166700508,197289,198168,1041,0,45831008,26048,184564812,284435281,0
1789284452.3763537,10.56,2038245,49988,0,180,64,43,62930,568057,16245935,338900,4228,63137248,63367892,64771556,0,0,0,0,5,0,17421959,164467082,166701990,197289,198168,1057,0,45834135,26048,184565688,284435345,0
1789284452.6268814,10.811,2038564,50005,0,180,64,43,62938,568111,16253564,480884,4228,63048572,63137212,64771556,0,0,0,0,5,0,17422555,164490428,166725337,197289,198168,1057,0,45853151,26048,184707712,284435345,0
1789284452.8773725,11.061,2038800,50005,0,180,64,43,62956,568256,16263117,531484,54748,62854192,62891540,64771556,0,0,0,0,5,0,17423037,164490428,166725337,197290,198168,13687,0,45905297,26048,184707752,284435345,0
1789284453.1281044,11.312,2039067,50018,0,180,64,43,62969,568361,16269676,796380,178528,62728612,62499904,64771556,0,0,0,0,5,0,17423827,164511726,166746649,197290,198168,44632,0,45931885,26048,184848504,284435345,0
1789284453.378831,11.563,2039362,50033,0,180,64,43,62984,568438,16273937,1084236,325996,62695856,62177328,64771556,0,0,0,0,5,0,17424272,164547728,166782651,197290,198168,81499,0,45947377,26048,184989256,284435345,0
1789284453.6295204,11.813,2039621,50047,0,180,64,43,63021,568528,16281443,1302164,403828,62397164,61659372,64771556,0,0,0,0,7,0,17425423,164558550,166793476,197291,198170,100957,0,45956064,26048,185130024,284435345,0
1789284453.8802085,12.064,2039884,50061,0,180,64,43,63038,568631,16286668,1537592,501964,62319768,61345316,64771556,0,0,0,0,12,0,17425787,164579549,166814475,197291,198170,125491,0,45988238,26051,185266644,284435345,0
1789284454.1308553,12.315,2040161,50076,0,180,64,43,63051,568726,16291554,1829764,649208,62301668,61033300,64771556,0,0,0,0,5,0,17426236,164604994,166839921,197291,198170,162302,0,46000352,26051,185411628,284435345,0
1789284454.381577,12.565,2040444,50076,0,180,64,43,63089,568807,16295771,1984696,803616,62009956,60584908,64771556,0,0,0,0,12,0,17427021,164605159,166840142,197291,198170,200904,0,46018842,26051,185412096,284435345,0
1789284454.632061,12.816,2040726,50096,0,180,64,43,63103,568889,16300272,2298236,901288,62071992,60331756,64771556,0,0,0,2,3,0,17427548,164638300,166873287,197291,198170,225322,0,46024123,26051,185628052,284435345,0
1789284454.8826108,13.066,2041014,50110,0,180,64,43,63122,568970,16306200,2586156,1043512,62072088,60042160,64771556,0,0,0,3,3,0,17428073,164669512,166904499,197291,198170,260878,0,46051157,26051,185774372,284435345,0
1789284455.1331215,13.317,2041297,50119,0,180,64,43,63150,569051,16308481,2842100,1204388,61909280,59621768,64771556,0,0,0,0,6,0,17428433,164684424,166919412,197291,198170,301097,0,46055745,26051,185869072,284435345,0
