stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789283737229,1789283737692,463,False,364,44135023,61,11,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789283738817,1789283740181,1364,False,1331,1016672425,25,43,2299,0,0,0,122981706,495879,0,0,0,0,116397104,495879,158677056
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789283738818,1789283740181,1363,False,1331,948464259,24,43,2299,0,0,0,122981706,495879,0,0,0,0,116388790,495879,159701770
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789283738818,1789283740181,1363,False,1329,943047119,25,43,2342,0,0,0,122981706,495879,0,0,0,0,116390755,495879,160910384
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789283738815,1789283740183,1368,False,1332,986774925,24,43,2342,0,0,0,122981712,495879,0,0,0,0,116388317,495879,158880706
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789283740180,1789283741083,903,False,890,739655125,4,30,2342,0,0,0,122981706,495879,0,0,0,0,116392896,495879,133200780
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789283740179,1789283741085,906,False,897,744573683,5,30,2299,0,0,0,122981706,495879,0,0,0,0,116397328,495879,133912790
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789283740181,1789283741087,906,False,899,743842193,4,30,2299,0,0,0,122981703,495879,0,0,0,0,116402501,495879,135930922
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789283740182,1789283741094,912,False,906,753528212,4,30,2299,0,0,0,122981697,495879,0,0,0,0,116392778,495879,142879707
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789283741084,1789283741943,859,False,851,709603061,2,19,2299,0,0,0,122981697,495879,0,0,0,0,116400966,495879,132339705
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789283741086,1789283741943,857,False,851,717939739,2,19,2299,0,0,0,122981697,495879,0,0,0,0,116392916,495879,134204492
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789283741082,1789283741954,872,False,865,718857196,3,19,2299,0,0,0,122981697,495879,0,0,0,0,116395239,495879,133568030
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789283741094,1789283741955,861,False,855,719837216,2,19,2299,0,0,0,122981697,495879,0,0,0,0,116397991,495879,132928031
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789283741941,1789283742736,795,False,787,698093004,2,21,2299,0,0,0,122981697,495879,0,0,0,0,116398619,495879,126481654
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789283741954,1789283742836,882,False,876,723503586,2,21,2299,0,0,0,122981697,495879,0,0,0,0,116393476,495879,146910105
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789283741942,1789283742846,904,False,899,742483800,2,21,2299,0,0,0,122981697,495879,0,0,0,0,116396424,495879,132213368
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789283741953,1789283742849,896,False,890,734189230,2,21,2299,0,0,0,122981697,495879,0,0,0,0,116394022,495879,132173647
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789283742735,1789283743502,767,False,760,698432765,2,26,2299,0,0,0,122981694,495879,0,0,0,0,116392853,495879,142884293
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789283742836,1789283743667,831,False,826,748469695,1,26,2299,0,0,0,122981688,495879,0,0,0,0,116392299,495879,133006735
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789283742845,1789283743674,829,False,824,709518797,1,26,2299,0,0,0,122981688,495879,0,0,0,0,116387550,495879,128660351
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789283742848,1789283743694,846,False,841,752823854,1,26,2299,0,0,0,122981688,495879,0,0,0,0,116395654,495879,133650897
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789283743501,1789283744315,814,False,810,703357092,2,14,2299,0,0,0,122981688,495879,0,0,0,0,116400774,495879,127105538
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789283743666,1789283744478,812,False,806,712631922,2,14,2299,0,0,0,122981688,495879,0,0,0,0,116394958,495879,127850905
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789283743694,1789283744533,839,False,834,698840155,1,14,2299,0,0,0,122981688,495879,0,0,0,0,116400958,495879,128292675
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789283743673,1789283744538,865,False,862,726269051,1,14,2299,0,0,0,122981688,495879,0,0,0,0,116394291,495879,132354910
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789283744315,1789283745140,825,False,819,728793792,1,17,2299,0,0,0,122981688,495879,0,0,0,0,116401583,495879,129562466
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789283744477,1789283745259,782,False,778,711629800,1,17,2299,0,0,0,122981688,495879,0,0,0,0,116396668,495879,129394852
