t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789284025.5479133,0.0,1506219,33053,0,180,56,42,47365,451528,11503942,115388,1304,63661836,64041936,64771556,0,0,0,1,1,0,16524592,111777146,113914081,197285,198164,326,0,36481957,13935,100748804,225876169,0
1789284025.7983205,0.25,1506458,33070,0,180,56,42,47366,451670,11504547,124932,1304,63648904,64023532,64771556,0,0,0,0,17,0,16525058,111804933,113941926,197285,198164,326,0,36484622,14008,100761104,225876169,0
1789284026.048863,0.501,1506830,33087,0,180,56,42,47369,451678,11505281,133864,1328,63649544,64019016,64771556,0,0,0,1,1,0,16525728,111902607,114039625,197285,198164,332,0,36489633,14044,100771476,225876169,0
1789284026.2992759,0.751,1507206,33110,0,180,56,42,47370,451679,11505992,161404,1360,63623764,63979288,64771556,0,0,0,0,2,0,16526595,112067971,114205002,197285,198164,340,0,36493857,14254,100799148,225876169,0
1789284026.5496597,1.002,1507570,33133,0,180,56,42,47371,451688,11508143,171804,1360,63607948,63958280,64771556,0,0,0,0,2,0,16527344,112210515,114347547,197285,198164,340,0,36497040,14344,100809716,225876169,0
1789284026.8000255,1.252,1507941,33155,0,180,56,42,47373,451693,11509700,178224,1360,63598052,63945176,64771556,0,0,0,1,1,0,16528311,112395990,114533023,197285,198164,340,0,36499074,14350,100816180,225876169,0
1789284027.0503466,1.502,1508308,33177,0,180,56,42,47374,451703,11510969,186464,1360,63580020,63923004,64771556,0,0,0,1,1,0,16529148,112554165,114691203,197285,198164,340,0,36504119,14350,100824460,225876169,0
1789284027.3007667,1.753,1508661,33186,0,180,56,42,47378,451735,11514580,189676,1360,63582340,63923616,64771556,0,0,0,1,2,0,16531246,112614898,114751936,197285,198164,340,0,36520329,14358,100827440,225876201,0
1789284027.551194,2.003,1509019,33199,0,180,56,42,47381,451761,11517193,193092,1360,63558048,63897616,64771556,0,0,0,0,2,0,16531832,112689636,114826675,197285,198164,340,0,36527823,14359,100830960,225876201,0
1789284027.8016315,2.254,1509383,33211,0,180,56,42,47382,451782,11519674,196072,1360,63537780,63875860,64771556,0,0,0,1,3,0,16532487,112775866,114912905,197285,198164,340,0,36532570,14359,100833876,225876201,0
1789284028.0520463,2.504,1509744,33226,0,180,56,42,47385,451802,11523488,199548,1360,63517112,63853464,64771556,0,0,0,0,2,0,16533199,112866400,115003443,197285,198164,340,0,36540224,14367,100837368,225876201,0
1789284028.3024683,2.755,1510095,33236,0,180,56,42,47387,451838,11527989,202332,1360,63502296,63837260,64771556,0,0,0,0,2,0,16534084,112919565,115056613,197285,198164,340,0,36542784,14372,100840096,225876201,0
1789284028.552882,3.005,1510454,33247,0,180,56,42,47389,451866,11531873,204820,1360,63497332,63831032,64771556,0,0,0,0,2,0,16534687,112988872,115125925,197285,198164,340,0,36544565,14375,100842612,225876201,0
1789284028.803255,3.255,1510800,33258,0,180,56,42,47392,451906,11536829,207000,1360,63480488,63813088,64771556,0,0,0,0,1,0,16535029,113010388,115147564,197285,198164,340,0,36549428,14378,100844756,225876205,0
1789284029.0943217,3.546,1511240,33283,0,180,56,42,47393,451908,11537729,234604,1360,63463932,63782348,64771556,0,0,0,1,1,0,16536274,113255948,115393128,197285,198164,340,0,36552655,14606,100873528,225876205,0
1789284029.347309,3.799,1511616,33302,0,180,56,42,47394,451912,11538364,248880,1360,63452612,63763776,64771556,0,0,0,1,1,0,16537151,113445602,115582832,197285,198164,340,0,36556606,14714,100887636,225876205,0
1789284029.597654,4.05,1511991,33319,0,180,56,42,47396,451919,11538884,260788,1360,63436360,63741532,64771556,0,0,0,1,1,0,16538083,113617478,115754708,197285,198164,340,0,36560738,14808,100899624,225876205,0
1789284029.8479805,4.3,1512358,33333,0,180,56,42,47397,451934,11540591,267132,1360,63416216,63718124,64771556,0,0,0,1,1,0,16538786,113695148,115832378,197285,198164,340,0,36564401,14820,100906148,225876205,0
1789284030.0983744,4.55,1512718,33348,0,180,56,42,47398,451959,11542317,270160,1360,63411820,63712208,64771556,0,0,0,0,3,0,16539488,113785033,115922266,197285,198164,340,0,36567877,14824,100909184,225876205,0
1789284030.3488185,4.801,1513044,33360,0,180,56,42,47401,452016,11544080,272780,1360,63327972,63627048,64771556,0,0,0,1,3,0,16539812,113827075,115964312,197285,198164,340,0,36587543,14824,100911900,225876205,0
1789284030.5993018,5.051,1513397,33370,0,180,56,42,47403,452050,11545914,275524,1360,63303552,63600544,64771556,0,0,0,0,2,0,16540225,113882356,116019593,197285,198164,340,0,36594325,14824,100914580,225876205,0
1789284030.8498034,5.302,1513749,33382,0,180,56,42,47405,452083,11550064,279024,1360,63276860,63570312,64771556,0,0,0,0,4,0,16540739,113940015,116077253,197285,198164,340,0,36600404,14827,100918056,225876205,0
1789284031.1004636,5.553,1514104,33392,0,180,56,42,47407,452117,11551479,281932,1360,63277796,63568324,64771556,0,0,0,0,2,0,16541693,113993256,116130497,197285,198164,340,0,36603855,14828,100921084,225876205,0
1789284031.3509157,5.803,1514454,33402,0,180,56,42,47408,452155,11553439,285032,1460,63262288,63549752,64771556,0,0,0,0,2,0,16542084,114041168,116178417,197285,198164,365,0,36607485,14829,100923988,225876205,0
1789284031.6013677,6.053,1514815,33413,0,180,56,42,47410,452180,11555463,288720,1460,63252128,63535908,64771556,0,0,0,0,3,0,16542584,114114437,116251686,197285,198164,365,0,36610983,14829,100927680,225876205,0
1789284031.8520105,6.304,1515167,33418,0,180,56,42,47412,452222,11560020,290436,1460,63239904,63521960,64771556,0,0,0,0,3,0,16542966,114138769,116276018,197285,198164,365,0,36613714,14829,100929368,225876205,0
1789284032.1024766,6.555,1515488,33419,0,180,56,42,47416,452295,11568052,291076,1460,63232732,63514124,64771556,0,0,0,0,2,0,16543517,114142975,116280224,197285,198164,365,0,36617668,14831,100930000,225876205,0
1789284032.3529449,6.805,1515824,33423,0,180,56,42,47417,452354,11573732,291936,1460,63224212,63504760,64771556,0,0,0,1,1,0,16543975,114158221,116295472,197285,198164,365,0,36619440,14831,100930860,225876205,0
1789284032.6034,7.055,1516194,33437,0,180,56,42,47419,452368,11574880,296060,1460,63218916,63495332,64771556,0,0,0,0,2,0,16544658,114275888,116413140,197285,198164,365,0,36620764,14831,100935020,225876205,0
1789284032.8537924,7.306,1516565,33444,0,180,56,42,47419,452391,11575897,297960,1460,63207792,63482288,64771556,0,0,0,0,2,0,16545083,114338008,116475259,197285,198164,365,0,36623975,14831,100936976,225876205,0
1789284033.1042,7.556,1516912,33455,0,180,56,42,47421,452432,11578367,300760,1460,63187928,63459648,64771556,0,0,0,1,2,0,16545559,114363816,116501070,197285,198164,365,0,36630012,14831,100939732,225876205,0
1789284033.3546267,7.807,1517284,33467,0,180,56,42,47423,452445,11578944,304188,1460,63166504,63434784,64771556,0,0,0,1,1,0,16546326,114485998,116623258,197285,198164,365,0,36635400,14831,100943120,225876205,0
1789284033.6049838,8.057,1517643,33473,0,180,56,42,47423,452480,11580904,305536,1460,63139344,63406308,64771556,0,0,0,1,2,0,16546589,114517885,116655145,197285,198164,365,0,36640827,14831,100944496,225876205,0
1789284033.8554153,8.308,1518008,33481,0,180,56,42,47426,452504,11582026,307528,1460,63118924,63383896,64771556,0,0,0,1,1,0,16546956,114578468,116715735,197285,198164,365,0,36647410,14831,100946460,225876205,0
