t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789284619.616655,0.0,2248214,55555,0,180,66,43,69093,613294,18046839,115948,1776,63758728,64139284,64771556,0,0,0,1,1,0,17773806,180937338,183206615,197292,198171,444,0,49502150,29479,217766624,304039113,0
1789284619.867457,0.251,2248452,55573,0,180,66,43,69094,613437,18047444,125792,1776,63744120,64118688,64771556,0,0,0,1,16,0,17774027,180964887,183234173,197292,198171,444,0,49504824,29552,217778980,304039113,0
1789284620.1179717,0.501,2248826,55590,0,180,66,43,69096,613444,18048183,134280,1276,63747564,64117432,64771556,0,0,0,1,1,0,17774702,181067170,183336532,197292,198171,319,0,49509845,29589,217789348,304039113,0
1789284620.3683434,0.752,2249202,55612,0,180,66,43,69097,613445,18048906,161436,1308,63717308,64073168,64771556,0,0,0,1,1,0,17775439,181227052,183496420,197292,198171,327,0,49514068,29798,217816956,304039113,0
1789284620.618696,1.002,2249567,55635,0,180,66,43,69098,613453,18051177,172084,1308,63700240,64050760,64771556,0,0,0,1,1,0,17776271,181370113,183639489,197292,198171,327,0,49517230,29888,217827476,304039113,0
1789284620.8690755,1.252,2249937,55657,0,180,66,43,69099,613459,18052814,178464,1308,63689120,64036452,64771556,0,0,0,1,1,0,17777313,181554780,183824157,197292,198171,327,0,49519240,29894,217833860,304039113,0
1789284621.1194646,1.503,2250304,55679,0,180,66,43,69100,613468,18054117,186804,1308,63670128,64013284,64771556,0,0,0,1,1,0,17778135,181716341,183985769,197292,198171,327,0,49524325,29894,217842188,304039113,0
1789284621.3698604,1.753,2250659,55688,0,180,66,43,69105,613498,18057910,189776,1308,63678976,64020612,64771556,0,0,0,1,3,0,17778637,181764516,184033951,197292,198171,327,0,49540278,29902,217845168,304039145,0
1789284621.6204877,2.004,2251016,55701,0,180,66,43,69107,613525,18060586,193040,1308,63652180,63992184,64771556,0,0,0,1,1,0,17779927,181840653,184110093,197292,198171,327,0,49547338,29903,217848620,304039145,0
1789284621.8709154,2.254,2251381,55713,0,180,66,43,69109,613545,18063752,196088,1308,63632416,63970904,64771556,0,0,0,1,1,0,17780601,181928388,184197828,197292,198171,327,0,49552045,29903,217851480,304039145,0
1789284622.1213305,2.505,2251741,55727,0,180,66,43,69113,613569,18067690,199508,1308,63606588,63943376,64771556,0,0,0,1,1,0,17781371,182011988,184281429,197292,198171,327,0,49559939,29910,217854904,304039145,0
1789284622.37178,2.755,2252093,55738,0,180,66,43,69115,613604,18071503,202392,1308,63596576,63931896,64771556,0,0,0,0,7,0,17781889,182069090,184338531,197292,198171,327,0,49562585,29915,217857824,304039145,0
1789284622.6223567,3.006,2252451,55749,0,180,66,43,69116,613632,18075853,204732,1308,63589328,63923492,64771556,0,0,0,1,1,0,17782522,182131872,184401313,197292,198171,327,0,49564585,29918,217860176,304039145,0
1789284622.8728364,3.256,2252795,55760,0,180,66,43,69119,613671,18081134,207124,1308,63623952,63956908,64771556,0,0,0,0,2,0,17782995,182179432,184448873,197292,198171,327,0,49570443,29921,217862552,304039149,0
1789284623.1611981,3.545,2253230,55786,0,180,66,43,69121,613673,18082113,235020,1308,63603100,63921736,64771556,0,0,0,1,1,0,17784174,182427498,184697284,197292,198171,327,0,49573408,30149,217891332,304039149,0
1789284623.4135172,3.797,2253605,55804,0,180,66,43,69123,613678,18082727,249072,1308,63586004,63897508,64771556,0,0,0,1,1,0,17784938,182616872,184886658,197292,198171,327,0,49577354,30257,217905444,304039149,0
1789284623.664556,4.048,2253982,55821,0,180,66,43,69124,613685,18083256,260912,1308,63569976,63875516,64771556,0,0,0,1,1,0,17785848,182788291,185058077,197292,198171,327,0,49581509,30351,217917428,304039149,0
1789284623.9149265,4.298,2254348,55837,0,180,66,43,69125,613700,18084956,267104,1308,63551168,63853508,64771556,0,0,0,1,1,0,17786363,182871669,185141529,197292,198171,327,0,49585110,30363,217923808,304039149,0
1789284624.1653383,4.549,2254708,55850,0,180,66,43,69127,613724,18086689,270268,1308,63533732,63834484,64771556,0,0,0,0,3,0,17787151,182959750,185229621,197292,198171,327,0,49588949,30367,217926932,304039149,0
1789284624.415797,4.799,2255037,55863,0,180,66,43,69131,613778,18088523,272888,1308,63472112,63771560,64771556,0,0,0,0,4,0,17787719,183003830,185273701,197292,198171,327,0,49607720,30367,217929548,304039149,0
