t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789284658.5220265,0.0,2295538,57290,0,180,66,43,70654,624759,18517237,115484,1648,63590132,63971492,64771556,0,0,0,1,1,0,17866782,186120973,188398920,197293,198172,412,0,50446589,30602,226132540,309960601,0
1789284658.7724516,0.25,2295774,57308,0,180,66,43,70655,624903,18517875,125484,1648,63574732,63950004,64771556,0,0,0,1,1,0,17867387,186148392,188426342,197293,198172,412,0,50449270,30675,226144900,309960601,0
1789284659.0228915,0.501,2296149,57325,0,180,66,43,70657,624909,18518591,135236,1648,63555368,63925052,64771556,0,0,0,1,1,0,17868031,186250734,188528693,197293,198172,412,0,50454326,30713,226156020,309960601,0
1789284659.273281,0.751,2296524,57348,0,180,66,43,70658,624910,18519303,161836,1680,63533064,63889264,64771556,0,0,0,1,1,0,17868866,186418827,188696859,197293,198172,420,0,50458506,30925,226183236,309960601,0
1789284659.5236404,1.002,2296889,57371,0,180,66,43,70659,624919,18521543,172240,1680,63519260,63870196,64771556,0,0,0,0,2,0,17869628,186569270,188847331,197293,198172,420,0,50461689,31012,226193548,309960601,0
1789284659.7740154,1.252,2297260,57394,0,180,66,43,70661,624925,18523141,178668,1680,63508640,63856364,64771556,0,0,0,1,1,0,17870515,186757627,189035716,197293,198172,420,0,50463749,31018,226199980,309960601,0
1789284660.0243163,1.502,2297626,57415,0,180,66,43,70662,624936,18524603,187004,1680,63491500,63835040,64771556,0,0,0,1,1,0,17871280,186916050,189194167,197293,198172,420,0,50468834,31018,226208332,309960601,0
1789284660.2746565,1.753,2297979,57424,0,180,66,43,70667,624968,18528150,189924,1432,63498596,63840680,64771556,0,0,0,1,1,0,17872243,186942420,189220541,197293,198172,358,0,50485030,31026,226211248,309960633,0
1789284660.5250578,2.003,2298337,57437,0,180,66,43,70668,624995,18530222,193444,1432,63473932,63814260,64771556,0,0,0,0,2,0,17872900,187016451,189294593,197293,198172,358,0,50492288,31027,226214748,309960633,0
1789284660.7754254,2.253,2298700,57449,0,180,66,43,70669,625018,18533467,196320,1432,63454448,63793304,64771556,0,0,0,0,2,0,17873634,187099443,189377585,197293,198172,358,0,50496948,31027,226217624,309960633,0
1789284661.0257633,2.504,2299062,57463,0,180,66,43,70672,625037,18537312,199720,1432,63423452,63760616,64771556,0,0,0,1,1,0,17874465,187187875,189466027,197293,198172,358,0,50504489,31034,226221100,309960633,0
1789284661.2761526,2.754,2299413,57473,0,180,66,43,70674,625074,18541639,202504,1432,63421392,63757136,64771556,0,0,0,0,2,0,17875035,187240006,189518167,197293,198172,358,0,50506542,31039,226223824,309960633,0
1789284661.5265458,3.005,2299773,57484,0,180,66,43,70675,625101,18545594,204972,1432,63415088,63749600,64771556,0,0,0,0,2,0,17875981,187320708,189598868,197293,198172,358,0,50508251,31042,226226288,309960633,0
1789284661.7768755,3.255,2300121,57494,0,180,66,43,70680,625139,18550309,207180,1432,63463780,63797196,64771556,0,0,0,0,2,0,17877260,187361550,189639726,197293,198172,358,0,50512825,31044,226228508,309960637,0
1789284662.0614738,3.539,2300550,57520,0,180,66,43,70681,625141,18551199,235012,1432,63443148,63762268,64771556,0,0,0,1,1,0,17878581,187607964,189886229,197293,198172,358,0,50515690,31272,226257256,309960637,0
1789284662.3138642,3.792,2300925,57538,0,180,66,43,70682,625146,18551827,249068,1432,63425800,63737788,64771556,0,0,0,1,1,0,17879378,187798198,190076463,197293,198172,358,0,50519649,31380,226271384,309960637,0
1789284662.5641835,4.042,2301301,57555,0,180,66,43,70683,625153,18552342,260956,1432,63409560,63715544,64771556,0,0,0,1,1,0,17880252,187969756,190248028,197293,198172,358,0,50523808,31474,226283380,309960637,0
1789284662.8145177,4.292,2301667,57570,0,180,66,43,70685,625169,18554400,267312,1432,63400212,63702940,64771556,0,0,0,1,1,0,17880868,188042878,190321150,197293,198172,358,0,50527553,31486,226289948,309960637,0
1789284663.0648763,4.543,2302027,57584,0,180,66,43,70686,625195,18556849,270344,1432,63388248,63689444,64771556,0,0,0,0,3,0,17881487,188129085,190407595,197293,198172,358,0,50531565,31490,226292940,309960637,0
1789284663.3152616,4.793,2302352,57596,0,180,66,43,70690,625253,18559253,273164,1432,63307488,63607280,64771556,0,0,0,0,4,0,17881829,188171583,190450093,197293,198172,358,0,50551342,31490,226295772,309960637,0
1789284663.565654,5.044,2302706,57606,0,180,66,43,70692,625286,18561752,275760,1432,63284996,63582608,64771556,0,0,0,1,1,0,17882271,188232888,190511404,197293,198172,358,0,50558226,31490,226298364,309960637,0
1789284663.816085,5.294,2303055,57617,0,180,66,43,70695,625318,18567631,279156,1432,63263332,63557552,64771556,0,0,0,1,2,0,17882792,188280251,190558767,197293,198172,358,0,50564458,31493,226301764,309960637,0
1789284664.0666723,5.545,2303408,57627,0,180,66,43,70697,625354,18569395,281964,1432,63248208,63539652,64771556,0,0,0,1,1,0,17883201,188327988,190606509,197293,198172,358,0,50567527,31493,226304580,309960637,0
1789284664.317149,5.795,2303758,57636,0,180,66,43,70700,625394,18572048,284760,1532,63240396,63529040,64771556,0,0,0,1,1,0,17883588,188372861,190651388,197293,198172,383,0,50571444,31495,226307300,309960637,0
1789284664.567625,6.046,2304117,57648,0,180,66,43,70701,625422,18574335,288384,1532,63229680,63514672,64771556,0,0,0,0,3,0,17884082,188444097,190722716,197293,198172,383,0,50574740,31495,226310900,309960637,0
1789284664.8182762,6.296,2304467,57653,0,180,66,43,70702,625465,18577266,290376,1532,63218620,63501596,64771556,0,0,0,0,2,0,17884385,188471814,190750433,197293,198172,383,0,50579109,31495,226312916,309960637,0
1789284665.068754,6.547,2304787,57655,0,180,66,43,70707,625536,18588532,291052,1532,63220988,63503280,64771556,0,0,0,0,2,0,17885419,188475826,190754445,197293,198172,383,0,50583438,31497,226313548,309960637,0
1789284665.3194804,6.797,2305114,57657,0,180,66,43,70710,625604,18594940,291652,1532,63201204,63482900,64771556,0,0,0,0,4,0,17885897,188484562,190763181,197293,198172,383,0,50589034,31498,226314168,309960637,0
1789284665.5702305,7.048,2305469,57669,0,180,66,43,70712,625635,18598630,294968,1532,63193776,63472252,64771556,0,0,0,1,1,0,17886603,188570617,190849236,197293,198172,383,0,50590749,31501,226317560,309960637,0
1789284665.8208454,7.299,2305842,57679,0,180,66,43,70713,625651,18599726,298076,1532,63187072,63462428,64771556,0,0,0,0,2,0,17887187,188661914,190940533,197293,198172,383,0,50592548,31501,226320604,309960637,0
1789284666.071491,7.549,2306207,57686,0,180,66,43,70714,625678,18601883,299736,1532,63173164,63446836,64771556,0,0,0,0,3,0,17887714,188713166,190991785,197293,198172,383,0,50596827,31501,226322248,309960637,0
1789284666.3221412,7.8,2306564,57698,0,180,66,43,70716,625708,18602884,303292,1532,63153444,63423488,64771556,0,0,0,1,1,0,17888165,188783496,191062115,197293,198172,383,0,50602555,31501,226325800,309960637,0
1789284666.572751,8.051,2306937,57708,0,180,66,43,70717,625724,18603867,305728,1532,63133624,63401224,64771556,0,0,0,0,2,0,17888750,188868511,191147142,197293,198172,383,0,50607470,31501,226328240,309960637,0
1789284666.8233736,8.301,2307289,57715,0,180,66,43,70719,625763,18605733,307396,1532,63113196,63379152,64771556,0,0,0,0,2,0,17889185,188908187,191186817,197293,198172,383,0,50613021,31501,226329908,309960637,0
1789284667.073931,8.552,2307647,57724,0,180,66,43,70721,625795,18607569,308992,1532,63094496,63358248,64771556,0,0,0,0,5,0,17889998,188958404,191237094,197293,198172,383,0,50619034,31501,226332452,309960637,0
1789284667.3246202,8.803,2307981,57728,0,180,66,43,70724,625852,18612987,310800,1532,63065188,63327128,64771556,0,0,0,0,5,0,17890440,188976344,191255034,197293,198172,383,0,50627691,31501,226333892,309960637,0
1789284667.5753067,9.053,2308291,57734,0,180,66,43,70728,625933,18615726,312360,1688,63018528,63278920,64771556,0,0,0,0,2,0,17890620,188985783,191264488,197293,198172,422,0,50638988,31501,226335552,309960637,0
1789284667.8257911,9.304,2308660,57745,0,180,66,43,70730,625950,18617219,315616,1688,62983972,63241088,64771556,0,0,0,0,2,0,17891224,189069814,191348519,197293,198172,422,0,50648614,31501,226338616,309960637,0
1789284668.0762134,9.554,2309017,57750,0,180,66,43,70734,625983,18621048,317184,1696,63117376,63372956,64771556,0,0,0,0,3,0,17892072,189088559,191367265,197293,198172,424,0,50654694,31501,226340112,309960637,0
1789284668.3266292,9.805,2309382,57758,0,180,66,43,70735,626008,18622424,319024,1696,63095192,63348916,64771556,0,0,0,0,2,0,17892523,189144282,191422989,197293,198172,424,0,50660468,31501,226341964,309960637,0
