t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789281389.7004726,0.0,765824,7394,0,0,6314,0,63065,419010,2747049,60940,60,15768164,15853544,16335492,276,0,0,0,1,0,31450820,17244932,17536812,2093058,2330143,15,0,17122593,4844,55774884,84106652,452
1789281389.9509199,0.25,766026,7404,0,0,6317,0,63070,419093,2748410,103192,60,15731160,15794568,16335492,276,0,0,1,1,0,31452133,17261292,17553175,2093058,2330143,15,0,17126105,4862,55820988,84106652,452
1789281390.2016528,0.501,766296,7411,0,0,6318,0,63077,419100,2750100,160520,92,15691304,15703188,16335492,276,0,0,1,2,0,31453918,17298925,17590835,2093058,2330143,23,0,17136147,4890,55880216,84106652,452
1789281390.4522455,0.752,766564,7420,0,0,6321,0,63083,419114,2752597,178384,92,15650780,15644840,16335492,276,0,0,0,2,0,31454776,17372881,17664791,2093058,2330143,23,0,17144954,4893,55897960,84106684,452
1789281390.7029412,1.002,766809,7426,0,0,6323,0,63091,419158,2755390,192332,92,15602092,15582400,16335492,276,0,0,0,3,0,31455298,17396987,17688897,2093058,2330143,23,0,17162070,4893,55912008,84106684,452
1789281390.9538765,1.253,767064,7430,0,0,6325,0,63094,419193,2758030,201076,92,15584544,15555880,16335492,276,0,0,0,2,0,31455814,17420336,17712245,2093058,2330143,23,0,17167008,4893,55920724,84106684,452
1789281391.2046063,1.504,767312,7440,0,0,6332,0,63097,419221,2759485,212888,92,15538980,15498204,16335492,276,0,0,1,4,0,31479919,17471806,17763716,2093058,2330143,23,0,17168825,4896,55932712,84106684,452
1789281391.4553404,1.755,767561,7453,0,0,6337,0,63098,419244,2760250,214024,92,15570880,15528960,16335492,276,0,0,0,3,0,31518209,17542934,17834843,2093058,2330143,23,0,17170221,4896,55933936,84106684,452
1789281391.7057405,2.005,767821,7455,0,0,6338,0,63100,419278,2762273,223624,92,15553272,15502016,16335492,276,0,0,0,3,0,31520027,17551753,17843662,2093058,2330143,23,0,17175204,4897,55943480,84106684,452
1789281391.9564238,2.256,768070,7457,0,0,6342,0,63104,419322,2764273,226568,92,15569584,15515112,16335492,276,0,0,0,2,0,31520387,17562155,17854064,2093058,2330143,23,0,17180879,4899,55946368,84106688,452
1789281392.2068772,2.506,768348,7464,0,0,6342,0,63111,419330,2765122,330996,92,15551564,15391908,16335492,276,0,0,1,1,0,31521222,17631073,17922982,2093058,2330143,23,0,17185965,4946,56052504,84106688,452
1789281392.4605165,2.76,768624,7471,0,0,6343,0,63114,419345,2765983,351140,92,15531192,15350836,16335492,276,0,0,1,1,0,31522023,17700721,17992630,2093058,2330143,23,0,17193145,4973,56072400,84106688,452
1789281392.7121053,3.012,768878,7475,0,0,6346,0,63118,419385,2767871,363736,92,15532720,15339548,16335492,276,0,0,0,2,0,31522538,17716906,18008815,2093058,2330143,23,0,17198555,4978,56085092,84106688,452
1789281392.9626088,3.262,769111,7477,0,0,6350,0,63124,419442,2769455,370032,92,15486104,15286876,16335492,276,0,0,0,4,0,31522854,17726960,18018869,2093058,2330143,23,0,17216263,4978,56091436,84106688,452
1789281393.213163,3.513,769362,7480,0,0,6353,0,63130,419475,2771257,378952,92,15457324,15248900,16335492,276,0,0,0,2,0,31523168,17739756,18031666,2093058,2330143,23,0,17225436,4978,56100268,84106688,452
1789281393.4635963,3.763,769590,7481,0,0,6357,0,63141,419532,2774095,385732,92,15438532,15223492,16335492,276,0,0,0,4,0,31523451,17744846,18036755,2093058,2330143,23,0,17229038,4979,56107376,84106688,452
1789281393.7141304,4.014,769829,7482,0,0,6361,0,63152,419573,2776256,389372,92,15431372,15212108,16335492,276,0,0,0,3,0,31570764,17748494,18040403,2093058,2330143,23,0,17232184,4980,56110920,84106688,452
1789281393.9648101,4.264,770082,7485,0,0,6363,0,63156,419614,2778147,398124,92,15404340,15176600,16335492,276,0,0,0,3,0,31571160,17765288,18057205,2093058,2330143,23,0,17238076,4980,56119584,84106688,452
1789281394.2155573,4.515,770336,7485,0,0,6364,0,63159,419658,2781089,398124,92,15396408,15168660,16335492,276,0,0,0,3,0,31571515,17765697,18057614,2093058,2330143,23,0,17240471,4980,56119612,84106688,452
1789281394.4661632,4.766,770564,7486,0,0,6368,0,63163,419724,2784776,406360,92,15380168,15144176,16335492,276,0,0,0,3,0,31571953,17767483,18059400,2093058,2330143,23,0,17243350,4981,56127816,84106688,452
1789281394.7168567,5.016,770800,7486,0,0,6371,0,63168,419784,2787675,406644,92,15376088,15139812,16335492,276,0,0,0,3,0,31572359,17769655,18061572,2093058,2330143,23,0,17244565,4981,56128292,84106688,452
1789281394.967409,5.267,771039,7489,0,0,6375,0,63170,419840,2789488,410900,92,15367800,15127376,16335492,276,0,0,0,2,0,31572936,17776379,18068296,2093058,2330143,23,0,17246810,4981,56132504,84106688,452
1789281395.2182329,5.518,771311,7490,0,0,6377,0,63173,419867,2790157,416048,92,15362520,15117012,16335492,276,0,0,0,2,0,31573070,17785313,18077230,2093058,2330143,23,0,17248745,4981,56137552,84106688,452
1789281395.4689834,5.769,771574,7491,0,0,6378,0,63177,419900,2790888,418004,92,15348556,15101220,16335492,276,0,0,0,2,0,31573340,17797718,18089635,2093058,2330143,23,0,17252297,4981,56139484,84106688,452
1789281395.7195904,6.019,771811,7494,0,0,6381,0,63182,419954,2791468,422468,240,15199520,14947460,16335492,276,0,0,0,3,0,31575404,17806174,18098093,2093058,2330143,60,0,17258016,4981,56144028,84106848,452
1789281395.970493,6.27,772061,7495,0,0,6384,0,63197,419974,2791764,425252,240,15178456,14923360,16335492,276,0,0,0,4,0,31701593,17813492,18105411,2093058,2330143,60,0,17263505,4981,56146964,84106848,452
1789281396.2214355,6.521,772310,7496,0,0,6385,0,63200,420021,2792700,426200,240,15292352,15036576,16335492,276,0,0,0,3,0,31702157,17817208,18109127,2093058,2330143,60,0,17267480,4981,56147668,84106848,452
1789281396.4721613,6.772,772575,7496,0,0,6388,0,63203,420053,2793161,426244,240,15268216,15012396,16335492,276,0,0,0,2,0,31702242,17819347,18111277,2093058,2330143,60,0,17273116,4981,56147752,84106848,452
