t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789280902.7879555,0.0,369533,4426,0,0,3816,0,43563,290078,1904502,66812,160,15695364,15778040,16335492,68,84,0,1,1,0,30134313,10157786,10408181,1957138,2194181,40,21,12969904,3941,25054560,55834320,435
1789280903.0383458,0.25,369737,4435,0,0,3820,0,43569,290153,1906048,110588,220,15655724,15715380,16335492,68,84,0,0,2,0,30136426,10173709,10424153,1957138,2194181,55,21,12973984,3962,25102292,55834320,435
1789280903.2891376,0.501,370007,4445,0,0,3823,0,43576,290165,1908070,178452,92,15630108,15624404,16335492,68,0,0,0,2,0,30137013,10216115,10466568,1957138,2194181,23,0,12985081,3987,25171872,55834320,435
1789280903.5397503,0.752,370263,4452,0,0,3828,0,43585,290195,1911476,185712,92,15612736,15599756,16335492,68,0,0,0,3,0,30137768,10261272,10511726,1957138,2194181,23,0,12998603,3990,25179088,55834352,435
1789280903.7902024,1.002,370513,4457,0,0,3830,0,43594,290230,1913409,201412,92,15441964,15413288,16335492,68,0,0,0,3,0,30140661,10286765,10537219,1957138,2194181,23,0,13010987,3990,25194804,55834352,435
1789280904.040789,1.253,370749,4461,0,0,3834,0,43604,290270,1916254,209272,92,15557164,15520616,16335492,68,0,0,0,2,0,30141119,10303154,10553608,1957138,2194181,23,0,13014981,3992,25202848,55834352,435
1789280904.291401,1.503,371001,4464,0,0,3836,0,43608,290315,1918759,228444,92,15539444,15483456,16335492,68,0,0,0,1,0,30141635,10317627,10568081,1957138,2194181,23,0,13018821,3994,25221864,55834352,435
1789280904.5419185,1.754,371250,4466,0,0,3840,0,43614,290357,1920685,231568,92,15521656,15462548,16335492,68,0,0,0,5,0,30142094,10330080,10580533,1957138,2194181,23,0,13024780,3995,25225140,55834352,435
1789280904.879922,2.092,371607,4480,0,0,3842,0,43620,290386,1922679,326432,92,15550916,15396100,16335492,68,0,0,0,2,0,30142538,10390536,10641035,1957138,2194181,23,0,13032934,4017,25320712,55834356,435
1789280905.1306198,2.343,371882,4492,0,0,3843,0,43623,290394,1923422,346120,92,15542904,15368060,16335492,68,0,0,0,2,0,30143113,10530723,10781222,1957138,2194181,23,0,13038413,4059,25340852,55834356,435
1789280905.3813994,2.593,372152,4498,0,0,3845,0,43628,290414,1925203,367272,92,15522080,15326064,16335492,68,0,0,0,4,0,30143899,10570584,10821105,1957138,2194181,23,0,13045555,4075,25362100,55834356,435
