t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789280580.0125206,0.0,120129,541,0,0,1837,0,28553,195338,1282660,72792,104,15754396,15834588,16335492,100,0,0,0,1,0,29242710,1302304,1489360,1679864,1916371,26,0,9965166,3289,1995084,35514524,417
1789280580.2631633,0.251,120332,550,0,0,1838,0,28560,195415,1284175,115708,104,15717368,15774476,16335492,100,0,0,1,1,0,29244231,1316193,1503256,1679864,1916371,26,0,9968946,3309,2042004,35514524,417
1789280580.5138683,0.501,120603,560,0,0,1846,0,28568,195426,1286180,183032,136,15677144,15666192,16335492,100,0,0,1,2,0,29244847,1353966,1541030,1679864,1916371,34,0,9979984,3335,2111376,35514524,417
1789280580.764693,0.752,120865,567,0,0,1850,0,28576,195451,1288885,189844,136,15671824,15653884,16335492,100,0,0,0,3,0,29245604,1395946,1583011,1679864,1916371,34,0,9990119,3338,2118188,35514556,417
1789280581.0152977,1.003,121112,573,0,0,1854,0,28582,195492,1291088,205312,136,15618620,15585360,16335492,100,0,0,0,4,0,29246248,1427467,1614532,1679864,1916371,34,0,10004973,3338,2133768,35514556,417
1789280581.2657585,1.253,121341,577,0,0,1857,0,28597,195531,1292839,212076,136,15476684,15436696,16335492,100,0,0,0,5,0,29286519,1442298,1629363,1679864,1916371,34,0,10008102,3338,2140412,35514556,417
1789280581.5163813,1.504,121590,580,0,0,1860,0,28602,195574,1295190,224780,136,15595372,15542404,16335492,100,0,0,0,2,0,29291251,1461180,1648245,1679864,1916371,34,0,10011201,3341,2153468,35514556,417
1789280581.7668939,1.754,121833,582,0,0,1867,0,28606,195626,1297808,234264,140,15580460,15517736,16335492,100,0,0,0,3,0,29291692,1468575,1655647,1679864,1916371,35,0,10015758,3342,2162652,35514556,417
1789280582.0173936,2.005,122078,585,0,0,1874,0,28614,195668,1299964,238264,140,15593752,15527516,16335492,100,0,0,0,1,0,29292035,1477506,1664579,1679864,1916371,35,0,10022246,3344,2166592,35514560,417
1789280582.2697058,2.257,122374,593,0,0,1876,0,28619,195680,1301431,350120,140,15573648,15394252,16335492,100,0,0,1,1,0,29292836,1566547,1753620,1679864,1916371,35,0,10030144,3403,2279596,35514560,417
