t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789280676.0676367,0.0,193787,2323,0,0,2524,0,32326,226199,1466923,68448,128,15770828,15853148,16335492,60,0,0,1,2,0,29392796,5381613,5585862,1728811,1965327,32,0,10676061,3522,9783796,42301676,432
1789280676.3183832,0.251,193991,2330,0,0,2528,0,32332,226279,1468131,114972,172,15730556,15788144,16335492,60,0,0,1,1,0,29394259,5398043,5602355,1728811,1965327,43,0,10679230,3538,9829972,42301676,432
1789280676.569237,0.502,194267,2337,0,0,2530,0,32340,226286,1469335,168812,172,15704108,15707732,16335492,60,0,0,0,2,0,29395409,5421154,5625467,1728811,1965327,43,0,10687852,3564,9885788,42301676,432
1789280676.8199956,0.752,194525,2347,0,0,2533,0,32352,226305,1471332,189220,92,15678064,15661240,16335492,60,0,0,0,3,0,29396924,5472494,5676808,1728811,1965327,23,0,10692556,3568,9906144,42301676,432
1789280677.070781,1.003,194766,2350,0,0,2538,0,32365,226335,1473878,192036,60,15665384,15645740,16335492,60,0,0,0,2,0,29397369,5477730,5682044,1728811,1965327,15,0,10704326,3571,9908932,42301708,432
1789280677.3213174,1.254,195014,2356,0,0,2539,0,32370,226373,1475667,206644,92,15633208,15598852,16335492,60,0,0,0,2,0,29397919,5500098,5704413,1728811,1965327,23,0,10716701,3571,9923508,42301708,432
1789280677.572019,1.504,195268,2360,0,0,2541,0,32373,226412,1478544,214432,92,15622512,15580380,16335492,60,0,0,0,2,0,29398527,5516310,5720624,1728811,1965327,23,0,10720281,3571,9931252,42301708,432
1789280677.8229177,1.755,195527,2364,0,0,2543,0,32377,226444,1479486,224752,92,15612120,15559396,16335492,60,0,0,0,5,0,29398899,5540933,5745247,1728811,1965327,23,0,10721457,3574,9941892,42301708,432
1789280678.0737855,2.006,195779,2368,0,0,2546,0,32380,226485,1480244,226616,92,15612300,15557716,16335492,60,0,0,0,3,0,29399139,5561103,5765417,1728811,1965327,23,0,10723059,3574,9943776,42301708,432
1789280678.324643,2.257,196035,2370,0,0,2546,0,32385,226521,1482083,235220,92,15601800,15538592,16335492,60,0,0,0,4,0,29399541,5571917,5776231,1728811,1965327,23,0,10725682,3575,9952344,42301708,432
1789280678.5755804,2.508,196288,2372,0,0,2547,0,32389,226562,1483575,237460,92,15586888,15521172,16335492,60,0,0,0,4,0,29402375,5583388,5787708,1728811,1965327,23,0,10730439,3576,9954556,42301708,432
1789280678.8842607,2.817,196601,2378,0,0,2550,0,32396,226603,1485504,333208,92,15562896,15400884,16335492,60,0,0,0,2,0,29402959,5598471,5802794,1728811,1965327,23,0,10737678,3598,10051080,42301712,432
1789280679.1355238,3.068,196876,2382,0,0,2552,0,32406,226608,1485929,349208,92,15495412,15317456,16335492,60,0,0,0,4,0,29528782,5626146,5830476,1728811,1965327,23,0,10740912,3635,10067364,42301712,432
1789280679.3867836,3.319,197152,2385,0,0,2553,0,32412,226618,1486384,358616,92,15549768,15362336,16335492,60,0,0,1,1,0,29571693,5644662,5848993,1728811,1965327,23,0,10745621,3646,10076912,42301712,432
1789280679.6385942,3.571,197423,2389,0,0,2554,0,32417,226639,1487931,368572,92,15533304,15335372,16335492,60,0,0,0,3,0,29572389,5662204,5866539,1728811,1965327,23,0,10749859,3655,10087084,42301712,432
1789280679.8899844,3.822,197675,2393,0,0,2556,0,32423,226684,1489225,378776,92,15516168,15307904,16335492,60,0,0,0,4,0,29572892,5678277,5882611,1728811,1965327,23,0,10754738,3656,10097492,42301712,432
1789280680.1422045,4.075,197896,2395,0,0,2557,0,32430,226751,1489996,382468,92,15474960,15263296,16335492,60,0,0,0,4,0,29573210,5687687,5892021,1728811,1965327,23,0,10769221,3656,10101060,42301712,432
1789280680.393014,4.325,198145,2397,0,0,2559,0,32436,226794,1491591,389620,92,15445828,15226696,16335492,60,0,0,0,2,0,29573610,5696699,5901034,1728811,1965327,23,0,10777116,3656,10108304,42301712,432
1789280682.562006,6.494,198383,2399,0,0,2562,0,32441,226848,1494790,398896,144,15421876,15192684,16335492,60,0,0,0,2,0,29574134,5703376,5907713,1728811,1965327,36,0,10783441,3657,10118392,42301712,432
1789280682.812518,6.745,198635,2401,0,0,2564,0,32443,226890,1497150,405012,144,15404812,15169624,16335492,60,0,0,0,3,0,29574969,5710626,5914965,1728811,1965327,36,0,10787989,3658,10124452,42301712,432
1789280683.063048,6.995,198890,2403,0,0,2566,0,32445,226933,1498699,410900,144,15391248,15150020,16335492,60,0,0,0,4,0,29575450,5723157,5927496,1728811,1965327,36,0,10791902,3658,10130204,42301712,432
1789280683.313578,7.246,199130,2403,0,0,2566,0,32456,226974,1501602,410920,144,15316228,15074960,16335492,60,0,0,0,4,0,29633352,5723431,5927769,1728811,1965327,36,0,10793655,3658,10130232,42301712,432
1789280683.5644245,7.497,199343,2404,0,0,2567,0,32463,227045,1505230,410932,316,15376236,15134944,16335492,60,0,0,0,3,0,29650683,5723494,5927834,1728811,1965327,79,0,10795392,3658,10130236,42301896,432
1789280683.8151114,7.747,199583,2405,0,0,2569,0,32466,227103,1508015,419420,316,15366124,15116332,16335492,60,0,0,0,4,0,29651057,5729480,5933820,1728811,1965327,79,0,10796810,3659,10138908,42301896,432
1789280684.0655298,7.998,199826,2408,0,0,2569,0,32468,227157,1510159,427900,316,15363028,15104572,16335492,60,0,0,0,2,0,29651429,5743188,5947528,1728811,1965327,79,0,10798301,3659,10147364,42301896,432
1789280684.316017,8.248,200093,2409,0,0,2570,0,32470,227189,1511171,430424,316,15350788,15090036,16335492,60,0,0,0,2,0,29651669,5756307,5960670,1728811,1965327,79,0,10800989,3659,10149740,42301896,432
1789280684.5664499,8.499,200340,2411,0,0,2570,0,32474,227239,1512189,433696,316,15333028,15069248,16335492,60,0,0,0,2,0,29652009,5766245,5970608,1728811,1965327,79,0,10805749,3659,10153108,42301896,432
1789280684.817274,8.75,200615,2413,0,0,2570,0,32477,227258,1512545,438112,316,15306272,15037796,16335492,60,0,0,0,2,0,29652227,5783960,5988323,1728811,1965327,79,0,10812746,3659,10157640,42301896,432
