stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789295336053,1789295336515,462,False,366,44672081,60,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789295337643,1789295338809,1166,False,1131,809561163,27,44,2342,0,0,0,122063811,119307,0,0,0,0,115106151,119307,159104838
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789295337645,1789295338872,1227,False,1196,794010176,26,44,2299,0,0,0,122064993,119307,0,0,0,0,115092373,119307,151894376
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789295337645,1789295338879,1234,False,1204,906910645,26,44,2299,0,0,0,122064930,119307,0,0,0,0,115099405,119307,150903372
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789295337645,1789295338891,1246,False,1215,843390623,26,44,2299,0,0,0,122063586,119307,0,0,0,0,115102280,119307,168559161
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789295338808,1789295339570,762,False,754,628155458,3,21,2299,0,0,0,122064894,119307,0,0,0,0,115104666,119307,123501295
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789295338872,1789295339624,752,False,746,618881753,2,21,2299,0,0,0,122064864,119307,0,0,0,0,115101335,119307,127414373
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789295338879,1789295339656,777,False,771,622500848,1,28,2299,0,0,0,122064825,119307,0,0,0,0,115102200,119307,137474246
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789295338890,1789295339698,808,False,801,663064059,2,31,2299,0,0,0,122064738,119307,0,0,0,0,115095741,119307,157656558
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789295339569,1789295340244,675,False,669,607205112,2,22,2299,0,0,0,122064702,119307,0,0,0,0,115091497,119307,125325912
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789295339623,1789295340327,704,False,699,642168250,1,22,2299,0,0,0,122064660,119307,0,0,0,0,115099869,119307,128332674
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789295339655,1789295340344,689,False,683,634249906,2,15,2299,0,0,0,122064627,119307,0,0,0,0,115095153,119307,127286864
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789295339697,1789295340383,686,False,679,630853091,3,12,2299,0,0,0,122064591,119307,0,0,0,0,115090947,119307,127139952
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789295340243,1789295340906,663,False,657,609229835,1,19,2299,0,0,0,122064561,119307,0,0,0,0,115094394,119307,124525739
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789295340326,1789295340991,665,False,660,608098905,1,19,2299,0,0,0,122065002,119307,0,0,0,0,115100000,119307,132735179
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789295340344,1789295341020,676,False,672,615853039,1,19,2299,0,0,0,122066004,119307,0,0,0,0,115106062,119307,126100553
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789295340382,1789295341065,683,False,676,611634230,2,24,2299,0,0,0,122065983,119307,0,0,0,0,115098689,119307,132713802
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789295340905,1789295341578,673,False,667,603619308,2,24,2299,0,0,0,122065920,119307,0,0,0,0,115095811,119307,126788395
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789295340990,1789295341663,673,False,668,604440777,1,24,2299,0,0,0,122065899,119307,0,0,0,0,115096567,119307,125241650
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789295341020,1789295341686,666,False,661,606516818,1,24,2299,0,0,0,122065878,119307,0,0,0,0,115091546,119307,127583921
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789295341064,1789295341745,681,False,676,624104161,1,19,2299,0,0,0,122065866,119307,0,0,0,0,115108678,119307,140464496
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789295341578,1789295342246,668,False,663,602399830,1,13,2299,0,0,0,122065854,119307,0,0,0,0,115093882,119307,123482426
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789295341662,1789295342316,654,False,650,602239341,1,13,2299,0,0,0,122065830,119307,0,0,0,0,115101710,119307,125435129
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789295341685,1789295342338,653,False,649,593135574,1,13,2299,0,0,0,122065797,119307,0,0,0,0,115091541,119307,124069688
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789295341744,1789295342428,684,False,680,625591325,1,13,2299,0,0,0,122065788,119307,0,0,0,0,115100991,119307,136562169
