t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789294204.8456976,0.0,15497364,158023,0,180,145,67,198540,2451547,57001608,148852,1540,63622004,63984604,64771556,0,0,0,1,1,0,72772907,481379983,486974870,198432,199394,385,0,165440324,91241,688126436,837409469,0
1789294205.0961165,0.25,15497606,158040,0,180,145,67,198541,2451688,57002253,158480,1608,63637436,63994076,64771556,0,0,0,0,17,0,72773880,481408117,487003103,198432,199394,402,0,165442986,91314,688138792,837409469,0
1789294205.346672,0.501,15497976,158057,0,180,145,67,198543,2451698,57002956,166360,1608,63623576,63975644,64771556,0,0,0,1,1,0,72775176,481501998,487097050,198432,199394,402,0,165447946,91350,688148592,837409469,0
1789294205.5970917,0.751,15498351,158080,0,180,145,67,198544,2451698,57003662,194660,1640,63595308,63932948,64771556,0,0,0,1,1,0,72775941,481663694,487258779,198432,199394,410,0,165452155,91558,688176700,837409469,0
1789294205.8474667,1.002,15498716,158104,0,180,145,67,198546,2451707,57005888,205132,1640,63581080,63913288,64771556,0,0,0,1,2,0,72776678,481803014,487398153,198432,199394,410,0,165455366,91650,688187616,837409469,0
1789294206.0978198,1.252,15499086,158126,0,180,145,67,198546,2451713,57007582,211708,1640,63576704,63905636,64771556,0,0,0,1,1,0,72777576,481989395,487584579,198432,199394,410,0,165457391,91656,688194060,837409469,0
1789294206.3481455,1.502,15499453,158148,0,180,145,67,198548,2451724,57008862,220032,1640,63561336,63886092,64771556,0,0,0,1,1,0,72778269,482152877,487748118,198432,199394,410,0,165462483,91656,688202388,837409469,0
1789294206.5984888,1.753,15499807,158157,0,180,145,67,198554,2451755,57012559,223040,1640,63546940,63870184,64771556,0,0,0,1,3,0,72778895,482172897,487768140,198432,199394,410,0,165478513,91664,688205376,837409501,0
1789294206.8489125,2.003,15500164,158170,0,180,145,67,198556,2451782,57015079,226476,1640,63516696,63838232,64771556,0,0,0,0,2,0,72779455,482249511,487844762,198432,199394,410,0,165486100,91665,688208828,837409501,0
1789294207.0993567,2.254,15500529,158182,0,180,145,67,198558,2451803,57018353,229372,1640,63503024,63823112,64771556,0,0,0,1,3,0,72780206,482335523,487930774,198432,199394,410,0,165491077,91665,688211720,837409501,0
