t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789290526.0711594,0.0,10968536,81722,0,180,106,56,116201,1263114,31795171,149992,1712,63822132,64183888,64771556,0,0,0,1,1,0,57197374,256881963,261313378,197310,198189,428,0,102666988,44243,326785264,477915925,0
1789290526.321596,0.25,10968775,81739,0,180,106,56,116203,1263256,31795779,159720,1724,63808624,64165028,64771556,0,0,0,1,16,0,57198062,256933200,261364657,197310,198189,431,0,102669651,44316,326797556,477915925,0
1789290526.5721369,0.501,10969148,81756,0,180,106,56,116206,1263263,31796493,168468,1724,63788884,64140396,64771556,0,0,0,1,1,0,57198627,257031734,261463479,197310,198189,431,0,102674680,44353,326807864,477915925,0
1789290526.8225656,0.751,10969523,81779,0,180,106,56,116207,1263264,31797180,195944,1756,63759636,64097028,64771556,0,0,0,1,1,0,57199501,257196670,261628421,197310,198189,439,0,102678859,44561,326835344,477915925,0
1789290527.0729191,1.002,10969888,81802,0,180,106,56,116208,1263273,31799388,206592,1756,63744920,64076924,64771556,0,0,0,1,1,0,57200551,257338676,261770433,197310,198189,439,0,102682062,44652,326846000,477915925,0
1789290527.3232746,1.252,10970259,81824,0,180,106,56,116209,1263278,31801008,213040,1756,63734316,64063116,64771556,0,0,0,1,1,0,57201608,257524165,261955935,197310,198189,439,0,102684065,44658,326852440,477915925,0
1789290527.5736573,1.502,10970626,81846,0,180,106,56,116211,1263287,31802355,221408,1756,63712952,64037568,64771556,0,0,0,1,1,0,57202460,257685769,262117563,197310,198189,439,0,102689188,44658,326860820,477915925,0
1789290527.8239958,1.753,10970978,81855,0,180,106,56,116215,1263321,31806027,224060,1724,63713040,64036308,64771556,0,0,0,1,1,0,57202801,257706154,262137954,197310,198189,431,0,102705500,44666,326863784,477915957,0
1789290528.0744147,2.003,10971336,81868,0,180,106,56,116218,1263349,31808568,227712,1724,63684888,64006328,64771556,0,0,0,1,1,0,57203429,257780392,262212199,197310,198189,431,0,102712710,44667,326867284,477915957,0
1789290528.3247933,2.254,10971700,81880,0,180,106,56,116220,1263370,31811736,230712,1756,63661696,63981648,64771556,0,0,0,0,4,0,57204122,257871962,262303779,197310,198189,439,0,102717671,44667,326870124,477915957,0
1789290528.5751977,2.504,10972060,81895,0,180,106,56,116223,1263392,31815415,234116,1756,63634156,63952400,64771556,0,0,0,1,1,0,57204835,257960190,262392013,197310,198189,439,0,102725269,44674,326873544,477915957,0
1789290528.8256042,2.754,10972410,81905,0,180,106,56,116225,1263431,31819641,236916,1756,63624408,63941236,64771556,0,0,0,0,2,0,57205373,258011994,262443817,197310,198189,439,0,102727833,44679,326876348,477915957,0
1789290529.0759244,3.005,10972768,81916,0,180,106,56,116227,1263459,31823866,239316,1756,63618416,63934032,64771556,0,0,0,1,1,0,57205940,258047220,262479045,197310,198189,439,0,102729556,44682,326878920,477915957,0
1789290529.3262627,3.255,10973112,81927,0,180,106,56,116231,1263496,31829843,241648,1756,63623972,63938364,64771556,0,0,0,0,1,0,57206453,258090750,262522575,197310,198189,439,0,102734914,44685,326881220,477915961,0
1789290529.6188886,3.548,10973555,81953,0,180,106,56,116232,1263498,31830759,269504,1756,63629632,63929720,64771556,0,0,0,1,1,0,57207496,258338320,262770224,197310,198189,439,0,102738150,44913,326909992,477915961,0
