stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789295958644,1789295959108,464,False,370,44294986,58,11,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789295960236,1789295961447,1211,False,1180,805866935,25,42,2299,0,0,0,119795694,117087,0,0,0,0,112962193,117087,166169362
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789295960234,1789295961448,1214,False,1184,777376720,20,42,2342,0,0,0,119795898,117087,0,0,0,0,112957206,117087,157028067
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789295960237,1789295961449,1212,False,1179,797964570,26,42,2299,0,0,0,119795511,117087,0,0,0,0,112956481,117087,150245927
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789295960237,1789295961449,1212,False,1179,894699004,26,42,2299,0,0,0,119795577,117087,0,0,0,0,112948462,117087,153432302
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789295961446,1789295962237,791,False,782,631153599,4,23,2299,0,0,0,119795463,117087,0,0,0,0,112965647,117087,125533225
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789295961448,1789295962242,794,False,788,631619598,3,23,2299,0,0,0,119795334,117087,0,0,0,0,112958018,117087,128621196
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789295961448,1789295962247,799,False,794,646525478,2,23,2299,0,0,0,119795307,117087,0,0,0,0,112957563,117087,128957630
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789295961447,1789295962269,822,False,815,668111661,3,23,2299,0,0,0,119795412,117087,0,0,0,0,112956822,117087,133523868
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789295962236,1789295963012,776,False,769,614492040,2,22,2299,0,0,0,119795277,117087,0,0,0,0,112953302,117087,125664214
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789295962242,1789295963012,770,False,765,612131089,2,22,2299,0,0,0,119795253,117087,0,0,0,0,112957758,117087,127847833
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789295962268,1789295963024,756,False,752,596873265,1,22,2299,0,0,0,119795211,117087,0,0,0,0,112952377,117087,126155830
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789295962247,1789295963034,787,False,782,629789162,2,22,2299,0,0,0,119795235,117087,0,0,0,0,112957478,117087,142037435
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789295963012,1789295963759,747,False,741,591523345,1,22,2299,0,0,0,119795148,117087,0,0,0,0,112958477,117087,125141285
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789295963011,1789295963760,749,False,744,596654807,2,22,2299,0,0,0,119795178,117087,0,0,0,0,112957733,117087,126091488
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789295963024,1789295963771,747,False,743,595038685,1,22,2299,0,0,0,119795109,117087,0,0,0,0,112951129,117087,126046832
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789295963033,1789295963795,762,False,756,610746250,1,22,2299,0,0,0,119795079,117087,0,0,0,0,112950326,117087,136229230
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789295963759,1789295964483,724,False,720,588614428,1,15,2299,0,0,0,119795043,117087,0,0,0,0,112968650,117087,122708995
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789295963758,1789295964504,746,False,739,592453102,2,15,2299,0,0,0,119795064,117087,0,0,0,0,112957370,117087,124340304
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789295963771,1789295964511,740,False,736,592373855,1,15,2299,0,0,0,119795010,117087,0,0,0,0,112958289,117087,125452281
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789295963794,1789295964540,746,False,741,614253625,2,15,2299,0,0,0,119794995,117087,0,0,0,0,112949777,117087,133695706
