t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789294246.336413,0.0,15548688,159564,0,180,146,67,200093,2463323,57457625,148784,1480,63819432,64182436,64771556,0,0,0,1,1,0,72863230,486265104,491869634,198432,199394,370,0,166287283,92319,696733760,843289245,0
1789294246.5868418,0.25,15548928,159581,0,180,146,67,200094,2463464,57458221,158636,1480,63802868,64159732,64771556,0,0,0,0,17,0,72863381,486292871,491897456,198432,199394,370,0,166289948,92392,696746092,843289245,0
1789294246.8373907,0.501,15549300,159598,0,180,146,67,200096,2463473,57458920,166396,1480,63786264,64138780,64771556,0,0,0,1,1,0,72864103,486393061,491997674,198432,199394,370,0,166294915,92428,696755764,843289245,0
1789294247.0878146,0.751,15549675,159621,0,180,146,67,200097,2463473,57459645,194612,1512,63757412,64095480,64771556,0,0,0,1,1,0,72864953,486554729,492159418,198432,199394,378,0,166299107,92634,696783860,843289245,0
1789294247.338179,1.002,15550040,159644,0,180,146,67,200098,2463483,57461835,205128,1512,63741300,64074044,64771556,0,0,0,1,2,0,72865747,486697678,492302369,198432,199394,378,0,166302308,92728,696794492,843289245,0
1789294247.5886257,1.252,15550410,159667,0,180,146,67,200099,2463490,57463514,211704,1512,63730180,64059608,64771556,0,0,0,1,1,0,72866708,486881254,492485944,198432,199394,378,0,166304365,92734,696800952,843289245,0
1789294247.8389688,1.503,15550777,159688,0,180,146,67,200101,2463500,57464805,220028,1512,63707256,64032504,64771556,0,0,0,1,1,0,72867553,487044043,492648744,198432,199394,378,0,166309443,92734,696809280,843289245,0
1789294248.0893068,1.753,15551132,159697,0,180,146,67,200107,2463529,57468505,222980,1512,63700392,64024144,64771556,0,0,0,0,5,0,72868694,487077969,492682670,198432,199394,378,0,166325370,92742,696812216,843289277,0
1789294248.3397503,2.003,15551489,159710,0,180,146,67,200110,2463557,57471152,226444,1512,63676656,63998684,64771556,0,0,0,0,2,0,72869242,487151692,492756392,198432,199394,378,0,166332789,92743,696815684,843289277,0
1789294248.590179,2.254,15551854,159722,0,180,146,67,200112,2463577,57474327,229336,1512,63657412,63978008,64771556,0,0,0,0,2,0,72869896,487239555,492844264,198432,199394,378,0,166337774,92743,696818564,843289277,0
1789294248.8406236,2.504,15552214,159736,0,180,146,67,200115,2463600,57478395,232752,1512,63628688,63947560,64771556,0,0,0,0,2,0,72870330,487283026,492887748,198432,199394,378,0,166345628,92750,696822000,843289277,0
1789294249.0910518,2.755,15552564,159747,0,180,146,67,200116,2463638,57482010,235596,1512,63615788,63933208,64771556,0,0,0,0,4,0,72871598,487337588,492942334,198432,199394,378,0,166348611,92755,696825032,843289277,0
1789294249.3416045,3.005,15552921,159757,0,180,146,67,200119,2463667,57487167,237720,1512,63608224,63924540,64771556,0,0,0,1,2,0,72872205,487393677,492998423,198432,199394,378,0,166350390,92757,696827112,843289277,0
1789294249.5920424,3.256,15553263,159769,0,180,146,67,200124,2463708,57493007,240252,1512,63589196,63904432,64771556,0,0,0,1,1,0,72872734,487443630,493048376,198432,199394,378,0,166355270,92761,696829632,843289277,0
1789294249.9852517,3.649,15553864,159795,0,180,146,67,200126,2463710,57493993,268244,1512,63569920,63870580,64771556,0,0,0,1,1,0,72873803,487680441,493285212,198432,199394,378,0,166358519,92989,696858536,843289281,0
1789294250.2374196,3.901,15554240,159813,0,180,146,67,200127,2463715,57494634,282276,1512,63556732,63846352,64771556,0,0,0,1,1,0,72874625,487869419,493474243,198432,199394,378,0,166362484,93097,696872644,843289281,0
1789294250.488677,4.152,15554616,159830,0,180,146,67,200128,2463722,57495177,294136,1512,63546716,63824360,64771556,0,0,0,1,1,0,72875785,488041565,493646398,198432,199394,378,0,166366611,93191,696884592,843289281,0
1789294250.7390666,4.403,15554982,159845,0,180,146,67,200130,2463739,57496698,300504,1512,63534544,63805600,64771556,0,0,0,1,1,0,72876425,488118367,493723201,198432,199394,378,0,166370289,93203,696891152,843289281,0
1789294250.9894848,4.653,15555341,159859,0,180,146,67,200131,2463764,57498240,303552,1512,63533836,63801832,64771556,0,0,0,0,2,0,72876998,488203381,493808223,198432,199394,378,0,166373749,93207,696894192,843289281,0
1789294251.2399142,4.904,15555670,159872,0,180,146,67,200136,2463817,57499938,306360,1512,63485940,63751204,64771556,0,0,0,0,4,0,72877746,488247740,493852586,198432,199394,378,0,166392191,93207,696896996,843289281,0
