t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789294768.855702,0.0,16201681,178499,0,180,156,69,219497,2605810,63269813,149084,1600,63758164,64119620,64771556,0,0,0,1,1,0,73976325,543642620,549361036,198439,199402,400,0,178176934,105591,800081372,914224121,0
1789294769.1061265,0.25,16201923,178516,0,180,156,69,219499,2605951,63270466,158784,1340,63753280,64109052,64771556,0,0,0,1,16,0,73977637,543663329,549381808,198439,199402,335,0,178179602,105664,800093844,914224121,0
1789294769.3566718,0.501,16202293,178533,0,180,156,69,219500,2605962,63271175,167520,1340,63735724,64086656,64771556,0,0,0,1,1,0,73978726,543752828,549471421,198439,199402,335,0,178184672,105701,800104352,914224121,0
1789294769.6070647,0.751,16202668,178556,0,180,156,69,219501,2605963,63271880,194940,1372,63705920,64042760,64771556,0,0,0,1,1,0,73979479,543917294,549635900,198439,199402,343,0,178188880,105911,800131840,914224121,0
1789294769.8574166,1.002,16203033,178579,0,180,156,69,219503,2605971,63274063,205536,1372,63691860,64023352,64771556,0,0,0,1,1,0,73980281,544059654,549778262,198439,199402,343,0,178192047,106000,800142312,914224121,0
1789294770.10781,1.252,16203404,178601,0,180,156,69,219503,2605977,63275706,211928,1372,63680768,64009052,64771556,0,0,0,1,1,0,73981212,544245121,549963732,198439,199402,343,0,178194092,106006,800148748,914224121,0
1789294770.3581967,1.502,16203771,178623,0,180,156,69,219505,2605988,63277091,220296,1372,63659072,63983168,64771556,0,0,0,1,1,0,73982030,544406479,550125097,198439,199402,343,0,178199205,106006,800157088,914224121,0
1789294770.60866,1.753,16204124,178632,0,180,156,69,219509,2606022,63280685,223248,1372,63657232,63979828,64771556,0,0,0,0,6,0,73983651,544432459,550151077,198439,199402,343,0,178215376,106014,800160020,914224153,0
1789294770.8591104,2.003,16204482,178645,0,180,156,69,219511,2606049,63283335,226404,1372,63626236,63947248,64771556,0,0,0,1,1,0,73984232,544506604,550225222,198439,199402,343,0,178222895,106015,800163528,914224153,0
1789294771.109584,2.254,16204846,178657,0,180,156,69,219513,2606071,63286146,229628,1372,63606588,63925992,64771556,0,0,0,0,3,0,73984875,544594411,550313029,198439,199402,343,0,178227824,106015,800166408,914224153,0
