stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789295596190,1789295596649,459,False,366,46631282,58,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789295597770,1789295598921,1151,False,1117,778243358,25,42,2342,0,0,0,117610971,114948,0,0,0,0,110893637,114948,155237445
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789295597773,1789295598950,1177,False,1148,831382449,24,42,2299,0,0,0,117610557,114948,0,0,0,0,110906533,114948,146364866
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789295597773,1789295598960,1187,False,1160,772853631,24,42,2299,0,0,0,117610728,114948,0,0,0,0,110894906,114948,147602249
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789295597772,1789295598990,1218,False,1187,854675799,25,47,2299,0,0,0,117610800,114948,0,0,0,0,110890542,114948,163695041
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789295598919,1789295599595,676,False,668,613927943,3,23,2299,0,0,0,117610419,114948,0,0,0,0,110901818,114948,123491384
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789295598960,1789295599619,659,False,654,591392304,2,23,2299,0,0,0,117610293,114948,0,0,0,0,110890807,114948,122229783
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789295598949,1789295599650,701,False,695,629840544,1,23,2299,0,0,0,117610317,114948,0,0,0,0,110895696,114948,133285591
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789295598989,1789295599692,703,False,695,628131120,3,24,2299,0,0,0,117610248,114948,0,0,0,0,110900246,114948,147288660
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789295599594,1789295600276,682,False,676,613933487,2,23,2299,0,0,0,117610212,114948,0,0,0,0,110894615,114948,129868896
