stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789295235118,1789295235580,462,False,362,42946420,57,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789295236695,1789295237880,1185,False,1150,847202793,28,42,2342,0,0,0,115504833,112887,0,0,0,0,108906904,112887,152914751
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789295236692,1789295237880,1188,False,1151,797385064,29,42,2299,0,0,0,115505139,112887,0,0,0,0,108908433,112887,149869055
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789295236695,1789295237881,1186,False,1151,786712309,28,42,2299,0,0,0,115504965,112887,0,0,0,0,108901438,112887,149006820
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789295236695,1789295237882,1187,False,1150,769961117,28,42,2342,0,0,0,115504716,112887,0,0,0,0,108902075,112887,151833401
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789295237879,1789295238565,686,False,678,606896811,3,22,2299,0,0,0,115504638,112887,0,0,0,0,108911628,112887,121276776
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789295237881,1789295238642,761,False,754,620385835,3,22,2299,0,0,0,115504530,112887,0,0,0,0,108910532,112887,137231175
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789295237881,1789295238662,781,False,774,642094774,4,22,2299,0,0,0,115504566,112887,0,0,0,0,108908960,112887,127629501
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789295237880,1789295238669,789,False,781,631700602,4,22,2299,0,0,0,115504593,112887,0,0,0,0,108906108,112887,126774854
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789295238564,1789295239195,631,False,624,580450720,2,10,2299,0,0,0,115504482,112887,0,0,0,0,108900796,112887,122809365
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789295238641,1789295239273,632,False,626,578737889,1,14,2299,0,0,0,115504449,112887,0,0,0,0,108908727,112887,122493070
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789295238661,1789295239321,660,False,654,604385724,2,14,2299,0,0,0,115504416,112887,0,0,0,0,108906622,112887,127981040
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789295238668,1789295239330,662,False,658,590108618,1,14,2299,0,0,0,115504392,112887,0,0,0,0,108909394,112887,122499940
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789295239194,1789295239842,648,False,642,587460092,2,25,2299,0,0,0,115504353,112887,0,0,0,0,108908064,112887,119893075
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789295239272,1789295239918,646,False,641,589873757,1,21,2299,0,0,0,115504317,112887,0,0,0,0,108909997,112887,137951741
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789295239320,1789295239956,636,False,631,578204569,1,21,2299,0,0,0,115504281,112887,0,0,0,0,108910921,112887,119724838
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789295239330,1789295239985,655,False,650,578382245,2,21,2299,0,0,0,115504263,112887,0,0,0,0,108907493,112887,121682085
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789295239841,1789295240479,638,False,633,587383946,2,16,2299,0,0,0,115504230,112887,0,0,0,0,108905946,112887,120011222
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789295239917,1789295240539,622,False,617,568217875,1,16,2299,0,0,0,115504221,112887,0,0,0,0,108907293,112887,119151010
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789295239955,1789295240577,622,False,617,567000796,1,16,2299,0,0,0,115504203,112887,0,0,0,0,108909178,112887,120258879
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789295239984,1789295240613,629,False,624,576288095,1,16,2299,0,0,0,115504191,112887,0,0,0,0,108902633,112887,121268750
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789295240479,1789295241107,628,False,623,583301112,1,8,2299,0,0,0,115504176,112887,0,0,0,0,108912610,112887,120576409
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789295240538,1789295241166,628,False,623,581130292,1,8,2299,0,0,0,115504113,112887,0,0,0,0,108907335,112887,117816529
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789295240576,1789295241225,649,False,644,600462545,1,8,2299,0,0,0,115504077,112887,0,0,0,0,108915317,112887,125228217
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789295240612,1789295241246,634,False,629,580962556,1,8,2299,0,0,0,115504059,112887,0,0,0,0,108908523,112887,120558093
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789295241106,1789295241715,609,False,604,570943581,1,2,2299,0,0,0,115504044,112887,0,0,0,0,108910878,112887,120161824
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789295241166,1789295241763,597,False,593,560329539,1,2,2299,0,0,0,115503993,112887,0,0,0,0,108902996,112887,117397371
1,save at NativeMethodAccessorImpl.java:0,27,26,0,1789295241224,1789295241829,605,False,600,566234422,1,2,2299,0,0,0,115503981,112887,0,0,0,0,108907163,112887,119646135
1,save at NativeMethodAccessorImpl.java:0,28,27,0,1789295241245,1789295241861,616,False,611,576015778,1,2,2299,0,0,0,115503954,112887,0,0,0,0,108911270,112887,120152591
1,save at NativeMethodAccessorImpl.java:0,29,28,0,1789295241715,1789295242333,618,False,612,575391002,1,9,2299,0,0,0,115503927,112887,0,0,0,0,108912043,112887,118667901
1,save at NativeMethodAccessorImpl.java:0,30,29,0,1789295241762,1789295242367,605,False,601,562045260,1,9,2299,0,0,0,115503885,112887,0,0,0,0,108911109,112887,115490918
1,save at NativeMethodAccessorImpl.java:0,31,30,0,1789295241829,1789295242437,608,False,604,564855719,1,9,2299,0,0,0,115503864,112887,0,0,0,0,108905499,112887,119534175
1,save at NativeMethodAccessorImpl.java:0,32,31,0,1789295241860,1789295242473,613,False,608,568106519,1,9,2299,0,0,0,115503849,112887,0,0,0,0,108909229,112887,118435372
1,save at NativeMethodAccessorImpl.java:0,33,32,0,1789295242332,1789295242940,608,False,603,571632688,1,3,2299,0,0,0,115503795,112887,0,0,0,0,108907809,112887,118475124
1,save at NativeMethodAccessorImpl.java:0,34,33,0,1789295242367,1789295242960,593,False,589,556254612,1,3,2299,0,0,0,115503705,112887,0,0,0,0,108909504,112887,115666538
1,save at NativeMethodAccessorImpl.java:0,35,34,0,1789295242437,1789295243036,599,False,595,560877243,1,3,2299,0,0,0,115503660,112887,0,0,0,0,108904381,112887,116826258
1,save at NativeMethodAccessorImpl.java:0,36,35,0,1789295242472,1789295243075,603,False,598,565735367,1,3,2299,0,0,0,115503576,112887,0,0,0,0,108910675,112887,117729692
1,save at NativeMethodAccessorImpl.java:0,37,36,0,1789295242939,1789295243567,628,False,623,588750374,1,3,2299,0,0,0,115503534,112887,0,0,0,0,108907811,112887,120148424
1,save at NativeMethodAccessorImpl.java:0,38,37,0,1789295242960,1789295243587,627,False,622,560439389,1,6,2299,0,0,0,115503507,112887,0,0,0,0,108909703,112887,119224590
1,save at NativeMethodAccessorImpl.java:0,39,38,0,1789295243035,1789295243671,636,False,631,589061619,1,9,2299,0,0,0,115503477,112887,0,0,0,0,108905114,112887,136059236
1,save at NativeMethodAccessorImpl.java:0,40,39,0,1789295243074,1789295243713,639,False,634,595305264,1,9,2299,0,0,0,115503429,112887,0,0,0,0,108911436,112887,133251449
1,save at NativeMethodAccessorImpl.java:0,41,40,0,1789295243566,1789295244220,654,False,649,610215506,1,6,2299,0,0,0,115503375,112887,0,0,0,0,108908959,112887,124059589
1,save at NativeMethodAccessorImpl.java:0,42,41,0,1789295243586,1789295244221,635,False,629,591209507,2,3,2299,0,0,0,115503285,112887,0,0,0,0,108906796,112887,119497332
1,save at NativeMethodAccessorImpl.java:0,43,42,0,1789295243671,1789295244279,608,False,603,568434031,1,2,2299,0,0,0,115503063,112887,0,0,0,0,108907881,112887,120489714
1,save at NativeMethodAccessorImpl.java:0,44,43,0,1789295243712,1789295244306,594,False,590,558658205,1,2,2299,0,0,0,115502490,112886,0,0,0,0,108903023,112886,116709827
1,save at NativeMethodAccessorImpl.java:0,45,44,0,1789295244220,1789295244824,604,False,600,563662872,1,2,2299,0,0,0,115501959,112884,0,0,0,0,108910982,112884,118124544
1,save at NativeMethodAccessorImpl.java:0,46,45,0,1789295244221,1789295244848,627,False,623,561491227,0,2,2256,0,0,0,115501752,112884,0,0,0,0,108898380,112884,118682275
1,save at NativeMethodAccessorImpl.java:0,47,46,0,1789295244279,1789295244870,591,False,587,555868539,1,0,2256,0,0,0,115501656,112884,0,0,0,0,108904339,112884,117398380
1,save at NativeMethodAccessorImpl.java:0,48,47,0,1789295244306,1789295244903,597,False,594,563376903,1,3,2299,0,0,0,115501593,112884,0,0,0,0,108905313,112884,120743872
1,save at NativeMethodAccessorImpl.java:0,49,48,0,1789295244824,1789295245425,601,False,597,565965483,1,3,2299,0,0,0,115501533,112884,0,0,0,0,108908686,112884,118207488
1,save at NativeMethodAccessorImpl.java:0,50,49,0,1789295244847,1789295245451,604,False,600,563604764,1,3,2299,0,0,0,115501470,112884,0,0,0,0,108910222,112884,118905589
1,save at NativeMethodAccessorImpl.java:0,51,50,0,1789295244869,1789295245470,601,False,597,553994844,1,3,2299,0,0,0,115501386,112884,0,0,0,0,108903060,112884,118286244
1,save at NativeMethodAccessorImpl.java:0,52,51,0,1789295244903,1789295245503,600,False,595,557465497,1,4,2299,0,0,0,115501317,112884,0,0,0,0,108904753,112884,122761645
1,save at NativeMethodAccessorImpl.java:0,53,52,0,1789295245424,1789295246028,604,False,598,561453338,1,7,2299,0,0,0,115501284,112884,0,0,0,0,108910492,112884,117378407
1,save at NativeMethodAccessorImpl.java:0,54,53,0,1789295245450,1789295246064,614,False,610,572160847,1,7,2299,0,0,0,115501227,112884,0,0,0,0,108908215,112884,119093918
1,save at NativeMethodAccessorImpl.java:0,55,54,0,1789295245470,1789295246082,612,False,608,558737467,1,7,2299,0,0,0,115501179,112884,0,0,0,0,108904618,112884,116645386
1,save at NativeMethodAccessorImpl.java:0,56,55,0,1789295245503,1789295246111,608,False,600,566908265,5,3,2299,0,0,0,115501119,112884,0,0,0,0,108903697,112884,117878231
1,save at NativeMethodAccessorImpl.java:0,57,56,0,1789295246027,1789295246675,648,False,644,565241699,1,4,2299,0,0,0,115501074,112884,0,0,0,0,108909378,112884,118833571
1,save at NativeMethodAccessorImpl.java:0,58,57,0,1789295246064,1789295246693,629,False,626,560761956,1,4,2299,0,0,0,115501008,112884,0,0,0,0,108905499,112884,119422358
1,save at NativeMethodAccessorImpl.java:0,59,58,0,1789295246081,1789295246707,626,False,622,554405867,1,4,2299,0,0,0,115500978,112884,0,0,0,0,108899621,112884,118136627
1,save at NativeMethodAccessorImpl.java:0,60,59,0,1789295246110,1789295246728,618,False,615,556898279,1,4,2299,0,0,0,115500864,112884,0,0,0,0,108901716,112884,117914599
1,save at NativeMethodAccessorImpl.java:0,61,60,0,1789295246674,1789295247491,817,False,811,577232913,1,6,2299,0,0,0,115500777,112884,0,0,0,0,108911077,112884,122361059
1,save at NativeMethodAccessorImpl.java:0,62,61,0,1789295246693,1789295247491,798,False,794,568851197,1,6,2299,0,0,0,115500687,112884,0,0,0,0,108901469,112884,118890542
1,save at NativeMethodAccessorImpl.java:0,63,62,0,1789295246707,1789295247510,803,False,799,574007784,1,6,2299,0,0,0,115500627,112884,0,0,0,0,108902408,112884,121150565
1,save at NativeMethodAccessorImpl.java:0,64,63,0,1789295246728,1789295247512,784,False,781,558416574,1,6,2299,0,0,0,115500531,112884,0,0,0,0,108903563,112884,119018448
