t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789295422.3641877,0.0,16910576,204776,0,180,184,71,251030,2881056,72290927,149384,1112,63753984,64116984,64771556,0,32,0,1,1,0,85551425,623143037,630079864,198447,199409,278,8,202242994,121051,920704800,1045753945,0
1789295422.6146276,0.25,16910815,204793,0,180,184,71,251032,2881197,72291515,158660,1276,63741160,64098304,64771556,0,32,0,0,17,0,85551616,623179251,630116113,198447,199409,319,8,202245658,121124,920717076,1045753945,0
1789295422.8651767,0.501,16911188,204810,0,180,184,71,251034,2881206,72292221,167076,1276,63725676,64078164,64771556,0,32,0,1,1,0,85552323,623280219,630217235,198447,199409,319,8,202250637,121160,920727008,1045753945,0
1789295423.1156068,0.751,16911563,204833,0,180,184,71,251035,2881207,72292934,194432,1308,63700464,64038888,64771556,0,32,0,0,2,0,85553039,623444843,630381870,198447,199409,327,8,202254755,121361,920754652,1045753945,0
1789295423.365967,1.002,16911927,204856,0,180,184,71,251036,2881218,72295142,204564,1308,63685172,64018460,64771556,0,32,0,1,1,0,85553905,623578649,630515678,198447,199409,327,8,202257948,121460,920764804,1045753945,0
1789295423.6163177,1.252,16912297,204877,0,180,184,71,251037,2881225,72296907,211208,1308,63673928,64003924,64771556,0,32,0,0,2,0,85555002,623752551,630689580,198447,199409,327,8,202259933,121466,920771436,1045753945,0
1789295423.866656,1.502,16912663,204899,0,180,184,71,251039,2881235,72298052,219884,1140,63656812,63982444,64771556,0,0,0,1,1,0,85555730,623839097,630776133,198447,199409,285,0,202265017,121466,920779792,1045753945,0
1789295424.1169767,1.753,16913022,204909,0,180,184,71,251044,2881261,72301643,223148,1140,63666184,63990232,64771556,0,0,0,0,4,0,85556555,623868812,630805847,198447,199409,285,0,202278540,121474,920783100,1045753977,0
1789295424.3673673,2.003,16913376,204922,0,180,184,71,251047,2881291,72304230,226360,1140,63635208,63957616,64771556,0,0,0,1,1,0,85557088,623938333,630875369,198447,199409,285,0,202287992,121475,920786272,1045753977,0
1789295424.61781,2.254,16913740,204934,0,180,184,71,251049,2881313,72307480,229400,1140,63613504,63934392,64771556,0,0,0,1,2,0,85557693,624022401,630959437,198447,199409,285,0,202292961,121475,920789312,1045753977,0
1789295424.8682294,2.504,16914101,204948,0,180,184,71,251053,2881334,72311595,232736,1140,63580776,63899944,64771556,0,0,0,1,1,0,85558186,624068373,631005411,198447,199409,285,0,202300900,121483,920792708,1045753977,0
1789295425.1186337,2.754,16914453,204960,0,180,184,71,251055,2881368,72314832,235888,1140,63571776,63889296,64771556,0,0,0,0,2,0,85558810,624131809,631068895,198447,199409,285,0,202303654,121488,920795972,1045753977,0
1789295425.3689597,3.005,16914808,204968,0,180,184,71,251056,2881401,72320106,237712,1140,63564136,63880740,64771556,0,0,0,1,1,0,85559483,624179132,631116218,198447,199409,285,0,202305341,121490,920797788,1045753977,0
1789295425.6193066,3.255,16915148,204980,0,180,184,71,251060,2881443,72325624,240108,1140,63541568,63856968,64771556,0,0,0,1,1,0,85560057,624227578,631164663,198447,199409,285,0,202310757,121494,920800260,1045753977,0
1789295426.0130424,3.649,16915748,205008,0,180,184,71,251063,2881448,72326946,268536,1140,63565752,63866568,64771556,0,0,0,1,1,0,85561416,624489233,631426334,198447,199409,285,0,202314238,121722,920829516,1045753981,0
1789295426.2666764,3.902,16916124,205026,0,180,184,71,251065,2881452,72327571,282592,1140,63555120,63844696,64771556,0,0,0,1,1,0,85562571,624677527,631614732,198447,199409,285,0,202318205,121830,920843664,1045753981,0
1789295426.5170033,4.153,16916499,205043,0,180,184,71,251067,2881458,72328079,294480,1140,63544888,63822452,64771556,0,0,0,1,1,0,85563610,624846058,631783269,198447,199409,285,0,202322354,121924,920855636,1045753981,0
1789295426.7673373,4.403,16916866,205058,0,180,184,71,251069,2881474,72329592,300820,1140,63537232,63808296,64771556,0,0,0,1,1,0,85564922,624937763,631874984,198447,199409,285,0,202326115,121936,920862180,1045753981,0
1789295427.0177603,4.654,16917226,205072,0,180,184,71,251070,2881499,72331152,303852,1140,63527648,63795652,64771556,0,0,0,1,1,0,85565671,625024662,631961889,198447,199409,285,0,202329815,121940,920865176,1045753981,0
1789295427.2681918,4.904,16917555,205084,0,180,184,71,251073,2881555,72332515,306544,1140,63465076,63730436,64771556,0,0,0,1,3,0,85566002,625068535,632005767,198447,199409,285,0,202347787,121940,920867888,1045753981,0
1789295427.5186658,5.154,16917909,205094,0,180,184,71,251075,2881588,72333992,309220,1140,63441888,63704520,64771556,0,0,0,1,1,0,85566437,625124281,632061512,198447,199409,285,0,202354662,121940,920870564,1045753981,0
1789295427.7691169,5.405,16918262,205105,0,180,184,71,251078,2881619,72337845,312680,1140,63417992,63677196,64771556,0,0,0,1,4,0,85566956,625180562,632117793,198447,199409,285,0,202360740,121943,920874016,1045753981,0
1789295428.0196083,5.655,16918616,205115,0,180,184,71,251080,2881654,72339024,315508,1140,63409108,63665444,64771556,0,0,0,1,1,0,85567505,625232514,632169797,198447,199409,285,0,202362789,121943,920876872,1045753981,0
1789295428.2700531,5.906,16918964,205125,0,180,184,71,251082,2881695,72341079,318324,1240,63395336,63648868,64771556,0,0,0,1,1,0,85567853,625275688,632212975,198447,199409,310,0,202366554,121945,920879572,1045753981,0
1789295428.520483,6.156,16919326,205137,0,180,184,71,251084,2881719,72342540,321624,1240,63384476,63634772,64771556,0,0,0,2,2,0,85568363,625355584,632292874,198447,199409,310,0,202369715,121945,920882972,1045753981,0
1789295428.7709088,6.407,16919687,205142,0,180,184,71,251084,2881752,72343853,323736,1240,63374112,63622212,64771556,0,0,0,0,2,0,85568638,625390903,632328193,198447,199409,310,0,202372236,121945,920885012,1045753981,0
1789295429.0213678,6.657,16920010,205144,0,180,184,71,251087,2881823,72349292,324428,1240,63363072,63610492,64771556,0,0,0,0,6,0,85569032,625393452,632330742,198447,199409,310,0,202377233,121947,920885676,1045753981,0
1789295429.2718608,6.908,16920328,205146,0,180,184,71,251089,2881899,72354924,325040,1240,63351304,63598088,64771556,0,0,0,0,7,0,85569649,625400236,632337526,198447,199409,310,0,202381780,121947,920886304,1045753981,0
